patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12419941,2025-09-23,Poultry drinking water-based vaccine delivery system and method,0,A01K|A61D|A61K|A61P
12390441,2025-08-19,Immunomodulating o-het/aryl azalides,0,A61K|A61P|C07D|C07H
12390440,2025-08-19,Immunomodulating trifluoromethyl-aminal azalides,0,A61K|A61P|C07D|C07H
12378233,2025-08-05,Immunomodulating azalides,0,A61P|C07D|C07H
12350328,2025-07-08,Multivalent live-attenuated influenza vaccine for prevention and control of equine influenza virus (EIV) in horses,0,A61K|A61P|C12N
12343402,2025-07-01,Method of determining the identity and/or amount of an anti-IL-31 antibody in a sample,0,A61K|G01N
12329813,2025-06-17,Porcine epidemic diarrhea virus strains and immunogenic compositions therefrom,0,A61K|A61P|C07K|C12N
12303519,2025-05-20,"Injectable pharmaceutical compositions comprising a cyclodextrin a hydrophobic drug, a co-solvent, and a preservative",0,A61K|A61P|B82Y|C08B|C08L
12295958,2025-05-13,Ready-to-use injectable formulations,0,A61K|A61P
12295936,2025-05-13,Immunomodulating urea azalides,0,A61K|A61P|C07D|C07H
12290559,2025-05-06,Methods of vaccine administration,0,A61K|A61P|C07K|C12N
12290557,2025-05-06,Vaccine compositions for porcine epidemic diarrhea virus and porcine deltacoronavirus,0,A61K|A61P|C12N
12285479,2025-04-29,Anti-coronavirus vaccines,0,A61K|A61P
12285478,2025-04-29,Foot-and-mouth disease vaccine,0,A61K|A61P|C12N
12257303,2025-03-25,Methods and composition for induction of immune response,0,A61K|A61P|Y02A
12209084,2025-01-28,Serotonin 5-HT2B inhibitory compounds,0,A61P|C07D|C12Q
12181468,2024-12-31,Rotors for immunoassays,0,B01L|G01N
12180290,2024-12-31,Antibodies to canine and feline oncostatin M receptor beta and uses thereof,0,A61K|A61P|C07K|G01N
12171825,2024-12-24,Vaccine against infectious bronchitis,0,A61K|A61P|C12N
12169350,2024-12-17,"Apparatus for analyzing a media, and associated egg identification apparatus and method",0,G01J|G01N|G02B|G02F
12169200,2024-12-17,Lateral flow device for detecting SARS-CoV-2 antibodies in human and animal samples,0,G01N
12121576,2024-10-22,Oil-based adjuvants,0,A61K|A61P|G01N|Y02A
12115162,2024-10-15,Palatable formulations,0,A61K
12084507,2024-09-10,Humanized anti-NGF antibodies and methods of treating pain thereof,0,A61K|A61P|C07K|C12N
12084506,2024-09-10,Methods of treating a canine and inhibiting NGF activity through use of anti-NGF antibodies,0,A61K|A61P|C07K|C12N
12084494,2024-09-10,Interleukin-31 monoclonal antibodies for veterinary use,0,A61K|A61P|C07K|G01N
12054518,2024-08-06,Antimicrobial peptides and methods of using same,0,A61K|A61P|C07K|C12N
12053779,2024-08-06,System and method for separation of blood components,0,A61K|A61L|B01L
12049509,2024-07-30,Nucleic acids encoding a canine antibody which binds nerve growth factor and vectors and host cells thereof,0,A61K|A61P|C07K|C12N
12049508,2024-07-30,Canine anti-NGF antibodies and methods of treating pain thereof,0,A61K|A61P|C07K|C12N
12049507,2024-07-30,Felinized anti-NGF antibodies and methods of treating pain,0,A61K|A61P|C07K|C12N
12005113,2024-06-11,Porcine epidemic diarrhea virus strains and immunogenic compositions therefrom,0,A61K|A61P|C07K|C12N
11977072,2024-05-07,Solution-based plasmonic specific-binding partner assays using metallic nanostructures,0,G01N
11911454,2024-02-27,Effective vaccination against porcine reproductive and respiratory syndrome (PRRS) virus prior to weaning,0,A61K|A61P|C12N
11904011,2024-02-20,North American porcine reproductive and respiratory syndrome (PRRS) virus and uses thereof,0,A61K|A61P|C07K|C12N
11896666,2024-02-13,Adjuvant compositions,1,A61K|A61P|C12N|Y02A
11896594,2024-02-13,Palatable antiparasitic formulations,0,A61K|A61P
11883481,2024-01-30,Recombinant herpesvirus of turkey vectors expressing antigens of avian pathogens and uses thereof,0,A61K|A61P|C12N
11865171,2024-01-09,Foot-and-mouth disease vaccine,1,A61K|A61P|C12N
11786575,2023-10-17,Endoparasitic depsipeptides,0,A01N|A61K|A61P|C07D|C07K
11771738,2023-10-03,Endoparasitic depsipeptides,0,A61K|A61P|C07D
11771677,2023-10-03,Immunomodulating urea azalides,0,A61K|A61P|C07D|C07H
11709161,2023-07-25,Assays for detecting analytes in samples and kits and compositions related thereto,0,G01N
11701415,2023-07-18,Oil-based adjuvants,1,A61K|A61P|G01N|Y02A
11654431,2023-05-23,"Systems, devices and methods for microfluidic analysis",1,B01L|G01N
11628452,2023-04-18,Microfluidic rotor device,0,B01L|B04B|G01N
11614447,2023-03-28,Signal amplification in solution-based plasmonic specific-binding partner assays,1,G01N|Y02A
11612470,2023-03-28,Swine vaccination system,0,A61D|A61M|A61P
11573227,2023-02-07,Peptides and methods for the detection of Lyme disease antibodies,0,C07K|G01N|Y02A
11530262,2022-12-20,Interleukin-31 monoclonal antibodies for veterinary use,0,A61K|A61P|C07K|G01N
11524068,2022-12-13,Methods of vaccine administration,0,A61K|A61P|C07K|C12N
11524067,2022-12-13,Methods of vaccine administration,0,A61K|A61P|C07K|C12N
11474034,2022-10-18,Lateral flow test system,0,B01L|G01N
