patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12422367,2025-09-23,Methods for determination of virus titer in a sample using Raman spectroscopy,0,G01J|G01N|G06F
12416001,2025-09-16,Nucleobase editors and methods of use thereof,0,C12N|C12Y
12411082,2025-09-09,Methods and systems for sensing a road surface,0,G01N
12404523,2025-09-02,Adeno-associated virus delivery of CLN3 polynucleotide,0,A61P|C07K|C12N
12404236,2025-09-02,Non-peptidic cell-penetrating motifs,0,A61K|C07C|C07H|C07K
12390449,2025-08-19,Substituted 2-aminobenzimidazoles analogs as antibiofilm agents,0,A61K|A61P|Y02A
12387820,2025-08-12,Synthetic IHC-stained digital sides generated using artificial neural networks,0,G01N|G06N|G16B
12383589,2025-08-12,Synthetic oncolytic LNP-replicon RNA and uses for cancer immunotherapy,0,A61K|A61P|C07K|C12N
12370273,2025-07-29,3E8.scFv.Cys-IR800 conjugate targeting TAG-72 in an orthotopic colorectal cancer model,0,A61K|C07K
12359188,2025-07-15,Method for producing therapeutic exosomes from nanoelectroporation and other non-endocytic cell transfection,0,A61M|C12M|C12N
12357663,2025-07-15,Intrathecal delivery of recombinant adeno-associated virus encoding methyl-CpG binding protein 2,0,A61K|A61P|C07K|C12N
12357564,2025-07-15,Methods and compositions for sustained release microparticles for ocular drug delivery,0,A61K|A61P|C07K
12338433,2025-06-24,"Modified nucleic acids, hybrid guide RNAS, and uses thereof",0,C12N
12332531,2025-06-17,Electrochromic devices and methods,0,C01G|C01P|G01N|G02F
12332198,2025-06-17,Metabolite based diagnostics for periprosthetic joint infection,0,A61K|A61P|G01N|G01R
12332170,2025-06-17,Laser imaging of gases for concentration and location identification,0,G01J|G01M|G01N
12329799,2025-06-17,Peptidyl inhibitors of calcineurin-NFAT interaction,0,A61K|A61P|C07K
12306176,2025-05-20,Microfluidic bi-directional migration assay,0,B01L|C12M|G01N
12297447,2025-05-13,Gene therapy for juvenile Batten disease,0,A61K|A61P|C12N
12286420,2025-04-29,EAAT2 activators and methods of using thereof,0,A61P|C07D
12281181,2025-04-22,Bicyclic peptidyl inhibitors,0,A61K|A61P|C07K
12275951,2025-04-15,Engineered guide RNA and uses thereof,0,A61K|C12N
12270053,2025-04-08,Nano-engineered therapeutic stealth cells,0,A61K|A61P|C07K|C12N|C12Y|G01N
12268471,2025-04-08,Discrimination of tissues using a fast infrared probe,0,A61B|G01J|G01N|G06T
12247937,2025-03-11,Optical fiber-based gamma calorimeter (OFBGC),0,G01K|G01N|G01T|G21C|Y02E
12235218,2025-02-25,Compositions and methods for the assessment of soil quality,0,A01C|G01N
12227558,2025-02-18,Modulators of notch signaling and methods of use thereof,0,A61K|A61P|C07K|Y02A
12221471,2025-02-11,Nanocarriers for lung inflammation therapy,0,A61K|A61P|C07K|C12N
12208144,2025-01-28,Intrathecal delivery of recombinant adeno-associated virus 9,0,A61K|A61P|C07H|C07K|C12N
12197047,2025-01-14,Contact lens,0,A61B|A61K|G02C
12171838,2024-12-24,Polypeptide conjugates for intracellular delivery of nucleic acids,0,A61K|C07K|C12N
12169197,2024-12-17,Thread spray ambient ionization,0,G01N|H01J
12163116,2024-12-10,Automated bioreactor with foam collector,0,C07K|C12M|C12P
12161726,2024-12-10,Biomimetic vesicles and uses thereof,0,A61K|B82Y
12161641,2024-12-10,Treatments and prevention of opioid neonatal abstinence syndrome,0,A61K|A61P
12161630,2024-12-10,Methods to control infection using new generation small molecule growth inhibitors,0,A01N|A23K|A61K|A61P|Y02A
12158450,2024-12-03,System and method for deforming a specimen comprising tissue or cells and for measuring and recording the deformation of the specimen,0,C12M|C12N|G01N
12117450,2024-10-15,DNA-cage erasable labels for fluorescence-based pathology,0,C12Q|G01N
12115224,2024-10-15,Polypeptide conjugates for intracellular delivery of stapled peptides,0,A61K|A61P|C07K
12097237,2024-09-24,Small molecule Ras inhibitors,0,A61K|C07K
12065667,2024-08-20,"Modified Cpf1 MRNA, modified guide RNA, and uses thereof",1,C12N
12037370,2024-07-16,Split-immunotoxins for boosting oncolytic virus toxicity,0,A61K|A61P|C07K|C12N
12029790,2024-07-09,Biomimetic nanomaterials and uses thereof,0,A61K|C07C|C07D|C07F|C07H
12025561,2024-07-02,Material identification through image capture of Raman scattering,0,G01J|G01N
12024498,2024-07-02,Radical compounds and methods of using thereof,0,C07D|G01N|G01R
