patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12429452,2025-09-30,"Reference electrode with SPEEK/IL sandwich structure, and preparation method and use thereof",0,G01N|Y02E
12419875,2025-09-23,Use of Axitinib and analogs thereof in preparing blood-brain barrier permeability regulator,0,A61K|A61P
12404269,2025-09-02,Aminoquinazolinone and aminoisoquinolinone derivatives and application thereof,0,A61P|C07D
12385825,2025-08-12,Method and system for detecting Fusarium moniliforme species of rice seed,0,G01N|G06T
12370167,2025-07-29,Blood-brain barrier permeability regulator and use thereof,0,A61K|A61P
12360352,2025-07-15,Phase-modulated fluorescence differential microscopic imaging method and device based on electro-optical technology,0,G01N|G02B
12305234,2025-05-20,Serum miRNA markers for diagnosing liver cancer and predicting liver cancer metastasis and detection kit thereof,0,C12Q
12292377,2025-05-06,Multi-waveband-tunable multi-scale meta-material and preparation method and spectral detection method thereof,0,G01N
12280929,2025-04-22,"Packaging material for non-destructive detection of food quality, preparation method of packaging material, and detection method using packaging material",0,B65D|C23C|G01N|Y02W
12274783,2025-04-15,Microbubble dispersion system stabilized with polydopamine nanoparticles for highly-efficient intravenous oxygen supply and method for preparing the same,0,A61K|B82Y
12274778,2025-04-15,Paenibacillus strain capable of producing polysaccharides with after-sun repair effect and use thereof,0,A61K|A61Q|C12N|C12P|C12R
12265085,2025-04-01,Method for analyzing content and distribution of microplastics in marine Cnidaria organisms,0,G01N|Y02A
12226785,2025-02-18,Vacuum chamber structure of ultra-high gravity geotechnical centrifuge device,0,B04B|G01N
12222280,2025-02-11,Self-adaptive all-fiber laser ultrasonic measuring instrument,0,G01N
12213980,2025-02-04,"Application of PDE9A inhibitor in preparation of products having elevated Treg content, drugs for preventing and treating inflammatory bowel disease and health care products",0,A61K|A61P
12203881,2025-01-21,Method of detecting internal stress distribution of transparent material based on x-ray diffraction,0,G01N
12203088,2025-01-21,Root-secreted peptide PEP1 in rice and gene encoding the same and use thereof,0,A01H|A01N|A01P|C07K|C12N|Y02A
12203079,2025-01-21,Agrobacterium-mediated genetic transformation method for sea barleygrass,0,A01H|C12N|Y02P
12189110,2025-01-07,Optical trap calibration apparatus and method based on variation of electric field by optical imaging of nanoparticle,0,G01N|G02B|G21K
12183216,2024-12-31,Landslide model test devices and methods for realizing multi-variable synchronous monitoring,0,G01N|G09B
12180345,2024-12-31,Method for improving triboelectric output performance of protein film by changing protein structure,0,C07K|C08J|H02N
