patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12420276,2025-09-23,"Probe apparatus, assemblies, and methods for aspirating and dispensing liquids",0,B01L|F04B|G01N
12404346,2025-09-02,Anti-naloxone and anti-naltrexone monoclonal antibodies and methods of production and use thereof,0,A61K|A61P|C07K|G01N
12399169,2025-08-26,Tangent flow hemolysis detection blood testing device,0,B01L|G01N
12392790,2025-08-19,Apparatus and methods of identifying tube assembly type,0,G01N|G06F|G06T|G06V
12391982,2025-08-19,Optical discrimination apparatus and methods adapted to monitor reactions,0,C12Q|G01N
12385931,2025-08-12,Biological sample analyzer with accelerated thermal warming,0,B01L|G01N
12379386,2025-08-05,Antibodies to 25-hydroxyvitamin D2 and D3 for detecting total 25-hydroxyvitamin D,0,A61P|C07K|G01N
12372520,2025-07-29,"Method, device and system for determining the concentration of analytes in a sample",0,G01N
12366571,2025-07-22,Luminescent oxygen channeling immunoassay utilizing three antibodies and methods of production and use thereof,0,G01N
12352725,2025-07-08,Reagents for potentiometric magnesium ion selective electrode sensors and methods of production and use thereof,0,G01N
12332257,2025-06-17,Predictive quality control apparatus and methods in diagnostic testing systems,0,G01N|G05B|G06N|G16H
12332234,2025-06-17,Solution collection device with evaluation element,0,A61J|B01D|B01L|G01N
12326442,2025-06-10,Device with a fluid component assessment feature,0,A61J|B01D|B01L|G01N
12320772,2025-06-03,Solid-state magnesium ion selective microelectrode and methods of production and use thereof,0,C07C|C07F|G01N
12320771,2025-06-03,System and method of measurement and calibration of analyte testing,0,G01N
12318784,2025-06-03,"Fitment devices, reagent cartridges, and methods thereof",0,B01L|B65D|G01N
12313626,2025-05-27,Methods for detecting hook effect(s) associated with anaylte(s) of interest during or resulting from the conductance of diagnostic assay(s),0,G01N
12311363,2025-05-27,HBA1c assay slide and method of making same,0,B01L|G01N
12299172,2025-05-13,Methods and apparatus for protecting patient information during characterization of a specimen in an automated diagnostic analysis system,0,G01N|G06F|G06T|G16H
12298233,2025-05-13,Method and analyzer to correct for unknown interferences in a patient blood sample,0,G01N
12292452,2025-05-06,Biological sample analyzer with forced air convection plenum,0,G01N
12287320,2025-04-29,Methods and apparatus for hashing and retrieval of training images used in HILN determinations of specimens in automated diagnostic analysis systems,0,G01N|G06F|G06T|G16H
12275708,2025-04-15,Hydrophilic high quantum yield acridinium esters with improved stability and fast light emission,0,C07D|C09K|F21K|G01N
12264665,2025-04-01,Miniature piezoelectric air pump to generate pulsation-free air flow for pipette apparatus proximity sensing,0,F04B|G01N
12259381,2025-03-25,Methods and compositions for removing biotin interference from assays using molecular traps,0,G01N
12254694,2025-03-18,Image-based tube top circle detection with multiple candidates,0,G01N|G06V
12253533,2025-03-18,Methods and apparatus providing calibration of background illumination for sample and/or sample container characterization,0,G01N|G06V
12247989,2025-03-11,Multi-channel device for calculating coagulation characteristics of a patient's liquid test sample and methods of use related thereto,0,B01L|G01N
12247987,2025-03-11,Methods for detection of aberrant results caused by incomplete dispersion of immunoassay reagent,0,G01N
12222310,2025-02-11,Magnesium ion selective membranes,0,G01N
12203953,2025-01-21,Helix wash station that augments the fluid dynamics associated with clinical chemistry and immunoassay probe cleaning,0,B08B|G01N
12203831,2025-01-21,Compositions and methods for removing interfering substances,0,A61K|G01N
12188922,2025-01-07,Contoured sample path for fluid analyzer,0,G01N
12174178,2024-12-24,Quantitation of functional groups on solid supports,0,G01N
12167255,2024-12-10,Non-recombinant human insulin-like growth factor binding protein concentrate,0,A61K|C07K|G01N|H04B|H04L|H04W
12151238,2024-11-26,"Liquid sensor assemblies, apparatus, and methods",0,B01L|G01N
12146835,2024-11-19,Calibration method for reagent card analyzers,0,G01N|Y10T
12140596,2024-11-12,"Kits, microfluidics devices, and methods for performing biotin assays",0,B01L|C09K|F21K|G01N
12116569,2024-10-15,Vortex generator for agitation of fluids during sample preparation,0,B01F|B01L|B03C|C12M|C12N
12111325,2024-10-08,"Analyte detection system, and methods of use related thereto",0,G01N
12111310,2024-10-08,Pretreatment agent in non-agglutination assays,0,G01N
12099063,2024-09-24,"Compositions, kits, and methods for multiplex assays to correct for biotin interference in target analyte measurements",0,B01L|G01N
12099055,2024-09-24,Methods and compositions for removing biotin interference from assays using conjugated molecular traps,0,G01N
12085579,2024-09-10,Mobile connected autonomous refrigerator,0,B25J|F25D|G01N|G06Q
12085532,2024-09-10,Enhanced chloride selective membrane,0,G01N
12072311,2024-08-27,Sensor assembly and method of using same,0,G01N
12064765,2024-08-20,Method and device for determining the concentration of analytes in whole blood,0,B01D|B01L|B03C|G01N
12053775,2024-08-06,"Compositions, devices, and methods of mitigating lipoprotein interference in in vitro diagnostic assays for hydrophobic analytes",0,B01L|C12Q|G01N
12031940,2024-07-09,Reagents for potentiometric magnesium ion selective electrode sensors and methods of production and use thereof,1,G01N
12031890,2024-07-09,Lysis devices having a piezo element and methods,0,B01L|G01N
12005027,2024-06-11,System with improved seal between a liquid container and a manifold,0,A61J|B01L|G01N
11994517,2024-05-28,Analytical assay reaction cartridge containing magnetic capture beads and methods of production and use thereof,0,B01L|B03C|G01N
11987851,2024-05-21,Reagents and methods for detecting HCV,0,C12Q
11978201,2024-05-07,Method and device for determining the concentration of analytes in a sample,0,B01L|G01N|G06T
11977090,2024-05-07,Walk-away time visualization methods and systems,0,G01N|G16H
11971415,2024-04-30,Microalbumin creatinine assay detection flag and methods of production and use related thereto,0,B01L|G01N
11970744,2024-04-30,Method for detecting an increased risk or incidence of colorectal cancer,0,C12Q|G01N|G16H|Y02A
11959917,2024-04-16,Methods and reagents for Zika virus immunoassays,0,G01N|Y02A
11958863,2024-04-16,Binding competitors for use in macrophilin-binding pharmaceutical assays and methods of use thereof,0,A61P|C07D|G01N
11932603,2024-03-19,Hydrophilic high quantum yield acridinium esters with improved stability and fast light emission,0,C07D|C09K|F21K|G01N
11927736,2024-03-12,Methods and apparatus for fine-grained HIL index determination with advanced semantic segmentation and adversarial training,0,B01L|G01N|G02B|G06F|G06T|G06V
11927598,2024-03-12,Automated clinical analyzer system and method,0,G01N
11921124,2024-03-05,Control of pH in aqueous urea-containing solutions utilizing amino acid-containing compositions,0,A61K|C12Q|G01N
11920976,2024-03-05,Photometer optical coupling for a dual incubation ring using a periscope design,0,G01J|G01N
11913965,2024-02-27,Sandwich assay for small molecules,0,G01N
11852645,2023-12-26,Modular wash bridge for multiple-pass immunoassay systems,0,G01N
11852642,2023-12-26,Methods and apparatus for HILN determination with a deep adaptation network for both serum and plasma samples,0,G01J|G01N|G06F|G06T|G06V
11850585,2023-12-26,Low sample volume sensing device,0,B01L|G01N
11850583,2023-12-26,Plasma separation and sample metering device and kits and methods of use related thereto,0,B01L|G01N
11835518,2023-12-05,Thyroid peroxidase autoantibody immunoassay,0,C12N|C12Y|G01N
11821867,2023-11-21,Magnesium ion selective membranes,0,G01N
11815523,2023-11-14,Multi-point filtering liquid level detection methods and apparatus,0,G01F|G01N
11815519,2023-11-14,Stray light compensating methods and apparatus for characterizing a specimen,0,G01J|G01N|G06T|G06V
11815517,2023-11-14,Antibodies to 25-hydroxyvitamin D2 and D3,1,A61P|C07K|G01N
11815510,2023-11-14,Method for detecting a dengue infection,0,G01N|Y02A
11815446,2023-11-14,Methods and apparatus for characterizing a specimen container and specimen,0,G01N
11808778,2023-11-07,Intelligent pressure control apparatus and methods for maintaining manifold pressure in a diagnostic testing apparatus,0,G01N
11782014,2023-10-10,Internal electrolyte layer comprising carbon paste for potentiometric ion selective electrode,0,G01N|H01M|Y02E
11782012,2023-10-10,Fluid analyzer for measuring magnesium ions and method of calibrating potentiometric magnesium ion sensor therein,0,C12Q|G01N
11763461,2023-09-19,Specimen container characterization using a single deep neural network in an end-to-end training fashion,0,G01N|G06F|G06T|G16H
11747297,2023-09-05,Enhanced chloride selective membrane,1,G01N
11745186,2023-09-05,Retention clip and sample rack for a sample analysis system,0,A47F|B01L|G01N
11733256,2023-08-22,Sample rack handler and rotation assembly for a sample analysis system,0,B65G|G01N
11733197,2023-08-22,Biosensors produced from enzymes with reduced solubility and methods of production and use thereof,0,C12N|C12Q|C12Y|G01N
11721433,2023-08-08,System and method for condition based monitoring and maintenance of an automation track,0,G01N|G16H
11698380,2023-07-11,Optimization-based load planning systems and methods for laboratory analyzers,0,G01N|G06N|G16H|Y02A
11680258,2023-06-20,Vortex generator for agitation of fluids during sample preparation,1,B01F|B01L|B03C|C12M|C12N
11668707,2023-06-06,Simultaneous measurement of multiple analytes of a liquid assay,0,B01L|G01J|G01N
11668647,2023-06-06,Illumination unit with multiple light sources for generating a uniform illumination spot,0,G01J|G01N|G02B
11657593,2023-05-23,Deep learning volume quantifying methods and apparatus,0,G01N|G06F|G06T|G06V
11650197,2023-05-16,Methods and apparatus adapted to quantify a specimen from multiple lateral views,2,G01F|G01N|G06F|G06N|G06T
11644475,2023-05-09,Sample rack for sample analysis system,0,B01L|B65G|G01N
11638917,2023-05-02,Rotary platform for cell lysing and purification and method of use,0,B01L|C12N|G01N
11609228,2023-03-21,Quantitation of functional groups on solid supports,1,G01N
11600058,2023-03-07,Methods and systems for learning-based image edge enhancement of sample tube top circles,0,B25J|G01N|G05B|G06F|G06N|G06T|G06V
11592439,2023-02-28,Pretreatment agent in non-agglutination assays,1,G01N
11585823,2023-02-21,Magnetic puck for transporting sample containers in a clinical chemistry analyzer system,0,B01L|B65G|G01N
11585809,2023-02-21,Nanobead containing biosensors and methods of production and use thereof,0,C12Q|G01N
11585808,2023-02-21,"Devices, methods, and kits for multiplexing a fluid sample via fluid sample reuse",0,G01N
11561218,2023-01-24,Method for detecting a dengue infection,0,G01N|Y02A
11555789,2023-01-17,"Systems, methods and apparatus for autonomous diagnostic verification of optical components of vision-based inspection systems",0,G01N|G06F|G06V
11549936,2023-01-10,Compositions comprising stabilized oxygen and methods of forming the same,0,A61K|G01N|Y10T
