patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12419817,2025-09-23,Oral care compositions and methods of use,0,A61K|A61Q
12390405,2025-08-19,Personal care compositions,0,A61K|A61M|A61P|A61Q
12370133,2025-07-29,Methods for manufacturing arginine dentifrice,0,A61K|A61Q
12370132,2025-07-29,Oral compositions,0,A23G|A61K|A61Q
12350361,2025-07-08,Oral care compositions and methods for increasing the stability of the same,0,A61C|A61K|A61Q
12350354,2025-07-08,Core shell silica particles and use for malodor reduction,0,A61K|A61Q|C01B|C01P|C03C|C09C|C09K
12343414,2025-07-01,Oral care compositions and methods of use,0,A61K|A61P|A61Q
12332160,2025-06-17,"Apparatus, system, and method for testing biological samples",0,G01N|G06V
12329845,2025-06-17,Emulsion-based personal care compositions and methods for the same,0,A61K|A61Q
12329835,2025-06-17,Oral care compositions and methods of use,0,A61K|A61P|A61Q
12324848,2025-06-10,Core shell silica particles and uses thereof as an anti-bacterial agent,0,A61K|A61Q|C01B|C01P|C03C|C09C|C09K
12324847,2025-06-10,Oral care compositions,0,A61K|A61Q
12265086,2025-04-01,Biomarker of gingivitis diagnosis and treatment,0,G01N
12257335,2025-03-25,Personal care compositions,0,A61K|A61Q
12257334,2025-03-25,Oral care compositions,0,A61K|A61Q
12251584,2025-03-18,Personal care compositions,0,A61K|A61Q
12233150,2025-02-25,Oral care compositions comprising star-shaped polymers,0,A61K|A61Q|C08F|C08L
12226512,2025-02-18,Personal care compositions,0,A61K|A61Q
12226499,2025-02-18,Peroxymonosulfate oral whitening compositions,0,A61K|A61Q
12220473,2025-02-11,Oral care product and methods of use and manufacture thereof,0,A61K|A61Q
12214063,2025-02-04,Peroxymonosulfate whitening strips,0,A61C|A61K|A61Q
12208152,2025-01-28,Oral care compositions containing sodium lauroyl sarcosinate and betaine,0,A61K|A61Q
12203926,2025-01-21,Oral health model for high throughput screen and characterization of oral hygiene products,0,A61K|A61Q|C12N|C12R|G01N|G09B
12201713,2025-01-21,Personal care compositions,0,A61K|A61P|A61Q
12194130,2025-01-14,Oral care compositions and methods for the same,0,A61K|A61Q
12194128,2025-01-14,Cleansing composition comprising a nonionic and cationic surfactant mixture and a cationic antibacterial agent,0,A61K|A61Q
12194124,2025-01-14,Personal care compositions for treating odor causing bacteria and methods for the same,0,A61K|A61Q
12194123,2025-01-14,Oral care compositions,0,A61K|A61Q
12180599,2024-12-31,Electrolysis device,0,A61C|A61K|A61Q|B05B|C01B|C25B
12171850,2024-12-24,Personal care compositions,0,A61K|A61Q|Y02A
12161743,2024-12-10,Chlorhexidine-cyclamate complexes and oral care compositions comprising the same,0,A61K|A61P|A61Q|C07C
12161739,2024-12-10,Peroxymonosulfate toothpowder composition for tenacious stains,0,A61K|A61Q
12151007,2024-11-26,Electrochemical tooth whitening composition and method thereof,0,A61K|A61Q
12133908,2024-11-05,"Personal care composition comprising taurine, arginine, glycine",0,A61K|A61Q
12109442,2024-10-08,Oral care compositions and methods of use,0,A61K|A61Q
12109285,2024-10-08,Zinc phosphate complex for oral care,0,A61K|A61P|A61Q
12102702,2024-10-01,Personal care compositions,0,A61K|A61Q
12097280,2024-09-24,Personal care compositions and methods for the same,0,A61K|A61Q
12097278,2024-09-24,Oral care compositions and methods for the same,0,A61K|A61Q
12092596,2024-09-17,"Methods, devices and systems for quantifying biomarkers",0,G01N
12083212,2024-09-10,Personal care compositions,0,A61K|A61Q
12077824,2024-09-03,Salivary extracellular RNA biomarkers for gingivitis,0,C12Q|G01N
12075797,2024-09-03,Oral care compositions comprising a flavor system,0,A23G|A23V|A61K|A61Q
12070515,2024-08-27,Silicone free emulsion-based personal care compositions and methods for the same,0,A61K|A61Q
12064501,2024-08-20,Personal care compositions,0,A61K|A61Q
12053536,2024-08-06,Oral care compositions,0,A61K|A61Q
12048854,2024-07-30,Oral care compositions,0,A61K|A61P|A61Q
12023404,2024-07-02,Personal care compositions,0,A61K|A61Q
12023402,2024-07-02,Oral care compositions,0,A61K|A61Q
12012338,2024-06-18,Zirconium-based cluster as a dentin tubule occlusion agent,0,A61K|A61Q|B82Y|C01F|C01G|C01P
12005076,2024-06-11,Zinc phosphate complex,0,A61K|A61Q|C01B
11998628,2024-06-04,Personal care compositions,0,A61K|A61Q
11998625,2024-06-04,Oral care compositions,0,A61K|A61Q
11975087,2024-05-07,Sulfate-free personal care compositions and methods for preventing and treating pollution damage to skin,0,A61K|A61Q
11969496,2024-04-30,Non-greasy personal care compositions,0,A61K|A61Q
11963607,2024-04-23,Method of forming an oral care implement,0,A45D|A46B|A61K|A61Q|B29C|B29K
11957778,2024-04-16,Oral care compositions and methods of use,0,A61K|A61Q
11957775,2024-04-16,Personal care formulations,0,A61K|A61P|A61Q
11951196,2024-04-09,Core shell silica particles and use for malodor reduction,2,A61K|A61Q|C01B|C01P|C03C|C09C|C09K
11938212,2024-03-26,Skin care compositions,0,A61K|A61Q
11931443,2024-03-19,Oral care compositions and methods of use,0,A61K|A61Q
11931437,2024-03-19,Silica abrasives with high stannous fluoride compatibility,0,A61K|A61Q|C09K
11918680,2024-03-05,Cleansing compositions,0,A61K|A61Q
11918675,2024-03-05,Oral care compositions,0,A61K|A61Q
11918667,2024-03-05,Zirconium-based cluster as an antiperspirant and deodorant active,0,A61K|A61Q|C01G|C01P|C02F
11904040,2024-02-20,Zinc-amino acid-lauryl sulfate complex with antimicrobial activity,0,A61K|A61Q
11903481,2024-02-20,Plaque detecting device and toothbrush incorporating same,0,A46B|A61B|A61C|G01N
11892435,2024-02-06,"NMR methods for measuring pH in oral care, home care and personal care products",0,G01N|G01R
11890362,2024-02-06,Oral care composition,2,A61K|A61Q
11883514,2024-01-30,Stable low pH personal care compositions and methods for the same,0,A61K|A61Q
11844851,2023-12-19,Stannous salt and sodium tripolyphosphate oral care compositions and methods,0,A61K|A61Q
11826448,2023-11-28,Zinc-arginine-chloride complex,0,A61K|A61Q|C07F
11826447,2023-11-28,Alginate dentifrice compositions and methods of making thereof,0,A61K|A61P|A61Q
11819561,2023-11-21,Oral care compositions,0,A61K|A61Q
11813342,2023-11-14,Oral care compositions and methods of use,1,A61K|A61Q
11806418,2023-11-07,Oral care compositions,0,A61K|A61Q
11806417,2023-11-07,Oral care compositions,0,A61K|A61Q
11806416,2023-11-07,Oral care compositions and methods of use,0,A61K|A61Q|G01N
11806411,2023-11-07,Oral care compositions,1,A61K|A61Q|C03C|C09C
11805788,2023-11-07,Oral care compositions comprising a flavor system,0,A23G|A23V|A61K|A61Q
11800981,2023-10-31,Spectroscopic system and method therefor,0,A61B|G01J|G01N|G02B
11793735,2023-10-24,Aluminum-free antiperspirant / deodorant compositions,0,A61K|A61Q
11786762,2023-10-17,Preservative systems for oral care compositions,0,A61K|A61Q
11779529,2023-10-10,Personal care composition,0,A61K|A61Q
11779526,2023-10-10,Oral care compositions,0,A61K|A61P|A61Q
11753671,2023-09-12,Visualization method for analyzing oral biofilm growth,0,C12Q|G01B|G01N|G02B
11752075,2023-09-12,Oral care compositions,0,A61K|A61Q
11723846,2023-08-15,Oral care compositions and methods,0,A61K|A61Q
11713478,2023-08-01,Compositions and methods for characterizing and diagnosing periodontal disease,0,C12Q|G01N|G16H|Y02A
11701314,2023-07-18,Processes and methods,0,A61K|A61Q
11701312,2023-07-18,Oral care whitening compositions,0,A61K|A61Q
11690833,2023-07-04,Personal care compositions,0,A61K|A61Q|C11D
11690791,2023-07-04,Zinc phosphate complex,0,A61K|A61Q
11667947,2023-06-06,Systems and methods for evaluating the efficacy of anti-pathogenic agents and compositions comprising same,0,C12Q|G06F|G16B
11648298,2023-05-16,Oral care compositions,0,A61K|A61Q|C12N
11648193,2023-05-16,Personal care compositions,0,A61K|A61Q
11648190,2023-05-16,"Toothpastes containing calcium carbonate, xanthan gum and polyacrylic acid polymer",0,A61K|A61Q
11643445,2023-05-09,Porous protein particles as carriers for actives,0,A23G|A23J|A23L|A23V|A61K|A61Q|C07K|C11B|C11D
11642295,2023-05-09,Personal care compositions and methods for improving curl retention in hair,0,A61K|A61Q
11633337,2023-04-25,Oral care compositions and methods for the same,0,A61K|A61Q
11628136,2023-04-18,Oral care compositions comprising at least one phosphate/acrylate copolymer and at least one cationic active ingredient,0,A61K|A61Q
11628128,2023-04-18,Oral care composition,0,A61K|A61Q
11622924,2023-04-11,System and method for making an oral care formulation,0,A46B|A61C|A61K|A61Q
11618957,2023-04-04,Electrolysis device,1,A61C|A61K|A61Q|B05B|C01B|C25B
11612553,2023-03-28,Oral care product and methods of use and manufacture thereof,0,A61K|A61P|A61Q
11607033,2023-03-21,Whitening system,1,A46B|A61C|A61K|A61Q
11602495,2023-03-14,Core shell silica particles and use for malodor reduction,2,A61K|A61Q|C01B|C01P|C03C|C09C|C09K
11596593,2023-03-07,Oral care composition with cross-linked polymer peroxide,0,A61K|A61Q
11583485,2023-02-21,Antiperspirant / deodorant compositions including biodegradable amino carboxylates and methods for the same,0,A61K|A61Q
11573228,2023-02-07,Biomarkers of neutrophil deregulation as diagnostic for gingivitis,0,G01N
11571374,2023-02-07,Oral care product and methods of use and manufacture thereof,0,A61K|A61Q
11547204,2023-01-10,Oral care implement having a release component,0,A46B|A46D|A61C|A61K|A61Q|B29C|B29K|B29L
11540996,2023-01-03,Oral care compositions,1,A61K|A61Q
11540986,2023-01-03,Personal care composition,0,A61K|A61Q
11540980,2023-01-03,Personal care compositions and methods for the same,0,A61K|A61Q
11517512,2022-12-06,Personal care compositions comprising zinc : usnic acid complexes and methods of use,1,A61K|A61P|A61Q|C11D|Y02A
11504312,2022-11-22,Mouthrinse formulations,0,A61K|A61P|A61Q
11497694,2022-11-15,Oral care compositions,0,A61K|A61Q
11490623,2022-11-08,Oral care compositions and methods for anti-attachment polymers and coatings,0,A01N|A61K|A61P|A61Q|C08F|C09D|C11D
11484112,2022-11-01,Method of whitening teeth,0,A46B|A46D|A61C|A61K|A61Q
11471394,2022-10-18,Oral care compositions containing deoxy sugar antimetabolites,0,A61K|A61P|A61Q|C07H
11464718,2022-10-11,Oral care compositions,0,A61K|A61Q
