patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12429418,2025-09-30,Phase-resolved optical metrology for substrates,0,G01N
12422378,2025-09-23,Substrate defect analysis,0,G01N
12422357,2025-09-23,Chamber moisture control using narrow optical filters measuring emission lines,0,G01N
12421601,2025-09-23,Rotary reactor for uniform particle coating with thin films,0,A61K|B01J|C23C
12406837,2025-09-02,Reaction cell for species sensing,0,G01N|H01J
12405164,2025-09-02,Spatial optical emission spectroscopy for etch uniformity,0,G01J|G01N
12394646,2025-08-19,In-chamber low-profile sensor assembly,0,C23C|G01F|G01L|G01N|G01P|H01J|H01L
12387956,2025-08-12,Systems and methods for controlling non-uniformity,0,G01N|H01L
12385803,2025-08-12,Endpoint detection system for enhanced spectral data collection,0,G01B|G01M|G01N|G02B|G03F
12379280,2025-08-05,Method of measuring efficiency for optical devices,0,G01M|G01N|G01S
12368024,2025-07-22,Methods and apparatus for processing a substrate,0,C23C|G01N|H01J
12322659,2025-06-03,Pixel classification of film non-uniformity based on processing of substrate images,0,B24B|G01N|G06T|H01L
12288724,2025-04-29,Region classification of film non-uniformity based on processing of substrate images,0,B24B|G01N|G06T|H01L
12288350,2025-04-29,Image based metrology of surface deformations,0,G01N|G06T
12283503,2025-04-22,Substrate measurement subsystem,1,G01B|G01N|H01L|Y02P
12270752,2025-04-08,EPI self-heating sensor tube as in-situ growth rate sensor,0,C23C|C30B|G01N|H01L
12253476,2025-03-18,Multi-level RF pulse monitoring and RF pulsing parameter optimization at a manufacturing system,0,G01N|G01R|H01J
12236575,2025-02-25,"In-line metrology systems, apparatus, and methods for optical devices",0,G01J|G01M|G01N|G02B|G02F|G06T|H04N
12233169,2025-02-25,Vapor phase coating technology for pharmaceutical abuse deterrent formulations,0,A61K|B82Y|C23C
12229940,2025-02-18,"In-line metrology systems, apparatus, and methods for optical devices",0,G01J|G01M|G01N|G02B|G02F|G06T|H04N
12228534,2025-02-18,Capacitive sensor for monitoring gas concentration,0,C23C|G01N|H01L
12225808,2025-02-11,In-line monitoring of OLED layer thickness and dopant concentration,0,C23C|G01N|H01L|H10K
12220678,2025-02-11,Paddle configuration for a particle coating reactor,0,A61K|B01D|B01J|B05C|B05D|C23C
12216015,2025-02-04,"MEMS resonator sensor substrate for plasma, temperature, stress, or deposition sensing",0,G01L|G01N|H01J|H03H|H05H
12211195,2025-01-28,Edge defect detection via image analytics,0,G01N|G06T
12176188,2024-12-24,Optical spectrum sensor wafer or robot for chamber condition monitoring,0,B08B|B25J|G01J|G01N|H01J
12170849,2024-12-17,Pulsed illumination for fluid inspection,0,B65G|G01N|G06T|H04N
12169163,2024-12-17,Detection of surface particles on chamber components with carbon dioxide,0,G01N
12163911,2024-12-10,Capacitive sensor housing for chamber condition monitoring,0,G01N|H01L
12161759,2024-12-10,Coated drug compositions and methods of preparing the same,0,A61K
12146217,2024-11-19,Particle coating methods and apparatus,0,A61K|B05D|C23C
12140494,2024-11-12,Method to measure light loss of optical films and optical substrates,0,G01M|G01N
12138742,2024-11-12,Methods and apparatus for processing a substrate,0,B24B|G01N
12135296,2024-11-05,Edge inspection of silicon wafers by image stacking,0,G01N|G06T|H01L
12123090,2024-10-22,Differential capacitive sensor for in-situ film thickness and dielectric constant measurement,0,C23C|G01N|H01J
12103135,2024-10-01,Core configuration for in-situ electromagnetic induction monitoring system,0,B24B|G01B|G01N|H01L
12098914,2024-09-24,Surface roughness and emissivity determination,0,G01B|G01J|G01N
12080869,2024-09-03,Web edge metrology,0,C23C|G01B|G01N|H01M|Y02E
12080574,2024-09-03,Low open area and coupon endpoint detection,0,G01J|G01N|H01J|H01L
12077880,2024-09-03,"In-situ film growth rate monitoring apparatus, systems, and methods for substrate processing",0,B01J|B41J|C23C|C30B|G01B|G01N|H01L
12077856,2024-09-03,Reactor for coating particles in stationary chamber with rotating paddles and gas injection,0,A61K|B01F|B01J|C23C
12074073,2024-08-27,Prescriptive analytics in highly collinear response space,0,G01B|G01N|G06N|G06Q|G06T|G11C|H01J|H01L|Y02P
12071685,2024-08-27,Gas injection for de-agglomeration in particle coating reactor,0,A61K|B01F|B01J|C23C
12064522,2024-08-20,Low temperature process for preparing silicon oxide coated pharmaceuticals,0,A61K
12046498,2024-07-23,Method and apparatus for continuous substrate cassette loading,0,B65G|G01N|H01L
12031910,2024-07-09,Transmission corrected plasma emission using in-situ optical reflectometry,0,G01N
12020992,2024-06-25,Methods and apparatus for processing a substrate,0,G01N|H01L
12009235,2024-06-11,In-chamber low-profile sensor assembly,1,C23C|G01F|G01L|G01N|G01P|H01J|H01L
12007334,2024-06-11,Compact apparatus for batch vial inspection,0,G01N
12005446,2024-06-11,High throughput compact microfluidic cell counter,0,B01L|G01N
12005145,2024-06-11,Metal oxide encapsulated drug compositions and methods of preparing the same,0,A61J|A61K|C07K|C23C
12002665,2024-06-04,Real-time detection of particulate matter during deposition chamber manufacturing,0,C23C|G01N|H01J
12000041,2024-06-04,Processing chamber condition and process state monitoring using optical reflector attached to processing chamber liner,0,C23C|G01N|H01J|H01L
11986559,2024-05-21,Method for coating pharmaceutical substrates,0,A61K|A61P|C23C
11965798,2024-04-23,Endpoint detection system for enhanced spectral data collection,0,G01B|G01M|G01N|G02B|G03F
11959868,2024-04-16,Capacitive sensor for monitoring gas concentration,0,C23C|G01N|H01L
11927543,2024-03-12,Multiple reflectometry for measuring etch parameters,0,G01B|G01N|H01L
11927535,2024-03-12,Metrology for OLED manufacturing using photoluminescence spectroscopy,0,G01B|G01N|H10K
11920994,2024-03-05,Surface acoustic wave sensor assembly,0,G01K|G01L|G01N
11908718,2024-02-20,In-situ metrology and process control,0,G01B|G01J|G01N|G05B|H01L
11908716,2024-02-20,Image-based in-situ process monitoring,0,C23C|G01N|H01J|H01L
11901875,2024-02-13,Surface acoustic wave sensor assembly,0,G01N|H03H|H10N
