patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12390455,2025-08-19,EZH1/2 dual inhibitor-containing pharmaceutical composition to be used as a combination drug,0,A61K|A61P|C07K
12378260,2025-08-05,Benzotriazole compound,0,A61K|A61P|C07C|C07D|C07F
12370263,2025-07-29,Cyclic dinucleotide derivative based antibody-drug conjugates,0,A61K|A61P|C07H|C07K
12358999,2025-07-15,Protein recognizing drug moiety of antibody-drug conjugate,0,A61K|A61P|C07K|G01N
12350344,2025-07-08,Methods of treating a tumor by administering a claudin-6 (CLDN6) or CLDN9 antibody-pyrrolobenzodiazepine derivative conjugate,0,A61K|A61P|C07D|C07K
12344674,2025-07-01,Bispecific antibody,0,A61K|A61P|C07K|C12N
12319736,2025-06-03,Combination of antibody-drug conjugate and immune checkpoint inhibitor,0,A61K|A61P|C07K
12312641,2025-05-27,Sensitivity marker for antibody-drug conjugate,0,C07K|C12Q|G01N
12297187,2025-05-13,Compound having cyclic structure,0,A61P|C07B|C07D
12291577,2025-05-06,Anti-MUC1 antibody-drug conjugate,0,A61K|A61P|C07K
12246196,2025-03-11,"Antibody-drug conjugates comprising substituted benzo[e]pyrrolo[1,2-a][1,4]diazepines",0,A61K|A61P|C07D|C07K
12240855,2025-03-04,Pyrrolopyrazole derivative,0,A61P|C07B|C07D
12233155,2025-02-25,Polynucleotides encoding antibodies which bind the EC3 domain of cadherin-6 (CDH6) and possess internalization ability,0,A61K|A61P|C07K|C12N
12220604,2025-02-11,Treatment of metastatic brain tumor by administration of an antibody-drug conjugate,0,A61K|A61P|C07K
12186310,2025-01-07,Antibody-drug conjugate,0,A61K|A61P|C07D|C07K|Y02P
12145987,2024-11-19,Method for depleting cytotoxic T cells using an anti-LAG-3 antibody composition,0,A61K|A61P|C07K|C12N
12138315,2024-11-12,Anti-CD37 antibody-drug conjugate,0,A61K|A61P|C07K|C12N
12129298,2024-10-29,Compositions including CD3 antigen binding fragments and uses thereof,0,A61K|A61P|C07K
12091395,2024-09-17,Griseofulvin compound,0,A61K|A61P|C07D
12083226,2024-09-10,Stabilizer-containing solid drug formulation,0,A61K|A61P
