patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12421251,2025-09-23,Cystic fibrosis transmembrane conductance regulator modulating agents,0,A61P|C07B|C07D
12421249,2025-09-23,Inhibitors of APOL1 and methods of using same,0,A61P|C07D
12385013,2025-08-12,Differentiation of pancreatic endocrine cells,0,A61K|C12N
12384790,2025-08-12,Pteridinone compounds and uses thereof,0,A61P|C07D
12384762,2025-08-12,"Modulator of the Cystic Fibrosis Transmembrane Conductance Regulator, pharmaceutical compositions, methods of treatment, and process for making the modulator",0,A61P|C07B|C07D
12377252,2025-08-05,"Implantation devices, system, and methods",0,A61K|A61M
12371665,2025-07-29,Differentiation of pancreatic endocrine cells,0,A61K|C12N
12350262,2025-07-08,Methods of treatment for cystic fibrosis,0,A61K|A61P
12331334,2025-06-17,Modified urokinase-type plasminogen activator polypeptides and methods of use,0,A61K|C07K|C12N|C12Y
12331057,2025-06-17,Modulators of alpha-1 antitrypsin,0,A61K|A61P|C07B|C07D|C07F|C07H
12324802,2025-06-10,Modulators of cystic fibrosis transmembrane conductance regulator,0,A61K|C07D
12319693,2025-06-03,Crystalline forms of CFTR modulators,0,A61P|C07B|C07D
12304900,2025-05-20,Islet cell manufacturing compositions and methods of use,0,A61K|A61L|A61P|C07D|C07K|C12N
12281057,2025-04-22,Carboxamides as modulators of sodium channels,0,A61K|C07B|C07C|C07D
12269831,2025-04-08,Modulators of cystic fibrosis transmembrane conductance regulator,0,A61K|C07D
12269804,2025-04-08,"Quinoxalinone compounds, compositions, methods, and kits for increasing genome editing efficiency",0,C07D|C12N
12258333,2025-03-25,N-(hydroxyalkyl (hetero)aryl) tetrahydrofuran carboxamides as modulators of sodium channels,0,A61P|C07D
12251387,2025-03-18,"Substituted quinoxalines and benzo[c][1,2,5]oxadiazoles as DNA-PK inhibitors",0,A61K|A61P|C07D
12247021,2025-03-11,Substituted tetrahydrofurans as modulators of sodium channels,0,A61P|C07B|C07D
12215355,2025-02-04,Stem cell derived islet differentiation,0,A61K|A61P|C07K|C12N
12214083,2025-02-04,Pharmaceutical composition and administrations thereof,0,A61K|A61P|C07D
12195453,2025-01-14,Antiproliferation compounds and uses thereof,0,A61P|C07D
12194138,2025-01-14,Devices and methods for delivering therapeutics,0,A61F|A61K|A61L|A61M|C12N
12187731,2025-01-07,Compounds useful as inhibitors of ATR kinase,0,A61P|C07D
12187698,2025-01-07,Crystalline forms of C21H22Cl2N4O2,0,A61K|A61P|C07D
