patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12416037,2025-09-16,Methods for identification of ligand-blocking antibodies and for determining antibody potency,0,C07K|C12Q
12410241,2025-09-09,Human monoclonal antibodies to enterovirus D68,0,A61K|A61P|C07K|G01N|Y02A
12404496,2025-09-02,Bioreactor systems,0,C12M|C12N
12398115,2025-08-26,Chrysophaentin analogs and use thereof,0,A61P|C07C|C07D
12398097,2025-08-26,WDR5-MYC inhibitors,0,A61P|C07C|C07D
12391990,2025-08-19,Determination of magnesium body concentration,0,A61K|C12Q|G16B
12383547,2025-08-12,Methods of treatment for a kidney disease,0,A61K|A61P
12365653,2025-07-22,Small molecule inhibitors of lactate dehydrogenase and methods of use thereof,0,A61K|A61P|C07D
12344608,2025-07-01,Positive modulators of the muscarinic acetylcholine receptor M4,0,A61K|A61P|C07B|C07D
12331133,2025-06-17,Therapeutic antibodies for treating lung cancer,0,A61P|C07K
12331055,2025-06-17,"Substituted pyrimido[1,2-b]pyridazines as positive allosteric modulators of the muscarinic acetylcholine receptor M4",0,A61P|C07D
12329732,2025-06-17,Citrulline for treatment of sickle cell crisis,0,A61K|A61P
12319701,2025-06-03,Antagonists of the muscarinic acetylcholine receptor M4,0,A61P|C07B|C07D
12291521,2025-05-06,"Indazole compounds as mGluR4 allosteric potentiators, compositions, and methods of treating neurological dysfunction",0,A61P|C07D
12280112,2025-04-22,Magnetic delivery system and hydrogel fixative for therapeutic cells,0,A61K|A61L|A61M|C12M|C12N
12276663,2025-04-15,Detection of human leukocyte antigen-A*32:01 in connection with determining drug reaction with eosinophilia and systemic symptoms (DRESS) and methods of treating bacterial infection in a subject with vancomycin-induced DRESS,0,C07K|G01N
12252693,2025-03-18,Plasmids for manipulation of Wolbachia,0,C12N
12247984,2025-03-11,Generation of human allergen- and helminth-specific IgE monoclonal antibodies for diagnostic and therapeutic use,0,A61K|A61P|C07K|G01N
12233127,2025-02-25,Human monoclonal antibodies to a new universal influenza A hemagglutinin head domain epitope,0,A61K|A61P|C07K|C12N|G01N
