patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12422438,2025-09-23,Means and methods for single molecule peptide sequencing,0,C12N|G01N
12419972,2025-09-23,Muscle-specific nucleic acid regulatory elements and methods and use thereof,0,A61K|A61P|C12N
12419844,2025-09-23,Composition for treatment of vitreous disease or disorder,0,A61F|A61K|B82Y
12410225,2025-09-09,Modulation of dendritic cell lineages,0,A61K|A61P|C07K
12410222,2025-09-09,Fusokines involving cytokines with strongly reduced receptor binding affinities,0,A61K|A61P|C07K
12409236,2025-09-09,Liver-specific nucleic acid regulatory elements and methods and use thereof,0,A61K|A61P|C07K|C12N|C12Y
12392714,2025-08-19,Optical alignment compensation system for a gas detection system,0,G01N
12385813,2025-08-12,Electron microscopy grids and high-resolution structural determination methods,0,G01N|H01J
12383628,2025-08-12,Hydrogel-forming composition for controlled release,0,A61K|A61P
12364753,2025-07-22,CD8 binding agents,0,A61K|A61P|C07K|Y02A
12285018,2025-04-29,Plant growth promoting microbial compositions,0,A01N|C12N|C12R
12259361,2025-03-25,System and method for photoacoustic inspection of an object,0,G01N
12251443,2025-03-18,Drug formulations comprising polyoxazolines as matrix excipient,0,A61K|C08G|C08L
12241108,2025-03-04,Genetically engineered eukaryotic cells producing LacNAc-glycoproteins,0,A61K|C07K|C12N|C12P|C12Y
12227550,2025-02-18,Targeted modified TNF family members,0,A61K|A61P|C07K
12226503,2025-02-18,Prebiotic skin care compositions containing carboxylic acids,0,A61K|A61Q
12188941,2025-01-07,Use of bacterial extracellular vesicles as a biomarker for intestinal barrier permeability and microbial dysbiosis,0,C12Q|G01N
12171811,2024-12-24,Compositions for use to treat advanced glycation end products-dependent ocular diseases,0,A61K|A61P|C12N|C12Y
12163138,2024-12-10,Mutant plant cinnamoyl-CoA reductase proteins,0,A01H|C12N|C12Y
12123041,2024-10-22,Method for the production of amino sugar-containing products,0,C12N|C12P|C12Y
12110527,2024-10-08,Production of symmetrical bolaform sophorosides,0,C12N|C12P|C12Y
12105091,2024-10-01,Usages of recombinant extracellular vesicles,0,C07K|C12Q|G01N
12091655,2024-09-17,Method to selectively permeabilize and/or fragmentize cells,0,A61B|A61F|C12M|C12N
12037456,2024-07-16,Poly(2-oxazoline)s and methods for preparing them,0,A61K|A61L|C08G|C08L
12029552,2024-07-09,Direct infrared analysis of post-translational modification of proteins,0,A61B|G01N
12019076,2024-06-25,Means and methods for single molecule peptide sequencing,1,C12N|G01N
11975078,2024-05-07,Muscle-specific nucleic acid regulatory elements and methods and use thereof,1,A61K|A61P|C12N
11964002,2024-04-23,Means and methods for oral protein delivery,0,A23K|A23L|A23V|A61K|A61P|C07K|C12N|C12P
11939586,2024-03-26,Means and methods for improved regeneration,0,C07K|C12N
11920292,2024-03-05,Methods for obtaining colored or chromic substrates,0,C08J|C09B|C09K|D06P|D10B|G01N
11891451,2024-02-06,Glycosylation of variable immunoglobulin domains,0,A61K|C07K
11793878,2023-10-24,Drug formulations comprising polyoxazolines as matrix excipient,0,A61K|C08G|C08L
11786476,2023-10-17,Oral dosage form,0,A61K
11761884,2023-09-19,Photoacoustic transducer,0,G01N
11740229,2023-08-29,Method and system for determining biomarker concentration,0,G01N
11725212,2023-08-15,Polynucleotide shuffling method,0,C12N|C12Q
11713354,2023-08-01,Galectin-10 antibodies,0,A61K|A61P|C07K|G01N
11712484,2023-08-01,Carbon-based particles for vapour bubble generation,0,A61K|A61P|B82Y|C01B|G10K
11702477,2023-07-18,Bi-functional chimeric proteins and uses thereof,0,A61P|C07K|C12N
11661455,2023-05-30,Chimeric protein comprising an interferon alpha 2mutant and a PD-L1 binding moiety,1,A61K|A61P|C07K
11654201,2023-05-23,Liver-specific nucleic acid regulatory elements and methods and use thereof,0,A61K|A61P|C07K|C12N|C12Y
11633440,2023-04-25,Use of microbial communities for human and animal health,0,A23L|A23V|A61K|A61P|C12N|Y02A
11608326,2023-03-21,Synthetic receptors for ionophoric compounds,0,A61P|B01J|C07D
11596658,2023-03-07,Use of microbial communities for human and animal health,0,A23L|A23V|A61K|A61P|C12N|Y02A
11573238,2023-02-07,Means and methods for single molecule peptide sequencing,9,C12N|G01N
11491196,2022-11-08,Use of microbial communities for human and animal health,0,A23L|A23V|A61K|A61P|C12N|Y02A
11478499,2022-10-25,Compositions for use to treat cataract,0,A61K|A61P|C12Y
11475683,2022-10-18,Object classification system and method,0,G01N|G02B|G06N|G06V|H04N
11421209,2022-08-23,Cells producing Fc containing molecules having altered glycosylation patterns and methods and use thereof,0,C07K|C12N|C12P|C12Y
11397186,2022-07-26,Methods for covalently binding a cell surface protein and a ligand,0,G01N
11396532,2022-07-26,Targeted modified TNF family members,0,A61K|A61P|C07K
11384154,2022-07-12,Targeted chimeric proteins and uses thereof,1,A61K|A61P|C07K
11358997,2022-06-14,Fusokines involving cytokines with strongly reduced receptor binding affinities,1,A61K|A61P|C07K
