patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12421252,2025-09-23,Spiro (isobenzofuranazetidine) compounds for the treatment of autoimmune disease,0,A61P|C07D
12421240,2025-09-23,"Hydropyrazino[1,2-d][1,4]diazepine compounds for the treatment of autoimmune disease",0,A61P|C07D
12421229,2025-09-23,"Hydropyrido[1,2-α]pyrazine compounds for the treatment of autoimmune disease",0,A61P|C07D
12421211,2025-09-23,Heterocyclic compounds,0,A61P|C07D|Y02A
12419862,2025-09-23,Use of a cathepsin s inhibitor against the formation of anti-drug antibodies,0,A61K|A61P|C07K
12416631,2025-09-16,Immunoassay-based determination of in-solution binding kinetics,0,G01N
12398203,2025-08-26,Method for producing bispecific antibodies comprising a Y436A Fc-region mutation for improved protein A-binding,0,A61K|A61P|C07K
12391757,2025-08-19,Bispecific antibodies specific for PD1 and TIM3,0,A61K|A61P|C07K
12378315,2025-08-05,Anti-rabbit CD19 antibodies and methods of use,0,C07K|C12N
12372537,2025-07-29,Determination of Parkinson's disease,0,A61P|C07K|G01N
12371748,2025-07-29,Genetic markers for predicting responsiveness to therapy with HDL-raising or HDL mimicking agent,0,A61K|A61P|C12Q
12365687,2025-07-22,Benzodiazepine derivatives as GABA A gamma 1 PAM,0,A61P|C07B|C07D
12360123,2025-07-15,E3 ubiquitin ligase (UBE3A) protein targets,0,C12Q|G01N
12358997,2025-07-15,Bispecific anti-human A-beta/anti-human transferrin receptor antibodies,0,A61K|A61P|C07K
12351791,2025-07-08,Predicting the metabolic condition of a cell culture,0,C12M|C12N|G01N|G06N|G16B
12351575,2025-07-08,6-fused heteroaryldihydropyrimidines for the treatment and prophylaxis of hepatitis B virus infection,0,A61K|A61P|C07D
12350273,2025-07-08,Treatment of SMA,0,A61K|A61P
12345711,2025-07-01,Methods to determine antibody activity in tumor samples,0,A61P|C07K|C12Q|G01N
12344614,2025-07-01,Benzodiazepine derivatives as GABA a GAMMA1 PAM,0,A61K|A61P|C07D
12344613,2025-07-01,EGFR inhibitor for the treatment of cancer,0,A61K|A61P|C07D
12338456,2025-06-24,Method for increasing the specific production rate of eukaryotic cells,0,C12N
12331134,2025-06-17,Trispecific antibodies specific for HER2 and a blood brain barrier receptor and methods of use,0,A61K|A61P|C07K
12331075,2025-06-17,Optimized method for antibody capturing by mixed mode chromatography,0,C07K
