patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12351616,2025-07-08,Peptides and combination of peptides for use in immunotherapy against esophageal cancer and other cancers,0,A61K|A61P|C07K|C12N|C12Q|G01N
12318407,2025-06-03,Peptides displayed by HLA for use in immunotherapy against different types of cancers,0,A61K|A61P|C07K|C12N
12312412,2025-05-27,MAGEB2 binding constructs,0,A61K|A61P|C07K
12297254,2025-05-13,Peptides and combination of peptides for use in immunotherapy against esophageal cancer and other cancers,0,A61K|A61P|C07K|C12N|C12Q|G01N
12297252,2025-05-13,T cell receptors with improved pairing,0,A61K|A61P|C07K|C12N
12297245,2025-05-13,"Peptides and combination of peptides for use in immunotherapy against lung cancer, including NSCLC, SCLC and other cancers",0,A61K|A61P|C07K|C12N|G01N
12295996,2025-05-13,Peptides and combination of peptides for use in immunotherapy against pancreatic cancer and other cancers,0,A61K|A61P|C07K|C12N
12295995,2025-05-13,Peptides and combination of peptides for use in immunotherapy against pancreatic cancer and other cancers,0,A61K|A61P|C07K|C12N
12295994,2025-05-13,Peptides and combination of peptides for use in immunotherapy against pancreatic cancer and other cancers,0,A61K|A61P|C07K|C12N
12290530,2025-05-06,Peptides displayed by HLA for use in immunotherapy against different types of cancers,0,A61K|A61P|C07K|C12N
12285443,2025-04-29,Peptides displayed by HLA for use immunotherapy against different types of cancers,0,A61K|A61P|C07K|C12N
12281146,2025-04-22,"Peptides and combination of peptides for use in immunotherapy against lung cancer, including NSCLC, SCLC and other cancers",0,A61K|A61P|C07K|C12N|G01N
12275776,2025-04-15,Peptides and scaffolds for use in immunotherapy against head and neck squamous cell carcinoma and other cancers,0,A61K|A61P|C07K|C12N
12275775,2025-04-15,Peptides and scaffolds for use in immunotherapy against head and neck squamous cell carcinoma and other cancers,0,A61K|A61P|C07K|C12N
12275768,2025-04-15,"In immunotherapy against lung cancer, including NSCLC, SCLC and other cancers",0,A61K|A61P|C07K|C12N|G01N
12274716,2025-04-15,Peptides displayed by HLA for use immunotherapy against different types of cancers,0,A61K|A61P|C07K|C12N
12269881,2025-04-08,Antigen binding proteins specifically binding MAGE-A,0,A61K|A61P|C07K
12258382,2025-03-25,Peptides and combination of peptides for use in immunotherapy against esophageal cancer and other cancers,0,A61K|A61P|C07K|C12N|C12Q|G01N
12257269,2025-03-25,Peptides displayed by HLA for use in immunotherapy against different types of cancers,0,A61K|A61P|C07K|C12N
12247057,2025-03-11,"Peptides and combination of peptides for use in immunotherapy against lung cancer, including NSCLC, SCLC and other cancers",0,A61K|A61P|C07K|C12N|G01N
12246039,2025-03-11,Peptides displayed by HLA for use in immunotherapy against different types of cancers,0,A61K|A61P|C07K|C12N
12240878,2025-03-04,"Peptides and combination of peptides for use in immunotherapy against lung cancer, including NSCLC, SCLC and other cancers",0,A61K|A61P|C07K|C12N|G01N
12240877,2025-03-04,"Peptides and combination of peptides for use in immunotherapy against lung cancer, including NSCLC, SCLC and other cancers",0,A61K|A61P|C07K|C12N|G01N
12234298,2025-02-25,Immunotherapy against several tumors including neuronal and brain tumors,0,A61K|A61M|A61P|C07K|C12N|G01N|Y02A
12234276,2025-02-25,Uterine cancer treatments,0,A61K|A61P|C07K|C12N|C12Q|G01N
12227556,2025-02-18,Immunotherapy with B*08 restricted peptides and combination of peptides against cancers and related methods,0,A61K|A61P|C07K|C12N
12226467,2025-02-18,Peptides and combination of peptides for use in immunotherapy against various cancers,0,A61K|A61P|C07K|C12N|C12Q|C12Y|G01N|G16B
12226466,2025-02-18,Peptides and combination of peptides for use in immunotherapy against breast cancer and other cancers,0,A61K|A61P|C07K|C12N
12221626,2025-02-11,Peptides and combination of peptides and scaffolds for use in immunotherapy against renal cell carcinoma (RCC) and other cancers,0,A61K|A61P|C07K|C12N|G16B
12221493,2025-02-11,Immunotherapy against several tumors including neuronal and brain tumors,0,A61K|A61M|A61P|C07K|C12N|G01N|Y02A
12221468,2025-02-11,Peptides and scaffolds for use in immunotherapy against head and neck squamous cell carcinoma and other cancers,0,A61K|A61P|C07K|C12N
12221467,2025-02-11,Uterine cancer treatments,0,A61K|A61P|C07K|C12N|C12Q|G01N
12214025,2025-02-04,Peptides and combination of peptides for use in immunotherapy against pancreatic cancer and other cancers,0,A61K|A61P|C07K|C12N
12202878,2025-01-21,Immunotherapy with B*07 restricted peptides and combination of peptides against cancers and related methods,0,A61K|A61P|C07K|C12N|G01N|G16B
12195516,2025-01-14,Immunotherapy with B*07 restricted peptides and combination of peptides against cancers and related methods,0,A61K|A61P|C07K|C12N|G01N|G16B
12195509,2025-01-14,"Peptides and combination of peptides for use in immunotherapy against lung cancer, including NSCLC, SCLC and other cancers",0,A61K|A61P|C07K|C12N|G01N
12195508,2025-01-14,"Peptides and combination of peptides for use in immunotherapy against lung cancer, including NSCLC, SCLC and other cancers",0,A61K|A61P|C07K|C12N|G01N
12195507,2025-01-14,"Peptides and combination of peptides for use in immunotherapy against lung cancer, including NSCLC, SCLC and other cancers",0,A61K|A61P|C07K|C12N|G01N
12195506,2025-01-14,Immunotherapy with A*01 restricted peptides and combination of peptides against cancers and related methods,0,A61K|A61P|C07K|C12N
12193999,2025-01-14,Peptides and combination of peptides for use in immunotherapy against various cancers,0,A61K|A61P|C07K|C12N|C12Q|C12Y|G01N|G16B
12193998,2025-01-14,Peptides and combination of peptides for use in immunotherapy against various cancers,0,A61K|A61P|C07K|C12N|C12Q|C12Y|G01N|G16B
12193997,2025-01-14,Peptides and combination of peptides for use in immunotherapy against various cancers,0,A61K|A61P|C07K|C12N|C12Q|C12Y|G01N|G16B
12188932,2025-01-07,Method for high throughput peptide-MHC affinity screening for TCR ligands,0,A61K|A61P|C07K|G01N
12186277,2025-01-07,Peptides and combination of peptides for use in immunotherapy against various cancers,0,A61K|A61P|C07K|C12N|C12Q|C12Y|G01N|G16B
12186276,2025-01-07,Peptides and combination of peptides for use in immunotherapy against various cancers,0,A61K|A61P|C07K|C12N|C12Q|C12Y|G01N|G16B
12180259,2024-12-31,Peptides and combination of peptides for use in immunotherapy against prostate cancer and other cancers,0,A61K|A61P|C07K|C12N|C12Q|G01N
12180256,2024-12-31,Peptides and combination of peptides and scaffolds thereof for use in immunotherapy against colorectal carcinoma (CRC) and other cancers,0,A61K|A61P|C07K|C12N
12173043,2024-12-24,Peptides and combination of peptides for use in immunotherapy against small cell lung cancer and other cancers,0,A61K|A61P|C07K|C12N|G01N
12171819,2024-12-24,Peptides and combination of peptides for use in immunotherapy against various cancers,0,A61K|A61P|C07K|C12N|C12Q|C12Y|G01N|G16B
