patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12428666,2025-09-30,Compositions and methods related to kethoxal derivatives,0,C07C|C12N|C12Q
12419868,2025-09-23,Compositions and methods for treating and preventing post-cardiopulmonary resuscitation injury,0,A61K|A61P
12416025,2025-09-16,System for the production of methane from CO2,0,C12M|C12P|Y02E
12405247,2025-09-02,Methods and systems for protecting coherence in qubits,0,G01N|G06N
12398192,2025-08-26,Cancer treatment with 237 CAR-T cell based therapeutics recognizing the Tn epitope,0,A61K|A61P|C07K|C12N
12390432,2025-08-19,Methods for treating allan-herndon-dudley syndrome,0,A61K|A61P
12383617,2025-08-12,Compositions and methods concerning immune tolerance,0,A61K|A61P|C07D|C07K|C08F|C08G
12383579,2025-08-12,Materials and methods of using an inhibitor of plasminogen activation to treat anastomotic leak,0,A61K|A61P|C08G
12377103,2025-08-05,Use of bromodomain-containing protein 9 inhibitors to treat and/or prevent uterine leiomyosarcoma,0,A61K
12365714,2025-07-22,Methods and compositions for treating cancer with ECM-affinity peptides linked to cytokines,0,A61K|A61P|C07K
12359242,2025-07-15,Chemical platform assisted proximity capture (CAP-C),0,C07C|C12N|C12Q
12359226,2025-07-15,Methanothermobacter thermautotrophicus strain and variants thereof,0,C12M|C12N|C12P|C12R|G01N|Y02E
12359200,2025-07-15,Methods and compositions for expansion of cell population,0,A61K|C12N
12344643,2025-07-01,Compositions and methods for inhibition of FOXP3,0,A61K|C07K
12324827,2025-06-10,Combination therapy for the treatment of migraines,0,A61K|A61P|C07K
12318475,2025-06-03,Injectable pastes based on oppositely charged polymer/calcium phosphate nanoparticles,0,A61K|A61L
12312392,2025-05-27,Methods and composition involving thermophilic fibronectin type III (FN3) monobodies,0,C07K|C40B|G01N
12310933,2025-05-27,Treatment of demyelinating disorders,0,A61K
12291738,2025-05-06,Methods and/or use of oligonucleotide conjugates for assays and flow cytometry detections,0,C07H|C12Q
12281060,2025-04-22,Remodilins for airway remodeling and organ fibrosis,0,A61K|A61P|C07C|C07D
12280066,2025-04-22,Methods and compositions related to glucocorticoid receptor antagonists and breast cancer,0,A61J|A61K|A61N|A61P
12280038,2025-04-22,L-pag derivatives for treatment of sleep disordered breathing (SDB),0,A61K|A61P|C07C|C07D
12276654,2025-04-15,Chemical probe-dependent evaluation of protein activity and uses thereof,0,A61K|C07K|C12P|C12Q|G01N
12252693,2025-03-18,Plasmids for manipulation of Wolbachia,0,C12N
12240890,2025-03-04,Compositions and methods for treating and/or preventing pathogenic fungal infection and for maintenance of microbiome commensalism,0,A61K|A61P|C07K
12227769,2025-02-18,Methods and compositions for treating negative-sense single-stranded RNA virus,0,A61K|C12N
12216121,2025-02-04,Methods and compositions for spacial and temporal measurement of catalytic activity,0,C07H|G01N
