patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12419902,2025-09-23,Anti-viral and anti-tumoral compounds,0,A61K|A61P|C07K
12391916,2025-08-19,Veto cells generated from memory T cells,0,A61K|A61P|C12N|Y02A
12364662,2025-07-22,Phosphatidylcholine lipid liposomes as boundary lubricants in aqueous media,0,A61K|A61L
12332246,2025-06-17,Quinoline based cyanine dye turn-on fluorescent probes and methods of use thereof,0,C07D|G01N
12331324,2025-06-17,Versatile peroxidases and uses thereof,0,C12N|C12P|C12Y
12331278,2025-06-17,Continuous monitoring of algae crops using minimum optical information,0,C12M|C12Q|G01N
12291578,2025-05-06,Anti-matrix metalloproteinase 7 (MMP-7) inhibitory antibody and uses thereof,0,A61K|A61P|C07K|C12N|C12Q|C12Y|G01N
12286439,2025-04-29,Inhibitors of ERK nuclear translocation,0,A61K|A61P|C07D
12274786,2025-04-15,Surface treatment of contact lens and treatment of ocular discomfort by water soluble polymers and lipids/liposomes,0,A61K|A61P|B65D
12232496,2025-02-25,Methods and system for stimulating root exudation in plants,0,A01G|A01N|A61K|A61Q|C07D|C07J
12172159,2024-12-24,Use of electric field gradients to control gene expression,0,B01L|C12N|C12Q|G01N
12161679,2024-12-10,"Microbiome-based diagnosis, prediction and treatment of relapsing obesity",0,A23L|A23V|A61K|A61P|C12Q
12139522,2024-11-12,T-cells comprising two different chimeric antigen receptors and uses thereof,0,A61K|A61P|C07K|C12N
12133866,2024-11-05,"Anti third party central memory t cells, methods of producing same and use of same in transplantation and disease treatment",0,A61K|A61P|C12N
12129475,2024-10-29,Glycoalkaloid metabolism enyzymes (GAMES) and uses thereof,0,C12N
12116428,2024-10-15,Lipid analogs and liposomes comprising same,0,A61K|A61P|C07F|C08F
12091445,2024-09-17,Methods of purifying antibodies,0,C07K|C11D
12041907,2024-07-23,Cellulose-synthase-like enzymes and uses thereof,0,A01H|C12N|C12Y
12038436,2024-07-16,Diagnosis of autoimmune disease,0,G01N
12031138,2024-07-09,Recombinant microorganisms capable of carbon fixation,0,C07K|C12N|C12Y
11986488,2024-05-21,"Compositions and methods for treating malignant, autoimmune and inflammatory diseases",0,A61K|A61P|C07K
11965885,2024-04-23,"Diagnosis of systemic lupus erythematosus using protein, peptide and oligonucleotide antigens",0,G01N|G16B
11959097,2024-04-16,Methods of generating a synthetic embryo,0,C12N
11957102,2024-04-16,Plant with altered content of steroidal alkaloids,0,A01H|C12N
11944644,2024-04-02,T-cells comprising anti-CD38 and anti-CD138 chimeric antigen receptors and uses thereof,0,A61K|A61P|C07K|C12N
11932887,2024-03-19,"CYP76AD1-beta clade polynucleotides, polypeptides, and uses thereof",0,A23B|A23L|A23V|C07K|C12N|C12P|C12Y|G01N
11932871,2024-03-19,Methods of culturing t cells and uses of same,0,A61K|C07K|C12N
11920164,2024-03-05,Media for culturing naive human pluripotent stem cells,0,C12N
11920162,2024-03-05,Ex-vivo culture system and methods of using same,0,A61K|A61P|C12M|C12N|G01N
11892613,2024-02-06,System and method for generating an image,2,G01N|G02B
11884728,2024-01-30,Reducing systemic regulatory T cell levels or activity for treatment of amyotrophic lateral sclerosis,0,A61K|A61P|C07K
11884727,2024-01-30,Reducing systemic regulatory T cell levels or activity for treatment of amyotrophic lateral sclerosis,0,A61K|A61P|C07K
11883533,2024-01-30,Surface treatment of contact lens and treatment of ocular discomfort by water soluble polymers and lipids/liposomes,1,A61K|A61P|B65D
11873322,2024-01-16,Systems and methods for increasing efficiency of genome editing,0,A61K|C07K|C12N
11865184,2024-01-09,Method of targeting senescent cells,0,A61K|A61P|C07K|C12N
11852634,2023-12-26,Use of AKT phosphorylation as a biomarker for prognosing neurodegenerative diseases and treating same,0,A61K|A61P|C07K|G01N
11846636,2023-12-19,Diagnosis of systemic lupus erythematosus using oligonucleotides antigens,0,A61K|C12Q|G01N
11844827,2023-12-19,Genetically modified anti-third party central memory T cells and use of same in immunotherapy,0,A61K|A61P|C07K|C12N|Y02A
11834678,2023-12-05,Hematopoietic stem cells with improved properties,0,A61K|C07K|C12N
11795440,2023-10-24,Attenuated virus mutated at sites of evolutionarily conserved RNA structure,0,A61K|C12N|G16B|Y02A
11786640,2023-10-17,Method of inducing cardiomyocytes proliferation and treating heart diseases,0,A61K|A61L|A61P|C07K|C12N
11773372,2023-10-03,Veto cells generated from memory T cells,0,A61K|A61P|C12N|Y02A
11732046,2023-08-22,Modified anti-PD-L1 antibody and methods and uses for treating a neurodegenerative disease,0,A61K|A61P|C07K
11684578,2023-06-27,Liposomic drug-delivery vehicles,0,A61K|A61P|C08F
11680263,2023-06-20,"Micro-RNAS and compositions comprising same for the treatment and diagnosis of serotonin-, adrenalin-, noradrenalin-, glutamate-, and corticotropin-releasing hormone- associated medical conditions",0,A61P|C12N|C12Q
11679133,2023-06-20,Methods for differentiating and purifying pancreatic endocrine cells,0,A61K|A61P|C12N
11674938,2023-06-13,Utilization of electronic nose-based analysis of odorants,0,G01N
11643464,2023-05-09,Reducing systemic regulatory T cell levels or activity for treatment of a retinal degeneration disorder,2,A61K|C07K
11639929,2023-05-02,Universal histidine-tag binding compounds and methods of use thereof as fluorescent probes and sensors,1,C07D|G01N
11633358,2023-04-25,Surface treatment by water-soluble polymers and lipids/liposomes,0,A61K|A61P|B65D
11555178,2023-01-17,Genetically modified veto cells and use of same in immunotherapy,1,A01K|A61K|A61P|C07K|C12N|Y02A
11542508,2023-01-03,Isolated polynucleotides and polypeptides and methods of using same for expressing an expression product of interest,0,C07K|C12N
11541008,2023-01-03,Phosphatidylcholine lipid liposomes as boundary lubricants in aqueous media,0,A61K|A61L
11504399,2022-11-22,Combination therapy for a stable and long term engraftment using specific protocols for T/B cell depletion,0,A61K|A61P|C12N
11497776,2022-11-15,Combination therapy for a stable and long term engraftment,0,A61K|A61P|C12N
11492405,2022-11-08,Reducing systemic regulatory t cell levels or activity for treatment of disease and injury of the CNS,2,A61K|A61P|C07K
11485971,2022-11-01,"CRISP-seq, an integrated method for massively parallel single cell RNA-seq and CRISPR pooled screens",0,C07H|C12N|C12Q|C40B
11480568,2022-10-25,Diagnosis of autoimmune diseases,0,G01N
11471504,2022-10-18,Combination therapy for the treatment of cancer,0,A61K|A61P|C07K|C12N
11471430,2022-10-18,Sphingosine analogs and use thereof against bacterial lung infections,0,A61K|A61P|Y02A
11437501,2022-09-06,Device for electric field induced local magnetization,0,B82Y|G01N|G11C|H10D|H10N
11412700,2022-08-16,Plant with altered content of steroidal alkaloids,1,A01H|C12N
11406670,2022-08-09,Methods of generating glial and neuronal cells and use of same for the treatment of medical conditions of the CNS,0,A61K|C12N|G01N
11400156,2022-08-02,Methods of preventing secondary infections,0,A61K|A61P|C07K
11396563,2022-07-26,Lipid analogs and liposomes comprising same,0,A61K|A61P|C07F|C08F
11396012,2022-07-26,Microfluidic device for analyzing gene expression,0,B01J|B01L|C12P|C12Q
11395590,2022-07-26,Multimodal transcranial brain optical imaging,0,A61B|G01N|G16H
11385242,2022-07-12,Peptide combinations for use in the diagnosis of schizophrenia,0,C07K|G01N
11326147,2022-05-10,"Redirected, genetically-engineered T regulatory cells and their use in suppression of autoimmune and inflammatory disease",0,A61K|A61P|C12N
11324777,2022-05-10,"Anti third party central memory T cells, methods of producing same and use of same in transplantation and disease treatment",0,A61K|A61P|C12N
11278555,2022-03-22,Combinational therapies for treatment of cancer comprising a bacteriochlorophyll derivative,0,A61K|A61P
11273178,2022-03-15,Affinity maturated T cell receptors and use thereof,0,A61K|C07K|C12N
11254947,2022-02-22,Truncated forms of atypical CYS HIS rich thioredoxin 4 (ACHT4) capable of inhibiting ACHT4-mediated oxidation of the small subunit of ADP-glucose pyrophosphorylase (APS1),0,C07K|C12N|Y02A
11236352,2022-02-01,Transgenic plants resistant to non-protein amino acids,0,C12N
11230578,2022-01-25,"Peptides and use of same in the treatment of diseases, disorders or conditions associated with a mutant P53",0,A61K|A61P|C07K
11179448,2021-11-23,Genetically modified anti-third party central memory T cells and use of same in immunotherapy,2,A61K|A61P|C07K|C12N|Y02A
11179437,2021-11-23,COP9 signalosome (CSN) complex modulators and uses thereof,0,A61K|A61P|C12N
11167005,2021-11-09,Peptides for treating Sjogren's syndrome,0,A61K|A61P
11111481,2021-09-07,Attenuated virus mutated at sites of evolutionarily conserved RNA structure,1,A61K|C12N|G16B|Y02A
11104910,2021-08-31,Compositions and methods for regulating gene expression for targeted mutagenesis,0,C07K|C12N
11077128,2021-08-03,"Selective inhibitors of Alpha2-containing isoforms of Na,K-ATPase and use thereof for reduction of intraocular pressure",8,A61K|A61P|C07H|C07J
11062794,2021-07-13,Olfactory signature and odorant mixture having the same,0,C11B|G01N|G06F|G16C
11058772,2021-07-13,(Bacterio)chlorophyll photosensitizers for treatment of eye diseases and disorders,0,A61K|A61N|A61P
11047855,2021-06-29,"Diagnosis of systemic lupus erythematosus using protein, peptide and oligonucleotide antigens",3,G01N|G16B
11041928,2021-06-22,Method for preparation of highly polarized nuclear spins containing samples and uses thereof for NMR and MRI,0,A61B|A61K|A61M|G01R
11035858,2021-06-15,Methods of isolating barrel-like proteases and identifying peptides processed thereby,0,C12Q|G01N
11028127,2021-06-08,Peptides capable of reactivating p53 mutants,0,A61K|A61P|C07K
11002735,2021-05-11,Identifying antigen clusters for monitoring a global state of an immune system,1,G01N|G16B
10995141,2021-05-04,Modified anti-PD-L1 antibody and methods and uses for treating a neurodegenerative disease,2,A61K|A61P|C07K
10981989,2021-04-20,Reducing systemic regulatory T cell levels or activity for treatment of disease and injury of the CNS,4,A61K|A61P|C07K
10975373,2021-04-13,"Micro-RNAS and compositions comprising same for the treatment and diagnosis of serotonin-, adrenalin-, noradrenalin-, glutamate-, and corticotropin-releasing hormone-associated medical conditions",1,A61P|C12N|C12Q
10961504,2021-03-30,Veto cells generated from memory T cells,4,A61K|A61P|C12N|Y02A
10961309,2021-03-30,Reducing systemic regulatory T cell levels or activity for treatment of disease and injury of the CNS,2,A61K|A61P|C07K
10940111,2021-03-09,Surface treatment by water-soluble polymers and lipids/liposomes,1,A61K|A61P|B65D
10933124,2021-03-02,Methods of transplantation and disease treatment,3,A61K|A61P|C07K|C12N|Y02A
10933122,2021-03-02,Variants of TACE pro-domain as TNF-A inhibitor and their medical use,0,A61K|A61P|C12N|C12Y|Y02A
10920192,2021-02-16,Isolated naive pluripotent stem cells and methods of generating same,0,A61P|C12N
