patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12390428,2025-08-19,Bupropion and dextromethorphan for reduction of suicide risk in depression patients,0,A61K|A61P
12377091,2025-08-05,Compounds and combinations thereof for treating neurological and psychiatric conditions,0,A61K|A61P
12370154,2025-07-29,Treatment of poor metabolizers of dextromethorphan with a combination of bupropion and dextromethorphan,0,A61K|A61P
12364674,2025-07-22,Compounds and combinations thereof for treating neurological and psychiatric conditions,0,A61K|A61P|G01N
12310961,2025-05-27,Bupropion dosage forms with reduced food and alcohol dosing effects,0,A61K
12263161,2025-04-01,Bupropion dosage forms with reduced food and alcohol dosing effects,0,A61K
12239642,2025-03-04,Bupropion dosage forms with reduced food and alcohol dosing effects,0,A61K
12194036,2025-01-14,Combination of dextromethorphan and bupropion for treating depression,5,A61K
12194006,2025-01-14,Bupropion as a modulator of drug activity,5,A61K|A61P
12194005,2025-01-14,Compounds and combinations thereof for treating neurological and psychiatric conditions,5,A61K|A61P|G01N
12146889,2024-11-19,Compounds and combinations thereof for treating neurological and psychiatric conditions,5,A61K|A61P|G01N
12138260,2024-11-12,Compounds and combinations thereof for treating neurological and psychiatric conditions,5,A61K|A61P
12109178,2024-10-08,Bupropion as a modulator of drug activity,9,A61K|A61P
12042473,2024-07-23,Compounds and combinations thereof for treating neurological and psychiatric conditions,9,A61K|A61P|G01N
12036191,2024-07-16,Treatment of poor metabolizers of dextromethorphan with a combination of bupropion and dextromethorphan,8,A61K|A61P
11986444,2024-05-21,Treatment of poor metabolizers of dextromethorphan with a combination of bupropion and dextromethorphan,11,A61K|A61P
11969421,2024-04-30,Bupropion as a modulator of drug activity,11,A61K|A61P
11925636,2024-03-12,Bupropion dosage forms with reduced food and alcohol dosing effects,17,A61K
11896563,2024-02-13,Bupropion and dextromethorphan for reduction of suicide risk in depression patients,18,A61K|A61P
11883373,2024-01-30,Treatment of depression in certain patient populations,18,A61K|A61P|G01N
11844797,2023-12-19,Combination of dextromethorphan and bupropion for treating depression,20,A61K
11839612,2023-12-12,Compounds and combinations thereof for treating neurological and psychiatric conditions,20,A61K|A61P|G01N
11779579,2023-10-10,Bupropion as a modulator of drug activity,23,A61K|A61P
11752144,2023-09-12,Compounds and combinations thereof for treating neurological and psychiatric conditions,23,A61K|A61P|G01N
11730706,2023-08-22,Treatment of depression in certain patient populations,23,A61K|A61P|G01N
11717518,2023-08-08,Bupropion dosage forms with reduced food and alcohol dosing effects,23,A61K
11654152,2023-05-23,Compositions for oral administration of zoledronic acid or related compounds for treating disease,0,A61K|C07F
11628149,2023-04-18,Bupropion as a modulator of drug activity,27,A61K|A61P
11617747,2023-04-04,Bupropion as a modulator of drug activity,27,A61K|A61P
11617728,2023-04-04,Bupropion as a modulator of drug activity,27,A61K
11596627,2023-03-07,Bupropion as a modulator of drug activity,27,A61K|A61P
11590124,2023-02-28,Bupropion as a modulator of drug activity,28,A61K
11576909,2023-02-14,Bupropion as a modulator of drug activity,28,A61K|A61P
11576877,2023-02-14,Bupropion as modulator of drug activity,28,A61K|A61P
11571417,2023-02-07,Bupropion as a modulator of drug activity,28,A61K
11571399,2023-02-07,Bupropion as a modulator of drug activity,28,A61K|A61P
11541048,2023-01-03,Bupropion as a modulator of drug activity,32,A61K|A61P
11541021,2023-01-03,Bupropion as a modulator of drug activity,32,A61K
11534414,2022-12-27,Bupropion as a modulator of drug activity,32,A61K|A61P
11524008,2022-12-13,Bupropion as a modulator of drug activity,32,A61K|A61P
11524007,2022-12-13,Bupropion as a modulator of drug activity,32,A61K
11517544,2022-12-06,Bupropion as a modulator of drug activity,32,A61K|A61P
11517543,2022-12-06,Bupropion as a modulator of drug activity,32,A61K|A61P
11517542,2022-12-06,Bupropion as a modulator of drug activity,32,A61K|A61P
11510918,2022-11-29,Bupropion as a modulator of drug activity,32,A61K|A61P
11497721,2022-11-15,Bupropion as a modulator of drug activity,33,A61K|A61P
11478468,2022-10-25,Bupropion as a modulator of drug activity,39,A61K
11439636,2022-09-13,Bupropion as a modulator of drug activity,46,A61K
11433067,2022-09-06,Bupropion as a modulator of drug activity,46,A61K|A61P
11426401,2022-08-30,Bupropion as a modulator of drug activity,46,A61K|A61P
11426370,2022-08-30,Bupropion as a modulator of drug activity,46,A61K|A61P
11419867,2022-08-23,Bupropion as a modulator of drug activity,46,A61K|A61P
11382874,2022-07-12,Bupropion as a modulator of drug activity,45,A61K
11364233,2022-06-21,Bupropion as a modulator of drug activity,44,A61K|A61P
11357744,2022-06-14,Bupropion as a modulator of drug activity,42,A61K|A61P
11344544,2022-05-31,Bupropion as a modulator of drug activity,52,A61K|A61P
11311534,2022-04-26,Bupropion as a modulator of drug activity,53,A61K
11298352,2022-04-12,Bupropion as a modulator of drug activity,53,A61K|A61P
11298351,2022-04-12,Bupropion as a modulator of drug activity,53,A61K
11291665,2022-04-05,Bupropion as a modulator of drug activity,51,A61K|A61P
11291638,2022-04-05,Bupropion as a modulator of drug activity,51,A61K|A61P
11285146,2022-03-29,Bupropion as a modulator of drug activity,51,A61K
11285118,2022-03-29,Bupropion as a modulator of drug activity,51,A61K|A61P
11273134,2022-03-15,Bupropion as a modulator of drug activity,51,A61K|A61P
11273133,2022-03-15,Bupropion as a modulator of drug activity,51,A61K
11253492,2022-02-22,Bupropion as a modulator of drug activity,57,A61K|A61P
11253491,2022-02-22,Bupropion as a modulator of drug activity,57,A61K|A61P
11234946,2022-02-01,Bupropion as a modulator of drug activity,57,A61K
11229640,2022-01-25,Combination of dextromethorphan and bupropion for treating depression,66,A61K|A61P
11213521,2022-01-04,Bupropion as a modulator of drug activity,66,A61K|A61P
11207281,2021-12-28,Bupropion as a modulator of drug activity,66,A61K|A61P
11197839,2021-12-14,Bupropion as a modulator of drug activity,67,A61K|A61P
11191739,2021-12-07,Bupropion as a modulator of drug activity,67,A61K|A61P
11185515,2021-11-30,Bupropion as a modulator of drug activity,68,A61K
11147808,2021-10-19,Method of decreasing the fluctuation index of dextromethorphan,64,A61K|A61P
11141416,2021-10-12,Bupropion as a modulator of drug activity,64,A61K|A61P
11141388,2021-10-12,Bupropion as a modulator of drug activity,64,A61K|A61P|Y02A
11123343,2021-09-21,Bupropion as a modulator of drug activity,68,A61K|A61P
11096937,2021-08-24,Bupropion as a modulator of drug activity,65,A61K|A61P
11090300,2021-08-17,Bupropion as a modulator of drug activity,65,A61K
11065248,2021-07-20,Bupropion as a modulator of drug activity,66,A61K
11058648,2021-07-13,Bupropion as a modulator of drug activity,66,A61K|A61P
11020389,2021-06-01,Bupropion as a modulator of drug activity,77,A61K|A61P
11007189,2021-05-18,Bupropion as a modulator of drug activity,78,A61K
10980800,2021-04-20,Bupropion as a modulator of drug activity,81,A61K|A61P
10966974,2021-04-06,Bupropion as a modulator of drug activity,80,A61K
10966942,2021-04-06,Bupropion as a modulator of drug activity,80,A61K
10966941,2021-04-06,Bupropion as a modulator of drug activity,80,A61K
10945973,2021-03-16,Bupropion as a modulator of drug activity,86,A61K
10940124,2021-03-09,Bupropion as a modulator of drug activity,85,A61K|A61P
10933034,2021-03-02,Bupropion as a modulator of drug activity,85,A61K
10925842,2021-02-23,Bupropion as a modulator of drug activity,85,A61K|A61P
