patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12431401,2025-09-30,Semiconductor device,0,H01L
12429497,2025-09-30,Manufacturing method of semiconductor device and test socket for use in the same,0,G01R|H01L
12417303,2025-09-16,Semiconductor device and control method,0,G06F
12417199,2025-09-16,Semiconductor device and control method of the same,0,G06F
12414346,2025-09-09,Manufacturing method of semiconductor device,0,H01L|H10D
12412832,2025-09-09,Semiconductor device,0,H01L
12412823,2025-09-09,Semiconductor device,0,H01L|H02P
12402397,2025-08-26,Semiconductor device,0,H01L|H10D
12402368,2025-08-26,Semiconductor device and method of manufacturing the same,0,H01L|H10D
12402336,2025-08-26,Semiconductor device and method of manufacturing the same,0,H01L|H10D
12394759,2025-08-19,Semiconductor device and circuit device,0,H01L|H02M|H10D
12388804,2025-08-12,Cryptosystem and cryptographic service methods,0,H04L
12382727,2025-08-05,"Semiconductor chip, semiconductor device and manufacturing method of semiconductor device",0,H01L|H10D
12380044,2025-08-05,"Semiconductor device, bus control circuit and bus control method",0,G06F
12380043,2025-08-05,Data transfer device and data transfer method,0,G06F
12375426,2025-07-29,Frame data processing,0,H04L
12375258,2025-07-29,Semiconductor device and control method thereof,0,G06F|H04L
12374647,2025-07-29,Semiconductor device including chip-to-chip bonding,0,H01L|H10D
12362280,2025-07-15,Semiconductor device and method of manufacturing the same,0,H01L|H10D
12360928,2025-07-15,Semiconductor device,0,G06F|G06T
12353343,2025-07-08,Semiconductor device including array of processor elements and method of controlling the same,0,G06F
12346256,2025-07-01,Semiconductor device with hypervisor-based cache management for multi-processor system and control method for the same,0,G06F
12346235,2025-07-01,"Semiconductor chip, debug system, and synchronization method",0,G06F
12342573,2025-06-24,Semiconductor device,0,H01L|H10D
12342557,2025-06-24,Semiconductor device and method of manufacturing the same,0,H01L|H10D
12334410,2025-06-17,Semiconductor device with protective film for reducing aluminum slide in aluminum wiring and manufacturing method thereof,0,H01L
12327606,2025-06-10,Semiconductor device,0,G06F|G11C
12322708,2025-06-03,Semiconductor device,0,H01L|H10D
12322467,2025-06-03,Semiconductor device with current control for standby mode,0,G06F|G11C
12314145,2025-05-27,Semiconductor device and lock step startup control method for semiconductor device,0,G06F
12308356,2025-05-20,Semiconductor device including semiconductor chip having power transistor and temperature sensing diode,0,H01L
12306659,2025-05-20,Semiconductor device,0,G06F|G11C|H02M|H03B|H03K
12293925,2025-05-06,Semiconductor device and method of manufacturing the same,0,H01L
12293162,2025-05-06,"Semiconductor device, data generation methods used for the same, and method of controlling the same",0,G06F|G06N
12289918,2025-04-29,Semiconductor device having integrated turn-on and turn-off resistors and diode,0,H01L|H10D
12288760,2025-04-29,Semiconductor device,0,H01L|H10D
12288467,2025-04-29,Collision avoidance system and vehicle equipped with it,0,G06V|G08G|H04W
12288356,2025-04-29,Systems including bounding box checker for object detection marking,0,G06T
12278198,2025-04-15,Semiconductor device on wiring board having reference potential planes with openings,0,H01L|H01P
12261205,2025-03-25,Semiconductor device,0,H01L|H10D
12248867,2025-03-11,"Data processing device for neural network, method of operating the same, and program",0,G06F|G06N|G06V
12242402,2025-03-04,Communication controller and communication control method,0,G06F|H04L
12237838,2025-02-25,Semiconductor device,0,G06F|H03K
12237254,2025-02-25,Semiconductor device including wiring substrate having multiple signal wirings and multiple insulating layers,0,H01L|H01P
12218044,2025-02-04,Semiconductor device,0,H01L
12212639,2025-01-28,Message handler,0,H04L
12199053,2025-01-14,Electronic device and semiconductor device,0,H01L|H01P
