patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12432908,2025-09-30,Semiconductor structure and method for fabricating same,0,H01L|H10B|H10D
12432903,2025-09-30,Semiconductor structure and method for fabricating same,0,H01L|H10B|H10D
12432900,2025-09-30,Method for forming three-dimensional semiconductor structure and semiconductor structure made thereof,0,H01L|H10B
12431456,2025-09-30,Package structure including a first non-conductive layer having a greater melt viscosity than a second non-conductive layer and method for fabricating the package structure,0,H01L
12431385,2025-09-30,Semiconductor structure and manufacturing method thereof,0,H01L|H10B|H10D
12431363,2025-09-30,Method for fabricating contact structure and contact structure,0,H01L|H10B
12426328,2025-09-23,Semiconductor structure and manufacturing method thereof,0,H01L|H10D
12426282,2025-09-23,"Method of forming capacitor hole, and semiconductor structure",0,H01L|H10D
12426280,2025-09-23,Semiconductor structure with increased number of stacked memory dies and method of manufacturing the same,0,H01L|H10B
12426257,2025-09-23,Semiconductor DRAM device structure and method for forming same,0,H01L|H10B
12426256,2025-09-23,Semiconductor structure including a plurality of semicondcutor pillars and bit line isolation trenches and method for forming same,0,G11C|H01L|H10B
12426241,2025-09-23,"Semiconductor structure and manufacturing method thereof, memory chip and electronic device",0,H01L|H10B
12426235,2025-09-23,Semiconductor structure and method for fabricating the same,0,H01L|H10B
12426233,2025-09-23,Semiconductor device and manufacturing method thereof,0,H01L|H10B|H10D
12424569,2025-09-23,Semiconductor structure and method for manufacturing preparing same,0,H01L
12424555,2025-09-23,Semiconductor structure and semiconductor device,0,H01L|H10B
12424546,2025-09-23,Semiconductor structure and method for forming same,0,H01L|H10D
12424542,2025-09-23,Semiconductor structure and method for manufacturing same,0,H01L|H10B|H10D
12424529,2025-09-23,Semiconductor structure and manufacturing method thereof,0,H01L
12424519,2025-09-23,"Semiconductor structure, method for manufacturing semiconductor structure, and memory",0,H01L
12424505,2025-09-23,Wafer warpage adjustment structure and method for manufacturing the same,0,H01L
12423497,2025-09-23,"Layout repairing method and apparatus, computer device, and storage medium",0,G06F|H01L
12419105,2025-09-16,"Protection ring, method for forming protection ring, and semiconductor structure",0,H01L|H10B|H10D
12419043,2025-09-16,Semiconductor structure and method for manufacturing same,0,H01L|H10B
12417995,2025-09-16,"Chip packaging structure and method for preparing the same, and method for packaging semiconductor structure",0,H01L
12417984,2025-09-16,"Semiconductor structure with an air gap, method for forming same, and stacked structure",0,H01L
12417952,2025-09-16,"Sealing ring, stacked structure, and method for manufacturing sealing ring",0,H01L
12417947,2025-09-16,Metal grinding pretreatment in semiconductor device fabrication method,0,H01L
12417936,2025-09-16,Semiconductor etching apparatus,0,H01J|H01L
12412790,2025-09-09,"Semiconductor structure, memory, and crack testing method",0,G01R|H01L
12412752,2025-09-09,Method for manufacturing gate including boy part and protruding part and gate structure,0,H01L|H10D
12411611,2025-09-09,Method and device for testing memory with instruction signal,0,G06F|G11C
