patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12408030,2025-09-02,Methods and apparatus for supporting device mobility allowing a service subscriber to receive service in multiple networks,0,H04L|H04W
12407743,2025-09-02,System and method for asynchronous user-centric context-based shared viewing of multimedia,0,H04L
12407631,2025-09-02,Methods and apparatus for coordinating data transmission in a communications network,0,H04L|H04W
12402031,2025-08-26,Converged wired and wireless access optimization,0,H04W
12402028,2025-08-26,Hierarchical network with lower-level switched traffic,0,H04W
12401931,2025-08-26,Apparatus and methods for synchronization pattern configuration in an optical network,0,H04J|H04L|H04Q
12395951,2025-08-19,"Methods and apparatus for frequency, phase and time of day synchronization in wireless systems",0,H04W
12395855,2025-08-19,Methods and apparatus for service provision to out-of-coverage apparatus in wireless systems,0,H04W
12395833,2025-08-19,Network address assignment/allocation and use in a multi-operator wireless network environment,0,H04W
12395442,2025-08-19,Setting quality of service (QOS) for a network based on user detection,0,G01J|G01S|H04L
12389433,2025-08-12,Methods and apparatus for managing downlink channels and/or bandwidth in wireless systems,0,H04L|H04W
12389265,2025-08-12,Adapting TCP in SAS-controlled CBRS networks,0,H04L|H04W
12389074,2025-08-12,Generating video on demand (VOD) using network digital video recording (NDVR),0,H04L|H04N
12388707,2025-08-12,Customization of non-configured user equipment,0,G06F|H04L|H04W
12388672,2025-08-12,Cable modem upstream bandwidth allocation,0,H04J|H04L
12388634,2025-08-12,Customer premises equipment access using password-of-the-day,0,H04L
12388574,2025-08-12,Disabling hybrid automatic repeat request (HARQ) acknowledgments for packets for which acknowledgements are supported at network or higher layer,0,H04L|H04W
12388559,2025-08-12,Jamming mitigation in CBRS network,0,H04K|H04W
12388501,2025-08-12,Decode signal compensation in a wireless system,0,H04B|H04W
12382141,2025-08-05,Caller identification for a destination wireless user equipment,0,H04M|H04N
12380547,2025-08-05,Avatar based mitigation of sporadic pixelation in digital video,0,G06T|G06V|G11B
12375737,2025-07-29,System and methods for providing a converged advertisement insertion architecture in a content delivery network,0,H04N
12374116,2025-07-29,Methods and apparatus for using wide area networks to support parking systems,0,G06T|G06V|H04N
12369194,2025-07-22,Use of allocated wireless channels in a wireless network,0,H04L|H04W
12367648,2025-07-22,Optimizing image offloading in edge-assisted augmented reality,0,G06T|G06V
12363603,2025-07-15,Handover methods and apparatus which support use of a cellular link as part of a handover between WiFi access points,0,H04W
12363392,2025-07-15,Requesting emergency services using a set-top box,0,G08B|H04N
12363370,2025-07-15,Media playback synchronization on multiple systems,0,H04N
12362897,2025-07-15,TDD configuration coordination for networks using adjacent bands,0,H04L|H04W
12362819,2025-07-15,"Repeaters, wireless interference management, and beamforming control in a wireless network",0,H04B|H04W
12361028,2025-07-15,Dynamic generation and deployment of a container group specification that matches a taint,0,G06F
12356272,2025-07-08,Signal repeater to cause a handoff in a wireless network,0,H04W
12352588,2025-07-08,Methods and apparatus for optimizing data offloading in electric vehicles,0,G01C|H04W
12349004,2025-07-01,Apparatus and methods for user device buffer management in wireless networks,0,H04L|H04W
12348964,2025-07-01,Network access and management via wireless access profiles,0,H04L|H04W
12348502,2025-07-01,Multi-option authentication portal implementation in a network environment,0,H04L|H04W
12347190,2025-07-01,Efficient offloading of video frame processing tasks in edge-assisted augmented reality,0,G06T|G06V|H04N|H04W
12342220,2025-06-24,System and method for establishing a virtual access point,0,H04W
12342007,2025-06-24,Apparatus and methods for latency reduction in digital content switching operations,0,H04N
12341749,2025-06-24,Proxy address resolution protocol for distributed local area network communications,0,H04L
12339817,2025-06-24,Methods and systems for identifying and correcting anomalies in a data environment,0,G06F
12335937,2025-06-17,Methods and apparatus for system information management in a wireless system,0,H04L|H04W
12335933,2025-06-17,"Shared use of wireless spectrum, channel management, and seamless channel change",0,H04L|H04W
12335225,2025-06-17,Network address port translation using stateless MAC rewrite,0,H04L
12335202,2025-06-17,Methods and apparatus relating to communicating and/or using timing information to facilitate carrier aggregation and/or dual connectivity,0,H04L|H04W
12332340,2025-06-17,System and method for installation of train detection apparatus,0,B61L|G01B|G01S|G06V|H04N
12328475,2025-06-10,Methods and apparatus for dynamic cable network power management,0,H04N|Y02D
12316609,2025-05-27,Accessing cloud environment with zero trust network access,0,H04L
12309886,2025-05-20,Small-cell base station location registration,0,H04M|H04W
12309609,2025-05-20,Configuration management and implementation of wireless networks,0,H04W
12309440,2025-05-20,Optimized ad placement based on automated video analysis and deep metadata extraction,0,G06N|G06Q|H04N
12301377,2025-05-13,Determining service group capacity,0,H04L
12293584,2025-05-06,Methods and apparatus for characterization of digital content,0,G06V|H04N
12279189,2025-04-15,Methods and apparatus for modeling wireless traffic and for using wireless traffic information,0,H04W
12279112,2025-04-15,"Wireless connection information generation, distribution, and use",0,H04L|H04W
12278756,2025-04-15,Dynamic anycast client routing and health management,0,H04L
12277047,2025-04-15,Scalable real-time anomaly detection,0,G06F
12273909,2025-04-08,Methods and apparatus for data traffic prioritization in small-cell wireless systems,0,H04L|H04W
12273657,2025-04-08,Auditing CATV subscriber taps using images,0,B64C|B64U|H04N
12271338,2025-04-08,Data cache mechanism through dual SIM phone,0,G06F|H04W
