patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12432355,2025-09-30,Using combined inter intra prediction in video processing,0,H04N
12432350,2025-09-30,High level syntax for inter prediction with geometric partitioning,0,H04N
12432345,2025-09-30,Boundary strength determination for deblocking filters in video processing,0,H04N
12432074,2025-09-30,"Dynamic loading method and apparatus for signature algorithm, and device and storage medium",0,H04L
12427432,2025-09-30,Game live broadcast interaction method and apparatus,0,A63F|H04N
12425666,2025-09-23,"Recording and push-based streaming method and apparatus, device, and medium",0,H04N
12425589,2025-09-23,Simplified inter prediction with geometric partitioning,0,H04N
12425585,2025-09-23,Classification in adaptive loop filtering,0,H04N
12425578,2025-09-23,Harmonization between different video process mode,0,H04N
12425529,2025-09-23,"Video processing method and apparatus for triggering special effect, electronic device and storage medium",0,G06T|G06V|H04N
12425257,2025-09-23,"Interaction method and apparatus, and electronic device",0,H04L|H04N
12418691,2025-09-16,Video processing method and device,0,H04N
12418662,2025-09-16,"Method, device, and medium for video processing",0,H04N
12418644,2025-09-16,"Method, device, and medium for video processing",0,H04N
12417574,2025-09-16,"Animation processing method and apparatus, electronic device and storage medium",0,G06T
12417358,2025-09-16,"Language representation model system, pre-training method and apparatus, device, and medium",0,G06F
12417064,2025-09-16,"Method, apparatus, and electronic device for controlling display",0,G06F
12413807,2025-09-09,"Video processing method and apparatus, device, and storage medium",0,H04N
12413785,2025-09-09,Signalling of general constraints flag,0,H04N
12413784,2025-09-09,Deblocking signaling in video coding,0,H04N
12413714,2025-09-09,Syntax signaling in sub-block merge mode,0,H04N
12407849,2025-09-02,Cross random access point sample group,0,H04N
12407835,2025-09-02,Interaction between IBC and affine,0,H04N
12407831,2025-09-02,"Method, apparatus, and medium for video processing",0,H04N
12407830,2025-09-02,Video coding using sample string vector,0,H04N
12407829,2025-09-02,Transform coding based on matrix-based intra prediction,0,H04N
12407812,2025-09-02,Deriving reference sample positions in video coding,0,H04N
12405987,2025-09-02,"Annotation data determination method and apparatus, and readable medium and electronic device",0,G06F
12405879,2025-09-02,"Exception handling method and apparatus, device, and storage medium",0,G06F|Y02D
12401859,2025-08-26,"Method, device, terminal equipment and computer-readable storage medium for synchronous display of video information",0,G06F|H04N
12401827,2025-08-26,Signaling for general constraint information in video coding,0,H04N
12401820,2025-08-26,Interaction between merge list construction and other tools,0,H04N
12401797,2025-08-26,Restrictions on motion vector difference,0,H04N
12401757,2025-08-26,"Video generation method, video playing method, video generation device, video playing device, electronic apparatus and computer-readable storage medium",0,G11B|H04N
12399930,2025-08-26,"Information searching method and device, computer equipment and storage medium",0,G06F
12395682,2025-08-19,Palette mode with local dual tree modetype definition,0,H04N
12395671,2025-08-19,Interaction between Intra Block Copy mode and inter prediction tools,0,H04N
12395661,2025-08-19,Signaling of slice types in video pictures headers,0,H04N
12395650,2025-08-19,General constraints information for video coding,0,H04N
12395647,2025-08-19,Condition dependent video block partition,0,H04N
12393628,2025-08-19,"Multimedia content publishing method and apparatus, electronic device, and storage medium",0,G06F|G06N
