patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12432390,2025-09-30,Method and apparatus for video coding,0,H04N
12432378,2025-09-30,On motion compensated picture boundary padding,0,H04N
12432372,2025-09-30,Systems and methods for template matching for adaptive MVD resolution,0,H04N
12432368,2025-09-30,Identification of random access point and picture types,0,H04N
12432367,2025-09-30,Feature-based multi-view representation and coding,0,G06T|H04N
12432357,2025-09-30,Method for alignment across layers in coded video stream,0,H04N
12432348,2025-09-30,Method and apparatus for adaptive multi-hypothesis probability model for arithmetic coding,0,H04N
12432346,2025-09-30,Intra prediction mode derivation for coding blocks,0,H04N
12432340,2025-09-30,Angular intra prediction,0,H04N
12430854,2025-09-30,Methods for providing light 5G AR/MR devices by running AR/MR processing on 5G edge servers/cloud including simplified dynamic scene updates,0,G06T|G06V|H04L|H04N|H04W
12430806,2025-09-30,Base mesh coding by using surface reflection symmetry,0,G06T|H04N
12430805,2025-09-30,Coding of boundary UV2XYZ index for mesh compression,0,G06T|H04N
12425648,2025-09-23,Upsampling of displacement field in mesh compression,0,H04N
12425642,2025-09-23,Zero motion vector in adaptive reordering of merge candidates (ARMC),0,H04N
12425641,2025-09-23,MMVD candidate refinement methods,0,H04N
12425632,2025-09-23,Systems and methods for combining subblock motion compensation and overlapped block motion compensation,0,H04N
12425631,2025-09-23,Adaptive parameter selection for cross-component prediction in image and video compression,0,H04N
12425623,2025-09-23,AMVP-merge mode with SBTMVP,0,H04N
12425621,2025-09-23,Determining applicability of intra block copy in semi-decoupled partitioning,0,H04N
12425616,2025-09-23,Scaled intra reference picture,0,H04N
12425602,2025-09-23,Subblock level temporal motion vector prediction with multiple displacement vector predictors and an offset,0,H04N
12425598,2025-09-23,Cross component sample offset filtering with asymmetric quantizer,0,H04N
12425596,2025-09-23,Systems and methods for dependent quantization based on current dequantization states,0,H04N
12425588,2025-09-23,CCSO with downsampling filters and sample position selection,0,H04N
12425574,2025-09-23,Local illumination compensation for bi-prediction,0,G06T|H04N
12425573,2025-09-23,Intra block copy prediction for overlapped reference block,0,H04N
12425572,2025-09-23,Local illumination compensation,0,H04N
12425570,2025-09-23,Context design for coding and decoding syntax elements in inter prediction modes,0,H04N
12425544,2025-09-23,Session description protocol (SDP) signaling of occlude-free regions in 360 video conferencing,0,H04L|H04N
12425466,2025-09-23,Event-driven provisioning of new edge servers in 5G Media Streaming architecture,0,H04L|H04W
12423878,2025-09-23,Content-adaptive online training method and apparatus for deblocking in block-wise image compression,0,G06N|G06T|H04N
12423874,2025-09-23,Method and apparatus of adaptive sampling for mesh compression by encoders,0,G06T|H04N
12423527,2025-09-23,Variational graph autoencoding for abstract meaning representation coreference resolution,0,G06F|G06N
12423135,2025-09-23,Method and apparatus for switching or updating partial or entire workflow on cloud with continuity in dataflow,0,G06F|H04L
12420182,2025-09-23,Drift control assistance in virtual environment,0,A63F|G06F|G06N
12418682,2025-09-16,Method for padding processing with sub-region partitions in video stream,0,H04N
12418678,2025-09-16,Intra block copy search range,0,H04N
12418670,2025-09-16,Template-matching based merge index reordering for geometric partition mode (GPM),0,H04N
12418669,2025-09-16,Sign coding for one-dimensional transform skip,0,H04N
12418663,2025-09-16,Deblock filtering a chroma block coded in an intra block copy mode,0,H04N
12418659,2025-09-16,Motion vector prediction fusion for subblock-based temporal motion vector prediction (SbTMVP) and temporal motion vector prediction (TMVP),0,H04N
12418656,2025-09-16,Context adaptive interpolation filter,0,H04N
12418651,2025-09-16,CABAC inherited context initialization,0,H04N
12418648,2025-09-16,Signaling of downsampling filters for chroma from luma intra prediction mode,0,H04N
12417603,2025-09-16,Parallel approach to dynamic mesh alignment,0,G06T
12417586,2025-09-16,Method for streaming dynamic 5G AR/MR experience to 5G devices with updatable scenes,0,G06T|G06V|H04L|H04N|H04W
12417556,2025-09-16,Temporal prediction based vertex position compression,0,G06T|H04N
12413779,2025-09-09,Method and apparatus for intra block copy (IntraBC) mode coding with search range restrictions,0,H04N
