patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12431419,2025-09-30,Circuit board,0,H01L|H05K
12429748,2025-09-30,Camera actuator and camera module including same,0,G02B|G03B|H04N
12429664,2025-09-30,Camera module,0,G02B|G03B|H04N
12425709,2025-09-23,Camera actuator,0,G02B|H04N
12422692,2025-09-23,"Lens driving apparatus, camera module and optical device",0,G02B|G03B|H04N
12422643,2025-09-23,Heating device and camera module,0,G02B|G03B|H04N|H05B
12418720,2025-09-16,Camera device,0,G02B|G03B|H04N
12416847,2025-09-16,Reflection module and camera module comprising same,0,G02B|G03B|H04N
12414233,2025-09-09,Circuit board,0,H01L|H05K
12413381,2025-09-09,Wireless communication system,0,H04B|H04L|H04W
12411335,2025-09-09,Camera module,0,G02B|G03B|H04N
12405511,2025-09-02,"Lens driving mechanism, camera module, and optical device",0,G02B|G03B|H04N
12401877,2025-08-26,Camera module with improved mobility and camera apparatus comprising same,0,H04N|H05K
12395718,2025-08-19,Camera actuator and camera device comprising same,0,G02B|G03B|H04N
12393100,2025-08-19,Camera module and optical device comprising same,0,G02B|G03B|H04N
12393099,2025-08-19,Camera module and camera apparatus including same,0,G03B|H04N
12393098,2025-08-19,Camera device,0,G01K|G02B|G03B|H04N
12392984,2025-08-19,"Camera module including liquid lens, and control method thereof",0,G02B|G03B|H04N|H05B
12389529,2025-08-12,Camera module,0,H04N|H05K
12389097,2025-08-12,Camera module having gyro sensor and camera including the same,0,H04N
12389095,2025-08-12,Camera module including an image sensor,0,H04N|H05K
12388967,2025-08-12,"Camera device, dual camera device and triple camera device",0,G01R|G02B|G03B|H04N
12386146,2025-08-12,"Lens driving device, camera module, and portable device",0,G01B|G02B|G03B|H02K|H04N
12386142,2025-08-12,Camera module,0,G02B|G03B|H04N
12382392,2025-08-05,Bluetooth device,0,H04W|Y02D
12382152,2025-08-05,Camera module having a spacer with four plate parts,0,G03B|H04N
12375790,2025-07-29,Camera module including a housing with an adhesion surface,0,H04N|H05K
12374481,2025-07-29,"Lens driving device, camera module, and optical device",0,G02B|G03B|H01F|H04N
12372753,2025-07-29,Imaging lens,0,G02B|G03B|H04N
12372690,2025-07-29,Liquid lens,0,G02B|H04N
12368940,2025-07-22,Camera actuator and camera module comprising same,0,G02B|G03B|H04N
12363416,2025-07-15,Camera module,0,H04N
12363414,2025-07-15,Light-emitting module and camera module,0,F21V|G02B|G03B|H04M|H04N
12363407,2025-07-15,Camera module and optical device,0,H04N
12360436,2025-07-15,"Lens driving apparatus, and camera module and optical device comprising same",0,G02B|G03B|H02K|H04N
12359780,2025-07-15,"Lighting module, lighting device and lamp",0,F21K|F21S|F21Y|H01L|H10H
12353118,2025-07-08,"Lens driving device, camera module and optical device",0,F03G|G02B|G03B|H02K|H04N
12353077,2025-07-08,Light path control member and display apparatus comprising same,0,G02B|G02F|G06F|H10K
12345948,2025-07-01,Camera actuator and camera module including the same,0,G02B|G03B|H02K|H04N
12345945,2025-07-01,"Variable lens driver circuit, communication device comprising same, and method for driving variable lens",0,G02B|G03B|H04N
12345944,2025-07-01,Lens driving device,0,G01S|G02B|G03B|H04N
12342475,2025-06-24,"Substrate unit and substrate assembly, and camera module using same",0,H04N|H05K
12339518,2025-06-24,"Lens driving device, and camera module and optical device including same",0,G02B|G03B|H04N
12339466,2025-06-24,"Lens moving apparatus, camera module and optical appliance including the same",0,G02B|G03B|H02K|H04M|H04N
12335619,2025-06-17,Camera module and optical device including the same capable of performing accurate OIS feedback operation,0,G02B|G03B|H04N
12335592,2025-06-17,Voice coil motor,0,H02K|H04N
12335589,2025-06-17,Substrate for image sensor,0,G02B|H02K|H04N|H05K|H10F
12328504,2025-06-10,Lens moving unit comprising a sensing magnet and a correction magnet,0,G02B|G03B|H04N
12326251,2025-06-10,Lighting module and lighting device comprising same,0,F21S|F21V|H01L|H10H
12324134,2025-06-03,Elastic member and display device comprising same,0,G06F|G09F|H05K|H10K|Y02E
12316930,2025-05-27,Camera module,0,G03B|H04N
12313904,2025-05-27,"Camera actuator, camera module and camera device including same",0,G02B|G03B|H04N
12309480,2025-05-20,Camera module,0,G03B|H04N|H05K
12306525,2025-05-20,Camera actuator,0,G02B|G03B|H04N
12306420,2025-05-20,"Liquid lens, camera module and optical device including the same",0,G02B|G03B|H01B|H04N
12302672,2025-05-13,Lighting device,0,F21S|G02B|H01L|H10H
12302671,2025-05-13,Lighting device,0,F21K|F21S|H01L|H10H
12302506,2025-05-13,"Lens driving device, camera device, and optical apparatus including same",0,G02B|G03B|H04N|H05K
12302009,2025-05-13,Imaging device and imaging method,0,G06N|G06T|H04N
12301972,2025-05-13,Camera module and optical device,0,G03B|H04N
12301967,2025-05-13,Camera module and optical device,0,G03B|H04N
12301966,2025-05-13,Camera module enclosure,0,G03B|H04N
12301965,2025-05-13,Distance measuring camera device,0,G01S|G03B|H04N
12301963,2025-05-13,Camera module and optical device,0,H04N
12300676,2025-05-13,Fingerprint recognition module and electronic device comprising same,0,G06V|H01L
12298657,2025-05-13,Camera actuator and camera device including same,0,G02B|G03B|H04N
12298586,2025-05-13,Camera module including liquid lens,0,G02B|H04N
12298532,2025-05-13,"Lens driving device, camera module and optical apparatus",0,G02B|H04N
12298531,2025-05-13,Camera module,0,G02B|G03B|H04N
12297969,2025-05-13,Lighting module and lighting device comprising same,0,B60Q|F21K|F21S|F21V|F21W|F21Y|H01L|H10H
12296700,2025-05-13,Charging control device for electric vehicle,0,B60L|B60Y|G06F|H02J|Y02T
12294777,2025-05-06,Camera module and camera device comprising same,0,G03B|H04N
12292618,2025-05-06,Camera actuator and camera module comprising same,0,G02B|G03B|H04N
12292185,2025-05-06,"Lighting module, lighting device and lamp",0,F21K|F21V|F21Y|H01L|H10H
12289835,2025-04-29,Substrate module and power module for transformer,0,H01F|H01L|H05K
12284432,2025-04-22,Camera module,0,G03B|H04N|H10F
12282203,2025-04-22,"Lens driving device, camera module, and optical instrument",0,G02B|G03B|H02K|H04N
12282098,2025-04-22,Camera device and depth information extraction method of same,0,G01S|G02B|G06T|H04N
12279031,2025-04-15,Camera module including lens assembly and camera apparatus including same,0,G02B|G03B|H04N
12278502,2025-04-15,Method and apparatus for controlling wireless power transmission,0,H02J|H04L|Y02T
12276862,2025-04-15,"Lens driving device, camera module, and optical device",0,G02B|G03B|H02K|H04N
12276812,2025-04-15,"Dual lens drive device, dual camera module, and optical device",0,G02B|G03B|H01F|H04N
12274000,2025-04-08,"Flexible printed circuit board, COF module, and electronic device comprising the same",0,H01L|H05K
12273998,2025-04-08,Substrate for image sensor,1,G02B|H04N|H05K
12273605,2025-04-08,Image sensor package and camera device comprising same,0,H04N|H05K|H10F
12271051,2025-04-08,Lens assembly driving apparatus and camera module comprising same,0,G02B|G03B|H02K|H04N
12267948,2025-04-01,Camera module and vehicle camera,0,G02B|G03B|H01R|H04N|H05K
12267575,2025-04-01,"Driving device, camera module, and portable terminal device",0,G02B|G03B|H04N
12266745,2025-04-01,Light source device and camera inspection device using same,0,F21V|F21Y|G03B|G11B|H01L|H04N|H10H
12262105,2025-03-25,Camera module,0,H04N|H05K
