patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12432557,2025-09-30,Mobile phone pairing for dynamic spatial activation of communication device,0,G01C|G06K|G06Q|G09G|H04L|H04W|Y04S
12432542,2025-09-30,Voice command with emergency response,0,G06F|G06N|H04M|H04W
12432228,2025-09-30,Providing near-field communication security using smart cyber contract generation for a zero-trust network architecture,0,G06N|H04L
12432220,2025-09-30,Dormant service account disablement system,0,G06F|G06Q|H04L
12432210,2025-09-30,Enhanced security and extended functionality for workstation integration with mainframe operating systems,0,H04L
12432192,2025-09-30,Combined mobile applications,0,H04L
12432052,2025-09-30,System and method for validating an interaction using an agreement key,0,H04L
12431964,2025-09-30,System and method for interaction system resiliency by aggregation with heterogenous communication networks,0,H04B|H04W
12431960,2025-09-30,Alternative device cellular network short wave triangulation system,0,H04B|H04W
12431135,2025-09-30,System and method for cross-domain and cross-linguistic knowledge-reinforced user servicing,0,G06F|G10L|H04L
12431133,2025-09-30,Simulator of production scenarios in a non-production downstream environment,0,G06F|G10L
12430735,2025-09-30,Methods and systems for evaluating buildings,0,G06Q|G06T
12430674,2025-09-30,System and method for implementing intelligent interactions in a metaverse,0,G06Q
12430581,2025-09-30,Machine learning training device,0,G06F|G06N|G06V
12430574,2025-09-30,Apparatus and methods for proactive communication,0,G06N|G06Q|G09B|H04L
12430530,2025-09-30,Registered lower orbit satellite-powered generative artificial intelligence (“AI”)-based lost card tracking and reporting mechanism,0,G06K|G06Q|H04L|H04W
12430514,2025-09-30,System for machine learning based network session interaction,0,G06F|G06N
12430442,2025-09-30,Electronic system for dynamically performing linked evaluation tests to identify faulty code and vulnerabilities in software programs based on efficacy,0,G06F
12430299,2025-09-30,Quantum computing system with secured multi-source cloud application programming interface,0,G06F|G06N
12430175,2025-09-30,Systems and methods for electronically augmenting resource distribution commands and facilitating transfer of resources,0,G06F
12425474,2025-09-23,Message queue routing system,0,G06F|H04L
12425432,2025-09-23,System and method for network intrusion detection using a neural network implemented by a cloud computing system,0,G06N|H04L
12425392,2025-09-23,Voice biometric authentication in a virtual assistant,0,G06F|G10L|H04L
12425359,2025-09-23,Integration of AI-powered conversational messaging with a live agent interaction,0,G06F|H04L|H04M
