patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12432748,2025-09-30,Control channel configuration,0,H04L|H04W
12432427,2025-09-30,Timeline for media content playback,0,H04L|H04N
12432411,2025-09-30,Audio video synchronization,0,H04N
12432410,2025-09-30,Methods and systems for content synchronization,0,G06F|H04N
12432408,2025-09-30,Topical content searching,0,H04N
12432326,2025-09-30,Methods and systems for condition mitigation,0,H04N
12432146,2025-09-30,Methods and apparatuses for handling end-to-end encryption,0,H04L
12431931,2025-09-30,Exposure reporting for wireless communications,0,H04B|H04L|H04W
12430095,2025-09-30,Dynamic network identification,0,G06F|G10H|G10L|H04N|H04W
12425953,2025-09-23,Network admission control,0,H04L|H04W
12425704,2025-09-23,Content synchronization using micro-seeking,0,H04J|H04L|H04N
12425673,2025-09-23,"Systems, methods, and apparatuses for device location",0,H04N
12425668,2025-09-23,Systems and methods for managing access to content assets,0,G06F|H04N
12425615,2025-09-23,"Methods, systems, and apparatuses for content-adaptive multi-layer coding based on neural networks",0,G06T|H04N
12425532,2025-09-23,Network storage device and method,0,G11B|H04L|H04N
12425499,2025-09-23,Load balancing and session persistence in packet networks,0,H04L
12425456,2025-09-23,Custom content insertion,0,H04L|H04N
12425310,2025-09-23,Management of resources for content assets,0,H04L
12425295,2025-09-23,Advertisement of discovered user premises network devices and services,0,H04L
12425126,2025-09-23,Managing upstream transmission in a network,0,H04J|H04L
12423352,2025-09-23,Content archive model,0,G06F|H04N
12423351,2025-09-23,Error detection and correction for audio cache,0,G06F|G10L
12418882,2025-09-16,Wireless communications for network access configuration,0,H04W|Y02D
12418661,2025-09-16,Methods and systems for providing variable bitrate content,0,H04N
12418531,2025-09-16,Systems and methods for on-network device identification,0,H04L
12418388,2025-09-16,Transmitting signals using directional diversity over a network,0,H04B|H04L|H04N
12417687,2025-09-16,Automatic presence simulator for security systems,0,G05B|G06F|G08B|H04R
12414202,2025-09-09,Methods and systems for switching between service provider networks,0,H04W
12414177,2025-09-09,Multiple access,0,H04W
12414044,2025-09-09,Dynamic signaling for energy saving in wireless communications,0,H04L|H04W|Y02D
12414025,2025-09-09,Handover procedure using resource status information,0,H04W
12414017,2025-09-09,Connection failure information for packet duplication,0,H04W
12413820,2025-09-09,Video delivery,0,G06F|G06T|H04L|H04N
12413816,2025-09-09,Trick play of content output,0,H04N
12413812,2025-09-09,Viewer reaction detection and content control,0,H04N
12413740,2025-09-09,Systems and methods for compressing video,0,H04N
12413566,2025-09-09,Systems and methods for network privacy,0,H04L
12412466,2025-09-09,Building security system,0,G08B|H04N
12407905,2025-09-02,Policy based transcoding,0,H04L|H04N
12407893,2025-09-02,Supplemental services interface,0,G06F|H04N
12407879,2025-09-02,Cache management in a video content distribution network,0,G06F|H04N
12407846,2025-09-02,Seamless content encoding and transmission,0,H04N
12407433,2025-09-02,Sidelink congestion control,0,H04B|H04L|H04W
12406001,2025-09-02,"Systems, methods, and apparatuses for audience metric determination",0,G06F|G06Q|H04H|H04N
12401866,2025-08-26,Video management,0,G11B|H04N
12401841,2025-08-26,Systems and methods for improving video playback quality,0,H04N
12401787,2025-08-26,Method and apparatus for encoding or decoding interlaced blocks of video,0,H04N
12401764,2025-08-26,Program segmentation of linear transmission,0,H04N
12401606,2025-08-26,Remote latency adjustment,0,H04L
12401536,2025-08-26,Ethernet type packet data unit session communications,0,H04L|H04M|H04W
12401466,2025-08-26,Uplink control information transmission in a wireless network,0,H04B|H04L|H04W
12400665,2025-08-26,Verification of user identity for voice enabled devices,0,G06F|G10L
12400034,2025-08-26,Preserving user privacy in captured content,0,G06F|G06V
12395996,2025-08-19,Control channel repetition using multiple coresets,0,H04L|H04W
12395968,2025-08-19,Random access procedures using multiple active bandwidth parts,0,H04L|H04W|Y02D
12395937,2025-08-19,Activation and deactivation of power saving operation,0,G06F|H04W|Y02D
12395931,2025-08-19,Power saving operations for communication systems,0,H04L|H04W|Y02D
12395693,2025-08-19,Removal of a mobile device from a local service domain,0,H04N
12395494,2025-08-19,Network interference control for wireless transmission,0,H04L
12395466,2025-08-19,Cloud interface for use of cloud services,0,H04L
12395370,2025-08-19,Methods and systems for communication,0,H04L
12389425,2025-08-12,Configured grant and dynamic grant transmission,0,H04L|H04W
12389317,2025-08-12,Methods and systems for selection of optimal access points,0,H04W
12389314,2025-08-12,Vehicle wireless device discovery,0,H04L|H04W
12389195,2025-08-12,System and method for energy efficient geofencing implementation and management,0,H04L|H04W|Y02D
12389057,2025-08-12,Systems and methods for predictive content delivery,0,H04N
12388904,2025-08-12,Joining ongoing communications,0,H04L
12388725,2025-08-12,Resource measurement and management,0,G06Q|H04L|H04N
12388614,2025-08-12,Secondary cell management in wireless communications,0,H04L|H04W|Y02D
12382539,2025-08-05,Uplink and downlink synchronization procedures,0,H04B|H04W
12382119,2025-08-05,Synchronizing program presentation,0,G06F|H04H|H04N
12381700,2025-08-05,Wireless resource switching,0,H04L|H04W
12380458,2025-08-05,Remotely configuring content,0,G06Q|H04N
12379824,2025-08-05,Electronic information hierarchy,0,G06F
12375880,2025-07-29,Methods and systems for determining signal leaks in a network,0,H04B|H04L|H04W
12375741,2025-07-29,Method and systems for creating viewing impressions during trick play operations,0,H04N
12375667,2025-07-29,Processing video using masking windows,0,H04N
12374113,2025-07-29,"Systems, methods, and devices for determining an introduction portion in a video program",0,G06N|G06V|H04N
12373861,2025-07-29,Methods and systems for content management,0,G06Q|H04W
12373482,2025-07-29,Content analysis to enhance search,0,G06F|G06Q|G10L
12369219,2025-07-22,Reselection of transmission configuration,0,H04W
12369102,2025-07-22,SSID broadcast management to support priority of broadcast,0,H04W
12368905,2025-07-22,Secondary content delivery,0,H04N
12368859,2025-07-22,Video compression using block vector predictor refinement,0,H04N
12366919,2025-07-22,Method and apparatus for thought password brain computer interface,0,G06F|G06N
12363386,2025-07-15,Content event messaging,0,H04N
12363382,2025-07-15,Performing trick plays of segmented video content,0,H04N
12363378,2025-07-15,Systems and methods for providing contextually relevant information,0,G06V|H04N
12363374,2025-07-15,Device analysis for supplemental content exposure,0,H04N
12363071,2025-07-15,Dynamic firewall configuration,0,H04L
12363067,2025-07-15,Localization for domain name resolution,0,H04L
12361062,2025-07-15,Selecting and sharing content,0,G06F|H04L|H04N
12361049,2025-07-15,Dynamic content recommendations,0,G06F
12361020,2025-07-15,Distributed data access control,0,G06F
12356404,2025-07-08,Carrier grouping in multicarrier wireless networks,0,H04L|H04W
12356351,2025-07-08,Time allocation for network transmission,0,H04L|H04W
12356336,2025-07-08,Signal transmission power adjustment in a wireless device,0,H04B|H04J|H04L|H04W|Y02B|Y02D
12356034,2025-07-08,Methods and systems for managing content quality in a storage medium,0,H04N
12355781,2025-07-08,Method of authenticating a caller,0,G06Q|H04L
12355778,2025-07-08,Systems and methods for managing access control,0,H04L
12355614,2025-07-08,Failure recovery and beam selection in wireless communications,0,H04B|H04L|H04W
12353470,2025-07-08,Efficient data distribution to multiple devices,0,G06F
12349203,2025-07-01,Access procedures in wireless communications,0,H04W
12349187,2025-07-01,Resource selection for signal transmission,0,H04B|H04L|H04W
12348894,2025-07-01,Data segment service,0,H04N
12348396,2025-07-01,Connection manager,0,H04L
12348339,2025-07-01,Reduced-complexity internet of things sensor,0,G01D|H03D|H04B|H04L|H04W|Y02D
12346932,2025-07-01,Collection analysis and use of viewer behavior,0,G06F|G06Q|H04L|H04W
12342053,2025-06-24,Hybrid content scheduler,0,H04N
12342052,2025-06-24,Selective modification of content output to enhance user experience,0,H04N
12342036,2025-06-24,Caching media in a media fling system,0,H04L|H04N
12342008,2025-06-24,Addressable content item insertion,0,G06Q|G11B|H04N
12341806,2025-06-24,Secure notification on networked devices,0,G06F|H04L|H04N
12341719,2025-06-24,Beam failure recovery request transmission,0,H04B|H04L|H04W
12340811,2025-06-24,Voice-enabled screen reader,0,G06F|G09B|G10L|H04L|H04M|H04N
12340523,2025-06-24,Relevant motion detection in video,0,G06N|G06T
12340390,2025-06-24,Architecture and method for aggregating and interacting with multiple third-party applications,0,G06Q|H04L
12340025,2025-06-24,"Systems, methods, and apparatuses for execution of gesture commands",0,F24F|G06F|G06V
12335992,2025-06-17,Optimizing resources in data transmission,0,H04W
12335975,2025-06-17,Beam failure recovery procedures using bandwidth parts,0,H01M|H04B|H04W|Y02E
12335967,2025-06-17,Termination of small data transmission,0,H04W
12335928,2025-06-17,Uplink signal starting position in a wireless device and wireless network,0,H04W
12335798,2025-06-17,Beamforming in wireless communications,0,H04B|H04J|H04L|H04W
12335581,2025-06-17,Audio improvement using closed caption data,0,G10L|H04N|H04R
12335549,2025-06-17,"Systems, methods, and apparatuses for improved content storage playback",0,H04N
12335538,2025-06-17,"Systems, methods, and apparatuses for processing video",0,H04N
12335535,2025-06-17,Pixel filtering for content,0,G06T|H04N
12335488,2025-06-17,Content-aware predictive bitrate ladder,0,H04L|H04N
12335357,2025-06-17,Method for resolving delivery path unavailability,0,H04L|H04N
12335033,2025-06-17,Server selected variable bitrate streaming,0,H04L|H04W
12328480,2025-06-10,Crowdsourcing supplemental content,0,G06F|H04N
12328464,2025-06-10,Managing concurrent content playback,0,G06F|H04N
12328353,2025-06-10,Method and apparatus for mobile device as temporary content origin,0,H04L|H04N
12326884,2025-06-10,Methods and systems for modifying a search result,0,G06F
12323799,2025-06-03,Cognitive roaming support,0,H04W
