patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12424933,2025-09-23,Power consumption control of an electronic system and apparatus for controlling the power consumption,0,G06F|H02M
12423410,2025-09-23,Data processing system with secure memory sharing,0,G06F
12423262,2025-09-23,Repeater generated forced resume for hosts with an EUSB repeater,0,G06F|H04B
12415305,2025-09-16,Conduit inserts for encapsulant compound formulation kneading and encapsulation back-end assembly processes,0,B29C|H01L
12413187,2025-09-09,Doherty amplifiers,0,H01L|H03F
12406949,2025-09-02,Semiconductor device with RF interposer and method therefor,0,H01L|H01Q
12406911,2025-09-02,Semiconductor device with embedded battery and method therefor,0,B81B|B81C|H01L|H02J
12406896,2025-09-02,Semiconductor device package having thermal dissipation feature and method therefor,0,H01L|H05K
12406716,2025-09-02,Refresh operations in embedded dynamic random access memories (DRAMs),0,G06F|G11C
12401552,2025-08-26,Interference cancellation in a multi-radio system and apparatus for cancellation,0,H04B|H04L
12399766,2025-08-26,Central processing unit system and method with improved self-checking,0,G06F
12386776,2025-08-12,Enhanced serial peripheral interface,0,G06F
12381164,2025-08-05,Semiconductor device with enclosed cavity and method therefor,0,H01L|H01P|H01Q
12369380,2025-07-22,Transistor with dielectric spacers and field plate and method of fabrication therefor,0,H01L|H10D
12363771,2025-07-15,"Device, system, and method for multi-link tunneled direct link setup (TDLS) setup",0,H04W
12362795,2025-07-15,Bi-dimensional steering matrix alignment at beamformer,0,H04B|H04L
12362294,2025-07-15,Wafer with semiconductor devices and integrated electrostatic discharge protection,0,H01L|H10D
12355689,2025-07-08,"Device, system, and method for power spectrum density (PSD) limited transmissions",0,H04B|H04L|H04W
12355503,2025-07-08,Calibration apparatus for a communication system,0,H04B|H04L
12349433,2025-07-01,Transistors with self-aligned source-connected field plates,0,H01L|H10D
12348191,2025-07-01,Combiner circuit for Doherty power amplifier and related method of operation for achieving enhanced radio frequency and video bandwidth,0,H01L|H03F
12347753,2025-07-01,Semiconductor device having galvanic isolation and method therefor,0,H01L
12347740,2025-07-01,Power amplifier module with transistor dies for multiple amplifier stages on a same heat dissipation structure,0,H01L|H03F|H05K
12341089,2025-06-24,Device package substrate structure and method therefor,0,H01L
12335075,2025-06-17,Method and apparatus for communications,0,H04L|H04W
12335005,2025-06-17,Beamforming feedback reduction in wifi,0,H04B|H04L|H04W
12334938,2025-06-17,Digital frequency synthesizer,0,G06F|H03L
12334416,2025-06-17,Through substrate via (TSV) validation structure for an integrated circuit and method to form the TSV validation structure,0,G01R|H01L|H10D
12332724,2025-06-17,Processing wakeup requests in a processing system having power management circuitry and a processing circuitry,0,G06F
12328883,2025-06-10,Polycrystalline semiconductor resistor,0,H01L|H10D
12328107,2025-06-10,Packaged power amplifier device with air cavity over die,0,H01L|H03F
12327805,2025-06-10,Packaged power amplifier device,0,H01L|H03F
12327778,2025-06-10,Transistor die with primary and ancillary transistor elements,0,H01L|H10D
12326474,2025-06-10,"Multi-partition, multi-domain system-on-chip joint test action group (JTAG) debug control architecture and method",0,G01R|G06F
12322719,2025-06-03,Semiconductor device structure and method therefor,0,H01L
12321232,2025-06-03,Memory controller which implements partial writes with error signaling,0,G06F
12306652,2025-05-20,System on a chip (SoC) having a low power mode of operation,0,G05F|G06F|H03K
12300586,2025-05-13,Leadless semiconductor package with internal gull wing lead structures,0,H01L
12293008,2025-05-06,Security device,0,B42D|G06F|G06K|G07D
12288927,2025-04-29,Semiconductor device with low loss waveguide interface and method therefor,0,H01L|H01Q
12288766,2025-04-29,Semiconductor device with open cavity and method therefor,0,H01L
12287752,2025-04-29,Methods and systems for serial control with interleaved register mapping,0,G06F
12278642,2025-04-15,Clock synchronization,0,G06F|H03L|H04W
12273133,2025-04-08,Frequency multiplier based capacitive galvanically isolated communication link,0,H04B|H04L
12271331,2025-04-08,ID-based transaction routing for PCIe endpoint lending,0,G06F
12271260,2025-04-08,Method to retrieve transaction address resulting in an uncorrectable PCIe error,0,G06F
12266713,2025-04-01,Transistor with dielectric spacers and method of fabrication therefor,0,H01L|H10D
12265776,2025-04-01,Identifying test coverage gaps for integrated circuit designs based on node testability and physical design data,0,G01R|G06F
12259764,2025-03-25,Architecture for managing asynchronous resets in a system-on-a-chip,0,G06F|H03K
12250711,2025-03-11,High priority medium access,0,H04W
12250043,2025-03-11,Apparatus and methods for multi-AP joint transmission and reception,0,H04B|H04W
12245226,2025-03-04,"Trigger frame arranged to solicit transmission of distributed resource units, and methods for generating the trigger frame",0,H04L|H04W
12244331,2025-03-04,Differential input receiver circuit testing with a loopback circuit,0,G01R|H03F|H04B|H04L
12243842,2025-03-04,Semiconductor device with open cavity and method therefor,1,H01L|H01R
12242331,2025-03-04,Method and apparatus for determining controller area network (CAN) bus loading,0,G06F|H04L
12237257,2025-02-25,Compact transistor utilizing shield structure arrangement,0,H01L|H10D
12231105,2025-02-18,Switchable termination resistance circuit,0,H03F|H03H|H04L
12229071,2025-02-18,eUSB repeater for passing repeating mode packets between a differential bus and a single-ended bus,0,G06F
12228670,2025-02-18,"Communication unit, integrated circuits and method for clock and data synchronization",0,G01S|G06F|H03L|H03M|H04L
12224713,2025-02-11,Multiple-stage Doherty power amplifiers implemented with multiple semiconductor technologies,0,H01L|H03F
12213076,2025-01-28,"Device, system, and method for transmissions during a restricted target wake time (rTWT) service period (SP)",0,H04W|Y02D
12211759,2025-01-28,Circuit die with isolation test structure,1,H01L
12210615,2025-01-28,System on chip with pre-exemption interrupts for partition execution control,0,G06F
12210404,2025-01-28,Lockup detection circuit for an eUSB repeater,0,G06F
12207329,2025-01-21,Multi-link device (MLD) association,0,H04W
12207241,2025-01-21,Wireless communications device,0,H04W
12206533,2025-01-21,Non-long range preamble design for long range wireless packet and methods for processing the preamble,0,H04L
12203992,2025-01-21,Transceiver for transmitting and receiving signals and method for the transceiver,0,G01R|H04B|H04L
12203774,2025-01-21,Trim circuit and method of oscillator drive circuit phase calibration,0,B81B|G01C|H03B|H03L|H04L
12199064,2025-01-14,Substrate pad and die pillar design modifications to enable extreme fine pitch flip chip (FC) joints,0,H01L
12192988,2025-01-07,"Device, system, and method for multi-link operations",0,H04W
12189567,2025-01-07,Methods and systems for lightweight multiprotocol gateway and bridge,0,G06F
12184237,2024-12-31,Surface-mount amplifier devices,0,H01L|H03F|H05K
12182231,2024-12-31,Control channel architecture,0,G06F|H04L
12176307,2024-12-24,Waveguide launcher in package based on high dielectric constant carrier,0,H01L
12175283,2024-12-24,Hardware-accelerated computing system,0,G06F
12170984,2024-12-17,Wireless communications device,0,H04W
12170254,2024-12-17,Transistor with integrated short circuit protection,0,H01L|H03K|H10D
12166901,2024-12-10,Lightweight fault countermeasure for stateful hash-based cryptography,0,H04L
12166455,2024-12-10,Power amplifier with a power transistor and an electrostatic discharge protection circuit on separate substrates,0,H01L|H03F|H10D
12164348,2024-12-10,Capturing of on-chip resets in an integrated circuit,0,G06F
12160395,2024-12-03,Pilot design for distributed resource units,0,H04B|H04L
12160329,2024-12-03,Method and apparatus for wireless communications,0,H04B|H04L|H04W
12159845,2024-12-03,Transistor with integrated passive components,0,H01L|H10D
12155354,2024-11-26,Power transistor devices and amplifiers with input-side harmonic termination circuits,0,H01L|H03F
12153534,2024-11-26,Communications device,0,G06F
12132099,2024-10-29,LDMOS transistor with implant alignment spacers,0,H01L|H10D
12127254,2024-10-22,Method and apparatus for multi-link communications,0,H04W
12127119,2024-10-22,TWT management and management frames for multi-link devices,0,H04W
12126595,2024-10-22,Hardware firewalls with adaptive deny-by-default (DBD) access control,0,G06F|H04L
12125716,2024-10-22,Semiconductor device packaging warpage control,0,H01L
12124720,2024-10-22,Memory configuration within a data processing system,0,G06F
12124328,2024-10-22,Data processing system having a memory controller with inline error correction code (ECC) support,0,G06F
12124309,2024-10-22,Fault detection during entry to or exit from low power mode,1,G06F
12120760,2024-10-15,Multi-link device (MLD) setup and multi-link operation (MLO),2,H04W
12120206,2024-10-15,Encoding parameters for a wireless communication system,0,H04L|H04W
12119316,2024-10-15,Patterned and planarized under-bump metallization,0,H01L
12119300,2024-10-15,Transistor circuits with shielded reference transistors,0,H01L|H03F|H03K|H10D
12114383,2024-10-08,Apparatus and method for multi-link communications,0,H04W
12114259,2024-10-08,Access point and station multi-link device operation,0,H04W|Y02D
12101412,2024-09-24,Lightweight fault detection mechanism for streaming of cryptographic data objects,0,H04L
12095520,2024-09-17,Bidirectional bypass mode,1,G06F|H03K|H04B
12094801,2024-09-17,Thick-silver layer interface,0,H01L
12092496,2024-09-17,Capacitive sensing,0,G01D|G06F
12088255,2024-09-10,Doherty amplifiers and amplifier modules with shunt inductor and capacitor circuit for improved carrier harmonic loading,0,H01L|H03F
12087671,2024-09-10,Overmolded microelectronic packages containing knurled flanges and methods for the production thereof,0,H01L
12079710,2024-09-03,Scalable neural network accelerator architecture,0,G06F|G06N
12073221,2024-08-27,Context switching method and system for swapping contexts between register sets based on thread halt,0,G06F
12072825,2024-08-27,Detector circuit for start signaling in an eUSB repeater,0,G06F
12068902,2024-08-20,EHT capability design for PPE threshold,0,H04L|H04W
