patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12430245,2025-09-30,Data reduction in a cloud-based storage system,0,G06F
12430217,2025-09-30,Distributed system dual class of service,0,G06F
12430213,2025-09-30,Recovering data in a virtual storage system,0,G06F
12430059,2025-09-30,Tuning storage devices,0,G06F|G06N
12430053,2025-09-30,Data block allocation for storage system,0,G06F
12430047,2025-09-30,Maintaining control information for storage devices,0,G06F
12430044,2025-09-30,Preserving data in a storage system operating in a reduced power mode,0,G06F
12422984,2025-09-23,Automated elastic resource management of a container system by a distributed storage system,0,G06F
12411962,2025-09-09,Managed run-time environment-based detection of a ransomware attack,0,G06F
12411867,2025-09-09,Providing application-side infrastructure to control cross-region replicated object stores,0,G06F|H04L
12411812,2025-09-09,Provisioning file system resources in cloud environments,0,G06F
12411739,2025-09-09,Initiating recovery actions when a dataset ceases to be synchronously replicated across a set of storage systems,0,G06F
12411736,2025-09-09,Data reconstruction in a storage network and methods for use therewith,0,G06F|H04L|H04W
12411735,2025-09-09,Using intra-block redundancy calculations,0,G06F
12411733,2025-09-09,Generating multiple sets of integrity information in a vast storage system,0,G06F|H03M
12411684,2025-09-09,Attribute model-based compliance monitoring of data stored in a storage system,0,G06F
12411629,2025-09-09,Virtual volume-based replication,0,G06F
12405742,2025-09-02,Optimized read request processing for relocated data,0,G06F|G11C
12405735,2025-09-02,Configuring storage systems based on storage utilization patterns,0,G06F|H04L
12400042,2025-08-26,Optimizing I/O operations for compressed data,0,G06F|H04L
12399908,2025-08-26,Multi-cluster database deployment,0,G06F
12399869,2025-08-26,Replicating a file system,0,G06F
12399825,2025-08-26,Identifying duplicate data based on recently read data,0,G06F
12399640,2025-08-26,Migrating similar data to a single data reduction pool,0,G06F
12394477,2025-08-19,Page write requirements for a distributed storage system,0,G06F|G11C
12393485,2025-08-19,Recover corrupted data through speculative bitflip and cross-validation,0,G06F
12393353,2025-08-19,Storage system with distributed deletion,0,G06F
12393340,2025-08-19,Latency reduction of flash-based devices using programming interrupts,0,G06F|G11C
12393332,2025-08-19,Providing storage services and managing a pool of storage resources,0,G06F
12386782,2025-08-12,Snapshot difference namespace of a file system,0,G06F
12386706,2025-08-12,Smart error scanning in a storage network,0,G06F
12386556,2025-08-12,Using data volumes to store container images,0,G06F
12386530,2025-08-12,Storage system reconfiguration based on bandwidth availability,0,G06F
12386505,2025-08-12,Cost considerate placement of data within a pool of storage resources,0,G06F
12381934,2025-08-05,Cloud-based storage management of a remote storage system,0,G06F|H04L
12380127,2025-08-05,Maintaining object policy implementation across different storage systems,0,G06F
12379854,2025-08-05,Two or more logical arrays having zoned drives,0,G06F
12379840,2025-08-05,Producing recovered data in a storage network,0,G06F|H03M|H04L
12373428,2025-07-29,Machine learning models in an artificial intelligence infrastructure,0,G06F|G06N|G06T
12373410,2025-07-29,Utilizing machine learning for processing of managed flash storage devices,0,G06F|G06N|G11B
12373397,2025-07-29,Managing directory-tree operations in file storage,0,G06F
12373396,2025-07-29,Ensuring the resiliency of redundancy data in a cloud-based storage system,0,G06F
12373340,2025-07-29,Intelligent subsegment formation in a heterogeneous storage system,0,G06F|G06N|Y02D
12373339,2025-07-29,Dynamic migration techniques,0,G06F|G06N
12373289,2025-07-29,Error correction incident tracking,0,G06F|G11C
