patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12432422,2025-09-30,"Interaction method, apparatus, device, and storage medium based on live streaming application",0,H04N
12432280,2025-09-30,"Method and apparatus for establishing network connection, electronic device, and storage medium",0,H04L
12430890,2025-09-30,"Object detection model training method and apparatus, object detection method and apparatus, computer device, and storage medium",0,A61B|G06T|G06V|G16H
12430881,2025-09-30,"Image clustering method and apparatus, computer device, and storage medium",0,G06F|G06V
12430789,2025-09-30,"Image processing method and apparatus, and computer-readable storage medium",0,G06T|G06V
12430782,2025-09-30,"Item display method, apparatus, and device, and storage medium",0,G06Q|G06T|G06V
12430512,2025-09-30,"Artificial intelligence-based named entity recognition method and apparatus, and electronic device",0,G06F|G06N|Y02D
12430348,2025-09-30,"Log data query method, electronic device, and storage medium",0,G06F|Y02D
12430182,2025-09-30,"Service processing method and apparatus, and storage medium",0,G06F|H04L
12425947,2025-09-23,"Wireless communication method and apparatus, device, storage medium, and computer program product",0,H04L|H04W
12425702,2025-09-23,"Multimedia content sharing method and apparatus, device, and medium",0,G06F|H04N
12425700,2025-09-23,"Method for providing and method for acquiring immersive media, apparatus, device, and storage medium",0,H04L|H04N
12425667,2025-09-23,"Video encoding method and apparatus, real-time communication method and apparatus, device, and storage medium",0,A63F|G06T|H04L|H04N
12425659,2025-09-23,"Filtering method and apparatus, computer-readable medium, and electronic device",0,H04N
12425657,2025-09-23,"Method and apparatus for decoding point cloud media, and method and apparatus for encoding point cloud media",0,G06T|H04N
12425630,2025-09-23,"Video encoding method and apparatus, electronic device, and storage medium",0,H04N
12425473,2025-09-23,"Service request allocation method and apparatus, computer device, and storage medium",0,H04L
12425468,2025-09-23,"Multimedia content transmission method and apparatus, device, and storage medium",0,H04L
12425249,2025-09-23,Dividing data storage and service operations among plural blockchains,0,G06F|G06Q|H04L
12425246,2025-09-23,"Cross-blockchain transaction processing method and apparatus, computer device, computer storage medium, and computer program product",0,G06F|H04L
12425245,2025-09-23,"Blockchain-based data processing method, apparatus and device, and storage medium",0,H04L
12424098,2025-09-23,"Driving assistance processing method and apparatus, computer-readable medium, and electronic device",0,G08G|H04L
12424024,2025-09-23,"Artificial intelligence-based identity verification method and apparatus, computer device, and storage medium",0,G06F|G06V|H04L
12423903,2025-09-23,Cloud image rendering for concurrent processes,0,G06F|G06T|G09G
12423820,2025-09-23,"Image segmentation method and apparatus, computer device, and storage medium",0,G06T
12422935,2025-09-23,"Gesture information processing method and apparatus, electronic device, and storage medium",0,G06F|G06N|G06T|G06V|Y02P
12420193,2025-09-23,"Method and apparatus for controlling virtual object, device, storage medium, and program product",0,A63F|G06T
12420187,2025-09-23,"Information display method and apparatus, terminal, storage medium, and computer program product",0,A63F|G06F
12418826,2025-09-16,Application program control method and apparatus,0,H04W
12418776,2025-09-16,"Communication method and apparatus of multicast and broadcast service, electronic device, and storage medium",0,H04W
12418576,2025-09-16,"Method, apparatus and device for encapsulating media file, and storage medium",0,H04L|H04N
12417647,2025-09-16,Method and apparatus for recognizing multimedia content,0,G06Q|G06V|G10L
12417594,2025-09-16,"Method for observing virtual environment, device, and storage medium",0,G06F|G06T
12417149,2025-09-16,Service cluster instance backup and recovery methods and related devices,0,G06F
12415136,2025-09-16,"Model training method and apparatus, storage medium, and device",0,A63F|G06F|G06N|G06V
12413819,2025-09-09,"Video playback method and apparatus, computer device, and storage medium",0,H04N
12413775,2025-09-09,"Data processing method and apparatus, computer device, and storage medium",0,A63F|G06T|H04N
12413768,2025-09-09,Selecting a coding method for suffix values for displacement vector differences based on value intervals,0,H04N
12412336,2025-09-09,"Data processing method, data processing apparatus, and computer-readable storage medium",0,G06T
12412279,2025-09-09,"Planar contour recognition method and apparatus, computer device, and storage medium",0,G06T
12412178,2025-09-09,"Face recognition method, apparatus, electronic device, and storage medium",0,G06F|G06Q|G06V
12412080,2025-09-09,"Method and apparatus for forward computation of neural network, and computer-readable storage medium",0,G06N
12409383,2025-09-09,Application startup and archiving,0,A63F|H04L|Y02D
12406437,2025-09-02,"Skinning method and apparatus, computer device, and storage medium",0,G06T|G06V
12406417,2025-09-02,"Data processing method, apparatus, and device and storage medium",0,G06T
12406399,2025-09-02,"Point cloud prediction processing methods and apparatuses, computer, and storage medium",0,G06T|H04N
12406020,2025-09-02,"Information presentation method and apparatus, electronic device, and storage medium",0,G06F
12405966,2025-09-02,"Data processing method, apparatus, and system, computer device, readable storage medium, and computer program product",0,G06F
12405778,2025-09-02,"Application porting method and apparatus, device, and medium",0,G06F
12405775,2025-09-02,"Mini program data binding method and apparatus, device, and storage medium",0,G06F
12402068,2025-08-26,"Network access control method and device, and storage medium",0,H04W
12402038,2025-08-26,Method for implementing handover of multicast broadcast service and related devices,0,H04W
12401857,2025-08-26,"Page display method and apparatus, computer device, storage medium and program product",0,G06T|H04N
12401607,2025-08-26,"Virtual-figure-based data processing method and apparatus, computer device, and storage medium",0,G06F|G06T|G06V|H04L|H04M
12401531,2025-08-26,Blockchain-based transaction data clearing after synchronization,0,H04L
12400438,2025-08-26,"Video generation method and apparatus, storage medium, and computer device",0,G06T|G06V
12400332,2025-08-26,"Method and apparatus for performing layer segmentation on tissue structure in medical image, device, and medium",0,G06T
12400295,2025-08-26,Image processing device and method,0,G06T
12400081,2025-08-26,"Named entity recognition method and apparatus, device, and storage medium",0,G06F
12395913,2025-08-19,Method for implementing multicast broadcast service handover and related device,0,H04W
12395669,2025-08-19,Coding a pixel string vector based on attribute information of the pixel string,0,H04N
12395615,2025-08-19,"Data processing method and apparatus for immersive media, related device, and storage medium",0,H04N
12394174,2025-08-19,"Image processing method and apparatus, computer device, and storage medium",0,G06T|G06V
12393884,2025-08-19,"Training method and system for decision tree model, storage medium, and prediction method",0,G06F|G06N
12393838,2025-08-19,"Vessel image classification method and apparatus, device, and storage medium",0,A61B|G06N|G06T|G06V|Y02T
12393746,2025-08-19,"Driving simulation method and apparatus, electronic device, and computer storage medium",0,G06F
12390731,2025-08-19,"Position prompt method and apparatus for virtual object, terminal, and storage medium",0,A63F|G06F
12389049,2025-08-12,"Live video broadcast method, live broadcast device and storage medium",0,H04N
