patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12184933,2024-12-31,Systems and methods for providing recording of a blacked-out media content item,0,H04N
12143657,2024-11-12,Systems and methods for presenting content simultaneously in different forms based on parental control settings,0,H04N
12137280,2024-11-05,Methods and system for presenting search results,0,G06F|H04N
12135867,2024-11-05,Methods and systems for presenting direction-specific media assets,0,G06F
12132960,2024-10-29,Systems and methods to enhance viewer program experience during profile mismatch,0,H04N
12132946,2024-10-29,Systems and methods for streaming media content during unavailability of content server,0,H04L|H04N
12132798,2024-10-29,Systems and methods for adjusting storage based on determining content item popularity,0,G06Q|H04L
12131540,2024-10-29,Systems and methods for displaying subjects of a video portion of content and displaying autocomplete suggestions for a search related to a subject of the video portion,0,G06F|G06V|H04H|H04N
12126870,2024-10-22,Systems and methods for providing recommendations based on short-media viewing profile and long-media viewing profile,0,G06Q|H04N
12126853,2024-10-22,Methods and systems for operating a group watching session,0,H04N
12125275,2024-10-22,Methods and systems for disambiguating user input based on detection of ensembles of items,0,G06F|G06V|H04N
12125151,2024-10-22,Systems and methods for creating a custom secondary content for a primary content based on interactive data,0,G06F|G06Q|G06T
12125143,2024-10-22,Systems and methods for neural-network based video encoding,0,G06N|G06T|H04N
12120401,2024-10-15,Systems and methods for customizing delivery of advertisements,0,G06F|G06Q|H04N
12120395,2024-10-15,Systems and methods for using playlists,0,H04N
12120394,2024-10-15,Maintaining a user profile based on dynamic data,0,G06F|H04N
12120389,2024-10-15,Systems and methods for recommending content items based on an identified posture,0,H04N
12120387,2024-10-15,System and method to identify and recommend media consumption options based on viewer suggestions,0,G06F|H04N
12120370,2024-10-15,Methods and systems for managing media subscriptions,0,H04N
12120366,2024-10-15,Methods and systems for efficiently downloading media assets,0,H04N
12120154,2024-10-15,Filtering video content items,0,G06F|G06V|H04L
12119001,2024-10-15,Systems and methods for disambiguating a voice search query,0,G06F|G10L
12118984,2024-10-15,Systems and methods to resolve conflicts in conversations,0,G06F|G10L
12118029,2024-10-15,Systems and methods for executing a supplemental function for a natural language query,0,G06F|H04N
12114164,2024-10-08,Systems and methods for detecting unauthorized broadband internet access sharing,0,H04L|H04W
12114046,2024-10-08,Systems and methods for modifying fast-forward speeds based on the user's reaction time when detecting points of interest in content,0,G08B|H04N
12114038,2024-10-08,Methods and systems for providing dynamic content based on user preferences,0,H04N
12113949,2024-10-08,System and method for depth data coding,0,H04N
12113759,2024-10-08,Message modification based on device compatability,0,H04L
12112572,2024-10-08,Systems and methods for alerting a user to published undesirable images depicting the user,0,G06N|G06V|H04L|H04N
12111164,2024-10-08,Systems and methods for altering navigation instructions based on the consumption time of media content,0,G01C|H04N
12108114,2024-10-01,Systems and methods for generating dynamic annotations,0,G06F|H04N
