patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12432364,2025-09-30,Scalable systems for controlling color management comprising varying levels of metadata,0,G06F|G06T|G09G|H04N
12431155,2025-09-30,Frame-level permutation invariant training for source separation,0,G06N|G10L
12424226,2025-09-23,Methods and system for waveform coding of audio signals with a generative model by implementing a probability distribution,0,G06F|G06N|G10L|H04L
12418667,2025-09-16,Scalable systems for controlling color management comprising varying levels of metadata,0,G06F|G06T|G09G|H04N
12418666,2025-09-16,Scalable systems for controlling color management comprising varying levels of metadata,0,G06F|G06T|G09G|H04N
12416814,2025-09-16,Optical switch for single and multiple projectors,0,G02B|G03B|H04N
12413769,2025-09-09,Canvas size scalable video coding,0,H04N
12413693,2025-09-09,Processing of extended dimension light field images,0,G06F|G06T|H04N
12406658,2025-09-02,Method and apparatus combining separation and classification of audio signals,0,G06F|G10L
12406463,2025-09-02,Representing volumetric video in saliency video streams,0,G06T|G06V|H04N
12405662,2025-09-02,Screen interaction using EOG coordinates,0,G06F|H04S
12401804,2025-08-26,Image prediction for HDR imaging in open-loop codecs,0,H04N
12401803,2025-08-26,Cross-asset guided chroma reformatting for multi-asset imaging format,0,G06T|G06V|H04N
12401776,2025-08-26,Systems and methods for processing volumetric images,0,H04N
12394444,2025-08-19,Computing dynamic metadata for editing HDR content,0,G06T|G09G|G11B|H04N
12394429,2025-08-19,Adjusting audio and non-audio features based on noise metrics and speech intelligibility metrics,0,G06F|G10L|H04N|H04R|H04S
12389189,2025-08-12,Head tracking and HRTF prediction,0,G06T|G06V|H04R|H04S
12388995,2025-08-12,Video coding method and apparatus using any types of block partitioning,0,H04N
12387305,2025-08-12,Color transformation for HDR video with a coding-efficiency constraint,0,G06T|G06V|H04N
12382106,2025-08-05,Reshaping functions for HDR imaging with continuity and reversibility constraints,0,H04N
12382059,2025-08-05,Method and system for picture segmentation using columns,0,C12N|C12P|C12Y|H04N
12382045,2025-08-05,Method for determining color difference component quantization parameter and device using the method,0,H04N
12382002,2025-08-05,Temporal modeling of phase modulators in multi-modulation projection,0,G02B|G03B|G03H|H04N
12375855,2025-07-29,Coordination of audio devices,0,G06F|G06N|G10L|H04L|H04R|H04S
12375732,2025-07-29,Source color volume information messaging,0,H04N
12368964,2025-07-22,Blind local reshaping in HDR imaging,0,G06T|G06V|H04N
12368899,2025-07-22,Source color volume information messaging,0,H04N
12368862,2025-07-22,Method and system for selectively breaking prediction in video coding,0,C12N|C12P|C12Y|H04N
