patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12432806,2025-09-30,Inactive user equipment verification for data transmission in communication network,0,H04W
12432739,2025-09-30,Sidelink advanced notification,0,H04W
12432646,2025-09-30,Physical broadcast channel (PBCH) extension to manage extended master information block (MIB),0,H04W
12432629,2025-09-30,Link recovery via cells prepared with information for handovers including CHO and daps,0,H04W
12432623,2025-09-30,Method and apparatus for system providing multicast services,0,H04W
12432617,2025-09-30,Optimized signaling for WLAN/3GPP aggregation,0,H04W
12432611,2025-09-30,Method to support mobile terminated small data transmission in radio resource control inactive state,0,H04W
12432550,2025-09-30,Systems and method for secure updates of configuration parameters provisioned in user equipment,0,H04L|H04W
12432546,2025-09-30,Dynamically unsubscribing from a PLMN/NPN service,0,H04W
12432191,2025-09-30,Method and apparatus for authenticating and authorizing network based media processing,0,G06F|H04L|H04N
12432152,2025-09-30,Dependency-aware quality of service profile provisioning,0,G06Q|H04L|H04W
12432119,2025-09-30,Integration of communication network in time sensitive networking system,0,H04L|H04W|Y02D
12432037,2025-09-30,Carrier aggregation configuration in 5G wireless networks,0,H04L|H04W
12432021,2025-09-30,Irregular bandwidth support at a user equipment,0,H04L
12431998,2025-09-30,Working clock determination for a mobile user equipment,0,H04J|H04W
12426102,2025-09-23,"Methods, apparatuses, and computer program products for supporting simultaneous access to mutally isolated network slices",0,H04W
12426096,2025-09-23,Enhanced time alignment timer at transmission configuration indicator state switch,0,H04L|H04W
12426090,2025-09-23,Operation related to LBT process,0,H04L|H04W
12426050,2025-09-23,Method for efficient HARQ feedback using two levels of PUCCH reporting for multicast/broadcast users in NR,0,H04L|H04W
12426008,2025-09-23,Enhanced paging procedure for random access or small data transmission,0,H04L|H04W
12426005,2025-09-23,Indication of positioning related information,0,G01S|H04L|H04W
12425960,2025-09-23,Use of cell switch assistance information for SSB searching during satellite switching,0,H04B|H04W
12425912,2025-09-23,Channel state information reporting for point-to-multipoint operation,0,H04L|H04W
12425857,2025-09-23,Security management between edge proxy and internetwork exchange node in a communication system,0,G06F|H04L|H04W
12425845,2025-09-23,Security communication in ProSe U2N relay,0,H04L|H04W
12425579,2025-09-23,"Method, an apparatus and a computer program product for implementing gradual decoding refresh",0,H04N
12425571,2025-09-23,"Apparatus, a method and a computer program for video coding and decoding",0,G06T|H04N
12425480,2025-09-23,Access network with service-based interfaces,0,H04L|H04W
12425451,2025-09-23,Data storage,0,G06F|H04B|H04J|H04L|H04W
12425388,2025-09-23,Enhanced hop by hop security,0,H04L|H04W
12425278,2025-09-23,Spectral shaping,0,H04L
12425094,2025-09-23,Antenna configuration selection,0,G01S|H01Q|H04B|H04W
12425092,2025-09-23,Method and system for beam failure management,0,H04B|H04W
12425087,2025-09-23,Enhanced CSI calculation considering spatial adaptation,0,H04B|H04L|H04W
12425042,2025-09-23,"Method, an apparatus and a computer program product for neural network compression",0,G06F|G06N|H03M
12423978,2025-09-23,Image processing,0,G06T|G06V|H04N
12422689,2025-09-23,Apparatus for positioning components in optical systems,0,G01S|G02B|G06T
12422516,2025-09-23,Positioning a device,0,G01S|H04W
12418838,2025-09-16,CU-DU communication for multicast with support for switching between unicast and multicast,0,H04B|H04W
12418830,2025-09-16,"Apparatus, method and computer program",0,H04W
12418807,2025-09-16,Mobile self-backhauling wireless access node,0,H04W
12418770,2025-09-16,"Apparatus, methods, and computer programs",0,G01S|H04W
12418762,2025-09-16,Image and audio apparatus and method,0,G06F|G11B|H04N|H04S
12418569,2025-09-16,Network management,0,H04L|H04W
12414169,2025-09-09,Communication of user terminal having multiple subscription identities,0,H04W
12414159,2025-09-09,Configuration indication,0,H04W
12414134,2025-09-09,Control channel detection in terminal device,0,H04L|H04W
12414064,2025-09-09,Device-to-device assisted timing synchronization,0,H04W
12413996,2025-09-09,Enhanced early measurement reporting,0,H04W
12413982,2025-09-09,Unified subscription identifier management in communication systems,0,H04L|H04W
12413952,2025-09-09,Method and apparatus for low energy discovery,0,H04W|Y02D
12413755,2025-09-09,Luma mapping with chroma scaling for gradual decoding refresh,0,H04N
12413737,2025-09-09,Geometric partitioning merge mode with merge mode with motion vector difference,0,H04N
12413591,2025-09-09,"Apparatus, methods, and computer programs",0,H04L|H04W
12413487,2025-09-09,Method and apparatus for preventing network attacks in a network slice,0,H04L
12413367,2025-09-09,Coreset arrangement for narrowband New Radio,0,H04L
12413355,2025-09-09,Resource configuration for a bandwidth part for a wireless network,0,H04L|H04W
12413291,2025-09-09,Higher-layer beam management,0,H04B|H04W
12413288,2025-09-09,"Method, apparatus and computer program for beam reporting",0,H04B|H04L|H04W
12408203,2025-09-02,Adjustment for timing advance,0,H04W
12408171,2025-09-02,"Method, apparatus, computer program product and computer program",0,H04W
12408156,2025-09-02,Switching monitoring between search space groups,0,H04B|H04L|H04W
12408142,2025-09-02,Ue assisted paging enhancements for multi-usim devices,0,H04W
12408062,2025-09-02,Group based beam reporting,0,H04B|H04L|H04W
12408057,2025-09-02,Apparatus for radio access network data collection,0,H04W
12408038,2025-09-02,Partial integrity protection in telecommunication systems,0,G06F|H04L|H04W
12407857,2025-09-02,"Method, an apparatus and a computer program product for video conferencing",0,H04N
12407580,2025-09-02,"Apparatus, method and computer program",0,G06N|H04L
12407550,2025-09-02,Supporting various constellations,0,H04L
