patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12431477,2025-09-30,Display device and method for manufacturing the same,0,H01L|H10H
12426425,2025-09-23,Display device,0,G06F|G09F|G09G|H01L|H10H
12422941,2025-09-23,"Sensor system, method for driving sensor module and storage medium",0,G06F
12417653,2025-09-16,Detection device,0,G06F|G06V
12417651,2025-09-16,Detection device,0,G06F|G06V
12406968,2025-09-02,Display device,0,G09G|H01L|H10H
12399077,2025-08-26,Pressure detection device,0,G01L|G06F
12381178,2025-08-05,Manufacturing method of display device and holding substrate,0,H01L|H10H
12379232,2025-08-05,Detecting device,0,G01D|G01R|G06F|H03K
12376493,2025-07-29,Detecting device,0,G06F|H04R|H10N
12376392,2025-07-29,Detection device,0,G06V|H04N|H10D|H10F
12364091,2025-07-15,Detection device,0,G06V|H04N|H10K
12364076,2025-07-15,Display device,0,H01L|H10H
12362249,2025-07-15,Flexible electronic device,0,G09G|H01L|H05K|H10H|H10K
12360365,2025-07-15,Display device,0,B60K|B60R|G02B|G02F|G03B|H04N
12355438,2025-07-08,"Display device, detection device, and watch",0,G04G|G06F|H03K
12355021,2025-07-08,Display device,0,G09G|H01L|H10H
12353099,2025-07-08,Display device,0,G02F|G06F|G09G|H10K
12347815,2025-07-01,Display device,0,G09F|G09G|H01L|H10H
12347806,2025-07-01,Method of mounting electronic component,0,H01L|H01S|H10H
12345988,2025-07-01,Display device,0,G02F|G06F
12345984,2025-07-01,Liquid crystal display apparatus,0,G02F|G06F|G09G
12340059,2025-06-24,Display device,0,G06F|H10K
12340057,2025-06-24,"Display panel with touch detector, touch panel, and electronic unit",0,G02F|G06F|G09G
12340050,2025-06-24,"Sensor system, method for driving sensor module and storage medium",0,G06F
12340044,2025-06-24,Touch detection device having a plurality of initial setting distance,0,G06F
12339533,2025-06-24,Display device,0,G02B|G02F|G06F
12336358,2025-06-17,Display device and manufacturing method of the display device,0,G09F|H01L|H10H
12326623,2025-06-10,Display device,0,G02B|G02F|G06F
12315855,2025-05-27,Display device and method for manufacturing the same,0,H01L|H10D|H10H
12314505,2025-05-27,Display device,0,G02F|G06F|G09G
12314503,2025-05-27,Display device with sensor,0,G02F|G06F|G09G
12314500,2025-05-27,"Display panel with touch detection function, method of driving the same, driving circuit, and electronic unit",0,G06F
12314499,2025-05-27,Display device with touch detection function,0,G02F|G06F
12313460,2025-05-27,Detection device comprising photodiodes with stacked organic semiconductor layers,0,G01J|G06T|H10F|H10K
12310228,2025-05-20,Flexible substrate,0,G06F|H01L|H05K|H10H|H10K|H10N
12308358,2025-05-20,Display device,0,G09F|G09G|H01L|H10H
12300686,2025-05-13,Display apparatus,0,G06F|G09F|G09G|H01L|H10H
12300683,2025-05-13,Display device with stacked wiring and display device with translucent region,0,G09F|H01L|H10D|H10H
12300158,2025-05-13,Display device,0,G09F|G09G|H01L|H10H
12300019,2025-05-13,Detection device,0,A61B|G06F|G06T|G06V
12299102,2025-05-13,"Personal authentication system, personal authentication device, display device, and personal authentication method",0,G06F|G06V
12298640,2025-05-13,Display device and method for manufacturing display device,0,G02F|H01L|H10D|H10K
12294024,2025-05-06,Method of manufacturing semiconductor device,0,H01L|H10D
12289435,2025-04-29,Display device,0,H04N
12288777,2025-04-29,Display device,0,H01L|H10D|H10H
12288508,2025-04-29,Display apparatus with detecting device,0,G06F|G06V|G09F|G09G|H01L|H10H
12287943,2025-04-29,Sensor module and display device including the sensor module,0,G06F
12287931,2025-04-29,Display device and method of manufacturing same,0,G02F|G06F
12287552,2025-04-29,Display device,0,G02F|G06F
12283583,2025-04-22,Display device including plurality of light-emitting elements with different emission wavelength variations,0,G09G|H01L|H10H
12283581,2025-04-22,Display device,0,G09F|H01L|H10D|H10H
12283579,2025-04-22,Display device with guard ring,0,G09G|H01L
12282639,2025-04-22,Sensor module and display device including the sensor module,0,G02F|G06F
12282609,2025-04-22,Detecting device,0,G06F
12278294,2025-04-15,Photo detecting device,0,H01L|H04N|H10F|H10H
12277283,2025-04-15,Display device,0,G02F|G06F
12272723,2025-04-08,Display apparatus with improved resistance against electromagnetic noise,0,H01L|H05B|H10H
12272719,2025-04-08,Detection device and display device,0,A61B|G06F|G06V|G09F|H04N|H10D|H10F|H10K
12272320,2025-04-08,Transparent display apparatus,0,G06F|G09G
12271564,2025-04-08,Detecting device,0,G06F
12271458,2025-04-08,"Personal authentication system, personal authentication device, display device, and personal authentication method",0,G06F|G06V
12265675,2025-04-01,Display device with touch detecting function and electronic apparatus,0,G06F
12261194,2025-03-25,Display device and method for manufacturing the same,0,H01L|H10D|H10H
12261154,2025-03-25,Display device with a metal layer over an insulating layer,0,G09F|H01L|H10H
12255192,2025-03-18,Display device,0,H01L|H10H
12249676,2025-03-11,Display device,0,H01L|H10H
12249654,2025-03-11,Semiconductor device,0,H01L|H10D|H10K
12249530,2025-03-11,Wafer for electronic components,0,H01L|H10H
12248646,2025-03-11,Detection device,0,G06F|G06V|H10K
12245447,2025-03-04,Transistor substrate and manufacturing method,0,H01L|H10F|H10K
12244748,2025-03-04,Electronic device,0,G02F|G03B|H04M|H04N
12243962,2025-03-04,Display device,0,G09F|H01L|H10H
12242701,2025-03-04,"Touch panel, display panel, and display unit",0,G02F|G06F|G09G|H01J
12242698,2025-03-04,Touchscreen,0,G06F
12242681,2025-03-04,Display device with wires overlapping electrodes,0,G06F
12242148,2025-03-04,Display device,0,G02F|G06F
12237346,2025-02-25,Detection device with stacked photodiodes,0,A61B|H04N|H10F|H10K
12237342,2025-02-25,Semiconductor device and method for manufacturing semiconductor device,0,H01L|H10D
12237270,2025-02-25,Flexible substrate,0,H01L|H05K
12236445,2025-02-25,Reward determination system and reward determination method,0,G06Q
12230626,2025-02-18,Transistor,0,G09G|H01L|H10D
12229377,2025-02-18,Detection device and touch-detection display device,0,G02F|G06F|G06V
12223763,2025-02-11,Detection device,0,G06V|H04N|H10F
12223139,2025-02-11,Touch sensor device and display device with a touch sensor,0,G02F|G06F|G09G
12222497,2025-02-11,Display device,0,B60K|G02B|H04N
12219785,2025-02-04,Detection device,0,A61B|G06V|H04N|H10F|H10K|Y02E
12219702,2025-02-04,Wiring substrate and display device,0,H01L|H05K|H10H
12219295,2025-02-04,Display device,0,G02B|G03B|H04N
12219075,2025-02-04,Detection device,0,G06F|H04L|H04N
12218178,2025-02-04,Display device,0,G09F|H01L|H10H
12216850,2025-02-04,Display device with sensor,0,G02F|G06F
12212862,2025-01-28,Display system,0,G09G|H04N
12211797,2025-01-28,Flexible substrate,0,H01L|H05K
12207542,2025-01-21,Method for manufacturing photoelectric conversion element and optical sensor,0,A61B|G06F|G06V|H10K|Y02E|Y02P
12204192,2025-01-21,Display apparatus,0,G02F|G06F|H05B
12204063,2025-01-21,Detection device,0,G01V|G06F|H03H
12198970,2025-01-14,Method of manufacturing display device and display device,0,G09F|H01L|H10H
