patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12432240,2025-09-30,Generative artificial intelligence security engine in an item listing system,0,G06F|G06N|H04L
12430680,2025-09-30,Physical storage vault for physical items of digital twin NFTs,0,G06Q|H04L
12423744,2025-09-23,Dynamically updated listing user interface,0,G06Q
12417487,2025-09-16,"Systems, method, and computer storage medium for creating listing for items for sale in an electronic marketplace based on video analysis",0,G06F|G06Q|G06V
12417441,2025-09-16,Systems and methods for an e-commerce enabled digital whiteboard,0,G06Q
12417229,2025-09-16,Managing database offsets with time series,0,G06F
12413541,2025-09-09,Artificial assistant system notifications,0,G06F|G06Q|G10L|H04L
12413492,2025-09-09,Network latency measurement and analysis system,0,H04L
12411884,2025-09-09,Automatic lot classification,0,G06F|G06N
12407920,2025-09-02,Image modification based on objects of interest,0,H04N
12406289,2025-09-02,Techniques for automatic filling of an input form to generate a listing,0,G06F|G06N|G06Q
12405997,2025-09-02,Parallel prediction of multiple image aspects,0,G06F|G06N|G06T|G06V|H04L
12399948,2025-08-26,Social shopping experience utilizing interactive mirror and polling of target audience members identified by a relationship with product information about an item being worn by a user,0,G06F|G06K|G06Q
12399898,2025-08-26,Optimized partitioning method for hive tables,0,G06F
12393962,2025-08-19,System integration using an abstraction layer,0,G06Q
12380405,2025-08-05,Method and system for streamlining voting process,0,G06Q|H04L
12380118,2025-08-05,Generating personalized user recommendations using word vectors,0,G06F
12379784,2025-08-05,Modification of three-dimensional garments using gestures,0,G06F|G06Q|G06T
12375465,2025-07-29,Multi request asynchronous delegation for enhanced performance,0,G06F|H04L
12374075,2025-07-29,Method and system for automated video generation from images for e-commerce applications,0,G06N|G06Q|G06V
12373882,2025-07-29,Providing an item image,0,G06Q
12373871,2025-07-29,"Method, medium, and system for interface extension operations and interfaces in an item listing system",0,G06F|G06Q
12373866,2025-07-29,Personalized delivery time estimate system,0,G06Q
12373864,2025-07-29,In-list search results page for price research,0,G06Q
12367590,2025-07-22,Physical object boundary detection techniques and systems,0,G01B|G06Q|G06T
12354119,2025-07-08,Non-fungible token watermarking management system,0,G06F|G06Q
12346980,2025-07-01,Dynamic creation of networks,0,G06Q
