patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12430535,2025-09-30,Artificial intelligence (AI) driven estimated shipment delivery time advisor,0,G06N|G06Q
12429366,2025-09-30,Corrupted sensors detection in sensor consortium,0,G01D|G05B|H04L|H04W
12423443,2025-09-23,Artificial intelligence (AI) based data filters,0,G06F
12412571,2025-09-09,Dialog flow inference based on weighted finite state automata,0,G06F|G06N|G10L|H04M
12412562,2025-09-09,Systems and methods to improve trust in conversations,0,G06F|G06N|G06T|G10L
12412125,2025-09-09,Virtual nose using quantum machine learning and quantum simulation,0,G01N|G06N
12412050,2025-09-09,Multi-platform voice analysis and translation,0,G06F|G10L
12411984,2025-09-09,Applying a k-anonymity model to protect node level privacy in knowledge graphs and a differential privacy model to protect edge level privacy in knowledge graphs,0,G06F|G06N
12406589,2025-09-02,Immersive learning experiences in application process flows,0,G06T|G06V|G09B
12406028,2025-09-02,System and method for analyzing and tuning input dataset to a foundation model,0,G06F|G06N
12405918,2025-09-02,Utilizing a machine learning model to migrate a system to a cloud computing environment,0,G06F|G06N
12405840,2025-09-02,Estimating and improving residual carbon debt in cloud-based applications,0,G06F|G06Q
12400238,2025-08-26,Mobile intelligent outside sales assistant,0,G06F|G06Q|G10L|H04M
12399753,2025-08-26,Computational resource allocation advisor for elastic cloud databases,0,G06F
12395841,2025-08-19,System and method for allocation or deallocation of NAS stacks to IoT devices,0,H04W
12393794,2025-08-19,Video translation platform,0,G06F|G06V|G10L
12393459,2025-08-19,System and method for ESG reportng based optimized resource allocation across ESG dimensions,0,G06F|G06N
12387380,2025-08-12,Precision color application system and method,0,G06T
12387215,2025-08-12,Privacy-preserving collaborative machine learning training using distributed executable file packages in an untrusted environment,0,G06N|G06Q
12387177,2025-08-12,Recruitment process graph based unsupervised anomaly detection,0,G06F|G06N|G06Q
12386796,2025-08-12,End-to-end identification of erroneous data using machine learning and similarity analysis,0,G06F|G06Q
12380915,2025-08-05,Machine learning based emotion prediction and forecasting in conversation,0,G06F|G06N|G10L
12375285,2025-07-29,Enhanced cryptographic hash digests using quantum computing,0,H04L
12373570,2025-07-29,Artificial intelligence based security requirements identification and testing,0,G06F
12373199,2025-07-29,Assisting program code development by processing multimodal data of a meeting,0,G06F|H04L
12361278,2025-07-15,Automated generation and integration of an optimized regular expression,0,G06F|G06N
12360803,2025-07-15,Dynamic scheduling platform for automated computing tasks,0,G06F
12358142,2025-07-15,Generating robotic assembly instructions from three-dimensional computer-aided design models,0,B25J|G06F|G06N
12355798,2025-07-08,Automated prioritization of cyber risk mitigation by simulating exploits,0,G06F|G06T|H04L
12354039,2025-07-08,Detection and classification of impediments,0,G06Q
12354024,2025-07-08,Intelligent question answering on tabular content,0,G06F|G06N
12353854,2025-07-08,Computer code generator,0,G06F
12348552,2025-07-01,Automated prediction of cyber-security attack techniques using knowledge mesh,0,G06N|H04L
12347416,2025-07-01,Systems and methods to automate trust delivery,0,G06T|G10L
12346825,2025-07-01,Utilizing natural language processing similarity matching to determine whether a problem requires quantum computing or classical computing,0,G06F|G06N
12346359,2025-07-01,"Data integrity validation using diversified queries across multiple sources, interfaces, and networks",0,G06F
12346239,2025-07-01,Testing robotic software systems using perturbations in simulation environments,0,G06F
12343884,2025-07-01,Robotic assembly instruction generation from a video,0,B25J|G05B|G06T
12340337,2025-06-24,Route planning for material shipping,0,G01W|G06N|G06Q
12340332,2025-06-24,"Systems and methods for identifying, quantifying, and mitigating risk",0,G06F|G06N|G06Q
12339988,2025-06-24,Artificial intelligence (AI) model trained using clustering and reinforcement learning for data de-identification engine,0,G06F
12339814,2025-06-24,On-demand virtual storage access method analytics,0,G06F
12339765,2025-06-24,Sentiment analysis using magnitude of entities,0,G06F
12335296,2025-06-17,Automated cyber-security attack method prediction using detected vulnerabilities,1,G06N|H04L
