patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12430899,2025-09-30,De-biasing datasets for machine learning,0,G06N|G06V
12429578,2025-09-30,Splash detection using radar,0,B60S|B60W|G01S|G06T|G06V
12428029,2025-09-30,Systems and methods for estimating cuboid headings based on heading estimations generated using different cuboid defining techniques,0,B60W|G01S|G06F|G06N|G06T|G06V
12428023,2025-09-30,System for a vehicle,0,B60R|B60W|B60Y|G06T|G06V
12427723,2025-09-30,System and method for the additive manufacture of components,0,B29C|B33Y|G06T
12425192,2025-09-23,Service-oriented architecture in a vehicle,0,H04L|H04W
12425115,2025-09-23,IoT device interference detection,0,H04B|H04W
12423963,2025-09-23,Machine learning and data classification for operating a device such as a vehicle,0,B60W|G06T|G06V
12423136,2025-09-23,System and method for wirelessly performing software-based tasks on vehicles,0,G01M|G06F|G07C
12418795,2025-09-16,Transmission of authentication keys,0,G06F|H04W
12409807,2025-09-09,Systems and methods of using a machine learning model to classify catalytic converter theft tamper events based on audio data,0,B60R|G06N
12407800,2025-09-02,Projector arrangement for a vehicle,0,B60R|E05B|H04N
12407568,2025-09-02,Dynamic switching of Bluetooth LE PHY for extended non-connectable advertisements,0,H04L
12406389,2025-09-02,Vehicle space morphing,0,G01S|G06T|G06V
12403962,2025-09-02,Aerodynamic device control,0,B62D|G01C|G06N
12397779,2025-08-26,Detection of vehicle operating conditions,0,B60W|G06N|G07C
12394213,2025-08-19,Polygon sequence matching for label association in autonomous vehicle logs,0,G06F|G06N|G06T|G06V|G07C|H04N
12393469,2025-08-19,Vehicle control module allocation,0,G06F
12387345,2025-08-12,Dynamic bounding box,0,B60W|G06T
12387312,2025-08-12,Production-speed component inspection system and method,0,G06F|G06N|G06T
12387098,2025-08-12,Multi-task learning,0,G06N|G06V
12387087,2025-08-12,Electrified vehicle with indication of adequate driving range based on autoencoder,0,B60K|B60L|B60W|B60Y|G06N|G07C|Y02T
12386644,2025-08-12,Controller area network emulation architecture,0,G06F
12385758,2025-08-12,Location-synchronous averaging of connected vehicle data,0,G01C|G01S|G06F
12382169,2025-08-05,Activation of facial recognition,0,G06V|H04N
12379716,2025-08-05,Methods and systems for verification of machine learning-based varnish analysis,0,G05B|G06T
12373865,2025-07-29,Vehicle-centric road usage application using vehicle sensors,0,G06Q|G07B|H04W
12373716,2025-07-29,Automated synchronization of clone directed acyclic graphs,0,G06N
12372948,2025-07-29,Controlling operational characteristics of a plurality of wireless access points of a manufacturing environment,0,G05B|H04L|H04W
12372365,2025-07-29,Delivery optimization,0,B60W|G01C|G05D|G06Q|G07C
12371010,2025-07-29,"Integrated trajectory forecasting, error estimation, and vehicle handling when detecting an observed scenario",0,B60W|G06N
12368834,2025-07-22,Vehicle sensor assembly,0,B60W|G01S|H04N
12367716,2025-07-22,Vehicle managing system for managing vehicles to be tested-configured and method thereof,0,G06F|G07C|H04B
12367652,2025-07-22,Synchronizing image frames by super sampling,0,G06T|G06V|G09G|H04N
12367537,2025-07-22,Guided home security inspection policing service,0,G06Q|H04N
12361589,2025-07-15,Trailer height and hitch ball calculation,0,B60R|G06T
12360801,2025-07-15,Application control in a vehicle,0,G06F
12354035,2025-07-08,Graph based optimal matching for peer-to-peer vehicle sharing,0,G06Q
12352599,2025-07-08,V2X message-based tracker application,0,G01C|G08G|H04W
12352590,2025-07-08,Stranded motorist assistance system,0,G01C|H04W
12351197,2025-07-08,"System, method, and computer program product for data-driven optimization of onboard data collection",0,B60W|G01C|G06F|G06V|G07C|G08G
12351181,2025-07-08,"Roadside infrastructure detection, localization, and monitoring",0,B60W|G01C|G01S|G06V|G08G|H04W
12349172,2025-07-01,Adaptive out-of-band interference avoidance,0,H04L|H04W
12346991,2025-07-01,Low- and high-fidelity classifiers applied to road-scene images,0,G06F|G06N|G06T|G06V
12346800,2025-07-01,Meta-feature training models for machine learning algorithms,0,G06N
12346100,2025-07-01,Systems and methods for detecting manufacturing anomalies,0,G05B|G06F
12342257,2025-06-24,Key fob mesh networking with automotive applications,0,H04L|H04W
12342222,2025-06-24,Method for selecting data packages based on priority during vehicle-to-vehicle communications,0,G08G|H04L|H04W
12340539,2025-06-24,Calibration of camera-based height assessment,0,G06T|G06V
12340534,2025-06-24,Infrastructure to support vehicle navigation,0,G06T
12340482,2025-06-24,Systems and methods for generating object detection labels using foveated image magnification for autonomous driving,0,G06T
12340347,2025-06-24,Systems and methods for conveying information about a traffic event via vehicle communications,0,G06Q|G08G|H04N
12337869,2025-06-24,State estimation and response to active school vehicles in a self-driving system,0,B60W|G06N|G06V
12337860,2025-06-24,Vehicle configuration for integration of an accessory,0,B60K|B60W|G06F
12337792,2025-06-24,Gesture-based vehicle entry system with virtual keypad,0,B60K|B60R|G06F
12337779,2025-06-24,Responder assistance for vehicular events,0,B60R|H04W
12335730,2025-06-17,Accepting or rejecting a data message in a vehicle network,0,G07C|H04W
12333757,2025-06-17,Vehicle pose management,0,G06T
12333751,2025-06-17,Object detection,0,G01B|G06T|Y02T
12333735,2025-06-17,Methods and systems for predicting stator insulation condition from stator sections,0,G06T|G06V
12332067,2025-06-17,EV charging station optimization,0,B60L|G01C|G06Q|Y02T
12325431,2025-06-10,Vehicle component identification system,0,B60K|B60N|B60W|G06F|G06V
12325279,2025-06-10,Localized brightness detection for a vehicle,0,B60H|B60Q|F21S|G06T
12323420,2025-06-03,Biometric service evaluation architecture for a vehicle,0,B60K|B60W|G06V|G07C|H04L|H04W
12323269,2025-06-03,Vehicle data protection,0,B60R|H04L|H04W
12319340,2025-06-03,Lane assistance for vehicles with trailers,0,B62D|G06T|H04W
