patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12433147,2025-09-30,Flexible display device,0,G06F|G09F|H10K|Y02E
12433075,2025-09-30,Display device,0,H01L|H10H|H10K
12429967,2025-09-30,Display device,0,G06F|H10K
12429919,2025-09-30,Sliding display apparatus,0,G02F|G06F|H05K
12422963,2025-09-23,Touch display device,0,G06F
12422931,2025-09-23,Display apparatus,0,G06F|H04R|H10K|H10N
12422599,2025-09-23,Light emitting diode display device,0,G02B|H01L|H10H
12419181,2025-09-16,Display apparatus and multi-screen display apparatus including the same,0,H01L|H10H|H10K
12419019,2025-09-16,Display apparatus and method of antistatic coating,0,G02F|G06F|H05K|H10K
12418642,2025-09-16,Optical see-through display apparatus,0,G02B|G06F|H04N
12414245,2025-09-09,Display device including bending support,0,G06F|H04M|H05K
12412872,2025-09-09,Display device and manufacturing method of display device with the plurality of light emitting nanorods,0,H01L|H10H|H10K
12412502,2025-09-09,Display compensation device and display compensation method,0,G06T|G09G
12412497,2025-09-09,Organic light emitting display device,0,G06F|G09G
12411574,2025-09-09,Touch display device,0,G06F|H10K
12407965,2025-09-02,Sound generating apparatus,0,G02F|H04N|H04R|H10K
12406967,2025-09-02,Stretchable display device with connection lines in different directions between pixels,0,G09G|H01L|H10H
12405694,2025-09-02,Display panel and display device including the same,0,G06F
12405688,2025-09-02,Transparent display device with touch sensor,0,G06F
12405687,2025-09-02,Touch display device and touch sensing method,0,G06F
12405686,2025-09-02,Organic light emitting display with touch sensor and touch pad,0,G06F|H10K
12405685,2025-09-02,Flexible display device with auxiliary spacer,0,G06F|G09F|H10K|Y02E
12401001,2025-08-26,Display apparatus having a substrate hole,0,H01L|H10H|H10K
12399536,2025-08-26,Display device,0,G06F|H04M|H10K|Y02E
12399305,2025-08-26,Foldable display device,0,G02B|G06F|H10K|Y02E
12396112,2025-08-19,Foldable display apparatus,0,E05D|E05Y|F16C|G06F|H05K
12395787,2025-08-19,Sound generating apparatus,0,G02F|G06F|G09G|H04R
12394363,2025-08-19,Light emitting display apparatus,0,G06F|G09G
12393312,2025-08-19,Touch display apparatus,0,G02F|G06F|G09G
12393307,2025-08-19,Touch display device and touch sensing method,0,G06F|G09G|H10K
12393306,2025-08-19,Display device and method for driving the same,0,G06F|G09G
12393300,2025-08-19,Touch sensing display apparatus,0,G06F
12393276,2025-08-19,"Vibration apparatus, display apparatus including the same, and vehicular apparatus including the display apparatus",0,G06F
12393224,2025-08-19,Bendable display device,0,G06F|H05K
12393073,2025-08-19,"Display device, multi-screen display device using the same and method for manufacturing the same",0,G02F|G06F|H01L|H10K
12389784,2025-08-12,Touch display device for blocking the penetration of moisture into the interior while extending the cathode electrode,0,G06F|H10K
12389779,2025-08-12,Display device with improved touch recognition capabilities,0,G06F|H10K
12389761,2025-08-12,Display device,0,H04N|H10K|Y02E|Y02P
12387663,2025-08-12,Mother substrate and display panel using the same,0,G09G|H01L|H10H
12386577,2025-08-12,Tiling display apparatus,0,G06F|G09F|G09G|H03M
12386473,2025-08-12,Display device including a barrier layer to block light,0,B60K|G06F|H01L|H10H|H10K
12386456,2025-08-12,"Touch driving circuit, touch display device, and sensing system",0,G06F
12386450,2025-08-12,"Touch display device, method for driving the same, driving circuit, data-driving circuit, and gate-driving circuit",0,G02F|G06F|G09G
12386445,2025-08-12,Touch display panel and touch display device,0,G06F|H04M
12386444,2025-08-12,Display device with multi-resolution,0,G06F|H10K
12386385,2025-08-12,Flexible vibration film and display having the same,0,B06B|G06F|G09F|G10K|H04R
12386215,2025-08-12,Display device with a multi-part cover,0,G02F|G06F|G09F
12382722,2025-08-05,Display device,0,G06F|G09G|H01L|H10D|H10K
12382593,2025-08-05,Display device,0,G06F|H05K
12382224,2025-08-05,Display device for generating sound from display panel,0,G06F|H04R|H10K
12379747,2025-08-05,Foldable display device,0,G06F|G09F|H10K|Y02E
12377642,2025-08-05,Foldable stack and foldable display device and manufacturing method thereof,0,B32B|G06F|G09F
12376483,2025-07-29,Flexible display device,0,G06F|H10K|Y02E
12376440,2025-07-29,"Mother substrate for display panel, display panel using the same",0,H01L|H10D|H10H
12376439,2025-07-29,Back-light unit having light-emitting chips and display apparatus having the same,0,G02F|H01L|H10H
12376274,2025-07-29,"Device for manufacturing side line, method of manufacturing side line and method of manufacturing display device",0,G09G|H01L|H05K|H10D|H10H
12374272,2025-07-29,Display device,0,G09G|H01L|H10D
12374265,2025-07-29,Display apparatus,0,G06F|G09G
12373057,2025-07-29,Touch sensing display device,0,G06F
12373053,2025-07-29,Touch display device,0,G06F
12373050,2025-07-29,"Touch display device, display panel, and gate driving circuit",0,G06F|G09G|G11C
12373041,2025-07-29,Display device and pen touch system,0,G06F|G09G|H10K
12369480,2025-07-22,Touch screen integrated light-emitting display device,0,G06F|H10K
12367819,2025-07-22,Display device,0,G09G|H01L|H10H
12366890,2025-07-22,Display device having cover glass,0,B32B|G06F|G09F|H04M
12364100,2025-07-15,Display device,0,H01L|H05K|H10K
12364066,2025-07-15,Transparent micro display device,0,G09G|H01L|H10H
12364065,2025-07-15,"Display apparatus using semiconductor light-emitting device, and manufacturing method therefor",0,H01L|H10H
12363468,2025-07-15,Display apparatus including a vibration module,0,G06F|H04R
12360632,2025-07-15,Display device and method to correct touch data of stretchable touch panel,0,G06F|G09F|H03M
12360624,2025-07-15,Transparent display device with a touch connection portion including a high resistance line,0,G06F|H10K
12360622,2025-07-15,Display device,0,G06F|H10K
12360601,2025-07-15,Vibration apparatus and display apparatus including the same,0,G06F
12360574,2025-07-15,Foldable display device,0,E05D|E05Y|G06F|H05K
12356778,2025-07-08,Display device and method for manufacturing display device,0,H01L|H10H
12356572,2025-07-08,"Cushion plate, display device including the same, and display apparatus including the same",0,G06F|H05K
12353659,2025-07-08,Touch display device and touch display panel,0,G06F|G09G|H01L|H10H
12349571,2025-07-01,Display device,0,G06F|G06V|H04N|H10K
12349520,2025-07-01,Display device,0,H01L|H10H
12347346,2025-07-01,Stretchable display device,0,G06F|G09F|H01L|H10D|Y02E
12346526,2025-07-01,Display device,0,G06F|H10K|H10N
12340483,2025-06-24,Method of compensating display device,0,G06T|G09G
12340040,2025-06-24,Sensor driving circuit and display apparatus including the same,0,G06F
12339707,2025-06-24,Flexible display device,0,G06F|G09F|H10K
12336383,2025-06-17,Display panel and display device comprising the same,0,G06F|H10K
12336348,2025-06-17,Display device,0,G09G|H01L|H10D|H10H
12336340,2025-06-17,Light-emitting device and display device using the same,0,H01L|H10H
12333207,2025-06-17,Display apparatus,0,G06F|G10K|H04N|H04R
12333102,2025-06-17,Display device,0,G06F|G09G|H10K
12332700,2025-06-17,Foldable display device,0,G06F|H04M
12328546,2025-06-10,Display apparatus,0,G06F|H04R
12327822,2025-06-10,Micro-LED display device including holes and wires configured to improve assembling efficiency,0,H01L|H10H
12324323,2025-06-03,Light-emitting display apparatus,0,G06F|H10D|H10K
12324294,2025-06-03,Light emitting diode display device,0,G09G|H01L|H10H
12324113,2025-06-03,Foldable display device including a foreign material inflow prevention element,0,F16C|G06F|G09F|H04M|H05K
12322737,2025-06-03,Light emitting display device,0,G09G|H01L|H10H
12322373,2025-06-03,Vibration device and apparatus including the same,0,B60R|G06F|G10K
12321547,2025-06-03,Touch display device,0,G06F
12321197,2025-06-03,Roll-slide display device,0,G06F
12317595,2025-05-27,Light emitting display device,0,G02B|G02F|G09G|H01L|H10D|H10H
12317429,2025-05-27,Display module and display device,0,G06F|H04M|H05K
12315847,2025-05-27,Display device,0,H01L|H10D|H10H
12315409,2025-05-27,Display panel and display device,0,G06F|G09G|H10K
12314628,2025-05-27,Display apparatus,0,G06F|G10K
12314525,2025-05-27,Display device including touch sensor,0,G06F|H10K
12314521,2025-05-27,Touch display device,0,G06F|H10K
12314515,2025-05-27,Touch display device,0,G02F|G06F|G09G
12307059,2025-05-20,Touch display apparatus,0,G06F|H10K
12307036,2025-05-20,Display device,0,G06F|H10K
12302732,2025-05-13,Color filter structure using quantum dots and display device,0,B82Y|C09K|G02B|H01L|H10H|H10K
12302706,2025-05-13,Thin film transistor and display apparatus including the same,0,G06F|G09G|H10K
12299248,2025-05-13,Display device,0,G06F
12299242,2025-05-13,Touch display device and touch power signal generation circuit,0,G06F|G09G
12299229,2025-05-13,Touch display device,0,G06F
12299228,2025-05-13,"Display panel, display device, and mobile terminal including the display device",0,G06F|G09G
12295244,2025-05-06,"Display apparatus, structure and manufacturing apparatus of flexible display apparatus",0,G06F|H10K|Y02E|Y02P
12295229,2025-05-06,Light emitting display apparatus and multi-screen display apparatus including the same,0,H01L|H10K
12294774,2025-05-06,Display device including a display panel movable over an optical sensor while photographing plural images for synthetization,0,G06T|G09G|H04M|H04N|H10K
12293046,2025-05-06,Electroluminescent display including touch sensor,0,G06F|H10K
12293041,2025-05-06,Display device having touch sensor and method of driving same,0,G06F|G09G
12293022,2025-05-06,Display apparatus,0,G06F|H04R|H04S
12289939,2025-04-29,Display device,0,H01L|H10D|H10H
12289938,2025-04-29,Display device,0,H01L|H10H
12289909,2025-04-29,"Thin film transistor, gate driver including the same, and display device including the same",0,G09G|H01L|H10D|H10K
12289844,2025-04-29,Display device,0,F16H|G02F|G06F|H05K|H10K
12288498,2025-04-29,Display device,0,G06F|G09G
12284898,2025-04-22,Touch display device,0,G06F|H10K
12284864,2025-04-22,Display apparatus and multi-screen display apparatus including the same,0,H01L|H10K
12282618,2025-04-22,Display apparatus,0,G06F|G09G|H10K
12279484,2025-04-15,Organic light emitting diodes,0,G06F|H10K
12279384,2025-04-15,Display device,0,G06F|H05K
12278258,2025-04-15,Light emitting diode display apparatus having a trench structure,0,G09G|H01L|H10D|H10H|H10K
12277013,2025-04-15,Display panel and display device including the same,0,G06F|G09G|H05K
12272699,2025-04-08,Contact structure and display device including the same,0,G02F|H01L|H10D
12272680,2025-04-08,Light-emitting device package and electronic device,0,H01L|H05B|H10H
12272333,2025-04-08,Tiling display apparatus,0,G06F|G09G
12271565,2025-04-08,Touch display device and display panel,0,G06F
12271563,2025-04-08,Touch display device including spacers,0,G06F|H01L|H10H|H10K
12268065,2025-04-01,Display panel and display device including the same,0,H01L|H10K
12267644,2025-04-01,Apparatus,0,G06F|H04M|H04R
12266643,2025-04-01,Display device with piezoelectric actuator,0,C09J|G02F|H01L|H04R|H05K|H10K|H10N
12265684,2025-04-01,Touch panel and touch panel display device including the same,0,G06F
12265673,2025-04-01,Touch display device and display panel,0,G06F|G09G
12265421,2025-04-01,Foldable display device,0,G06F|G09F|H04M
12262485,2025-03-25,Display apparatus and method for manufacturing the same,0,B32B|G02F|G06F|H05K
12260037,2025-03-25,Transparent display device with touch sensor,0,G06F
12260035,2025-03-25,Touch display panel,0,G06F|H10K
12256628,2025-03-18,Display apparatus including electric conductive substrate having spacer,0,G02F|G06F|H10K
12256504,2025-03-18,Holding system for foldable display device and foldable display set including the same,0,F16M|G06F|G09F|H05K|H10K
12254152,2025-03-18,Touch display device,0,G06F|G09G
12249617,2025-03-11,Display panel and display device,0,H01L|H10H
12248642,2025-03-11,Touch driving circuit and touch display device,1,G06F
12248641,2025-03-11,Touch panel and touch display device comprising the same,0,G06F|H10K
12242694,2025-03-04,Touch display device including a touch sensing circuit,0,G06F|G09G
12242684,2025-03-04,Touch display device,0,G06F
12242682,2025-03-04,Transparent display device with touch sensor,0,G06F|G09G|H10K
12238964,2025-02-25,Touch display device,0,G06F|H10K
12236047,2025-02-25,Touch display device,0,G06F|G09G|H10K
12236046,2025-02-25,Touch panel and touch device,0,G06F|H05K|H10K
12236034,2025-02-25,Transparent display device,0,G06F
12235472,2025-02-25,Display device having light path controlling member,0,G02B|G02F|G06F
12232274,2025-02-18,Display apparatus,0,B60K|G06F|H05K|H10K
12230168,2025-02-18,Flexible display device,0,G06F|G09F
12229362,2025-02-18,Transparent display device with touch sensor,0,G02F|G06F
12229361,2025-02-18,Transparent touch display apparatus,0,G06F|H10K
12225804,2025-02-11,Electroluminescence display device having a through-hole in display area,0,H01L|H10H|H10K
12225673,2025-02-11,Foldable display apparatus,0,G06F|H05K
12225274,2025-02-11,Display device and method of synthesizing images,0,H04N|H10K
12223886,2025-02-11,Display apparatus including light emitting device and pixel driving circuit,0,G09G|H01L|H10H
12223638,2025-02-11,Display defect detection system and detection method thereof,0,G06T|G06V
12223619,2025-02-11,"Image processing apparatus, image processing method, and display apparatus based on the same",0,G06T
12223128,2025-02-11,Transparent touch display device,0,G06F
12223112,2025-02-11,Display apparatus,0,G06F|H04R
12219335,2025-02-04,Apparatus for outputting a sound,0,G06F|H04R|H10N
12218300,2025-02-04,Light emitting diode display device and method of fabricating light emitting diode display device,0,H01L|H10H
12218174,2025-02-04,Electronic device with micro-photoelectric units,0,G06V|H01L|H10F|Y02E
12217720,2025-02-04,Display device and driving method for the same,0,G06T|G09G
12216875,2025-02-04,Display apparatus,0,G06F
12216857,2025-02-04,Display device,0,G06F|G09G|H04N
12216855,2025-02-04,Touch display device,0,G06F
12216853,2025-02-04,"Converting integrator, touch driving circuit, and touch display device",0,G06F
12216510,2025-02-04,Foldable display device with movable support body,0,G06F
12216244,2025-02-04,Flexible display device,0,G02B|G06F|G09F|H10K
12210374,2025-01-28,Display device,0,G02F|G06F|G09F
12207523,2025-01-21,Transparent touch display apparatus,0,G06F|H10K
12204728,2025-01-21,Touch display device and touchscreen panel,0,G06F
12204373,2025-01-21,Display device,0,G06F|G09F|H10K
12204188,2025-01-21,Display device,0,G02F|G06F|G09F|H10K
12200882,2025-01-14,Display device,1,G06F|G09F|H05K
12193294,2025-01-07,Display apparatus and multi-panel organic light emitting display device including the same,0,G02F|G06F|G09F|G09G|H10K
12191432,2025-01-07,Light emitting diode display device,0,G02B|H01L|H10H
12190792,2025-01-07,Display device,0,G06F|G09G|H10K
12189911,2025-01-07,Display device,0,G06F|H04M|H10K
12189898,2025-01-07,Touch sensing system and driving method thereof,0,G06F
12189891,2025-01-07,Gate driving circuit and display device including the same,0,G06F|G09G
12189885,2025-01-07,Display device and integrated circuit,0,G06F|G09G|H10K
12189878,2025-01-07,Light emitting display device with integrated touch screen,0,G06F|H10K
12189227,2025-01-07,Display device with repairable touch lines,0,G02F|G06F
12189226,2025-01-07,Display device,0,G02F|G06F
12185575,2024-12-31,Display device,0,G02B|G02F|G03B|G06F|H01L|H10K
12183770,2024-12-31,Display device and method of manufacturing the same,0,H01L|H10H
12183727,2024-12-31,Flexible display device,0,H01L|H10K
12183268,2024-12-31,Display device,0,G09G|H01L
12182362,2024-12-31,Touch display device and level shifter for touch display device,0,G06F
12182361,2024-12-31,Display device having touch sensor and method for driving the same,0,G06F
12182359,2024-12-31,Transparent display device with touch sensor,0,G06F|H10K
12182354,2024-12-31,Touch display device,0,G06F|H10K
12182349,2024-12-31,Touch display device and display panel for improving sensing and image quality,0,G06F|G09G
12179464,2024-12-31,"Method for manufacturing ultra-thin glass, ultra-thin glass, and display device including the ultra-thin glass",0,B32B|C03C|G02F|H01L|H10K
12178030,2024-12-24,Display device and display apparatus,0,G02F|G06F|H04M|H05K|H10K
12178025,2024-12-24,Display apparatus,0,G02F|G06F|H05K|H10K
12175946,2024-12-24,Foldable display for reducing power consumption and driving method thereof,0,G06F|G09G
12174665,2024-12-24,Foldable display device,0,G06F|G09F|H10K
12171075,2024-12-17,Display device,0,G06F|G09F|H05K
12171070,2024-12-17,Display module and display device,0,G06F|H04M|H05K
12169612,2024-12-17,Touch display device with color filter between data link lines and touch link lines,0,G02F|G06F|H10K
12166913,2024-12-10,Display apparatus,0,G06F|H04M|H04N|H04R
12166018,2024-12-10,Stretchable display device,0,H01L|H10H
12165932,2024-12-10,Display device,0,G09G|H01L|H10H
12164359,2024-12-10,Display device and luminance control method thereof and mobile terminal using the same,0,G06F|G09G|Y02D
12159572,2024-12-03,Display device,0,G09G|H01L|H10D
12153768,2024-11-26,Transparent display device,0,G06F|H10K
12153754,2024-11-26,Display device,0,G06F
12153752,2024-11-26,Touch display device and display panel,0,G06F|H10K
12153300,2024-11-26,Display device and manufacturing method thereof,0,G02F|G06F|H10D
12152722,2024-11-26,Display apparatus and tiled display apparatus including the same,0,F16M|G06F|G09F
12150364,2024-11-19,Display device,0,G06F|H10K
12150356,2024-11-19,Display device,0,G06F|G09G|H10K
12148864,2024-11-19,Display device,0,H01L|H10D|H10H
12148366,2024-11-19,Tiling display apparatus,0,G06F|G09G
12147272,2024-11-19,Sound generation apparatus,0,G06F|H04N
12144230,2024-11-12,Display device,0,G09G|H04N|H10K
12144228,2024-11-12,Transparent display device with touch sensor,0,G06F|H10K
12144226,2024-11-12,Display device including touch sensor and method of manufacturing the same,0,G06F|H10K
12144225,2024-11-12,Display device including color filter layer,0,G06F|H10K
12144210,2024-11-12,Touch display device,0,G06F|H10K
12144161,2024-11-12,Flexible display module and electronic device comprising the same,0,G06F|H05K
