patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
11969554,2024-04-30,Methods and devices for haptic communication,0,A61F|A61M|B06B|G06F|G08B|H10N
11748783,2023-09-05,Identifying content to present to a group of online system users based on user actions and specified by a third-party system,0,G06Q|H04L
11282509,2022-03-22,Classifiers for media content,10,G06F|G06N|G10L
11264883,2022-03-01,Systems and methods for controlling a Lorentz-force-based apparatus,0,G06F|H01F|H02K
11264011,2022-03-01,Systems and methods for employing predication in computational models,0,G06N|G10L
11257183,2022-02-22,Systems and methods for hardware acceleration of resampling operations,1,G06F|G06N|G06T
11256977,2022-02-22,Lowering hardware for neural networks,1,G06F|G06N
11256768,2022-02-22,Systems and methods to manage media content items,0,G06F|G06Q|H04L
11256402,2022-02-22,Systems and methods for generating and broadcasting digital trails of visual media,6,G06F|G06T
11252122,2022-02-15,Systems and methods for sharing content,0,G06Q|H04L
11252118,2022-02-15,Systems and methods for digital privacy controls,7,H04L
11252029,2022-02-15,Systems and methods for configuring networks,1,H04L
11250030,2022-02-15,Systems and methods for classifying content items based on dynamic signals,0,G06F|G06N
11249985,2022-02-15,"Scalable, secure, efficient, and adaptable distributed digital ledger transaction network",6,G06F|H04L
11249947,2022-02-15,"Distributed digital ledger transaction network for flexible, lazy deletion of data stored within an authenticated data structure",0,G06F|G06Q|H04L
11249774,2022-02-15,Realtime bandwidth-based communication for assistant systems,1,G06F|G06N|G06Q|G06V|G10L|H04L|H04W
11245966,2022-02-08,Matching and ranking content items,0,G06Q|G06V|H04N
11245646,2022-02-08,Predictive injection of conversation fillers for assistant systems,40,G06F|G06N|G06Q|G06V|G10L|H04L|H04W
11244347,2022-02-08,Dynamically modifying digital content distribution campaigns based on triggering conditions and actions,1,G06F|G06N|G06Q
11244025,2022-02-08,Systems and methods for updating data pipelines,1,G06F|H04L
11243743,2022-02-08,Optimization of neural networks using hardware calculation efficiency and adjustment factors,0,G06F|G06N
11240284,2022-02-01,Systems and methods for application- and content-aware real-time video encoding,3,H04L|H04N
11238461,2022-02-01,Methods and systems for facilitating e-commerce payments,0,G06Q|G07G
11234202,2022-01-25,Doppler shift estimation and correction for broadband communication in unmanned aerial vehicles,0,G01S|H04B|H04L|H04W
11233862,2022-01-25,Systems and methods for facilitating discovery of users who share common characteristics within a social networking system,9,G06Q|H04L
11233762,2022-01-25,Providing augmented message elements in electronic communication threads,0,H04L
11233760,2022-01-25,Module ranking for a modular inbox,0,H04L
11232369,2022-01-25,Training data quality for spam classification,17,G06N|G06Q
11228626,2022-01-18,Request stream,0,H04L
11227343,2022-01-18,Method for selectively advertising items in an image,0,G06Q
11227122,2022-01-18,"Methods, mediums, and systems for representing a model in a memory of device",2,G06F|G06N|G10L|H04L
11227110,2022-01-18,Transliteration of text entry across scripts,0,G06F
11226831,2022-01-18,Customizing content based on predicted user preferences,1,G06F|G06N|G06Q
11226745,2022-01-18,Optimizing data writes in a distributed computing system,1,G06F
11226716,2022-01-18,Generating content to be shared between users,12,G06F|G06Q|H04L
11223958,2022-01-11,Distributing spectral resources between interfering cells,0,H04W
11223699,2022-01-11,Multiple user recognition with voiceprints on online social networks,25,G06F|G06Q|G10L|H04L
11223586,2022-01-11,Techniques for a messaging agent platform,4,G06F|G06Q|H04L|H04N|H04W
11223402,2022-01-11,Assisted channel approximation for wireless communication of a supercell base station,0,H04B|H04L|H04W
11222061,2022-01-11,Generating digital media clusters corresponding to predicted distribution classes from a repository of digital media based on network distribution history,0,G06F|G06N|G06Q|G06V|H04L|H04N
11221736,2022-01-11,Techniques for context sensitive illustrated graphical user interface elements,0,G06F|H04M
11216746,2022-01-04,Utilizing machine learning and composite utility scores from multiple event categories to improve digital content distribution,0,G06N|G06Q
11216169,2022-01-04,Social network interactions,0,G06F|G06Q|H04L
11213760,2022-01-04,Managing game sessions in a social network system,0,A63F|H04L
11212188,2021-12-28,Communication network out-of-capacity predictions,1,H04L|H04W
11212186,2021-12-28,Measuring the impact of network deployments,0,H04L
11210854,2021-12-28,Systems and methods for providing augmented reality personalized content,3,G06F|G06N|G06Q|G06T|G06V
11210510,2021-12-28,Storing anonymized identifiers instead of personally identifiable information,1,G06V|H04L
11210503,2021-12-28,Systems and methods for facial representation,0,G06N|G06T|G06V
11210339,2021-12-28,Transient contextual music streaming,1,G06F
11206443,2021-12-21,Synchronizing streams of co-watching digital video content while providing live digital video chat streams across multiple client devices,4,H04N
11206235,2021-12-21,Systems and methods for surfacing content,6,H04L
11206232,2021-12-21,Generating and maintaining group messaging threads for ephemeral content,2,G06F|G06Q|H04L|H04W
11204956,2021-12-21,Dynamically ranking media effects based on user and device characteristics,1,G06F|G11B|H04N
11202148,2021-12-14,Smart audio with user input,1,G06F|G06T|G10L|H04L|H04R
11202091,2021-12-14,"Method for encoding/decoding a quantization coefficient, and apparatus using same",0,H04N
11202035,2021-12-14,Dynamically modifying live video streams for participant devices in digital video rooms,0,H04L|H04N
11201946,2021-12-14,Systems and methods for digital media delivery prioritization,0,G06Q|H04L
11200602,2021-12-14,System for providing context-sensitive display overlays to a mobile device via a network,2,G06F|G06Q
11200284,2021-12-14,Optimization of feature embeddings for deep learning models,2,G06F|G06N
11200271,2021-12-14,Dynamically ranking media effects based on user and device characteristics,0,G06F|G11B|H04N
11199885,2021-12-14,Thermal mass aware thermal management,1,G06F|H05K|Y02D
11196985,2021-12-07,Surface adaptation for projection-based augmented reality system,0,G06F|G06Q|G06T|H04N
11196698,2021-12-07,Social network synchronization,0,G06F|G06Q|H04L|H04W
11196697,2021-12-07,Access controls for units of content in a messaging service,1,H04L
11196683,2021-12-07,Switch with side ports,1,H04L|H05K
11195206,2021-12-07,Methods and systems for providing contextual information,0,G06F|G06Q|H04L|H04M|H04Q
11195106,2021-12-07,Systems and methods for scraping URLs based on viewport views,0,G06N
11195099,2021-12-07,Detecting content items in violation of an online system policy using semantic vectors,8,G06F|G06N|G06Q
11191053,2021-11-30,Network-based clock for time distribution across a wireless network,2,H04W
11190570,2021-11-30,Video encoding using starve mode,0,H04L|H04N
11190338,2021-11-30,Selective viewability of data in a blockchain,1,H04L
11188846,2021-11-30,Determining a sequential order of types of events based on user actions associated with a third party system,5,G06F|G06N|G06Q
11188303,2021-11-30,Floating point multiply hardware using decomposed component numbers,0,G06F|G06N
11188215,2021-11-30,Systems and methods for prioritizing digital user content within a graphical user interface,10,G06F|H04L
11185787,2021-11-30,Managing game sessions in a social network messaging system,0,A63F|G06F|G06Q|H04L
11184638,2021-11-23,Systems and methods for selecting resolutions for content optimized encoding of video data,2,H04N
11184574,2021-11-23,Representing real-world objects with a virtual reality environment,2,G02B|G06F|G06T|G06V|H04N
11184315,2021-11-23,Systems and methods for providing data analytics for videos based on a tiered architecture,0,H04L
11184248,2021-11-23,Network resource allocation using forecasted network traffic patterns selected utilizing network topology,1,H04L
11182863,2021-11-23,Joint modeling of user and content feature vector data based on third party source data,0,G06F|G06Q
11182831,2021-11-23,Methods and systems for untargeting users of an online service for advertising,2,G06Q|H04L
11182806,2021-11-23,Consumer insights analysis by identifying a similarity in public sentiments for a pair of entities,22,G06F|G06N|G06Q
11182639,2021-11-23,Systems and methods for provisioning content,0,G06F|G06T|G06V|H04N
11182613,2021-11-23,Systems and methods for occluding images and videos subject to augmented-reality effects,0,G06Q|G06T|G06V|H04N
11178413,2021-11-16,Dynamically transitioning a digital video file between encoding states,3,H04N
11178212,2021-11-16,Compressing and transmitting structured information,0,G06F|H03M|H04L
11177587,2021-11-16,Ground lug holder,0,G06F|H01R
11176485,2021-11-16,Dynamic integration of machine-learning modules,0,G06N|H04L|H04W
11172338,2021-11-09,Techniques for enhancing group communication on a mobile device,2,G06F|H04L|H04W
11172189,2021-11-09,User detection for projection-based augmented reality system,1,G06F|G06Q|G06T|G06V|H04N
11171910,2021-11-09,Social network status,0,G06F|G06Q|H04L|H04W
11171903,2021-11-09,Techniques for intelligent messaging for message syncing,0,H04L
11171802,2021-11-09,Social network onboarding,0,G06Q|H04L
11170470,2021-11-09,Content-adaptive non-uniform image downsampling using predictive auxiliary convolutional neural network,7,G06F|G06T|G06V
11170288,2021-11-09,Systems and methods for predicting qualitative ratings for advertisements based on machine learning,0,G06N|G06Q
11170006,2021-11-09,Machine-learning model for ranking diverse content,5,G06F|G06N|G06Q
11166080,2021-11-02,Systems and methods for presenting content,0,G02B|G06F|G06T|H04N
11166065,2021-11-02,Synchronizing presentation of content presented by multiple client devices,20,H04N
11164298,2021-11-02,Long exposure filter,0,G06T
11163843,2021-11-02,Systems and methods for recommending content,4,G06F|G06N|G06Q
11159677,2021-10-26,Call status effects,0,G06N|H04M
11159534,2021-10-26,Systems and methods for reducing virality of content from domains with questionable reputation in a social networking system,1,G06F|G06Q|H04L|H04W
11159473,2021-10-26,Systems and methods for sharing content,0,G06F|G06Q|G06V|H04L
11159406,2021-10-26,Load balancing web service by rejecting connections,0,G06F|H04L
11157955,2021-10-26,Selecting content for presentation to online system users based on correlations between content accessed by users via third party systems and interactions with online system content,1,G06Q
11157877,2021-10-26,Systems and methods for automatically generating job information,3,G06Q
11157685,2021-10-26,Sharing digital items,1,G06F|G06Q|H04L
11157594,2021-10-26,Matrix multiplication in hardware using modular math,0,G06F
11157584,2021-10-26,URL normalization,0,G06F|G06Q|H04L
11157493,2021-10-26,Optimistic data fetching and rendering,2,G06F
11157134,2021-10-26,Interfaces for a messaging inbox,1,G06F|G06Q|H04L
11153728,2021-10-19,Generating user notifications using beacons on online social networks,0,G06Q|H04L|H04W
11153726,2021-10-19,Techniques for enhancing group communication on a mobile device,20,G06F|H04L|H04W
11153246,2021-10-19,Techniques for ephemeral messaging with remote ephemeral mode configuration,2,H04L
11151209,2021-10-19,Recommending objects to a user of a social networking system based on the location of the user,0,G06F|G06Q|H04L
11150977,2021-10-19,Systems and methods for remediating computing resources,0,G06F
11150865,2021-10-19,Systems and methods to optimize music play in a scrolling news feed,0,G06F|H04N
11150795,2021-10-19,Systems and methods for providing content,0,G06F|H04L
11150782,2021-10-19,Channel navigation overviews,30,G06F|G06Q|H04L
11146646,2021-10-12,Non-disruptive display of video streams on a client system,2,G06Q|H04L
11146511,2021-10-12,Modular inbox surface for content delivery,2,A61B|A61K|A61M|G06Q|H04L|H04W
11146442,2021-10-12,Presenting a user profile page including an animation associated with a type of life event described by content posted to the user profile page,2,G06F|G06Q|G06T|H04L
11145006,2021-10-12,Generating catalog-item recommendations based on social graph data,0,G06Q
11144954,2021-10-12,Physical store visit attribution,2,G06Q|G07C|H04L
11144953,2021-10-12,Determining performance metrics for delivery of electronic media content items by online publishers scaled using a baseline conversion rate,0,G06N|G06Q|H04L
11144826,2021-10-12,Post topic classification,0,G06F|G06N|G06Q
11144812,2021-10-12,Mixed machine learning architecture,0,G06N|G06Q|H04L
11144182,2021-10-12,Determining user preference of an object from a group of objects maintained by a social networking system,0,G06F|G06Q
11144099,2021-10-12,Systems and methods for providing content,2,G06F|G06T|G09G
11140240,2021-10-05,Generating a dynamic dependent client device activity dashboard and managing contact-control privileges via managing client device interfaces,11,G06F|H04L
11140232,2021-10-05,Analyzing geo-spatial data in layers,0,G06F|G06Q|H04L|H04W
11140188,2021-10-05,Browsing identity,0,G06Q|H04L
11140118,2021-10-05,Systems and methods for time-based sharing of a tracked location within a social networking system,0,H04L|H04W
11140111,2021-10-05,Techniques to configure the network distribution of media compositions for transmission,0,H04L
11140100,2021-10-05,Systems and methods for facilitating topic-based messaging sessions,0,G06F|H04L
11138440,2021-10-05,Systems and methods for automated video classification,3,G06F|G06V
