patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12433116,2025-09-30,Display substrate and display apparatus,0,G06F|G09G|H10K
12433029,2025-09-30,Display substrate and display apparatus,0,G09G|H01L|H10D|H10H|H10K
12429968,2025-09-30,Display substrate and display device,0,G06F|H10K
12426459,2025-09-23,"Display substrate, method of manufacturing the display substrate, and display device",0,G02F|G06F|G09G|H01L|H10D|H10K
12426457,2025-09-23,"Display substrate and manufacturing method thereof, and display device",0,H01L|H10K
12424581,2025-09-23,"Conductive adhesive film and fabrication method therefor, electronic device and manufacture method therefor",0,C08K|C09J|H01B|H01L
12422966,2025-09-23,"Touch display panel, touch display apparatus and touch display mother board",0,G06F|H10D|H10K
12422964,2025-09-23,Display substrate and display device,0,G06F|G09G|H10K
12422961,2025-09-23,"Touch structure, touch display panel and electronic device",0,G06F|G09G
12422718,2025-09-23,Driver IC and display device,0,G02F|G09F|G09G|H01L|H10K
12417004,2025-09-16,Touch panel with connection channel of adjacent touch electrode blocks and display device,0,G06F
12416945,2025-09-16,"Support backplane, flexible display screen, and electronic device",0,G02F|G06F|G09F|H10K
12414446,2025-09-09,"Display substrate and method for manufacturing same, and display device",0,H01L|H10D|H10K
12414419,2025-09-09,Display substrate,0,G09G|H01L|H10D|H10H
12414276,2025-09-09,"Heat dissipation assembly, display module and display device",0,G06F|G09F|H05K
12411571,2025-09-09,Touch display panel and display device,0,G06F
12411522,2025-09-09,"Flexible display screen and method for assembling the same, and electronic apparatus",0,G06F
12399585,2025-08-26,"Flexible display panel, display device and forming method",0,G06F|G09F|H10K|Y02E
12393303,2025-08-19,Display panels and display apparatus,0,G06F|H10D|H10K
12389774,2025-08-12,Display substrate and display device,0,G02F|G06F|G06V|G09G|H10K
12387674,2025-08-12,"Display substrate, working method thereof, and display device",0,G09G|H01L|H10K
12382820,2025-08-05,Display panel,0,G06F|H10K|Y02P
12382800,2025-08-05,"Display panel, method for manufacturing display panel, and display device",0,H01L|H10K
12379816,2025-08-05,"Display panel, preparation method thereof, and display device",0,G06F|H10K
12379803,2025-08-05,Display panel and display apparatus,0,G06F|H10K
12379801,2025-08-05,Display substrate and display apparatus,0,G06F|H10K
12379745,2025-08-05,Pad and method for manufacturing a display device,0,G06F|H05K|H10K
12373051,2025-07-29,"Display device, touch display panel, and touch panel and manufacturing method therefor",0,G06F
12369478,2025-07-22,"Display substrate having color filter layer, manufacturing method therefor and display apparatus",0,G02F|G03F|G06F|H10K
12364138,2025-07-15,"Display panel, manufacturing method therefor, and display device",0,G06V|H01L|H10K
12354915,2025-07-08,"Display substrate, manufacturing method thereof, and display apparatus",0,H01L|H10D
12353668,2025-07-08,Touch-control display panel and display apparatus,0,G06F
12353654,2025-07-08,Touch display panel and display device,0,G02F|G06F
12346518,2025-07-01,"Touch/control structure, and touch-control display panel, and display apparatus",0,G06F
12342693,2025-06-24,Display substrate and display device having conductive element with recessed portion having uneven surface,0,H01L|H10D|H10K
12340747,2025-06-24,Array substrate and display apparatus,0,G09G|H04M|H04N|H10K
12340047,2025-06-24,Display panel and display device,0,G06F|H10K
12336413,2025-06-17,"Display panel, display device, and manufacturing method of display panel",0,G06F|H01L|H10K|Y02P
12336387,2025-06-17,Display substrate and display apparatus,0,G06F|H04N|H10D|H10K
12333104,2025-06-17,"Touch module, touch display panel and display device",0,G06F
12321554,2025-06-03,"Touch substrate, touch module, and display device",0,G06F
12321195,2025-06-03,Display panel and display device,0,G06F
12315462,2025-05-27,"Display substrate and manufacturing method thereof, display device",0,G09G|G11C|H01L|H10D
12314522,2025-05-27,Touch panel and touch display apparatus,0,G06F|H10K
12314508,2025-05-27,"Touch layer, touch substrate, and touch display device",0,G06F
12314504,2025-05-27,Display panel and display apparatus,0,G06F
12309930,2025-05-20,Display apparatus,0,G02F|G06F|H01L|H01R|H05K|H10D|H10K
12307054,2025-05-20,Display apparatuses and touch panels,0,G06F
12302723,2025-05-13,Display substrate and display device,0,G02F|G09F|H01L|H10K|H10N
12302489,2025-05-13,Circuit board module and touch display apparatus,0,G06F|H05F|H05K
12299227,2025-05-13,Display panel and display device,0,G06F|H10K
12298637,2025-05-13,Display substrate and display device,0,G02F|G06F|H10D
12295227,2025-05-06,"Display substrate and method of manufacturing the same, and display device",0,H01L|H10K
12293962,2025-05-06,Flip chip and chip packaging structure,0,H01L
12293053,2025-05-06,"Touch structure, touch display panel, and display device",0,G06F
12287945,2025-04-29,Touch substrate and display device,0,G06F
12284863,2025-04-22,"Display module and manufacturing method therefor, and display device",0,B32B|G06F|G06V|H04M|H05K|H10K
12283649,2025-04-22,"Display panel, manufacturing method thereof, and display device",0,H01L|H05B|H10H
12282641,2025-04-22,Display substrate and display apparatus,0,G06F
12282637,2025-04-22,Touch display panel and display apparatus,0,G06F
12277299,2025-04-15,Touch display module and display apparatus,0,G06F
12274136,2025-04-08,"Organic light emitting diode display substrate and preparing method thereof, and organic light emitting diode display apparatus",0,G01R|G06F|H01L|H10K
12271546,2025-04-08,Touch control structure and display apparatus,0,G06F
12266663,2025-04-01,Display panel having a bonding region,0,G06F|H10D
12265683,2025-04-01,"Touch sensor layer, touch screen, and display apparatus",0,G06F
12265676,2025-04-01,"Touch sampling control module and method, and display touch device",0,G06F|G09G
12260042,2025-03-25,"Display panel, display device and method for fabricating the display panel",0,G06F|G09F|G09G|H10K
12256611,2025-03-18,Display substrate and display device,0,G02F|G09G|H01L|H10D|H10K
12256607,2025-03-18,Touch sensor and display apparatus,0,G06F|H10K
12256582,2025-03-18,"Display panel, manufacturing method and display device",0,G06F|H10H
12254160,2025-03-18,"Touch structure, display panel and electronic device",0,G06F
12254159,2025-03-18,"Touch structure, touch display panel, and display device",0,G06F
12250860,2025-03-11,Display substrate and display apparatus,0,G06F|H10K
12248650,2025-03-11,"Touch structure, touch display panel and display device",0,G06F
12242700,2025-03-04,"Touch structure, display panel and display apparatus",0,G06F
12242690,2025-03-04,"Panel, motherboard, and display device",0,G02F|G06F|H10K
12242689,2025-03-04,"Touch display substrate, manufacturing method, and display device",0,G06F
12242687,2025-03-04,Touch display device and display system,0,G06F|H05K
12242686,2025-03-04,"Touch structure and manufacturing method thereof, display panel, and display device",0,G06F|H10K
12238956,2025-02-25,"Display substrate, method for manufacturing the same and display device",0,H01L|H10K
12236845,2025-02-25,Display substrate and display device,0,G02F|G09G|H01L|H10D|H10H
12236820,2025-02-25,"Flexible display panel and preparation method therefor, and display device and display module",0,G06F|G09G|Y02E
12236708,2025-02-25,Display panel and display device,0,G06F|G06V|G09G|H10K
12236051,2025-02-25,Touch module and display device,0,G06F
12236050,2025-02-25,Touch panel and touch display panel,0,G06F
12234540,2025-02-25,"Mask, mask device and mask design method",0,C23C|G06F|H10K
12232394,2025-02-18,"Module structure, touch module, display module and display apparatus having floating terminal to prevent crack",0,G06F|H10K
12232384,2025-02-18,Display substrate and display device,0,G09G|H01L|H10K
12232376,2025-02-18,Display panel with repair structure and display device,0,G02F|G06F|G09G|H10D|H10K
