patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12432712,2025-09-30,System and method for scheduling control channel information,0,H04W
12432425,2025-09-30,Related content suggestions for augmented reality,0,G02B|H04N
12432420,2025-09-30,Content sharing platform channel review using a virtual assistant,0,H04N
12432389,2025-09-30,Video compression using optical flow,0,G06N|G06T|H04N
12432383,2025-09-30,Transform prediction with parsing independent coding,0,H04N
12432329,2025-09-30,"Methods, systems, and media for generating and rendering immersive video content",0,G06T|H04N
12432217,2025-09-30,Digital content delivery with privacy-preserving membership check,0,G06F|H04L
12432150,2025-09-30,System and apparatus to synchronize entries between redundant centralized gateways in overlay networks,0,H04L
12432050,2025-09-30,Managing data availability on encryption key status changes in replicated storage systems,0,G06F|H04L
12431138,2025-09-30,Arranging and/or clearing speech-to-text content without a user providing express instructions,0,G06F|G10L
12431122,2025-09-30,Training a language model of an end-to-end automatic speech recognition model using random encoder features,0,G06N|G10L
12430830,2025-09-30,Prompt-to-prompt image editing with cross-attention control,0,G06F|G06N|G06T
12430778,2025-09-30,Depth estimation using a neural network,0,G06T
12430562,2025-09-30,Flexible framework for joint representation learning and unknown category discovery,0,G06N
12430551,2025-09-30,Reinforcement learning algorithm search,0,G06F|G06N
12430546,2025-09-30,General padding support for convolution on systolic arrays,0,G06F|G06N
12430515,2025-09-30,Machine-learned language models which generate intermediate textual analysis in service of contextual text generation,0,G06F|G06N|G10L
12430498,2025-09-30,Drafting assistant for a browser,0,G06F|G06N|G06Q
12430469,2025-09-30,Secure workflows for generating and applying digital component distribution directives,0,G06F
12430398,2025-09-30,Systems and methods for quantum tomography using an ancilla,0,G06F|G06N
12430394,2025-09-30,Future use intents for saved resources in a browser environment,0,G06F
12430385,2025-09-30,"Methods, systems, and media for displaying streaming media content on a user device using video sprite sheets",0,G06F|G11B|H04L|H04N
12430380,2025-09-30,Mechanism to handle interrupted playback experience for media items in playlists,0,G06F
12430368,2025-09-30,Search suggestions based on native application history,0,G06F
12430320,2025-09-30,Adaptive auto garbage collector in MVCC database system,0,G06F
12430316,2025-09-30,Artificial intelligence-based automated parser creation,0,G06F|G06N|H04L
12430186,2025-09-30,Hardware accelerator service aggregation,0,G06F
12430152,2025-09-30,Selectively invoking an automated assistant according to a result of shape detection at a capacitive array,0,G06F
12427659,2025-09-30,Transporter network for determining robot actions,0,B25J|G05B|G06F|G06N|G06V
12425743,2025-09-23,Foveated images with adaptive exposure,0,G02B|G06F|G06T|G06V|H04N
12425677,2025-09-23,Network-based remote control,0,G08C|H04L|H04N
12425676,2025-09-23,Remote control of media playback on devices distributed across disparate networks,0,G08C|H04L|H04N
12425675,2025-09-23,Remote control of concurrent media playback on multiple devices via centralized network services,0,G08C|H04L|H04N
12425674,2025-09-23,Network-based synchronous media control on multiple playback devices,0,G08C|H04L|H04N
12425671,2025-09-23,Autoplaying content across multiple providers on a television,0,H04N
12425669,2025-09-23,Systems and methods to deliver content during client authentication process in a distributed computing system,0,G06F|H04L|H04N
12425636,2025-09-23,Segmentation-based parameterized motion models,0,H04N
12425381,2025-09-23,Hybrid content protection architecture for email,0,H04L
12425205,2025-09-23,Deriving identity and root keys for embedded systems,0,G06F|H04L
12425171,2025-09-23,Uplink management for true wireless earbuds,0,H04L|H04R
12424509,2025-09-23,Compliant pad spacer for three-dimensional integrated circuit package,0,H01L|H05K
12424222,2025-09-23,Dynamic adaptation of parameter set used in hot word free adaptation of automated assistant,0,G06F|G06V|G10L
12424201,2025-09-23,Pre-training a model using unlabeled videos,0,G06F|G10L
12423607,2025-09-23,Verified quantum phase estimation,0,G06F|G06N
12423573,2025-09-23,Neural network optimizer search,0,G06N
