patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12432715,2025-09-30,Automatic determination of components for time sensitive networking,0,H04W
12432680,2025-09-30,On-demand positioning of 5G devices,0,H04B|H04W
12432256,2025-09-30,Dynamic security policy and key management for converged networks,0,H04L
12432205,2025-09-30,Systems and methods for endpoint management,0,G06F|H04L|H04W
12432183,2025-09-30,Randomizing server-side addresses,0,H04L
12432163,2025-09-30,Orchestration system for migrating user data and services based on user information,0,G06F|H04L
12432138,2025-09-30,Selecting paths for high predictability using clustering,0,H04L
12432133,2025-09-30,Source-provisioned services infrastructure,0,H04L
12432129,2025-09-30,Partitioning for active monitoring,0,H04L
12432115,2025-09-30,Client-aware floorplan management with predicted confidence levels,0,H04L|H04W
12432059,2025-09-30,Decentralized internet protocol security key negotiation,0,H04L
12430912,2025-09-30,Audience re-engagement during large online meetings,0,G06V|H04L
12430445,2025-09-30,Dynamic security service extension based on software bill of materials,0,G06F|H04L
12430416,2025-09-30,Method and system for generating user interface on electronic devices,0,G06F|G09C|H04L
12430119,2025-09-30,Method and system for generating desired states for edge sites,0,G06F
12430117,2025-09-30,"Method, apparatus and system for real-time optimization of computer-implemented application operations using machine learning techniques",0,G06F|H04L
12429903,2025-09-30,System and method to determine sets of untraceable clock domains,0,G06F
12429358,2025-09-30,Systems and methods for efficient grid-estimation of spherical geo-probability function,0,G01C|G06N
12426212,2025-09-23,Combined liquid and air cooling system for fail-safe operation of high power density ASIC devices,0,H01L|H05K
12426079,2025-09-23,Prioritizing network traffic for emergency services,0,H04W
12426074,2025-09-23,Systems and methods for reducing false radar detection,0,G01S|H04W
12426006,2025-09-23,Single cluster formation technique for ultra-wideband (UWB) time difference of arrival (TDoA),0,H04L|H04W
12425851,2025-09-23,Anchored Wi-Fi fingerprinting for risk-based authentication,0,H04L|H04W
12425497,2025-09-23,Internet protocol (IP) switch-based analytics management,0,G06F|H04L
12425441,2025-09-23,Systems and methods for protecting pod deployment,0,H04L
12425404,2025-09-23,Multi-tenanted authentication for applications,0,H04L
12425399,2025-09-23,Distributed hierarchical authentication of system component identities,0,G06F|H04L
12425390,2025-09-23,Real-time ownership status check for network devices in a network,0,H04L
12425371,2025-09-23,System and method for providing SCHC-based edge firewalling,0,H04L
12425350,2025-09-23,Packet fragmentation prevention in an SDWAN router,0,H04L
12425342,2025-09-23,Layer 4 load aware load balancing,0,H04L
12425336,2025-09-23,Personal network software defined-wide area networks (SD-WANs) with attested permissions,0,H04L|H04W
12425329,2025-09-23,Multi-cloud site-site secure connectivity as a service,0,H04L
12425247,2025-09-23,Systems and methods for observing smart contracts,0,H04L
12423441,2025-09-23,Method for using generative large language models (LLM) for cybersecurity deception and honeypots,0,G06F|G06N|H04L
12423434,2025-09-23,On-demand and secure hardware license-based SKU creation for ASICs,0,G06F
12423157,2025-09-23,Systems and methods providing serverless DNS integration,0,G06F|H04L
12423093,2025-09-23,Techniques for incremental software build,0,G06F
12418845,2025-09-16,Wireless local area network (WLAN) roaming optimizations utilizing a reconfigurable intelligent surface (RIS) device,0,H04W
12418832,2025-09-16,Migration of network traffic between licensed and unlicensed spectrum,0,H04W
12418578,2025-09-16,Prioritization of individual channels within multiplexed streams for zero trust network access (ZTNA),0,G06F|H04L|H04W
12418568,2025-09-16,Systems and methods for application clustering based on included libraries and observed events,0,G06F|H04L
12418537,2025-09-16,Industrial device MAC authentication bypass bootstrapping,0,H04L
12418524,2025-09-16,Preventing data and hardware loss in pre-provisioned devices,0,H04L
12418484,2025-09-16,Systems and methods for determining network component scores using bandwidth capacity,0,H04L
12418472,2025-09-16,End-to-end dynamic multicast-only fast re-route (MoFRR),0,H04L
12418456,2025-09-16,End user recommendation service to ensure satisfactory application QoE,0,G06N|H04L
12418421,2025-09-16,Client device verification,0,H04L
12417312,2025-09-16,Constraint-based training data generation,0,G06F
12413983,2025-09-09,Adaptive channel assignment for 6GHZ radios,0,H04W
12413972,2025-09-09,Authenticating radio access network components using distributed ledger technology,0,G06F|H04L|H04W
12413652,2025-09-09,Method for identifying and managing QUIC connections for middleboxes,0,H04L
12413650,2025-09-09,Routing application control and data-plane traffic in support of cloud-native applications,0,H04L
12413587,2025-09-09,Application identification,0,H04L
12413567,2025-09-09,Method to achieve dynamic NAT66 encryption and decryption,0,H04L
12413538,2025-09-09,Queue protection using a shared global memory reserve,0,H04L
12413525,2025-09-09,Dynamic network routing based on application load,0,H04L
12413518,2025-09-09,Mapping of IPSec tunnels to SD-WAN segmentation,0,H04L
12413513,2025-09-09,Predictive routing using risk and longevity metrics,0,H04L
12413509,2025-09-09,Application-aware links,0,H04L
12413502,2025-09-09,Systems and methods for subscription based selective EVPN route distribution,0,H04L
12413495,2025-09-09,Techniques for providing inter-cluster dependencies,0,H04L
12413491,2025-09-09,Threat detection of application traffic flows,0,H04L
12413436,2025-09-09,Collaboration and cognitive analysis for hybrid work visual aid sessions,0,H04L
