patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12432002,2025-09-30,Communication apparatus and reference signal receiving method,0,H04B|H04J|H04L
12425981,2025-09-23,Wireless device and power control method,0,H04B|H04W
12425634,2025-09-23,Image decoding method and image decoding apparatus using candidate motion vectors,0,H04N
12401487,2025-08-26,Component carrier activation and deactivation using resource assignments,0,H04L|H04W
12395953,2025-08-19,Device to device synchronization source selection,0,H04B|H04W
12375707,2025-07-29,Moving picture coding method and moving picture decoding method,0,H04N
12375684,2025-07-29,"Image coding method, image coding apparatus, image decoding method, image decoding apparatus, and image coding and decoding apparatus",0,H04N
12368870,2025-07-22,"Image decoding method, image coding method, image decoding apparatus, image coding apparatus, and image coding and decoding apparatus",0,H04N
12363694,2025-07-15,Integrated circuit,0,H04L|H04W
12363345,2025-07-15,Image processing method and image processing apparatus,0,H04N
12362851,2025-07-15,Communication apparatus,0,H04L|H04W
12362808,2025-07-15,Method of signal generation and signal generating device,0,H04B|H04L
12361974,2025-07-15,"Data transmission method, data playback method, data transmission device, and data playback device",0,G11B|H04L|H04N
12356429,2025-07-08,Modulation order adaptation for partial subframes,0,H04L|H04W
12356419,2025-07-08,Communication apparatus and communication method for configuring resource region candidates and mapping downlink control information to same,0,H04L|H04W
12355705,2025-07-08,Aperiodic triggering of channel quality information using physical downlink control channel,0,H04L|H04W
12349145,2025-07-01,"Radio terminal, radio base station, channel signal forming method and channel signal receiving method",0,H04H|H04J|H04L|H04W
12348768,2025-07-01,Derivation method and apparatuses with candidate motion vectors,0,H04N
12348766,2025-07-01,"Moving picture coding method, moving picture decoding method, moving picture coding apparatus, moving picture decoding apparatus, and moving picture coding and decoding apparatus",0,H04N
12348725,2025-07-01,"Image coding method, image decoding method, image coding apparatus, image decoding apparatus, and image coding and decoding apparatus",0,H04N
12348318,2025-07-01,Communication apparatus and retransmission control method,0,H04B|H04L|H04W
12342033,2025-06-24,"Transmission method, reception method, transmission device, and reception device",0,H04N
12335510,2025-06-17,Moving picture coding method and moving picture decoding method using a determination whether or not a reference block has two reference motion vectors that refer forward in display order with respect to a current picture,0,H04N
12323616,2025-06-03,Coding method and apparatus with candidate motion vectors,0,H04N
12309807,2025-05-20,Communication apparatus and communication method for receiving control information over a search space,0,H04J|H04L|H04W
12309371,2025-05-20,"Image decoding method, image coding method, image decoding apparatus, image coding apparatus, program, and integrated circuit",0,H04N
12294733,2025-05-06,"Video coding method, video decoding method, video coding apparatus and video decoding apparatus",0,H04N
12294717,2025-05-06,"Moving picture coding method, moving picture coding apparatus, moving picture decoding method, moving picture decoding apparatus, and moving picture coding and decoding apparatus",0,H04N
12294698,2025-05-06,"Image coding method, image decoding method, image coding apparatus, and image decoding apparatus",0,H04N
12289464,2025-04-29,"Method of performing motion vector prediction, and apparatus thereof",0,H04N
12284358,2025-04-22,"Video encoding method, video decoding method, video encoding apparatus, and video decoding apparatus",0,H04N
12284353,2025-04-22,Arithmetic coding for information related to sample adaptive offset processing,0,A61F|A61M|G06T|H04N
12279236,2025-04-15,"Radio reception apparatus, radio transmission apparatus, and radio communication method",0,H04B|H04L|H04W
12278987,2025-04-15,"Image coding method, image decoding method, image coding apparatus, image decoding apparatus, and image coding and decoding apparatus",0,H04N
12278780,2025-04-15,"Terminal device, base station device, retransmission method, and resource allocation method",0,H04B|H04J|H04L|H04W
12278776,2025-04-15,Method and communication apparatus for mapping reference signal in wireless communication system,0,H04B|H04L|H04W|Y02D
12273761,2025-04-08,"Wireless communication terminal, wireless communication base station, wireless communication system, and reporting method",0,H04L|H04W|Y02B|Y02D
12273591,2025-04-08,"Transmission method, reception method, transmission device, and reception device",0,H04H|H04N
12267852,2025-04-01,Resource assignment for single and multiple cluster transmission,0,H04L|H04W
12267277,2025-04-01,Communication apparatus and communication method thereof,0,H04B|H04L|H04W
12267199,2025-04-01,"OFDM transmitter device having a symbol generator for generating non-zero control symbols, and OFDM transmission method including generating non-zero control symbols",0,H04L
12267193,2025-04-01,Integrated circuit,0,H04L|H04W
12256335,2025-03-18,Wireless communication device and method for controlling transmission power,0,H04L|H04W|Y02D
12255710,2025-03-18,"Signal generation method, transmission device, reception method, and reception device",0,H04B|H04L|H04W
12250398,2025-03-11,Efficient rounding for deblocking,0,H04N
12250397,2025-03-11,"Moving picture coding method, moving picture coding apparatus, moving picture decoding method, moving picture decoding apparatus, and moving picture coding and decoding apparatus",0,H04N
12244847,2025-03-04,Image decoding method,0,H04N
12244827,2025-03-04,"Moving picture encoding method, moving picture decoding method, moving picture encoding apparatus, and moving picture decoding apparatus",0,H04N
12244371,2025-03-04,"Broadcast signal transmission method, broadcast signal transmission apparatus, broadcast signal reception method, and broadcast signal reception apparatus",0,H04B|H04J|H04L|H04W
12238654,2025-02-25,Power-limit reporting in a communication system using carrier aggregation,0,H04L|H04W|Y02D
12238326,2025-02-25,"Moving picture coding method, moving picture coding apparatus, moving picture decoding method, moving picture decoding apparatus and moving picture coding and decoding apparatus",0,H04N
12238038,2025-02-25,Reference signal reception and CQI computation method and wireless communication apparatus,0,H04B|H04L|H04W
12232116,2025-02-18,Base station and related communication method,0,H04L|H04W|Y02D
12232051,2025-02-18,Radio communication apparatuses and radio communication method,0,H04L|H04W
12231656,2025-02-18,Coding method and coding apparatus,0,H04N
12225551,2025-02-11,"Base station, terminal, transmission method, and reception method",0,H04L|H04W
12225228,2025-02-11,"Image coding method, image decoding method, image coding apparatus, and image decoding apparatus",0,H04N
12224957,2025-02-11,Communication apparatus and reference signal reception method,0,H04L
12219462,2025-02-04,Terminal and communication method thereof,0,H04B|H04L|H04W
12218872,2025-02-04,Mobile station and reception method,0,H04B|H04L|H04W
12218753,2025-02-04,Communication apparatus and communication method,0,H04L|H04W
12212753,2025-01-28,"Image decoding method, image coding method, image decoding apparatus, image coding apparatus, and image coding and decoding apparatus",0,H04N
12200802,2025-01-14,Device-to-device wireless communication method and user equipment,0,H04W
12200713,2025-01-14,Scheduling request procedure for D2D communication,0,H04W
12200269,2025-01-14,"Image coding method, image decoding method, image coding apparatus, image decoding apparatus, and image coding and decoding apparatus",0,H04N
12192535,2025-01-07,Low complex deblocking filter decisions,0,H04N
12192506,2025-01-07,Image coding method and image coding apparatus,0,H04N
12191988,2025-01-07,"Data processing method, precoding method, and communication device",0,H03M|H04B|H04L
12185294,2024-12-31,"Integrated circuit, apparatus and method for communication using resource block groups",0,H04L|H04W
12185259,2024-12-31,Transmit power control for physical random access channels,0,H04L|H04W
12185150,2024-12-31,Communication apparatus and communication method for measuring a channel quality indicator (CQI),0,H04B|H04L|H04W
12184565,2024-12-31,"Transmission method, reception method, transmitter, and receiver",0,H04B|H04J|H04L|H04W
12177867,2024-12-24,Dynamic TDD uplink/downlink configuration using DCI,0,H04L|H04W
12177853,2024-12-24,Communication device and SRS transmission control method,0,H04B|H04L|H04W
12171010,2024-12-17,Resource allocation for device to device (D2D) communication,0,H04W
12171009,2024-12-17,Wireless communication apparatus and channel allocation method,0,H04L|H04W
12167420,2024-12-10,"Communication method, base station and user equipment using a set of legacy or aggressive CQI table and legacy or aggressive MCS table",0,H04L|H04W
12166725,2024-12-10,Controlling UE behavior for CSI/SRS reporting during DRX,0,H04L|H04W|Y02D
12166545,2024-12-10,Signal generation method and signal generation device for receiving data from a first base station and a second base station in multiple communications modes,0,G06F|H04B|H04L|H04W
12158090,2024-12-03,Methods and apparatuses for encoding and decoding video using periodic buffer description,0,B01D|B29C|F01M|H04N
12155844,2024-11-26,"Image decoding method, image coding method, image decoding apparatus, image coding apparatus, and image coding and decoding apparatus",0,H04N
12150160,2024-11-19,"Wireless communication terminal device, wireless communication base station device, and resource region setting method",0,H04L|H04W
12150051,2024-11-19,Integrated circuit,0,H04L|H04W|Y02D
12149695,2024-11-19,"Image coding method, image decoding method, image coding apparatus, image decoding apparatus, and image coding and decoding apparatus",0,H03M|H04N
12149472,2024-11-19,"Method of scrambling reference signals, device and user equipment using the method",0,H04B|H04J|H04L
12149307,2024-11-19,Signal generating method and signal generating apparatus,0,H04B|H04L
12143968,2024-11-12,Wireless communication apparatus and wireless communication method,0,H04B|H04L|H04W
12143213,2024-11-12,"Transmission device, transmission method, reception device, reception method, integrated circuit, and program",0,H03M|H04B|H04L
12143200,2024-11-12,"Terminal station apparatus, base station apparatus, transmission method and control method",0,H04B|H04J|H04L|H04W
12137456,2024-11-05,Multiple sidelink control transmissions during a sidelink control period,0,H04W
12137116,2024-11-05,Security key derivation in dual connectivity,0,H04L|H04W
12133110,2024-10-29,Efficient uplink scheduling mechanisms for dual connectivity,0,H04W
12132930,2024-10-29,"Image coding method, image decoding method, image coding apparatus, and image decoding apparatus",0,H04N
12132539,2024-10-29,Pre-coding method and transmitter,0,H04B|H04J|H04L
12127201,2024-10-22,Resource block candidate selection technique employing packet scheduling in wireless communication systems,0,H04L|H04W
12126454,2024-10-22,Communication apparatus and buffer partitioning method,1,H04L|H04W
12126422,2024-10-22,"Transmission device, transmission method, receiving device and receiving method",0,H01Q|H04B|H04L|H04W|Y02D
12120337,2024-10-15,"Moving picture coding method, moving picture decoding method, moving picture coding apparatus, moving picture decoding apparatus, and moving picture coding and decoding apparatus",0,H04N
12120324,2024-10-15,"Picture coding method, picture coding apparatus, picture decoding method, and picture decoding apparatus",0,H04N
12114333,2024-10-08,Integrated circuit,0,H04L|H04W
12108070,2024-10-01,"Image coding method, image decoding method, image coding apparatus, image decoding apparatus, and image coding and decoding apparatus",0,H04N
12108059,2024-10-01,"Image decoding method, image coding method, image decoding apparatus, image coding apparatus, and image coding and decoding apparatus",0,H04N
12101491,2024-09-24,"Encoding method, decoding method, encoding apparatus, and decoding apparatus",0,H04N
12096469,2024-09-17,"Terminal, base station, integrated circuit and signal transmission control method",0,H04L|H04W
12089264,2024-09-10,Efficient transmission of a response signal for a random access preamble transmitted from legacy or extension carrier capable devices,0,H04B|H04J|H04W
12088842,2024-09-10,"Image coding method, image decoding method, image coding apparatus, and image decoding apparatus",0,H04N
12088827,2024-09-10,"Image coding method, image decoding method, image coding apparatus, image decoding apparatus, and image coding and decoding apparatus",0,G06T|H04N
12081379,2024-09-03,"Transmission method, transmission device, reception method, and reception device",0,H04B|H04L
12075394,2024-08-27,Communication apparatus and communication method,0,H04L|H04W
12074700,2024-08-27,Integrated circuit,1,H04L|H04W
12069005,2024-08-20,Component carrier activation and deactivation using resource assignments,2,H04L|H04W
12063379,2024-08-13,"Image coding method, image decoding method, image coding apparatus, receiving apparatus, and transmitting apparatus",0,H04N
12063363,2024-08-13,Image coding apparatus for coding tile boundaries,0,G06T|H04N
12057982,2024-08-06,"Transmitter, receiver, transmission method, and reception method",0,H04B|H04J|H04L|H04W
12052672,2024-07-30,Power control method and user equipment in device to device communication in serving cell,0,H04W
12040931,2024-07-16,MCS table adaptation for 256-QAM,0,H04L|H04W
