patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12430795,2025-09-30,Automated wellhead monitoring using imaging and computer vision,0,G06T
12430452,2025-09-30,"Systems, devices, and methods for determining and registering authorized roles",0,G06F
12429842,2025-09-30,Method and system for managing plant safety using machine learning,0,G05B|G06N|G06Q
12429625,2025-09-30,Systems and methods for identifying fractures within a geological formation,0,G01V|G06N|G06V
12429580,2025-09-30,Identifying and remediating oil spills,0,G01S|G06Q|G06T|G06V
12429472,2025-09-30,Methods and systems for predicting formation thermal properties,0,G01N|G06N
12428957,2025-09-30,Systems and methods for estimating well parameters and drilling wells,0,E21B|G06Q
12412309,2025-09-09,Chemical purity assessment by image analysis,0,G01N|G06T
12412001,2025-09-09,Generating well model flow tables for artificial intelligent models,0,G06F|G06N
12407709,2025-09-02,Method for assurance and monitoring of continuous active security data availability,0,H04L
12404763,2025-09-02,Wireless hydrogen subsurface sensing framework for reservoir optimization,0,E21B|G06N
12394183,2025-08-19,Generating training samples via 3D modeling for greenhouse gas emission detection,0,G06F|G06V
12393711,2025-08-19,Systems and methods for determining quarantine statuses of outbound emails,0,G06F|H04L
12392925,2025-08-19,Waterflood front imaging using segmentally insulated well liners as on-demand electrodes,0,E21B|G01V|G06F|Y02A
12388866,2025-08-12,Systems and methods for malicious URL pattern detection,0,G06F|G06N|H04L
12387509,2025-08-12,Sample labeling method using image-matching,0,G06F|G06V
12387307,2025-08-12,Determining severity of stepwise cracking in a pressurized vessel,0,G01N|G06T
12387117,2025-08-12,Injector riskiness score (IRS) matrix,0,B65G|E21B|G06F|G06N
12385393,2025-08-12,Systems and methods for estimating well parameters and drilling wells,0,E21B|G06Q
12385384,2025-08-12,Rate of penetration (ROP) optimization advisory system,0,E21B|G06Q
12380792,2025-08-05,Real-time worker location tracking system,0,G06Q|G08B|H04L|H04W
12380670,2025-08-05,Identifying and remediating oil spills,0,G01S|G06T|G06V
12378879,2025-08-05,Methods for predicting formation properties,0,E21B|G06F
12375309,2025-07-29,Method and system for pipe component management using distributed ledger technology,0,G06Q|H04L
12373422,2025-07-29,System and method for patching database as a service with minimal downtime,0,G06F
12372684,2025-07-29,Numerical simulation capability for determining blockages within a wellbore and wellbore completion setups,0,E21B|G01N|G01V|G06F
12368591,2025-07-22,Blockchain enhanced identity access management system,0,H04L
12367229,2025-07-22,System and method for integrating machine learning in data leakage detection solution through keyword policy prediction,0,G06F
12347296,2025-07-01,Emulated facility safety with correlated sound frequency modeling,0,G05B|G06Q|G08B
12346642,2025-07-01,Method for improving unconventional hydrogen development,0,G06F
12346365,2025-07-01,Noise reduction and validation of in-line inspection tool data,0,G06F
12340670,2025-06-24,Emulated facility safety with embedded enhanced interface management,0,G06Q|G08B
12332230,2025-06-17,Prediction of cement longevity using digital cement modeling,0,E21B|G01N|G06F
12316665,2025-05-27,Cyber security assurance using 4D threat mapping of critical cyber assets,0,G06F|G06Q|H04L
12298459,2025-05-13,Flow-after-flow tests in hydrocarbon wells,1,E21B|G01V|G06F
12297930,2025-05-13,Digitized valve locking device and remote monitoring system,0,F16K|G06T
12293011,2025-05-06,Method and system for managing virtual reality user assessment recordings,0,G06F|G06Q
12292543,2025-05-06,Method and system for determining permeability and lost circulation,0,G01V|G06F
12289337,2025-04-29,"System, method, and apparatus for improved management of security vulnerabilities in a computing system using a machine learning model",0,H04L
12283003,2025-04-22,Remote assistance using augmented reality,0,G06T|G06V|H04N
12282131,2025-04-22,Systems and methods for incorporating compositional grading into black oil models,0,E21B|G01V|G06F
12282128,2025-04-22,System and method for quantitative seismic integration modeling workflow,0,G01V|G06F
12281029,2025-04-22,Model predictive control system and method using neural network to control dissolved oxygen and PH in seawater,0,C02F|G05B|G06N
12279117,2025-04-15,Extending network connectivity from core network to remote mobile networks using wireless broadband,0,H04L|H04W
12277223,2025-04-15,System and method utilizing machine learning and natural language processing to identify malware DNA,0,G06F|G06N
12273442,2025-04-08,Automating the creation and maintenance of containerized applications' custom routes and associated SSL certificates,0,H04L
12273363,2025-04-08,System and method for detecting a malicious command and control channel using a simple mail transfer protocol,0,H04L
12271414,2025-04-08,Method and system for intelligent maintenance services using machine learning,0,G06F|G06Q
12270735,2025-04-08,Method and system for managing component failures among automation systems,0,G01M|G05B|G06Q|Y02P
12265802,2025-04-01,Apparatus and method for digital platforms twins generation,0,G06F|H04L
12264580,2025-04-01,Detecting gas leaks in oil wells using machine learning,0,E21B|G06F|G06N|G06V
12260312,2025-03-25,Soft-sensor to measure pH of treated seawater,0,B01D|C02F|C09K|E21B|G01N|G06N
12259769,2025-03-25,Systems and methods for remote power management of a communication infrastructure device,0,G06F
12259517,2025-03-25,Methods for predicting and monitoring downhole salinity variations,0,G01V|G06N
12258858,2025-03-25,Control systems and methods for rock cuttings identification,0,B82Y|E21B|G01N|G06T|G06V
12256359,2025-03-18,Secure hybrid integrated private 5G deployment architecture,0,H04L|H04W
12254434,2025-03-18,Method and system for managing automated performance-based assessments using virtual reality,0,G06F|G06Q
12254252,2025-03-18,Method and system for multiphase flow meter using updated flow model based on simulated data,0,E21B|G06F|G06N
12242782,2025-03-04,Digitally controlled ground inductor simulation circuits,0,G01R|G01V|G06F
12241883,2025-03-04,Method to prepare virtual assay using gel permeation chromatography,0,B01D|G01N|G06F
12225122,2025-02-11,Method and service continuity encrypted storage solution for secure off-line distribution,0,H04L
12225093,2025-02-11,Systems and methods for providing a hydrocarbon refining train IIoT service,0,G06F|G16Y|H04L
12225041,2025-02-11,System and method for centralized cybersecurity configuration compliance management,0,H04L
12223692,2025-02-11,Method and system for image-based reservoir property estimation using machine learning,0,E21B|G01V|G06N|G06V
12223470,2025-02-11,Method and system for managing approval workflow processes in a network system,0,G06F|G06Q
12223016,2025-02-11,System and method using machine learning for automated casing and/or tubing inspection log interpretation,0,G06F|G06T|G06V
12222967,2025-02-11,Graph framework (database methods) to analyze trillion cell reservoir and basin simulation results,0,E21B|G01V|G06F
12221858,2025-02-11,Method and system for managing valves in an oil and gas well,0,E21B|H04L|H04N
12220252,2025-02-11,Method and system for using internet of workplace things (IOWT) to enhance workforce productivity,0,A61B|G10L|H04L
12219352,2025-02-04,Method of wireless monitoring system connection to distributed control system,0,G06F|H04L|H04W
12215585,2025-02-04,System and method for identifying productive health of wells while ensuring safe operating conditions,0,E21B|G06Q
12212698,2025-01-28,Method for integrating blockchain node compliance data within blockchain transaction data,0,H04L
12205201,2025-01-21,Systems and methods for reservoir history matching quality assessment and visualization,0,E21B|G01V|G06F|G06T
12204061,2025-01-21,Method and system for determining coarsened grid models using machine-learning models and fracture models,0,E21B|G01V|G06F|G06N|G06V
12200124,2025-01-14,Rotation key mechanism for security enhancement,0,H04L
12196713,2025-01-14,Convex ultrasonic sensor for weld inspection,0,G01N|G06T
12189072,2025-01-07,System and method to identify high-impact discrete fracture model realizations for accelerated calibration of reservoir simulation models,0,G01V|G06F
12182715,2024-12-31,Proxy modeling workflow and program for reactive transport modeling,0,G01V|G06N
12180829,2024-12-31,Lean mono-ethylene glycol (MEG) concentration with presence of inorganic salt virtual meter,0,E21B|G01V|G06F
12175592,2024-12-24,Length scale dimension in spatial coordinate systems,0,G06T
12175380,2024-12-24,Gas-oil separation plant virtual water cut predictor based on supervised learning framework on time series data,0,C10G|G06N|G16C
12169488,2024-12-17,Local content enrichment platform that uses distributed ledger technology,0,G06F
12164074,2024-12-10,Interactive core description assistant using virtual reality,0,E21B|G01N|G01V|G06T|G06V
12163411,2024-12-10,Intelligent completion control in reservoir modeling,0,E21B|G06F
12160447,2024-12-03,Method to safeguard against email phishing attacks,0,H04L
12159394,2024-12-03,System and method for orienting geological core samples,0,G01B|G06T
12154252,2024-11-26,Method for denoising wellbore image logs utilizing neural networks,0,G06N|G06T
12125141,2024-10-22,Generation of a virtual three-dimensional model of a hydrocarbon reservoir,0,E21B|G01V|G06F|G06N|G06T
12124979,2024-10-22,Artificial intelligence system and method for site safety and tracking,0,G06F|G06K|G06N|G06Q|G06V|G10L
12124451,2024-10-22,System and method for efficient integration with a primary database to reduce unnecessary network traffic,0,G06F
12123296,2024-10-22,Contactless sensor monitoring of a drill string controlled by a drilling program,0,E21B|G06F|G06T
12120135,2024-10-15,System and method to detect malicious activity through detecting anomalies in sinkholed traffic,0,G06N|H04L
12117580,2024-10-15,Evaluation of rock physical properties from drill sounds through minimizing the effect of the drill bit rotation,0,E21B|G01V|G06F
12113794,2024-10-08,System and method for controlling login access to computer resource assets,0,H04L
12113747,2024-10-08,Dynamic frequency assignment based on GPS location,0,H04L|H04W
12111930,2024-10-08,Utilizing machine learning to detect ransomware in code,0,G06F
12111916,2024-10-08,SQL proxy analyzer to detect and prevent unauthorized SQL queries,0,G06F|H04L
12111306,2024-10-08,Methods of geologic sample analysis,0,G01N|G06V|H04N
12098992,2024-09-24,Evaluating source rock permeability using 3D model,0,G01N|G06T
12089131,2024-09-10,Auto-notification and escalation engine for journey management,0,G06F|G06Q|G08G|H04L|H04W
12086512,2024-09-10,Method to automatically pick formation tops using optimization algorithm,0,E21B|G01V|G06F|G06Q
12086252,2024-09-10,System and method for preserving forensic computer data,0,G06F
12085687,2024-09-10,Model-constrained multi-phase virtual flow metering and forecasting with machine learning,1,E21B|G01F|G01V|G06F|G06N
12085685,2024-09-10,Systems and methods for seismic well tie domain conversion and neural network modeling,0,G01V|G06N
12084956,2024-09-10,Method and system for processing well log data from multiple wells using machine learning,0,E21B|G01V|G05B|G06N
12079754,2024-09-03,Well completion operations intelligent advisory based on dimension embedding,0,G06Q
12072677,2024-08-27,"System and method for preemptive shutdown of utilities, facilities or systems in smart cities",0,G05B|G06Q|H04W
12066590,2024-08-20,Creation of near bit gamma ray image from a gamma ray curve,0,E21B|G01V|G06F
12066586,2024-08-20,Lithofacies guided core description using unsupervised machine learning,0,E21B|G01V|G06N
12055037,2024-08-06,Method for identifying environmental effects in downhole data for hydrocarbon saturation estimation,0,E21B|G01V|G06N
12051486,2024-07-30,Utilizing hydraulic simulation to evaluate quality of water in salt water disposal systems,0,C10G|G06F|G16C
12047460,2024-07-23,"Cross-communication links for a unidirectional, bilateral data network",0,H04L
12044818,2024-07-23,System for in situ estimation of sub-erosion production rates in gas wells,0,E21B|G01V|G06F
12038423,2024-07-16,Predicting internal corrosion in gas flow lines using machine learning,0,G01K|G01N|G06N
12032539,2024-07-09,Automated quality control of well log data,0,E21B|G01V|G06F
12032111,2024-07-09,Method and system for faster seismic imaging using machine learning,0,G01V|G06N
12026273,2024-07-02,System and method to extend data loss prevention (DLP) to leverage sensitive outbound emails investigations—(antileaks),0,G06F|G06Q|H04L
12020192,2024-06-25,Estimating well downtime factor in field modeling,0,G06Q
12019202,2024-06-25,Fast variogram modeling driven by artificial intelligence,0,E21B|G01V|G05B|G06F|G06N
12019059,2024-06-25,Detecting equipment defects using lubricant analysis,0,G01M|G01N|G05B|G06F|G06N
12018911,2024-06-25,Managing operation of a weapon,0,A61B|F41A|F41C|G06F|G16H
12015522,2024-06-18,Systems and methods for detecting system configuration changes,0,H04L
12013508,2024-06-18,Method and system for determining seismic processing parameters using machine learning,0,G01V|G06N
12007969,2024-06-11,Automatic computer data deduplication process for application whitelisting system,0,G06F
11994402,2024-05-28,System and method for automated electronic guidance during emergencies,0,G01C|G01P|G06F|G08G
11988795,2024-05-21,Automated well log data quicklook analysis and interpretation,0,E21B|G01R|G01V|G06N
11988794,2024-05-21,Accommodating non-Darcian effects of slip flow and Knudsen diffusion on gas flow for use in reservoir simulations,0,E21B|G01N|G01V|G06F
