patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12425408,2025-09-23,Offline risk management pipeline,0,G06N|H04L
12423703,2025-09-23,Real time fraud detection and intervention,0,G06Q
12417467,2025-09-16,Electronic reward offer management,0,G06Q
12400275,2025-08-26,Automatic triggering of receipt delivery,0,G06Q
12400220,2025-08-26,Encapsulation of payment accounts with tokenization,0,G06Q
12400202,2025-08-26,Area-based identification of devices for pairing,0,G06Q
12393930,2025-08-19,Cryptocurrency access management,0,G06Q|H04L
12393921,2025-08-19,Enrolling mobile-payment customers after online transactions,0,G06F|G06Q
12393917,2025-08-19,Interactive digital receipt,0,G06Q
12387261,2025-08-12,Intelligent loan management via a mobile application,0,G06Q
12387212,2025-08-12,Configuring verification information at point-of-sale devices,0,G06Q
12387202,2025-08-12,Systems and methods for managing cryptocurrency,0,G06F|G06Q|H04L|H04W
12380496,2025-08-05,Distributed system for custom financing,0,G06Q
12380366,2025-08-05,Auto-generated fulfillment attributes,0,G06N|G06Q|G06V
12375743,2025-07-29,Multi-participant media control and playback,0,H04L|H04N
12373876,2025-07-29,Transaction modification based on modeled profiles,0,G06Q
12373781,2025-07-29,Intelligent image recommendations,0,G06Q
12367515,2025-07-22,Facilitating payments for users,0,G06Q
12367501,2025-07-22,Logical validation of devices against fraud and tampering,0,G06Q|G07F|G07G
12367478,2025-07-22,Integration of transaction status indications,0,G06Q|G07G|G08B|H04L|H04N
12367467,2025-07-22,Integrated interactive elements for multi-user transactions,0,G06Q
12363328,2025-07-15,Machine-learning based data compression for streaming media,0,G06N|H04N
12361404,2025-07-15,Preliminary enablement of transaction processing circuitry,0,G06Q|G07F
12361402,2025-07-15,Proximity-based device identification for payments,0,G06Q
12361396,2025-07-15,Selection of a financial account associated with a proxy object,0,G06Q
12355783,2025-07-08,Logical validation of devices against fraud and tampering,0,D01B|G06F|G06Q|G07F|H04L
12354157,2025-07-08,"Method, system, and media for extended reality storefronts",0,G06F|G06Q|G06T
12354092,2025-07-08,Establishment of a secure session between a card reader and a mobile device,0,G06Q|G07F|G07G|H04L
12354078,2025-07-08,Systems and methods for communicating with NFC readers,0,G06Q|H01Q
12346962,2025-07-01,Mobile device integrating virtual payment card,0,G06N|G06Q
12346907,2025-07-01,Predicting capital needs,0,G06Q
12323375,2025-06-03,Contextual communication routing methods and systems,0,G06F|G06Q|H04L
12321919,2025-06-03,Context-based actions from matrix codes,0,G06Q
12321506,2025-06-03,Secure electronic circuitry with tamper detection,0,G06F
12321497,2025-06-03,Authorized views for privacy preservation,0,G06F
12307435,2025-05-20,Application integration for web payments,0,G06F|G06K|G06Q|G07G
12307159,2025-05-20,Predictive media caching,0,G06F|G06N
12299667,2025-05-13,Transaction identification by comparison of merchant transaction data and context data,0,G06F|G06K|G06Q
12299665,2025-05-13,Appointment and payment handling,0,G06Q
12299664,2025-05-13,Reader device with a plurality of reader interfaces,0,G06F|G06K|G06Q|G07F|G07G|H05K
12299661,2025-05-13,Controlling processor's access to interface device,0,G06F|G06Q|G07F|G07G
12299659,2025-05-13,Reduced friction for merchant interactions,0,G01K|G06F|G06Q|G07G|H04L
12299648,2025-05-13,Reprogrammable point-of-sale transaction flows,0,G06Q|G07G
12299054,2025-05-13,Event-based customized recommendations in a distributed network,0,G06F
12293409,2025-05-06,Tax return document generation,0,G06N|G06Q
12293351,2025-05-06,Peer-to-peer data object transfer and state management,0,G06Q
12277562,2025-04-15,Decentralized cryptographic asset exchange with secure interactive element,0,G06N|G06Q
12277556,2025-04-15,Secure account creation,0,G06Q
12271905,2025-04-08,Payment application based fund transfer,0,G06Q
12271879,2025-04-08,Dynamically determining a customized transaction flow,0,G06Q
12271844,2025-04-08,Identification via geo-fence overlap,0,G06Q
12271746,2025-04-08,Model-based personalization architecture,0,G06F|G06N|G06Q
12260408,2025-03-25,Decreasing cryptographic-operation latency on payment readers,0,G06F|G06Q|G07F|H04L
12254459,2025-03-18,"Apparatuses, methods, and systems for transmitting payment proxy information",0,G06Q|H04W
12254453,2025-03-18,Access controls for a decentralized network,0,G06N|G06Q
12254449,2025-03-18,"Apparatuses, methods, and systems for generating interactive digital receipts",0,G06Q|G07G
12254055,2025-03-18,Adaptive collaboration recommendation platform,0,G06F
12248922,2025-03-11,Associating an account with a card,0,G06Q
12248921,2025-03-11,Processing multiple point-of-sale transactions,0,G06Q|G07G
12248911,2025-03-11,User interface component generation using service and/or duration information,0,G06F|G06N|G06Q
12243398,2025-03-04,Payment application initiated generation of payment instruments,0,B41J|G06F|G06Q|G07F|H04L
12243028,2025-03-04,Payout payment platform,0,G06Q
12236429,2025-02-25,Authorization of cardless payment transactions,0,G06Q
12229748,2025-02-18,Transaction object reader with shielding,0,G06K|G06Q|G07F|H04M|H04W
12229622,2025-02-18,Extended reality tags in an extended reality platform,0,G06K|G06T
12223527,2025-02-11,Multi-merchant concomitant-use point-of-sale device,0,G06F|G06Q
12223507,2025-02-11,Line-based chip card tamper detection,0,G06Q|G07F
12219193,2025-02-04,Personalized artist data with curated action items,0,G06Q|H04N
12217283,2025-02-04,Cross-merchant promotions,0,G06Q
12217237,2025-02-04,Systems and methods for providing gratuities to merchants,0,G06Q
12217235,2025-02-04,Sensor-based transaction authorization via user device,0,G06F|G06Q|G06T
12211072,2025-01-28,Pre-authorization techniques for transactions,0,G06Q
12211042,2025-01-28,Blockchain agnostic token network,0,G06Q|H04L
12211024,2025-01-28,Payment by use of identifier,0,G06Q
12210559,2025-01-28,Model framework for media content recommendations,0,G06F
12207322,2025-01-21,Server-assisted pairing for wireless communications,0,G06Q|H04L|H04W
12206812,2025-01-21,Integrating customer and/or merchant discrete functionality with discoverable applications in a user device,0,G06K|G06Q|H04M
12205091,2025-01-21,Intelligent subscription identification using transaction data,0,G06Q
12190322,2025-01-07,Aggregation via resource locator and data characteristics,0,G06Q
12190304,2025-01-07,Embedded card reader security,0,G06Q|G07F
12182790,2024-12-31,Systems and methods for performing transactions,0,A44C|G06K|G06Q|G07F|H01Q|H04B
12175547,2024-12-24,Updating menus based on predicted efficiencies,0,G06F|G06Q
12175464,2024-12-24,Blockchain agnostic token network,0,G06Q|H04L
12175448,2024-12-24,Proximity-based payments,1,G06Q
12170803,2024-12-17,Non-fungible tokens for media item samples,0,G06F|G06Q|H04L|H04N
12167065,2024-12-10,Live playback streams,0,G06F|G06Q|H04L|H04N
12165140,2024-12-10,Recommending conditions for blockchain-enforced contracts,0,G06F|G06Q|H04L
12165115,2024-12-10,Blockchain supported resource transfer communication protocol,0,G06N|G06Q
12164830,2024-12-10,Media content navigation user interface,0,G06F
12159273,2024-12-03,Movement feedback based on reader interface,0,G06Q|G07F|G07G|H04B
12158793,2024-12-03,Managing delivery of power to processing elements,0,G06F|H02J|Y02D
12154181,2024-11-26,Social network for merchants,0,G06Q
12147989,2024-11-19,Delegating authentication across applications,0,G06F|G06Q|H04L|H04W
12147958,2024-11-19,Generating an online storefront,0,G06Q
12141786,2024-11-12,Device security with physically unclonable functions,0,G06Q|G07F|H04L
12136130,2024-11-05,Automatic tax account management,0,G06Q
12136075,2024-11-05,Allocation of transaction proceeds,0,G06N|G06Q
12131376,2024-10-29,Payment processor financing of customer purchases,0,G06Q
12131317,2024-10-29,Asset pack recommendation and management,2,G06Q
12131306,2024-10-29,Point-of-sale system having a secure touch mode,0,G06Q|G07G
12118603,2024-10-15,Customized e-commerce tags in realtime multimedia content,0,G06F|G06Q
12112302,2024-10-08,Item-level information collection for interactive payment experience,0,G06Q
12106307,2024-10-01,Detecting for fraud and tampering at a payment terminal,0,G06Q|H04W
12106271,2024-10-01,Cryptocurrency payment network,0,G06Q
12099985,2024-09-24,Group data objects and associated functionality enablement,1,G06Q
12093926,2024-09-17,Profile association and transaction authorization based on transaction type,1,G06K|G06Q
12086860,2024-09-10,Using data analysis to connect merchants,0,G06Q
12086826,2024-09-10,Centralized identity for personalization of data presentation,0,G06Q
12079863,2024-09-03,"Physical, logical separation of balances of funds",0,G06Q
12079747,2024-09-03,Determining employee shift changes,0,G06Q
12073458,2024-08-27,Computer-implemented methods and system for customized interactive image collection based on customer data,0,G06F|G06Q|G07G
12069328,2024-08-20,Audience and artist engagement interfaces,0,G06F|G06Q|H04L|H04N
12067637,2024-08-20,Gradated service access based on identity verification (IDV),0,G06N|G06Q
12067582,2024-08-20,Logical validation of devices against fraud and tampering,0,G06Q|G07F|G07G
12067574,2024-08-20,Using transaction data to present search results,0,G06F|G06N|G06Q
12067538,2024-08-20,Security asset packs,0,G06Q
12067517,2024-08-20,Facilitating shareholder voting and associated proxy rights,0,G06Q|G07C
12063405,2024-08-13,Media mixing user interface,0,G06F|G06Q|H04L|H04N
12062076,2024-08-13,Integration of image capturing mechanism into ecommerce application,0,G06F|G06Q|G06T|G06V|H04N
12062038,2024-08-13,Anonymous payment transactions,0,G06Q
12062035,2024-08-13,Controlling reader transmissions based on device resonant frequency,0,G06Q|G07G|H04B
12056775,2024-08-06,Transacting via social media interactions,0,G06Q
12051049,2024-07-30,Centralized restaurant management,0,G06Q|G07F|G07G|H04L
12045800,2024-07-23,Detecting device presence indication,0,G06Q
12026759,2024-07-02,Artificial intelligence based service recommendation,0,G06N|G06Q
12026691,2024-07-02,Computing distances of devices,0,G06Q|H04M|H04W
12020247,2024-06-25,Intelligent payment capture in failed authorization requests,0,G06Q
12020235,2024-06-25,Multi-source transaction processing,0,G06Q|H04W
12020045,2024-06-25,Architecture for building native graphical user interfaces,1,G06F
12014238,2024-06-18,Displaceable reader circuitry,0,G06K|G06Q|G07F
12008871,2024-06-11,Point of sale device for mobile computing device,0,F16M|G06F|G07G|H04B|H04M
12008665,2024-06-11,Methods and system for sensor-based layout generation,0,G06Q|G06T|G07F|G07G|H04W
12008643,2024-06-11,Classifier performing eligibility determination,0,G06F|G06Q
12008642,2024-06-11,Electronic payroll funds transfer delay and failed transfer coverage,0,G06Q
12007469,2024-06-11,Trajectory determination system using positional sensing to determine the movement of people or objects,0,G01S|G06Q
12002093,2024-06-04,Distributed system for custom financing,0,G06Q
12002040,2024-06-04,Device driver for contactless payments,0,G06Q|G07F
12002027,2024-06-04,Multi-device authorization,0,G06Q
11995715,2024-05-28,Capital loan optimization,0,G06Q
11995666,2024-05-28,Application program interfaces for order and delivery service recommendations,0,G06Q
11995640,2024-05-28,Integration of transaction status indications,0,G06Q|G07G|G08B|H04L|H04N
11995626,2024-05-28,Expedited point-of-sale merchant payments,0,G06Q
11995624,2024-05-28,System-based detection of card sharing and fraud,1,G06Q
11989718,2024-05-21,Context-aware peer-to-peer transfers of items,0,G06Q
11983763,2024-05-14,Modeling to generate dynamic electronic representations,0,G06Q|H04L
11983701,2024-05-14,Temporarily provisioning card on file payment functionality to proximate merchants,0,G06Q|G07F
11983697,2024-05-14,Embedded application within a buyer application,1,G06Q|H04L
11983688,2024-05-14,Controlling access to output device between two processors,0,G06F|G06Q|G07F|G07G
11983686,2024-05-14,Dynamic adjustment of item fulfillment times,0,G06F|G06Q|H04B|H04W
11983675,2024-05-14,User interface component generation using service and/or duration information,0,G06F|G06N|G06Q
11972407,2024-04-30,Embedded applications,0,G06F|G06Q
11966961,2024-04-23,Determining pricing information from merchant data,1,G06Q
11966805,2024-04-23,Point of sale system,0,G06F|G06K|G06Q|G07G
11961055,2024-04-16,Bill payment using direct funds transfer,1,G06Q
11954549,2024-04-09,Point of sale system,0,G06F|G06K|G06Q|G07G
11948140,2024-04-02,Interactive electronic notification,1,G06Q
11941638,2024-03-26,Transferring money using electronic messages,1,G06Q
11935024,2024-03-19,Account-based data and marketplace generation,0,G06N|G06Q
11935016,2024-03-19,Interactive gratuity platform,0,G06Q
11928724,2024-03-12,Customer-device application sites accessible via merchant-managed identifiers,1,G06F|G06Q
11922495,2024-03-05,Automatically determining adverse action reason codes,4,G06F|G06N|G06Q
11922447,2024-03-05,Biometric-based payment rewards,0,G06N|G06Q
11922397,2024-03-05,Transaction object reader with interposer,0,G06K|G06Q|G07F|H04M|H04W
11922396,2024-03-05,Sending pairing and payment instructions to devices,3,G06Q|G07G|H04W
11922394,2024-03-05,Customer segment communications,0,G06Q
11915216,2024-02-27,Dynamically determining a customized transaction flow,0,G06Q
11915212,2024-02-27,Payment network for security assets,1,G06Q
