patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12432807,2025-09-30,Traffic arrival based dynamic PUCCH,0,H04W
12432805,2025-09-30,Method and apparatus for session management,0,H04L|H04W
12432779,2025-09-30,Measurement signal for channel estimation,0,H04L|H04W
12432710,2025-09-30,Systems and methods for transmitting a semi-persistent scheduling (SPS) release command to a user equipment (UE),0,H04L|H04W
12432678,2025-09-30,Random access handling of a UE,0,H04B|H04W
12432650,2025-09-30,Method for broadcast and index generation in UE,0,H04L|H04W
12432638,2025-09-30,Target secondary node initiated cancel of conditional PSCell change,0,H04W
12432616,2025-09-30,"Radio network node, network node, and methods performed in a wireless communication network",0,H04W
12432586,2025-09-30,Methods for efficient RSTD measurement reporting in NR,0,G01S|H04W
12432552,2025-09-30,Handling application functions for key management in communication device-network relay scenarios,0,H04L|H04W
12432284,2025-09-30,Shared caching in a virtualized network,0,H04L
12432259,2025-09-30,Obtaining information pertaining to a network function in lawful interception,0,H04L|H04M|H04W
12432126,2025-09-30,Method and apparatus for service management,0,H04L
12432125,2025-09-30,Distributed service activation method via blockchain,0,H04L
12432018,2025-09-30,Configured grant based PUSCH transmission to multiple TRPs,0,H04L|H04W
12430232,2025-09-30,"Architecture, method and system for live testing in a production environment",0,G06F
12430068,2025-09-30,Managing provenance information for data processing pipelines,0,G06F
12426118,2025-09-23,Method and apparatus for user plane path failure and recovery handling,0,H04L|H04W
12426098,2025-09-23,"Wireless device, network node, and methods performed thereby, for handling uplink communication",0,H04L|H04W
12426077,2025-09-23,Systems and methods for determining and indicating antenna ports with configurable antenna port field in DCI,0,H04L|H04W
12426063,2025-09-23,PDCCH reliability enhancements with multiple TRPs,0,H04L|H04W
12426049,2025-09-23,Methods and apparatuses for controlling preemption of uplink transmissions in a communication network,0,H04L|H04W
12426043,2025-09-23,Rate matching for non-coherent joint-transmission with dynamic spectrum sharing,0,H04L|H04W
12426040,2025-09-23,Decoding channel state information report part two,0,H04L|H04W
12425975,2025-09-23,Extended power class for uplink (UL) multiple-input multiple-output (MIMO) communications,0,H04B|H04W
12425970,2025-09-23,"Radio network node, user equipment and methods performed in a wireless communication network",0,H04W|Y02D
12425956,2025-09-23,"Methods for access security at operation and maintenance, O and M, support",0,H04L|H04W
12425950,2025-09-23,Robust NAS layer signaling,0,H04W
12425913,2025-09-23,"Wireless device, network node and methods for efficient sidelink management",0,H04W|Y02D
12425880,2025-09-23,Radio network node and method performed therein for communication in a wireless communication network,0,H04W
12425868,2025-09-23,Tracking of a target in a wireless communication network,0,H04L|H04W
12425866,2025-09-23,Bluetooth device and Bluetooth gateway,0,H04L|H04W
12425858,2025-09-23,Integrity verification in a wireless communication network,0,H04L|H04W
12425842,2025-09-23,Apparatuses and methods for 2-hop cooperative group transmissions,0,H04B|H04W
12425823,2025-09-23,Method and apparatus for event monitoring,0,H04W
12425660,2025-09-23,Combining deblock filtering and another filtering for video encoding and/or decoding,0,H04N
12425472,2025-09-23,Method to prioritize and offload mobile edge cloud traffic in 5G,0,H04L|H04W
12425463,2025-09-23,Methods and apparatus for content delivery,0,H04L
12425457,2025-09-23,Internet protocol multimedia subsystem support for stand-alone non-public networks,0,H04L|H04W
12425374,2025-09-23,Message transmission between core network domains,0,H04L|H04W
12425351,2025-09-23,Method and system for efficient input/output transfer in network devices,0,G06F|H04L
12425339,2025-09-23,Method for debugging the parser in programmable routers,0,B25J|G05B|G06F|H04L|Y02P
12425301,2025-09-23,Handling an updated network function profile,0,H04L|H04W
12425298,2025-09-23,Modelling and optimization of quality of experience,0,H04L
