patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12430903,2025-09-30,Object recognition neural network training using multiple data sources,0,G06N|G06V
12430861,2025-09-30,Cross reality system with simplified programming of virtual content,0,G02B|G06F|G06T
12430860,2025-09-30,Spatial instructions and guides in mixed reality,0,G02B|G06F|G06T|H04L|H04R|H04S|H04W
12429946,2025-09-30,Display systems and methods for determining vertical alignment between left and right displays and a user's eyes,0,G02B|G06F|G09G|H04N
12429698,2025-09-30,Eye-imaging apparatus using diffractive optical elements,0,G02B|G06T|H04N
12417766,2025-09-16,Voice user interface using non-linguistic input,0,G06F|G10L
12406454,2025-09-02,Interactions with 3D virtual objects using poses and multiple-dof controllers,0,G06F|G06T
12406408,2025-09-02,Augmented reality map curation,0,G01C|G06F|G06T|G06V|G09B
12406397,2025-09-02,Concurrent camera calibration and bundle adjustment,0,G06T
12405659,2025-09-02,Gaze timer based augmentation of functionality of a user input device,0,G02B|G06F
12405497,2025-09-02,Broadband adaptive lens assembly for augmented reality display,0,G02B|G02F|G06T|G06V|G09G
12405472,2025-09-02,Adaptive lens assemblies including polarization-selective lens stacks for augmented reality display,0,C12Q|G02B|G02C|G02F|G06T
12405464,2025-09-02,Display system having 1-dimensional pixel array with scanning mirror,0,G02B|H04N
12405463,2025-09-02,Waveguide-based illumination for head mounted display system,0,G02B|G06F|G06T
12401773,2025-08-26,"Methods and system for generating and displaying 3D videos in a virtual, augmented, or mixed reality environment",0,G06F|G06T|H04N
12399370,2025-08-26,System for collecting light,0,G02B|G06F
12394163,2025-08-19,Optical elements based on polymeric structures incorporating inorganic materials,0,B29D|G02B|G06F|G06T
12393847,2025-08-19,Gradient adversarial training of neural networks,0,G06N
12393271,2025-08-19,Enhanced eye tracking for augmented or virtual reality display systems,0,G02B|G06F
12389187,2025-08-12,Physics-based audio and haptic synthesis,0,A63F|G06F|G06T|H04S
12386417,2025-08-12,Systems and methods for augmented reality,0,G01S|G02B|G06F|G06T
12380662,2025-08-05,Frame-by-frame rendering for augmented or virtual reality systems,0,G02B|G06F|G06T|G09G
12380609,2025-08-05,Patch tracking image sensor,0,G02B|G06F|G06T|G09G|H04N|H10F
12379981,2025-08-05,Thread weave for cross-instruction set architectureprocedure calls,0,G06F
12379890,2025-08-05,Systems and methods for virtual and augmented reality,0,G02B|G06F|G09G|H04L|H04N
12379602,2025-08-05,Spectator view of virtual and physical objects,0,G02B|G06F|G06T
12379600,2025-08-05,Eyepieces for augmented reality display system,0,G02B|G06F
12377936,2025-08-05,Matching meshes for virtual avatars,0,B63B|B63H|F01N|G06T|G06V
12375567,2025-07-29,"Methods, systems, and computer program products for implementing cross-platform mixed-reality applications with a scripting framework",0,G06F|G06T|H04L
12373025,2025-07-29,Lightweight and low power cross reality device with high temporal resolution,0,G02B|G06F|G06Q|G06T|H04N
12372710,2025-07-29,Metasurfaces with light-redirecting structures including multiple materials and methods for fabricating,0,G02B|G06T
12371368,2025-07-29,Patterning of high refractive index glasses by plasma etching,0,C03C|G02B|G06F|H04N
12369444,2025-07-22,Low profile interconnect for light emitter,0,G02B|H01L|H10H
12368973,2025-07-22,Lightweight cross reality device with passive depth extraction,0,G02B|G06T|H04N
12361650,2025-07-15,Systems and methods for virtual and augmented reality,0,G06F|G06T|H04N
12360360,2025-07-15,System for using characterization light to detect fiber position in a fiber scanning projector,0,G02B|H04N
12354295,2025-07-08,Eye tracking latency enhancements,0,G06F|G06T|G06V
12354204,2025-07-08,Audiovisual presence transitions in a collaborative reality environment,0,G06F|G06T
12347448,2025-07-01,Wearable system speech processing,1,G02B|G06F|G10L|H04R|H04S
12347415,2025-07-01,Surface appropriate collisions,0,G06F|G06V|G10K|G10L|H04R|H04S
12347062,2025-07-01,Methods to improve the perceptual quality of foveated rendered images,0,A61B|G02B|G06F|G06T|G09G|H04N
12347048,2025-07-01,Matching content to a spatial 3D environment,0,G06F|G06T|H04N
12345892,2025-07-01,Augmented and virtual reality display systems and methods for diagnosing health conditions based on visual fields,0,A61B|A61F|A61H|A61M|A61N|G02B|G02C|G06T|G16H
12340477,2025-06-24,Contextual-based rendering of virtual avatars,0,G06F|G06T|G06V|H04N
12339553,2025-06-24,Wide field-of-view polarization switches with liquid crystal optical elements with pretilt,0,G02B|G02F|H04N
