patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12418707,2025-09-16,"Network device, method and computer-readable medium for video content processing",0,G11B|H04N
12418384,2025-09-16,Methods and apparatus for generating and using dynamic profiles for cable transmission systems,0,H04L
12413980,2025-09-09,Practical easyconnect onboarding of extenders,0,H04L|H04W
12413731,2025-09-09,System for coding high dynamic range and wide color gamut sequences,0,H04N
12413439,2025-09-09,Systems and methods for R-MACPHY partial service support,0,H04J|H04L|H04N
12412577,2025-09-09,Voice control configuration using a graphical user interface,0,G06F|G10L|H04N
12412018,2025-09-09,UHD HDR IP client device PCB design layout,0,G06F|H05K
12407619,2025-09-02,Tunable latency with minimum jitter,0,H04L
12407592,2025-09-02,R-PHY map advance time selection,0,H04L
12407516,2025-09-02,Anti-cloning architecture for device identity provisioning,0,G06F|H04L|H04W
12407436,2025-09-02,Method of measuring timing holdover performance in an R-PHY system,0,H04J|H04N
12407435,2025-09-02,System for channel map delivery for hi split cable networks,0,H04H|H04L|H04N
12401541,2025-08-26,Classifier reduction for low latency DOCSIS,0,H04L
12399709,2025-08-26,Obfuscation for protection of streaming media and other data flows,0,G06F|H04L
12395769,2025-08-19,OLT power management system,0,H04B|H04L|H04N|H04Q
12395708,2025-08-19,Providing dynamic media captioning and augmented/virtual reality feedback in home network environments,0,G06N|G10L|H04N
12393539,2025-08-19,System and method for an adaptive storage media interface,0,G06F
12389304,2025-08-12,Client steering based on client battery level,0,H04W|Y02D
12389142,2025-08-12,Daisy chaining of remote OLTs,0,H04L|H04Q
12389085,2025-08-12,Manifest customization in adaptive bitrate streaming,0,H04N
12388790,2025-08-12,VPN manager and monitor for VPN connection selection,0,H04L
12382144,2025-08-05,Media program viewership measurement using blockchains,0,H04H|H04L|H04N
12381716,2025-08-05,Optimized key management for data signing systems,0,H04L
12380211,2025-08-05,Method and apparatus for detecting disablement of data backup processes,0,G06F
12375491,2025-07-29,Method and system for parental control of broadband devices,0,H04L
12373186,2025-07-29,Enhancing firmware upgrades in electronic devices included in a network,0,G06F|H04L
12368934,2025-07-22,Method and system for synchronizing play position between main player and companion devices and providing value added services,0,H04N
12368512,2025-07-22,Shared geographically dispersed virtualization of PON,0,H04B|H04L|H04Q
12363359,2025-07-15,System for presentation time stamp recovery from a transcoder,0,H04L|H04N
12356217,2025-07-08,Wi-Fi multiple access point—third party extender configuration,0,G06F|H04W
12356051,2025-07-08,Broadcast channel tuning parameters support using switched digital video delivery,0,H04N
12356000,2025-07-08,Video bitstream coding,0,H04N
12355966,2025-07-08,System and method for reshaping and adaptation of high dynamic range video data,0,G06T|H04N
12355580,2025-07-08,Bitrate optimized clustering for OFDM/OFDMA profile generation,0,H04L|H04W
12353556,2025-07-08,Intelligent switching to a debug load operation for an electronic device,0,G06F
12353519,2025-07-08,Digital rights management authorization token pairing,0,G06F|H04L|H04N
12348835,2025-07-01,System and method for improved determination of satellite interface type,0,H04H|H04N|H04Q
12348741,2025-07-01,Modification of picture parameter set (PPS) for HEVC extensions,0,H04N
12348620,2025-07-01,Method and apparatus for two-step data signing,0,G06F|H04L
12348577,2025-07-01,Techniques for efficient content delivery in a multicast adaptive bit rate (MABR) system,0,H04L|H04N
12346415,2025-07-01,Method and apparatus for license credit management,0,G06F
12342035,2025-06-24,Gaze-responsive advertisement,0,G06Q|H04N
12342031,2025-06-24,Out of band control for legacy set top boxes,0,A61B|H04N
12342017,2025-06-24,Adaptive video slew rate for video delivery,0,H03K|H04N
12340145,2025-06-24,Technologies for providing audio components/sessions to devices,0,G06F|H04L|H04N|H04R|H04S
12335546,2025-06-17,Partial video async support using R-MACPHY device,0,H04H|H04J|H04N
12335511,2025-06-17,System and method of motion information storage for video coding and signaling,0,H04N
12335464,2025-06-17,Adaptive unequal weight planar prediction,0,H04N
12335390,2025-06-17,Anti-cloning of device cryptographic keys for counterfeit prevention,0,H04L
12335380,2025-06-17,Prevention of unauthorized migration of wireless access points across service providers,0,H04L
12335064,2025-06-17,Node with radio frequency (RF) switching network and corresponding methods for identifying coupled client devices,0,H04L|H04N
12335030,2025-06-17,Systems and methods for large phase correction in R-PHY network architectures,1,H04J|H04L
12331751,2025-06-17,Dynamic acoustic-based fan control,0,F04D|G06F
12328539,2025-06-10,Resource targeted scheduling for a PON network,0,H04L|H04Q
12328478,2025-06-10,Recommending audiovisual content items to a subscriber based on locations visited by the subscriber,0,H04N
12328433,2025-06-10,Reducing overhead for multiple-hypothesis temporal prediction,0,H04N
12328224,2025-06-10,Association of devices to a sensing device control system,0,H04L|H04W
12323667,2025-06-03,"System, method, and computer-readable recording medium of detecting wireless home digital interface devices and configuring parental control for each",0,H04N
12323653,2025-06-03,System and method for providing common key among media gateway appliance subsystem,0,G06F|H04L|H04N
12323637,2025-06-03,Method and apparatus for firewalling images at a network endpoint,0,G06V|H04L|H04N
12323612,2025-06-03,Carriage systems encoding or decoding JPEG 2000 video,0,H04N
12323601,2025-06-03,Reducing motion vector information transmission in bi-directional temporal prediction,0,H04N
12323510,2025-06-03,Transmission of secure information in a content distribution network,0,H04L|H04W
12321481,2025-06-03,Cloud-based whitebox node locking,0,G06F|H04L
12316888,2025-05-27,Video classification using user behavior from a network digital video recorder,0,H04N
12316581,2025-05-27,Full duplex expander in a full duplex network,0,H03F|H04B|H04L
12316492,2025-05-27,Orchestrating backhaul and fronthaul topologies in mixed mode mesh network,0,H04L|H04W
12315504,2025-05-27,System and method for controlling a media device to provide an improved sonic environment for the reception of a voice command,0,G06F|G10L
12315503,2025-05-27,Customized interface between electronic devices,0,G06F|G10L|H04L|H04N|H04W
12302107,2025-05-13,Functionality to improve extender onboarding prior to country code determination,0,H04W
12301419,2025-05-13,Method and apparatus for management of a network configuration session,0,G06F|H04L
12301410,2025-05-13,"Electronic device, method for electronic device, computer readable medium, and apparatus",0,H04L
12284333,2025-04-22,Simplified processing of weighted prediction syntax and semantics using a bit depth variable for high precision data,0,H04N
12284193,2025-04-22,Proactive identification of potential security threats on residential gateway devices,0,H04L
12282593,2025-04-22,Virtual reality device with ambient audio synchronization,0,G06F
12279020,2025-04-15,Dynamic update system for a remote physical device,0,G06F|H04N
12278953,2025-04-15,Coding weighted angular prediction for intra coding,0,G06F|H04N
12273567,2025-04-08,System and method for reducing blocking artifacts and providing improved coding efficiency,0,H04N
12267745,2025-04-01,Device steering based on profile and historical behavior,0,H04W
12266356,2025-04-01,Context-sensitive actions within client device,0,G06F|G06Q|G10L
12265597,2025-04-01,Digital rights management system resource manager,0,G06F
12265493,2025-04-01,Dynamic DMA buffer management,0,G06F
12261931,2025-03-25,Method and apparatus for provisioning node-locking confidential data,0,G06F|H04L
12256127,2025-03-18,Synchronized playback controls for parallel viewing of video content,0,H04N
12248734,2025-03-11,Audio services agent manager,0,G06F|G10L
12245061,2025-03-04,"Network access device and method for the same, medium and computer program product",0,H04L|H04W
12244907,2025-03-04,System and method for automated audio transitions in a multi-window video environment,0,H04N
12244833,2025-03-04,Re-sampling with phase offset adjustment for luma and chroma to select filters in scalable video coding,0,H04N
12244825,2025-03-04,Weighted angular prediction for intra coding,0,G06T|H04N
12244789,2025-03-04,Unequal weight planar motion vector derivation,0,H04N
12244721,2025-03-04,Advanced crypto token authentication,0,H04L
12238300,2025-02-25,Weighted angular prediction coding for intra coding,0,G01B|H04N
12231713,2025-02-18,System and method to synchronize rendering of multi-channel audio to video presentation,0,H04N
12231710,2025-02-18,Reduction of startup time in remote HLS,0,H04N
12231435,2025-02-18,"Electronic device, method, medium, and program for switching parental control modes",0,H04L
12231321,2025-02-18,Interference group creation in full duplex networks,0,H04B|H04J|H04L|H04W
12225261,2025-02-11,Picture-in-picture control interface,0,G09G|H04N
12225258,2025-02-11,Intelligent remote control positioning and alert system,0,H04N|H04W
12225237,2025-02-11,Conditionally parsed extension syntax for HEVC extension processing,0,H04N
12225226,2025-02-11,Signaling high dynamic range and wide color gamut content in transport streams,0,H04N
12223034,2025-02-11,Secure voice interface in a streaming media device to avoid vulnerability attacks,0,G06F|G10L
12219287,2025-02-04,System and method for dynamically configuring the output of a device,0,G08C|H04N
12219179,2025-02-04,System and method for deblocking HDR content,0,H04N
12219149,2025-02-04,System and method for constructing a plane for planar prediction,0,H04N
12200232,2025-01-14,Constrained position dependent intra prediction combination (PDPC),0,H04N
12199673,2025-01-14,Fiber-enabled backfeed network architecture,0,H04B|H04N|H04Q
12192575,2025-01-07,Method and system for advanced customer bug reporting,0,G06F|G06Q|H04N
12192413,2025-01-07,Method of ensuring Voice over Internet Protocol reliability after entering a power saving mode,0,H04L|H04M
12189752,2025-01-07,Multimodal authentication and liveliness detection,0,G06F|H04L
12185136,2024-12-31,Perform network speed tests on a wireless client device using a master device,0,H04L|H04W
12184910,2024-12-31,Narrowcasting to one-way set top boxes,0,H04L|H04N
12177603,2024-12-24,Switched filter amp circuit for soft duplex CATV architectures,0,H03F|H04H|H04L|H04N
12177321,2024-12-24,PON system optimized for internet of things,0,H04J|H04L|H04Q
12177035,2024-12-24,System and method for the improved provision of user bands via one or more single-cable interfaces,0,H04H|H04L|H04N
12170948,2024-12-17,"Access point, and method, medium, and computer program product for access point",0,H04L|H04W
12170813,2024-12-17,Channel reporting during fast channel change,0,H04L|H04N
