patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12432686,2025-09-30,"Signal processing method and apparatus, device, and storage medium for determining position of base station",0,G01S|H04W
12430516,2025-09-30,"Method of training dialog generation model for recommendations, method of generating recommendations, and device",0,G06F
12430404,2025-09-30,"Method and apparatus for processing synthetic features, model training method, and electronic device",0,G06F|G06N
12430372,2025-09-30,"Search method, computing device and storage medium",0,G06F
12424010,2025-09-23,"Character recognition model training method and apparatus, character recognition method and apparatus, device and storage medium",0,G06F|G06N|G06T|G06V|G10L
12424002,2025-09-23,"Method and apparatus for image annotation, and storage medium",0,G06T|G06V
12423912,2025-09-23,Construction of three-dimensional road network map,0,G01C|G06T|G06V
12423853,2025-09-23,Method and apparatus for correcting perspective of road image,0,G06T|G06V
12423576,2025-09-23,"Method and apparatus for updating parameter of multi-task model, and storage medium",0,G06F|G06N
12423140,2025-09-23,Deep learning framework scheduling,0,G06F
12417345,2025-09-16,"Method and apparatus for constructing object relationship network, and electronic device",0,G06F
12412388,2025-09-09,"Method for determining region attribute information, computing device, and storage medium",0,G06T|G06V
12412361,2025-09-09,"Entity recognition method and apparatus, and computer program product",0,G06F|G06V
12412286,2025-09-09,"Point cloud registration method, apparatus, device and storage medium",0,G06T
12411876,2025-09-09,Answer information generation method,0,G06F
12407609,2025-09-02,Methods for shunting clustered gateways,0,H04L
12405973,2025-09-02,"Map data updating method, apparatus and electronic device",0,G01C|G06F|G06T
12400143,2025-08-26,"Model development tool to train, evaluate and predict with deep learning by selecting functions",0,G06F|G06N
12399745,2025-08-26,"Resource scheduling method, device, and storage medium",0,G06F|G06N|G06T|Y02D
12395646,2025-08-19,"Method, apparatus, electronic device, storage media and program product for video coding",0,H04N
12395639,2025-08-19,Blocking artifact detection,0,H04N
12394226,2025-08-19,"Method of training video tag recommendation model, and method of determining video tag",0,G06F|G06N|G06V
12393863,2025-08-19,"Distributed training method and system, device and storage medium",0,G06F|G06N|H04L
12393823,2025-08-19,"Data processing method for neural network accelerator, device and storage medium",0,G06F|G06N|Y02D
12388750,2025-08-12,"Method, system and apparatus for forwarding data in virtual network and program product",0,G06N|H04L
12387396,2025-08-12,"Method for determining drawing data of map element, electronic device, and non- transitory computer-readable storage medium",0,G06T
12387136,2025-08-12,"Method and apparatus for adapting deep learning model, and electronic device",0,G06F|G06N
12386891,2025-08-12,"Information search method and device, electronic device, and storage medium",0,G06F
12386773,2025-08-12,Peripheral component interconnect express device reset for autonomous driving systems,0,G06F
12380567,2025-08-05,Image processing,0,G06T
12380333,2025-08-05,"Method of constructing network model for deep learning, device, and storage medium",0,G06F|G06N
12380328,2025-08-05,"Lightweight model training method, image processing method, electronic device, and storage medium",0,G06N|G06V
12380284,2025-08-05,"Text translation method and apparatus, electronic device, and storage medium",0,G06F
12379819,2025-08-05,"Method and apparatus for adjusting perspective of direction indicator, electronic device, and storage medium",0,G06F|H04N
12375552,2025-07-29,Balance of load,0,H04L
12373735,2025-07-29,Method for pre-training language model,0,G06F|G06N
12373655,2025-07-29,"Machine translation method and apparatus, device and storage medium",0,G06F
12373653,2025-07-29,"Text checking method based on knowledge graph, electronic device, and medium",0,G06F|G06N|G06Q
12368740,2025-07-22,"Method for determining risk level of instance on cloud server, and electronic device",0,G06F|H04L
12367084,2025-07-22,"Method for obtaining browser running data, electronic device, and storage medium",0,G06F
12363399,2025-07-15,Video clipping method and model training method,0,G06V|H04H|H04N
12361040,2025-07-15,"Question answering method for query information, and related apparatus",0,G06F
12361037,2025-07-15,"Method for processing question, electronic device and storage medium",0,G06F
12353835,2025-07-08,Model training method and method for human-machine interaction,0,G06F
12353524,2025-07-08,"Method and system of protecting model, device, and storage medium",0,G06F
12347158,2025-07-01,"Pre-training method, image and text retrieval method for a vision and scene text aggregation model, electronic device, and storage medium",0,G06F|G06N|G06V|H04N|Y02D
12346405,2025-07-01,"Joint perception model training method, joint perception method, device, and storage medium",0,G06F|G06N|G06V
12341674,2025-06-24,"Content delivery network processing method and device, and electronic device",0,H04L
12340817,2025-06-24,"Audio signal processing method, training method, apparatus and storage medium",0,G06N|G10L|H04M
12340525,2025-06-24,"High-definition map creation method and device, and electronic device",0,B60W|G01S|G06T
12340305,2025-06-24,"Training method for air quality prediction model, prediction method and apparatus, device, program, and medium",0,G01N|G06E|G06F|G06N|G06V
12340288,2025-06-24,"Method of training classification model, method of classifying sample, and device",0,G06F|G06N
12339919,2025-06-24,"Method of processing triple data, method of training triple data processing model, device, and medium",0,G06F|G06N
12335629,2025-06-17,"Imaging exposure control method and apparatus, device and storage medium",0,G02F|G06T|H04N
12334035,2025-06-17,"Image display method and apparatus, and medium",0,G09G|H04N
12333837,2025-06-17,"Method for training image-text matching model, computing device, and storage medium",0,G06F|G06V
12333795,2025-06-17,Multimodal data processing,0,G06N|G06V
12333426,2025-06-17,"Method and apparatus for creating dialogue, and storage medium",0,G06F|G06N
12333266,2025-06-17,"Training method, text translation method, electronic device, and storage medium",0,G06F
12333251,2025-06-17,"Extracting triplets from text with relationship prediction matrix, entity prediction matrix, and alignment matrix",0,G06F|Y02D
12332877,2025-06-17,"Method for acquiring structured question-answering model, question-answering method and corresponding apparatus",0,G06F|G06N
12327301,2025-06-10,"Method and apparatus for configuring color, device, medium and product",0,G06T
12327090,2025-06-10,"Semantic understanding method, electronic device, and storage medium",0,G06F
12327084,2025-06-10,"Video question answering method, electronic device and storage medium",0,G06F
12326915,2025-06-10,"Method and apparatus of training model, device, medium, and program product",0,G06F|G06N|G06V
12322394,2025-06-03,"Method, apparatus, system, electronic device for processing information and storage medium",0,G06F|G06N|G06Q|G10L|H04L|H04M
12315048,2025-05-27,"Method of generating image sample, method of recognizing text, device and medium",0,G06T|G06V
12314677,2025-05-27,"Method for pre-training model, device, and storage medium",0,G06F|G06N
12314317,2025-05-27,Video generation,0,G06F|G06N|G10L
12313426,2025-05-27,"Method of updating map data, electronic device and storage medium",0,G01C|H04L
12309379,2025-05-20,"Method for processing video frame, method for training model, electronic device, and storage medium",0,G06T|H04N
12309301,2025-05-20,"Method and apparatus for operating blockchain system, device and storage medium",0,G06F|H04L
12309068,2025-05-20,"Method for network transmission for detecting unnecessary reduction of bandwidth, device, and storage medium",0,H04L
12307797,2025-05-20,"Method for recognizing receipt, electronic device and storage medium",0,G06N|G06T|G06V
12307702,2025-05-20,Map processing method and apparatus,0,G01C|G06T|G06V
12307207,2025-05-20,"Method for determining text topic, and electronic device",0,G06F|G06N
12307199,2025-05-20,"Sentiment parsing method, electronic device, and storage medium",0,G06F
12306876,2025-05-20,"Method of processing an observation information, electronic device and storage medium",0,G06F
