patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12432726,2025-09-30,Apparatus for performing multi-panel transmission for new radio vehicle to everything,0,H04B|H04L|H04W
12432695,2025-09-30,Resource management for 5G eV2X,0,H04B|H04L|H04W
12432679,2025-09-30,Application interaction for network slicing,0,H04W
12432640,2025-09-30,Conditional trigger for flight path update indication,0,G08G|H04W
12432559,2025-09-30,Methods and apparatus for secure access control in wireless communications,0,H04L|H04W
12430845,2025-09-30,Volumetric video with long-term patch entity memory,0,G06T|H04N
12426125,2025-09-23,Resource allocation for device-to-device (D2D) communications,0,H04W
12426099,2025-09-23,Idle/inactive mobility for small data transmission,0,H04W
12425954,2025-09-23,SNPN onboarding and obtaining SNPN services from a PLMN,0,H04W
12425890,2025-09-23,Method for reporting channel failure,0,H04W
12425867,2025-09-23,Registration and security enhancements for a WTRU with multiple USIMs,0,H04L|H04W
12418900,2025-09-16,Methods for transmission time interval bundling in the uplink,0,H04L|H04W
12418871,2025-09-16,Methods and apparatus for performing local lifecycle management with distributed SFC control,0,H04L|H04W
12418490,2025-09-16,Logical channel management in a wireless communication network,0,H04L|H04W
12418337,2025-09-16,"Methods, apparatuses and systems directed to beam management in connection with multiple cells and/or multiple transmission/reception points",0,H04B|H04L|H04W
12414096,2025-09-09,Wireless operation in unlicensed spectrum,0,H04L|H04W
12413967,2025-09-09,Procedures enabling V2X unicast communication over PC5 interface,0,H04W
12413939,2025-09-09,Multicast-broadcast services support for network relay,0,H04L|H04W
12413789,2025-09-09,Method or an apparatus for estimating film grain parameters,0,H04N
12413649,2025-09-09,Mechanisms for an intelligent service layer request abstraction service,0,H04L|H04W
12412352,2025-09-09,Method and an apparatus for generating a 3D face comprising at least one deformed region,0,G06T
12408220,2025-09-02,Methods and apparatus for power savings on a dormant secondary cell group (SCG),0,H04L|H04W|Y02D
12408152,2025-09-02,Random access in new radio (NR) and other beamforming systems,0,H04B|H04W
12408072,2025-09-02,Methods and apparatuses directed to non-access stratum procedures in connection with layer 2 relaying,0,H04W
12408015,2025-09-02,Discovery signal generation and reception,0,H04W
12407821,2025-09-02,Improving the angle discretization in decoder side intra mode derivation,0,H04N
12407817,2025-09-02,Intra prediction with geometric partition,0,H04N
12407554,2025-09-02,Uplink sounding reference signals configuration and transmission,0,H04L|H04W
12407457,2025-09-02,Carrier aggregation for wireless transmit/receive unit,0,H04L|H04W
12402178,2025-08-26,Handling connection rejections via U2U relay associated with backoff times on behalf of a source end WTRU,0,H04L|H04W
12402177,2025-08-26,"Methods, apparatus, systems and procedures for distance dependent random access channel (RACH) preamble selection in non-terrestrial networks (NTNs)",0,H04B|H04L|H04W
12402040,2025-08-26,NR V2X mobility,0,H04W
12401993,2025-08-26,Security and privacy support for direct wireless communications,0,H04L|H04W
12401979,2025-08-26,Accessing local networks in a communications network,0,G06Q|H04L|H04W
12401782,2025-08-26,"Intra sub partitions for video encoding and decoding combined with multiple transform selection, matrix weighted intra prediction or multi-reference-line intra prediction",0,H04N
12401484,2025-08-26,"Methods, apparatus, systems and procedures for supporting multicast transmission",0,H04L|H04W
12401380,2025-08-26,Method and apparatus for low-density parity-check (LDPC) coding,0,H03M|H04L
12395986,2025-08-19,Method and apparatus for transmitting data and control information on multiple uplink carrier frequencies,0,H04L|H04W
12395817,2025-08-19,Systems and methods related to enhanced broadcast services in a multi-acces point system,0,H04W
12395552,2025-08-19,"Methods, architectures, apparatuses and systems directed to enablers for blockchain-enabled wireless systems",0,H04L
12395194,2025-08-19,Method and apparatus for low-density parity-check (LDPC) coding,0,H03M|H04L
12394062,2025-08-19,Method for processing a light field image delivering a super-rays representation of a light field image,0,G06T
12389458,2025-08-12,Joint communication and sensing aided random access channel,0,H04W
12389426,2025-08-12,Physical (PHY) layer solutions to support use of mixed numerologies in the same channel,0,H04L|H04W
12389406,2025-08-12,Multipoint transmission in wireless communication,0,H04B|H04W
12389327,2025-08-12,Method and apparatus for efficient addressing and power savings in wireless communications,0,H04L|H04W|Y02D
12389310,2025-08-12,Method and apparatus for system information block (SIB) acquisition for wireless transmit/receive units (WTRUS) in non-CE and coverage enhanced (CE) modes,0,H04W
12389034,2025-08-12,Method and apparatus for signaling depth of multi-plane images-based volumetric video,0,G06V|H04N
12388988,2025-08-12,Switchable interpolation filters,0,H04N
12387418,2025-08-12,Method and apparatus for generating adaptive multiplane images,0,G06N|G06T|H04N
12387417,2025-08-12,Method and apparatus for encoding and decoding volumetric video,0,G06T|H04N
12382550,2025-08-05,"Information processing system, communication terminal, information processing unit and program",0,G06Q|H04W
12382544,2025-08-05,"Activation/de-activation mechanism for one SCG and Scells, and conditional PSCell change/addition",0,H04W
12382542,2025-08-05,Method and apparatus for accessing a wireless network,0,H04L|H04W|Y02D
12382519,2025-08-05,Method for efficient paging for user equipment to network relays,0,H04W
12382475,2025-08-05,Method and apparatus for enhancing coverage of machine type communication (MTC) devices,0,H04B|H04L|H04W|Y02D
12382418,2025-08-05,Unavailability period support associated with congestion,0,H04W
12382400,2025-08-05,Uplink power control,0,H04B|H04W
12382333,2025-08-05,Methods for application specific access control,0,A61B|B01L|H04W
12382332,2025-08-05,Systems and methods for reference signal measurements in wireless systems,0,H04B|H04L|H04W
12382056,2025-08-05,Encoding and decoding a point cloud using patches for in-between samples,0,G06T|H04N
12380635,2025-08-05,Lighting model,0,G06T|G06V
12376151,2025-07-29,Shared channel occupancy time operation,0,H04L|H04W
12376129,2025-07-29,Supplementary uplink transmissions in wireless systems,0,H04L|H04W
12376098,2025-07-29,Coverage enhancement for reduced capability new radio devices,0,H04L|H04W
12376084,2025-07-29,Methods and apparatus for flexible aperiodic SRS transmission,0,H04L|H04W
12376078,2025-07-29,Systems and/or methods for providing enhanced PDCCH in a multiple carrier based and/or quasi-collated network,0,H04L|H04W
12376027,2025-07-29,"Authorization, creation, and management of personal networks",0,H04W
12375993,2025-07-29,"Methods, apparatus and systems for command and control (C2) communications setup and update",0,G08G|H04L|H04W
12375917,2025-07-29,Serving gateway extensions for inter-system mobility,0,H04L|H04W
12375695,2025-07-29,Processing a point cloud,0,G06T|H04N
12375248,2025-07-29,Method and apparatus for physical sidelink control channel (PSCCH) design in new radio (NR),0,H04B|H04L|H04W
12369110,2025-07-22,Frequency range driven network slicing,0,H04L|H04W
12368831,2025-07-22,Method and apparatus for encoding and decoding volumetric content in and from a data stream,0,G06V|H04N
12368558,2025-07-22,Dynamic demodulation signal resource allocation,0,H04L|H04W
12367601,2025-07-22,Apparatus and a method for generating data representative of a pixel beam,0,G02B|G06T|H04N
12363785,2025-07-15,Configuration and signaling for UL NOMA operations,0,H04J|H04L|H04W
12363737,2025-07-15,Improving coverage in a high frequency range,0,H04B|H04L|H04W
12363669,2025-07-15,Traffic steering and switching between multiple access networks,0,H04W
12363346,2025-07-15,High precision 4×4 DST7 and DCT8 transform matrices,0,H04N
