patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12432535,2025-09-30,Communication device,0,H04W
12420560,2025-09-23,"Printing apparatus, printing method and medium for previewing change in image quality",0,B41J|G06F
12418961,2025-09-16,"First communication device, second communication device, and non-transitory computer-readable recording medium storing computer-readable instructions for first communication device",0,H04L|H04W
12418951,2025-09-16,"Communication device, non-transitory computer-readable recording medium storing computer-readable instructions for communication device, and non-transitory computer-readable recording medium storing application program including computer-readable instructions for terminal device",0,H04W
12417057,2025-09-16,"Printing authority management system, printing apparatus, and non-transitory computer readable storage medium",0,G06F
12408212,2025-09-02,Communication apparatus establishing wireless communication using public key,0,H04L|H04W
12402187,2025-08-26,"Communication device, non-transitory computer-readable recording medium storing computer-readable instructions for communication device, and non-transitory computer-readable recording medium storing computer-readable instructions for first external device",0,H04L|H04W
12401981,2025-08-26,Communication device,0,G06F|H04L|H04N|H04W
12401752,2025-08-26,Image processing apparatus,0,H04N
12399659,2025-08-26,Printer,0,G06F
12393375,2025-08-19,Non-transitory computer-readable medium storing support program,0,G06F
12388934,2025-08-12,Image forming device,0,H04N
12381495,2025-08-05,Pulse generator,0,B41J|H02P|H04N
12380303,2025-08-05,"Image processing apparatus, image processing system, and method to prevent duplicate order for supplies",0,G03G|G06K|G06Q
12375907,2025-07-29,Non-transitory computer-readable medium storing computer-readable instructions for terminal device and communication device,0,H04L|H04W
12370793,2025-07-29,"Printing device, printing method, and non-transitory computer-readable recording medium therefor",0,B41J|G06F
12367000,2025-07-22,Image forming device and non-transitory computer-readable recording medium storing computer-readable instructions for image forming device,0,G06F
12363236,2025-07-15,Image forming apparatus including antenna in cover,0,B41J|G03G|H04N
12360711,2025-07-15,Image forming apparatus having a plurality of ports to which USB device is attachable,0,G06F|H04L|H04N
12356506,2025-07-08,Non-transitory computer-readable storage medium for receiving device identifying information and selecting a target device from at least one function executing device,0,G06F|H04W
12356185,2025-07-08,"Non-transitory computer-readable recording medium storing computer-readable instructions for terminal device, communication device, and non-transitory computer-readable recording medium storing computer-readable instructions for server",0,H04L|H04W
12348694,2025-07-01,Information processing apparatus and method for performing service provision process for providing printing service utilizing printing device using individual information thereof and contract identification information,0,G06F|H04N
12341936,2025-06-24,Image forming apparatus capable of forming combinable images on separate sheets,0,H04N
12341775,2025-06-24,Device and storage medium storing computer program,0,H04L
12341745,2025-06-24,"Communication apparatus, non-transitory computer-readable medium for communication apparatus, and method implementable by communication apparatus",0,G06F|H04L
12340134,2025-06-24,"Non-transitory computer-readable recording medium storing computer-readable instructions for server that provides service related to printer, method executed by server that provides service related to printer, and server providing service related to printer",0,B41J|G06F|H04N
12337603,2025-06-24,Printing apparatus and printing apparatus with consumable item,0,B41J|G03G|G06F|G06Q
12337602,2025-06-24,Printing device including controller provided with manual maintenance mode and automated maintenance mode as control mode for controlling maintenance portion,0,B41J|G06F
12335723,2025-06-17,Terminal device and non-transitory computer-readable recording medium storing computer readable instructions for terminal device,0,H04L|H04W
