patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12432360,2025-09-30,Method and apparatus for signaling subpicture partitioning information,0,H04N
12430301,2025-09-30,Data migration method and device,0,G06F
12425576,2025-09-23,Methods for constructing a merge candidate list,0,H04N
12417112,2025-09-16,Virtual machine migration method and system,0,G06F|G06T
12401817,2025-08-26,Methods for performing wrap-around motion compensation,0,H04N
12401798,2025-08-26,On block level bi-prediction with weighted averaging,0,H04N
12400639,2025-08-26,"Speech processing method, speech encoder, speech decoder and speech recognition system",0,G06F|G10L
12399773,2025-08-26,End to end check code protection in storage engine,0,G06F
12399612,2025-08-26,Method and apparatus for interacting with content through overlays on a mobile device,0,G06F|G06Q
12395673,2025-08-19,Motion compensation methods for video coding,0,H04N
12395631,2025-08-19,Signaling of maximum transform size and residual coding method,0,H04N
12393692,2025-08-19,"Trusted authentication system, method, mainboard, micro board, and storage medium",0,G06F
12375706,2025-07-29,High level syntax control of loop filter,0,H04N
12373337,2025-07-29,Method and system for in-memory metadata reduction in cloud storage system,0,G06F
12368542,2025-07-22,System and method to assure data quality in distributed data collection pipeline,0,G05B|G06F|H04L
12363350,2025-07-15,Neural network based in-loop filtering for video coding,0,G06N|G06T|H04N
12363320,2025-07-15,Block partitioning methods for video coding,0,H04N
12363276,2025-07-15,Sign data hiding of video recording,0,H03M|H04N
12354142,2025-07-08,Method and system for distributing smart containers,0,G06Q
12354064,2025-07-08,Method and apparatus for sharing data across groups,0,G06F|G06Q
12353734,2025-07-08,Using object properties for facilitating object storage,0,G06F
12348785,2025-07-01,Filters for motion compensation interpolation with reference down-sampling,0,H04N
12346723,2025-07-01,"Task processing method, apparatus, and system based on distributed system",0,G06F
12341651,2025-06-24,"Device networking activation method, apparatus and cloud network device",0,G16Y|H04L
12340302,2025-06-24,Method and system for microarchitecture-aware program sampling,0,G06N
12335527,2025-06-17,Transform-skip residual coding of video data,0,H04N
12335472,2025-06-17,Methods for palette prediction,0,H04N
12335470,2025-06-17,Directional cross component filter for video coding,0,H04N
12333543,2025-06-17,Voice-based payment system,0,G06F|G06Q|G06V|G10L
12332827,2025-06-17,"Data transmission method, device, network system, and storage medium",0,G06F
12329043,2025-06-10,Superconducting circuit including superconducting qubits,0,G06N|H10N
12306114,2025-05-20,"Measurement system, method, apparatus, and device",0,G01N|G06F|G06N
12297768,2025-05-13,Method and apparatus for securing communications using multiple encryption keys,0,F02B|G06F
12293207,2025-05-06,"Virtual machine hot migration method, apparatus, electronic device, and computer storage medium",0,G06F
12292821,2025-05-06,"Video memory management method, apparatus, device and system",0,G06F|G06N|G06T
12289641,2025-04-29,Frequency point changing method and apparatus,0,H04L|H04W|Y02D
12278946,2025-04-15,Methods and apparatuses for signaling picture header,0,H04N
12277431,2025-04-15,"Data buffering method, data processing method, computer device, storage medium",0,G06F
12277168,2025-04-15,Method and apparatus for image processing and image classification,0,G06F|G06N
12277058,2025-04-15,Hierarchical methods and systems for storing data,0,G06F|G06N|G11C|Y02D
12273552,2025-04-08,Method and apparatus for encoding or decoding video,0,H04N
12267988,2025-04-01,Thermal control optimization based on monitoring/control mechanism,0,G06F|H05K
12267751,2025-04-01,Method and apparatus for identifying objects in a spatial region,0,G06Q|H04W
12267530,2025-04-01,Methods for coding or decoding video parameter set or sequence parameter set,0,H04N
12267493,2025-04-01,Method for using adaptive loop filter and system thereof,0,H04N
12265734,2025-04-01,"Storage nodes, integrated circuits and methods for storage node management",0,G06F
12265720,2025-04-01,Method and system of large amount of data migration with enhanced efficiency,0,G06F
12260952,2025-03-25,Medical image processing method and system and data processing method,0,G06F|G06T|G06V|G16H
12256079,2025-03-18,Methods and systems for cross-component sample adaptive offset,0,H04N
12250399,2025-03-11,"Method, device, and system for determining prediction weight for merge mode",0,H04N
12249318,2025-03-11,"Interaction method, device, storage medium and operating system",0,G06F|G10L|H04M
12244863,2025-03-04,Method and system for processing video content,0,H04N
12244846,2025-03-04,Methods and systems for performing gradual decoding refresh processing on pictures,0,H04N
12236088,2025-02-25,Recycle optimization in storage engine,0,G06F
12225831,2025-02-11,"Superconducting qubit and preparation method thereof, quantum storage device, and quantum computer",0,B82Y|G06N|H10N
12216537,2025-02-04,"Error detection, prediction and handling techniques for system-in-package memory architectures",0,G06F|G11C
12210481,2025-01-28,File system data access method and file system,0,G06F
12205019,2025-01-21,Data layout conscious processing in memory architecture for executing neural network model,0,G06F|G06N|G11C
