patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12432202,2025-09-30,Authentication for application downloads,0,H04L
12432201,2025-09-30,Haptic feedback-based video authentication method and system,0,G06F|H04L
12431235,2025-09-30,"Automatic identification of, and responding to, cognition impairment",0,G06F|G16H
12430955,2025-09-30,System and method for vehicle collision analysis,0,G06F|G07C
12430411,2025-09-30,Systems and methods for verifying data access for an individual of an enterprise system,0,G06F
12423763,2025-09-23,Systems and methods for mining data for property usage,0,G06N|G06Q
12423707,2025-09-23,Home router authentication device,0,G06F|G06Q|H04L
12423394,2025-09-23,Biometric-based transmission of embedded data,0,G06F|G06V|G10L
12423080,2025-09-23,Dynamic test publication framework for software development,0,G06F
12418574,2025-09-16,Focal awareness system for online collaboration,0,G06F|G06T|G06V|H04L|H04N
12418566,2025-09-16,Method of generating and using credentials to detect the source of account takeovers,0,H04L
12418545,2025-09-16,Test data management ecosystem,0,G06F|H04L
12417339,2025-09-16,Analytics tag data quality scanning,0,G06F
12417313,2025-09-16,System and methods for data anonymity trackback mitigation,0,G06F
12414691,2025-09-16,Eye monitoring and protection,0,A61B|A61H|G06F
12412217,2025-09-09,Systems and methods for leveraging remotely captured images,0,G06Q|G06T|G06V
12412203,2025-09-09,Dynamic go-bag service for emergency situations,0,A45C|G06Q
12412165,2025-09-09,Point of sale image capture and transactional data management system and method,0,G06Q|G07G|H04L
12411965,2025-09-09,System and method for maintaining real estate data in a secure manner,0,G06F|G06Q|H04L
12407639,2025-09-02,Systems and methods for integrated communications,0,G06F|H04L
12406309,2025-09-02,Auto filing of insurance claim via connected car,0,G06Q|G07C
12406268,2025-09-02,Non-fungible token transaction management systems and methods,0,G06Q
12406249,2025-09-02,Automated application workflows based on signal detection,0,G06Q
12405971,2025-09-02,Systems and methods for centralized database cluster management,0,G06F
12405117,2025-09-02,Pathfinding using quantum computational analytics,0,G01C|G06N
12400479,2025-08-26,Intelligent conversational assistance system,0,G06V|H04L|H04M
12400257,2025-08-26,"Automatic remote deposit image preparation apparatuses, methods and systems",0,G06Q|G06T|G06V|H04N
12400228,2025-08-26,Phone case with integrated cold wallet,0,G06Q|H04B|H04M
12400213,2025-08-26,Temporary debit card system and method,0,G06Q|G07F
12400196,2025-08-26,Communications methods and systems for secure account fund transfer using a third party,0,G06Q
12394031,2025-08-19,Systems and methods for sensor-based detection of property damage,0,G06Q|G06T|G06V
12393979,2025-08-19,System and method for vehicular tracking,0,G06N|G06Q|G07C
12393664,2025-08-19,Document authentication certification with blockchain and distributed ledger techniques,0,G06F|H04L
12387274,2025-08-12,Systems and methods for continuously updating policy data based on dynamically acquired image data,0,G06F|G06Q|G06V
12387272,2025-08-12,Systems and methods for continuously monitoring items,0,G06Q|G08B
12387267,2025-08-12,Systems and methods for developing an automated life planner,2,G06F|G06Q
12387218,2025-08-12,Systems and methods based on anonymized data,0,G06F|G06N|G06Q
12386720,2025-08-12,Systems and methods for locally streaming applications in a computing system,0,G06F
12386348,2025-08-12,Building inspection systems and methods utilizing maneuverable building detection devices,0,B62D|G05D|G06Q
12384383,2025-08-12,Systems and methods for controlling vehicle systems based on driver assessment,0,A61B|B60K|B60W|G06Q
12381961,2025-08-05,Methods and systems for virtual assistant routing,0,G06F|G10L|H04L|H04M
12380509,2025-08-05,Systems and methods for managing financial transaction information,0,G06F|G06Q
12380451,2025-08-05,Biometric authentication on push notification,0,G06F|G06Q|G06V|H04L|H04W
12380445,2025-08-05,System and method for digital payments using blockchain with merchant keys,0,G06Q
12380377,2025-08-05,Intelligent guidance system for queues,0,G06Q
12380245,2025-08-05,Third-party platform for tokenization and detokenization of network packet data,0,G06F|H04L
