patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12432798,2025-09-30,"Data radio bearer control method, device and system for multi-connection system",0,H04L|H04W
12432788,2025-09-30,"Methods, apparatus and systems for indicating information in a random access procedure",0,H04L|H04W
12432770,2025-09-30,Multiplexing techniques for overlapping channels with different priorities,0,H04L|H04W
12432766,2025-09-30,"Information determination method and device, receiving method and device, communication node, and storage medium",0,H04L|H04W
12432752,2025-09-30,Methods and systems for exchanging information for sidelink communications,0,H04W|Y02D
12432732,2025-09-30,Channel state information feedback information transmission and configuration,0,H04B|H04L|H04W|Y02D
12432724,2025-09-30,Performing resource mapping of inter-cell multi transmission/reception point operation,0,H04L|H04W
12432720,2025-09-30,"Uplink transmission sending method and device, uplink transmission receiving method and device, terminal, service node, and medium",0,H04L|H04W
12432694,2025-09-30,"Methods, devices, and systems for determining location of paging early indication",0,H04L|H04W|Y02D
12432622,2025-09-30,Network slice-specific aggregate maximum bit rate (AMBR) configuration,0,H04L|H04W
12432618,2025-09-30,Data forwarding in centralized unit and distributed unit split architectures,0,H04W
12432254,2025-09-30,Header enrichment for hypertext transfer protocol secure,0,H04L
12432107,2025-09-30,"Symbol sending method, symbol receiving method, sending device, receiving device, and storage medium",0,H04L
12432027,2025-09-30,Reference signaling design and configuration,0,H04B|H04L|H04W|Y02D
12432016,2025-09-30,Methods and devices for configuring HARQ-ACK feedback,0,H04L|H04W
12431951,2025-09-30,Interference-aware beam reporting in wireless communications,0,H04B|H04W
12426122,2025-09-23,"Resource determination method and apparatus, resource configuration method and apparatus, communication node, and storage medium",0,H04W
12426113,2025-09-23,Signaling exchange schemes in wireless communications,0,H04W|Y02D
12426022,2025-09-23,"Methods, apparatus and systems for transmitting indication information",0,H04B|H04L|H04W
12426020,2025-09-23,Systems and methods for uplink transmission switching,0,H04W
12426018,2025-09-23,"Configuration method and apparatus, data processing method and apparatus, device, and storage medium",0,H04B|H04J|H04L|H04W
12425945,2025-09-23,Method for sidelink relay communication under dual connectivity,0,H04W|Y02D
12425936,2025-09-23,Methods and devices for enhancing mobility robustness to integrated access and backhaul for new radio,0,H04W
12425933,2025-09-23,Cell reselection techniques using a cell list,0,H04W
12425896,2025-09-23,Information determination method and signal receiving method and apparatus,0,H04L|H04W
12425627,2025-09-23,"Methods and apparatuses for processing bitstream, terminal device, and storage medium",0,H04N
12425330,2025-09-23,"Information advertisement method, packet forwarding method, packet transmission method, device, and medium",0,H04L
12425281,2025-09-23,Configuration of random access preamble,0,H04B|H04J|H04L|H04W
12425170,2025-09-23,Systems and methods for providing feedback information,0,H04L|H04W
12425125,2025-09-23,Transport block size determination,0,H03M|H04L
12418940,2025-09-16,"Methods, apparatus and systems for performing a random access procedure in a wireless communication",0,H04W
12418935,2025-09-16,Techniques of improving EDCA mechanism in spatial reuse,0,H04B|H04W
12418911,2025-09-16,"Transmission method, communication node and medium",0,H04L|H04W
12418873,2025-09-16,Methods and systems for propagation delay compensation in wireless communication networks,0,H04W|Y02D
12418864,2025-09-16,"Method for reducing spurious-emission interference, and communication device and readable storage medium",0,H04B|H04W
12418854,2025-09-16,"Method and apparatus for reporting user plane function information, storage medium, and electronic apparatus",0,H04L|H04W
12418840,2025-09-16,Method for addition and change of conditional primary cells in a secondary cell group,0,H04W
12418835,2025-09-16,Method of dynamic transceiver configuration,0,H04L|H04W
12418829,2025-09-16,"Service data processing, exchange and extraction methods, devices, and computer-readable medium",0,H04J|H04L|H04W
12418489,2025-09-16,"Frame preemption method and apparatus, device and storage medium",0,H04L
12418463,2025-09-16,"Information acquisition method and apparatus, storage medium, and electronic apparatus",0,H04L|H04W
12418453,2025-09-16,"Method and system for updating alarm status of device, apparatus, and electronic device",0,G06F|H04L
12418375,2025-09-16,Methods and devices for communicating reference signals comprising allocated patterns,0,H04B|H04L
12417066,2025-09-16,"Information processing method and apparatus thereof, cloud terminal, cloud server, and storage medium",0,G06F|G09G|H04L
12414130,2025-09-09,Resource determination in wireless communications,0,H04L|H04W|Y02D
12414115,2025-09-09,"Transmission method and apparatus, communication node, and storage medium",0,H04L|H04W
12414108,2025-09-09,"Data transmission method and device, user equipment, base station, communication system and storage medium",0,H04L|H04W
12414024,2025-09-09,Reducing service disruption in handover scenarios,0,H04W
12413966,2025-09-09,"Method, device, and system for physical channel encryption in wireless networks",0,G06F|H04L|H04W
12413941,2025-09-09,System information transmission method and device,0,H04W
12413639,2025-09-09,"Data processing method, and network element and computer-readable storage medium",0,G06F|G06N|H04L|H04W
12413375,2025-09-09,Method for port indication for uplink data channels,0,H04L|H04W
12413366,2025-09-09,Systems and methods for sounding reference signal transmission,0,H04L
12413289,2025-09-09,"Beam training method, network device, terminal, system, and storage medium",0,H04B|H04L|H04W
12411646,2025-09-09,"Method and apparatus for displaying message box, terminal device and non-transitory computer-readable storage medium",0,G06F|G09G
12408208,2025-09-02,Method and device for random access in wireless communication system,0,H04L|H04W
12408175,2025-09-02,Multiple access transmission configurations,0,H04L|H04W|Y02D
12408162,2025-09-02,"Method for transmitting data, base station, terminal, system, and computer readable storage medium for accelerating rescheduling of resources",0,H04L|H04W
12408143,2025-09-02,"Data transmission method and apparatus, device, and storage medium",0,H04L|H04W|Y02D
12408141,2025-09-02,"Paging method and apparatus, device, and storage medium",0,H04W
12408020,2025-09-02,Method for transmitting radio node information,0,H04W
12407623,2025-09-02,Bandwidth adjustment method and terminal,0,H04J|H04L|H04W
12407559,2025-09-02,"Signal sending method, signal receiving method, electronic device, and storage medium",0,G01S|H04L
12407480,2025-09-02,Method for report configuration,0,H04B|H04L
12407446,2025-09-02,"Signal processing method and apparatus, first communication node, second communication node, and storage medium",0,H04J|H04L|H04W|Y02D
12407431,2025-09-02,"Location prediction method and apparatus, node and storage medium",0,G01S|H04B|H04W
12407399,2025-09-02,"Uplink control receiving method, uplink control sending method, base station, user equipment, and storage medium",0,H04B|H04L|H04W
12407387,2025-09-02,"Information acquisition method and apparatus, device, and storage medium",0,H04B|H04J|H04L
12402175,2025-08-26,Power control for random access protocols,0,H04B|H04W
12402111,2025-08-26,"Resource allocation method, and device and storage medium",0,H04L|H04W
12402092,2025-08-26,"Time calibration method, communication device, and computer-readable medium",0,H04J|H04W
12402074,2025-08-26,Power saving techniques,0,H04L|H04W|Y02D
12402069,2025-08-26,Method for slice information update,0,H04W
12401989,2025-08-26,Method for system information transmission,0,H04L|H04W
12401730,2025-08-26,"Multichannel data transmitting method and apparatus, multichannel data receiving method and apparatus, medium, and electronic device",0,H04L|H04Q
12401589,2025-08-26,"Signaling configuration method and apparatus for bier network, and storage medium",0,H04L
12401587,2025-08-26,"Data processing method and apparatus, storage medium, and electronic apparatus",0,H04L
12401576,2025-08-26,"Virtual resource information synchronization method, orchestrator, electronic device, and readable storage medium",0,G06F|H04L
12401560,2025-08-26,"Symbol sending method, symbol receiving method, symbol sending device, symbol receiving device and storage medium",0,H04L
12401549,2025-08-26,"Downlink channel state information estimation method and apparatus, device, and storage medium",0,H04B|H04L
12401479,2025-08-26,"Methods, apparatus and systems for switching between bandwidth parts",0,H04L|H04W|Y02D
12401447,2025-08-26,"Error vector magnitude measurement method, transmitter and computer- readable storage medium",0,H04B|H04L
12401442,2025-08-26,"Method for optimizing OTN resources, computer device and storage medium",0,H04J|H04L|H04Q
