patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12425363,2025-09-23,Content management system with integrated email service,0,G06Q|H04L
12407635,2025-09-02,Messaging client application integrated with a content management system,0,G06F|H04L
12393550,2025-08-19,Generating and modifying a collection content item for organizing and presenting content items,0,G06F|H04L
12386913,2025-08-12,Utilizing machine-learning models to generate identifier embeddings and determine digital connections between digital content items,0,G06F|G06N
12386667,2025-08-12,Dynamically selecting artificial intelligence models and hardware environments to execute tasks,0,G06F|H04L
12380315,2025-08-05,Providing contextualized large language model recommendations,0,G06N
12373798,2025-07-29,Determining chronotypes of users for display within a scheduling interface,0,G06Q
12373506,2025-07-29,Personalized retrieval-augmented generation system,0,G06F
12373492,2025-07-29,Generating and providing content stacks utilizing machine-learning models,0,G06F
12373391,2025-07-29,Dynamic facet generation using large language models,0,G06F
12373090,2025-07-29,Modifying a file storage structure utilizing a multi-section graphical user interface,0,G06F
12368651,2025-07-22,User interface for managing and viewing synchronization settings in a synchronization system,0,G06F|H04L
12367301,2025-07-22,Server-side rendering password protected documents,0,G06F|H04L
12367051,2025-07-22,Storing and restoring desktop application scenes,0,G06F
12355856,2025-07-08,Systems and methods for managing content items having multiple resolutions,0,G06F|H04L|H04M|H04N
12353825,2025-07-08,Updating autofill templates for password autofill,0,G06F
12341856,2025-06-24,Communication protocols for an online content management system,0,H04L
12339965,2025-06-24,Malware detection and content item recovery,0,G06F
12339813,2025-06-24,Embedded folder views,0,G06F|H04L
12335157,2025-06-17,Rate limiter state caching,0,H04L
12332949,2025-06-17,Generating a hybrid search index for unified search,0,G06F
12332938,2025-06-17,Organizing media content items utilizing detected scene types,0,G06F
12332882,2025-06-17,Directed acyclic graph framework for executing search function operations,0,G06F
12326789,2025-06-10,Remotely backing up device data using a web application at a remote device,0,G06F
12306869,2025-05-20,Restoring integrity of a social media thread from a social network export,0,G06F|G06Q|H04L
12306813,2025-05-20,Object management system for efficient content item management,0,G06F|H04L
12306800,2025-05-20,Multi-root content management system,0,G06F|H04L
12306799,2025-05-20,Ignore objects from synchronizing to content management system,0,G06F|H04L
12299060,2025-05-13,Intelligently generating and managing third-party sources within a contextual hub,0,G06F|G06N|H04L
12287765,2025-04-29,Dropsite for shared content,0,G06F
12279006,2025-04-15,Synchronized video viewing using a logical clock,0,H04N
12277622,2025-04-15,Synthesizing visualizations for content collections,0,G06F|G06T
12277533,2025-04-15,Generating collaborative content items to provide customizable graphical representations in online graphical user interfaces,0,G06F|G06Q
12277103,2025-04-15,Techniques for collapsing views of content items in a graphical user interface,0,G06F
12266382,2025-04-01,Modifying and collaborating with digital videos through interactions with video transcripts,0,G06F|G11B
12265722,2025-04-01,Generating and maintaining a batch action clipboard for web-based platforms,0,G06F
12265508,2025-04-01,Generating and providing graphical user interfaces for presenting and navigating digital content in a nonhierarchical visual structure,1,G06F
12254269,2025-03-18,Machine learning recommendation engine for content item data entry based on meeting moments and participant activity,0,G06F|G06N|H04L
12253975,2025-03-18,Suggesting content items to be accessed by a user,0,G06F
12248482,2025-03-11,Generating modified view based on identified subset of content items and providing modified view to user associated with user account for display,0,G06F
12242427,2025-03-04,Implementing different synchronization processes using a multi-root system,0,G06F
12235923,2025-02-25,Intelligently generating and managing third-party sources within a contextual hub,0,G06F|G06N|H04L
12235856,2025-02-25,Performing unified search using a hybrid search index,0,G06F
12216982,2025-02-04,Generating and utilizing digital media clips based on contextual metadata from digital environments,0,G06F
