patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12433087,2025-09-30,Imaging device,0,H04N|H10F|H10K|Y02E
12432450,2025-09-30,Imaging system and moving body provided with same,0,G03B|G06T|H04N
12432431,2025-09-30,Imaging apparatus with heat dissipation member having high cooling efficiency,0,H04N
12432424,2025-09-30,"Video transmission system, transmission apparatus, display apparatus, video transmission method, and recording medium",0,H04N
12432418,2025-09-30,"Information processing device, information processing method, and recording medium",0,H04N
12432085,2025-09-30,"Information processing method, information processing device, and recording medium",0,A47J|D06F|F24F|G06Q|G07C|H04L
12431411,2025-09-30,Semiconductor device and semiconductor component including the same,0,H01L|H10D
12430964,2025-09-30,Information processing system and information processing method,0,E05B|G06F|G07C|H04L
12430918,2025-09-30,Food detection device,0,F25D|G01J|G06V|H04N|H05B
12430917,2025-09-30,"Unattended object monitoring device, unattended object monitoring system equipped with same, and unattended object monitoring method",0,G06T|G06V|G08B|H04N
12430873,2025-09-30,Imaging apparatus,0,G06F|G06T|G06V|G09G
12430681,2025-09-30,Order management device and order management method,0,G06F|G06Q|G07G
12425261,2025-09-23,"Communication device, communication system, and communication control method",0,G06F|H04L
12420360,2025-09-23,Repair welding segment detection method and repair welding segment detection device,0,B23K|G01N|G06T|G06V
12418963,2025-09-16,Heating cooker,0,F24C|G06V|H04N|H05B
12413808,2025-09-09,"Video display system, information processing method, and recording medium",0,G02B|G06F|G06Q|G06T|G09G|H04N
12413802,2025-09-09,"Reproduction device, reproduction device control method, and recording medium",0,G08C|H04N
12410546,2025-09-09,"Prediction method, recording medium, prediction system, server, and display device",0,D06F|G06N
12407951,2025-09-02,Imaging device and camera system,0,H04N|H10F
12407915,2025-09-02,Imaging apparatus,0,H04N
12405633,2025-09-02,Electronic device,0,G06F|H05K
12405596,2025-09-02,"Identifier management method, robot control device, and comprehensive control device",0,B23K|G05B|G06F
12402255,2025-08-26,Method for producing electronic component mounted substrate,0,B23K|H01L|H05K
12400343,2025-08-26,"Information processing method, information processing device, and information processing system for measuring displacement in a structure",0,G01B|G06T
12395713,2025-08-19,Authentication system and authentication method,0,G06V|H04N
12395691,2025-08-19,Video display system and video display method,0,G02B|G06F|G06Q|G06T|G09G|H04N
12394153,2025-08-19,Three-dimensional model generation method and three-dimensional model generation device,0,G06T
12393362,2025-08-19,"Electronic apparatus, system, and method for erasing data stored in storage device of electronic apparatus",0,G06F
12389134,2025-08-12,"Filter array including optical filters having different light transmittances from each other, photodetector, and photodetection system",0,G01J|G02B|H04N|H10F
12389131,2025-08-12,Imaging device and camera system,0,G02B|H04N|H10K
12387728,2025-08-12,"Utterance section detection device, utterance section detection method, and storage medium",0,G06F|G06V|G10L|H04R
12387352,2025-08-12,Depth acquisition device and depth acquisition method,0,G01S|G06T|H04N
12387342,2025-08-12,"Image processing method, image processing device, and recording medium for obtaining a composite image by synthesizing a high-frequency image and one or more color images",0,G06T|G06V
12387314,2025-08-12,Inspection method and inspection apparatus,0,G06T|G06V
12386578,2025-08-12,"Image display device, image display method, and storage medium storing computer program for executing image display method",0,G06F|G06T|G09G|H04N
12386402,2025-08-12,Electronic device,0,G06F|H05K
12383934,2025-08-12,Cleaning device,0,B05B|B08B|G06T|H01M|Y02E
12382739,2025-08-05,"Light detecting device, light detecting system, and filter array",0,G01J|G02B|H04N|H10F
12382154,2025-08-05,Imaging device,0,H04N
12381926,2025-08-05,"Transmission method, reception method, transmission apparatus, and reception apparatus",0,H04B|H04L|H04N
12380725,2025-08-05,Seating position management system and seating position management method,0,G06Q|G06V
12380637,2025-08-05,Three-dimensional model generation method and three-dimensional model generation device for calculating an accuracy of a similar point search,0,G06T|G06V|H04N
12379750,2025-08-05,Electronic device,0,G06F|H05K
12379579,2025-08-05,"Optical system, image projection apparatus, and imaging apparatus",0,G02B|G03B|H04N
12376393,2025-07-29,"Image sensor including control electrode, transparent electrode, and connection layer electrically connecting control electrode to side surface of transparent electrode",0,H04N|H10F|H10K
12376391,2025-07-29,Imaging device,0,H04N|H10F|H10K
12375828,2025-07-29,Imaging device,0,H04N|H10F
12375731,2025-07-29,"Data generation method, data reproduction method, data generation device and data reproduction device",0,H02M|H04N|H05B|Y02B
12375511,2025-07-29,Attack path generation method and attack path generation device,0,H04L
12375334,2025-07-29,Transmission apparatus and transmission method for transmitting a control signal in a wireless communication system,0,H04B|H04L|H04W
12368898,2025-07-22,"Data generation method, data reproduction method, data generation device and data reproduction device",0,H02M|H04N|H05B|Y02B
12368491,2025-07-22,Communication device and communication method,0,H04B|H04L|H04W
12365493,2025-07-22,Lighting device and lighting system,0,B60R|B60W|B64D|B64U|G06F|G08B|G08G|H04B|H04Q|H04W|H05B
12365364,2025-07-22,Vehicle diagnostic system and mobile body diagnostic system,0,B60W|G06F|G07C
12365258,2025-07-22,Information processing method and information processing system,0,B60L|G06Q|H01M|H02J|Y02E|Y02T|Y04S
12364034,2025-07-15,"Imaging device and camera system including photoelectric conversion layer between two electrodes, and driving method of imaging device",0,H04N|H10F|H10K|Y02E
12364027,2025-07-15,Photo sensor and distance measuring system using said photo sensor,0,H04N|H10F
12363460,2025-07-15,Solid-state imaging sensor,0,H04N
12363424,2025-07-15,"Displacement detection method, image-capturing instruction method, displacement detection device, and image-capturing instruction device",0,G01B|G06F|G06T|H04N
12363349,2025-07-15,"Data generation method, data reproduction method, data generation device and data reproduction device",0,H02M|H04N|H05B|Y02B
12361716,2025-07-15,"Information processing method, recording medium, and information processing system",0,G06F|G06T|G06V|G16H|H04M
12361579,2025-07-15,"Imaging device, imaging method, and information processing device",0,G01C|G01S|G06T|H04N
12360645,2025-07-15,Touch sensor,0,G06F
12356073,2025-07-08,Imaging apparatus,0,H04N
12355587,2025-07-08,"Communication device, communication system, communication and control method",0,H04L
12353253,2025-07-08,Electronic device,0,E05B|F16B|G06F|H05K
12352933,2025-07-08,"Lens system, imaging device, and imaging system",0,G02B|G03B|H04N
12349485,2025-07-01,Imaging device,0,H04N|H10D|H10F
12348884,2025-07-01,Imaging device and method for driving the same,0,H04N|H10F|H10K
12348842,2025-07-01,Imaging system and method executed by imaging system,0,G01J|G06T|H04N
12348681,2025-07-01,Imaging device and control method,0,H04N|H10F|H10K
12347203,2025-07-01,Moving object detection system and information management apparatus,0,G06T|G06V
12346009,2025-07-01,Imaging device with heat dissipation mechanism,0,G03B|H04N|H05K
12344119,2025-07-01,Battery management system and battery management method,0,B60L|G06Q|H01M
12342643,2025-06-24,Imaging apparatus,0,H04N|H10F
12342638,2025-06-24,Imaging device,0,B82Y|C09K|H04N|H10F|H10K|Y02E
12342092,2025-06-24,Imaging apparatus,0,H04N|H10F
12337418,2025-06-24,"Bead appearance inspection device, bead appearance inspection method, program, and bead appearance inspection system",0,B23K|B25J|G01B|G06N
12336316,2025-06-17,Imaging device,0,H04N|H10D|H10F|H10K
12335840,2025-06-17,"Wireless communication device, roadside unit, and wireless communication method",0,B60R|H04B|H04W
12335650,2025-06-17,Imaging device,0,H04N|H10F|H10K
12328518,2025-06-10,Light detector,0,H04N|H10F
12327059,2025-06-10,Information display system,0,G06F|G09G|H04L
12326546,2025-06-10,"Imaging optical system, image capture device, and camera system",0,G02B|G03B|H04N
12323944,2025-06-03,"Position estimating method, position estimating program, fixed wireless device, and mobile wireless device",0,G01S|H04W
12320701,2025-06-03,Filter array and imaging system,0,G01J|G02B|H04N|H10F
12315188,2025-05-27,Image processing device and image processing method,0,A61B|G06T
12315129,2025-05-27,Measurement method and measurement device,0,G01B|G01M|G06T|G06V
12314922,2025-05-27,Payment terminal,0,G06Q|G07F|G07G
12314087,2025-05-27,Electronic device,0,G06F|H04M
12313416,2025-05-27,Travel plan generating method and travel plan generating system for mobile vehicles based on remaining energy,0,B60L|G01C|G06Q|G08G|Y02T
12310564,2025-05-27,Intraoral camera system and image display method,0,A61B|A61C|G06T
12310128,2025-05-20,"Photodetector, solid-state imaging device, and distance measuring device",0,G01S|H04N|H10F
12309683,2025-05-20,"Wireless communication system, wireless communication device, and wireless communication control method",0,H04W
12309506,2025-05-20,"Processing apparatus, method, and non-transitory computer-readable recording medium",0,G01J|G01N|G06T|H04N
12309499,2025-05-20,Inspection method and inspection apparatus,0,G01N|G06T|G06V|H04N
12309490,2025-05-20,"Camera system, camera body",0,G02B|H04N
12309432,2025-05-20,"Data generation method, data reproduction method, data generation device and data reproduction device",0,H02M|H04N|H05B|Y02B
12307883,2025-05-20,"Electric tool system, management system, management method, and non-transitory storage medium",0,B25B|B25F|G08C|H04W
12307816,2025-05-20,"Information processing device, information processing method, and program",0,G06F|G06V|H04N
12307781,2025-05-20,Information processing device and information processing method associated with compression of point cloud data obtained by sensing the vicinity of a moving body,0,G01S|G06T|G06V|G08G
12307721,2025-05-20,Imaging method and imaging apparatus,0,A61B|G01J|G03B|G06T|G06V|H04N
12307455,2025-05-20,"Evaluation system, evaluation method, program, server device, and terminal device",0,A61B|G06Q|G10L|G16H
12303291,2025-05-20,"Information providing method, information processing system, information terminal, and information processing method",0,A61B|G01N|G06Q|G16H
12302656,2025-05-13,Imaging device,0,H01L|H04N|H10F
12302042,2025-05-13,Video projection method and video projection system,0,H04N
