patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12431448,2025-09-30,Semiconductor device,0,H01L|H10D
12426352,2025-09-23,Semiconductor device and method for fabricating semiconductor device,0,H01L|H10D
12426289,2025-09-23,Semiconductor device,0,G01K|H01L|H10D
12424583,2025-09-23,Semiconductor module,0,H01L|H10D
12424510,2025-09-23,Semiconductor apparatus including cooler for cooling semiconductor element,0,H01L
12424507,2025-09-23,Cooling apparatus and semiconductor module,0,H01L|H05K
12424457,2025-09-23,Semiconductor device manufacturing method,0,H01L
12419067,2025-09-16,Semiconductor device,0,H01L|H10D
12414316,2025-09-09,Method of manufacturing silicon carbide semiconductor device and silicon carbide semiconductor device,0,H01L|H10D
12414315,2025-09-09,Silicon carbide Schottky barrier diode,0,H01L|H10D
12412847,2025-09-09,"Semiconductor module, semiconductor device and vehicle",0,H01L
12408416,2025-09-02,Silicon carbide semiconductor device and method of manufacturing a silicon carbide semiconductor device,0,G01R|H01L|H10D
12408390,2025-09-02,Semiconductor device,0,H01L|H10D
12400973,2025-08-26,Semiconductor device,0,H01L
12394681,2025-08-19,Semiconductor device,0,H01L
12394617,2025-08-19,Manufacturing method of semiconductor apparatus,0,H01L
12387989,2025-08-12,Semiconductor module,0,H01L|H05K
12387986,2025-08-12,Semiconductor device,0,H01L
12382688,2025-08-05,Semiconductor apparatus and method for manufacturing semiconductor apparatus,0,H01L|H10D
12374591,2025-07-29,Semiconductor module case and method for producing semiconductor module case,0,B29C|B29K|B29L|H01L
12369372,2025-07-22,Semicondictor apparatus with different emitter region densities,0,H01L|H10D
12369370,2025-07-22,Semiconductor device and manufacturing method for semiconductor device,0,H01L|H10D
12368068,2025-07-22,Method of manufacturing semiconductor device,0,C23C|C25D|H01L
12368048,2025-07-22,Semiconductor device and method for manufacturing,0,H01L|H10D
12362331,2025-07-15,Semiconductor device and manufacturing method thereof,0,H01L
12362257,2025-07-15,"Semiconductor module, semiconductor apparatus, and vehicle",0,H01L
12349453,2025-07-01,Semiconductor device comprising insulated-gate bipolar transistor,0,H01L|H10D
12349451,2025-07-01,Silicon carbide semiconductor device and method of manufacturing silicon carbide semiconductor device,0,H01L|H10D|H10H
12349402,2025-07-01,Silicon carbide semiconductor device and method of manufacturing silicon carbide semiconductor device,0,H01L|H10D
12349376,2025-07-01,Semiconductor device and manufacturing method of semiconductor device,0,H01L|H10D
12342556,2025-06-24,Semiconductor device,0,H01L|H03K|H10D
12341051,2025-06-24,Manufacturing method of semiconductor device,0,H01L|H10D
12334409,2025-06-17,Semiconductor module,0,G01K|H01L|H10D
12327771,2025-06-10,Semiconductor module,0,H01L
12323070,2025-06-03,Power conversion device,0,B61C|H01L|H02M|H05K|H10D
12317560,2025-05-27,Semiconductor device,0,H01L|H10D
12315838,2025-05-27,Wiring structure and semiconductor module,0,H01L
12315771,2025-05-27,Semiconductor module,0,H01L|H05K
12302629,2025-05-13,Semiconductor device,0,H01L|H10D
12302617,2025-05-13,Semiconductor device and manufacturing method of semiconductor device,0,H01L|H10D
12302614,2025-05-13,Semiconductor device,0,H01L|H10D
12301127,2025-05-13,Semiconductor module,0,H01L|H02M
12300726,2025-05-13,Semiconductor device and semiconductor device manufacturing method,0,H01L|H10D
12300588,2025-05-13,Semiconductor module and method for fabricating the same,0,B23K|H01L|H02M|H05K
12300562,2025-05-13,Semiconductor module and semiconductor apparatus,0,H01L|H02M|H10D
12296409,2025-05-13,Solder material,0,B23K|C22C|H01L|H05K
12294025,2025-05-06,Semiconductor apparatus and manufacturing method of semiconductor apparatus,0,H01L|H10D
12294019,2025-05-06,Method for manufacturing nitride semiconductor device and nitride semiconductor device,0,H01L|H10D
12293949,2025-05-06,Semiconductor module and method for manufacturing semiconductor module,0,H01L|H02M
12283608,2025-04-22,Semiconductor device and manufacturing method of the same,0,H01L|H10D
12283574,2025-04-22,Semiconductor module,0,H01L
12275094,2025-04-15,Solder joint,0,B23K|C22C|C23C|H01L
12272728,2025-04-08,Silicon carbide semiconductor device,0,H01L|H10D
12266532,2025-04-01,Semiconductor device and fabrication method,0,H01L|H10D
12261910,2025-03-25,Sensor device and sensor system,0,H04J|H04L|H04Q
12261131,2025-03-25,Semiconductor device and method of manufacturing semiconductor device,0,H01L|H10D
12261117,2025-03-25,Semiconductor device and method of manufacturing the same,0,H01L|H02M|H03K
12261058,2025-03-25,Semiconductor device and manufacturing method of semiconductor device,0,H01L|H10D
12255228,2025-03-18,Silicon carbide semiconductor device and method of manufacturing silicon carbide semiconductor device,0,H01L|H10D
