patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12432913,2025-09-30,Semiconductor memory device,0,H01L|H10B
12431184,2025-09-30,Memory system,0,G06F|G11C
12430282,2025-09-30,Memory system adjusting check period for remaining throughput and data processing system including the memory system,0,G06F
12430261,2025-09-30,Apparatus for transmitting map information in memory system,0,G06F
12430244,2025-09-30,Memory controller for controlling communication with host and method of operating the same,0,G06F
12430076,2025-09-30,"Storage device for compressing and storing data, and operating method thereof",0,G06F
12428581,2025-09-30,"Chemical mechanical polishing slurry composition for polishing boron silicon compound, chemical mechanical polishing method and method of fabricating semiconductor device using the same",0,C09G|C09K|H01L
12424575,2025-09-23,Three-dimensional semiconductor device,0,H01L|H10B
12424545,2025-09-23,Three-dimensional memory device,0,H01L|H10B
12424271,2025-09-23,"Semiconductor apparatus and semiconductor system having lun selection cycle, and operating method of semiconductor system",0,G06F|G11C
12424249,2025-09-23,"Buffer chip, and semiconductor package including the buffer chip and a memory chip",0,G11C|H01L|H10B
12423844,2025-09-23,Image processing system and image processing method,0,G06T|H04N
12423298,2025-09-23,System for classifying data based on a classification algorithm and method of operating the same,0,G06F
12423225,2025-09-23,Memory controller for controlling memory dies and memory system including the memory controller,0,G06F
12423222,2025-09-23,Memory devices,0,G06F
12423184,2025-09-23,Storage system and operating method thereof,0,G06F
12423183,2025-09-23,Peripheral component interconnect express interface device and system including the same,0,G06F
12423179,2025-09-23,Stack memory devices communicating via packets,0,G06F|G11C
12422998,2025-09-23,"Memory device and memory system for performing partial write operation, and operating method thereof",0,G06F
12422996,2025-09-23,"Controller for controlling one-time programmable memory, system, and operation method thereof",0,G06F|G11C
12422995,2025-09-23,Computational storage device communicating with host using shared memory and operating method thereof,0,G06F
12422986,2025-09-23,Storage device programming target dummy data in target memory unit and operating method of the storage device,0,G06F
12419052,2025-09-16,Semiconductor device and manufacturing method of a semiconductor device,0,H01L|H10B|H10D
12417989,2025-09-16,Semiconductor memory device including stacked semiconductor layers,0,H01L|H10B|H10D
12417811,2025-09-16,Memory device related to a verify operation and method of operating the memory device,0,G06F|G11C
12417077,2025-09-16,Processing-in-memory (PIM) devices,0,G06F|G11C
12417076,2025-09-16,Processing-in-memory (PIM) devices,0,G06F|G11C
12417075,2025-09-16,Processing-in-memory (PIM) devices,0,G06F|G11C
12417048,2025-09-16,"Controller capable of adjusting system temperature, storage device including the controller, and method of operating the storage device",0,G06F
12417044,2025-09-16,Storage device distributing bad memory units in super memory block and operating method of the storage device,0,G06F
12417041,2025-09-16,Storage device and method for foggy and fine programming,0,G06F|G11C
12417039,2025-09-16,"Controller, data storage system and computing system",0,G06F
12417034,2025-09-16,Storage device including controller and method of operating controller,0,G06F
12417032,2025-09-16,"Memory for improving performance of read retry operation, storage device, and method for operating storage device",0,G06F
12413872,2025-09-09,Image sensor and image processing system,0,G01S|H04N|H10F
12412782,2025-09-09,Semiconductor device and method for fabricating the same,0,H01L|H10D
12412618,2025-09-09,"Buffer chip, and semiconductor package including buffer chip and memory chip",0,G11C|H01L|H10B
12411734,2025-09-09,Controller and memory system,0,G06F|H03M
12411633,2025-09-09,Memory system for data swap and operating method thereof,0,G06F|G11C
12411617,2025-09-09,Memory system including ECC engine,0,G06F
12411614,2025-09-09,Memory device for suppressing hot carrier injection and method of operating the same,0,G06F|G11C
12411603,2025-09-09,Memory device and operating method thereof,0,G06F
12405748,2025-09-02,"Buffer chip, and semiconductor package including buffer chip and memory chips",0,G06F
12405649,2025-09-02,"Heat management circuit, method for operating the same, and electronic device and data processing apparatus including the same",0,G06F
12402310,2025-08-26,Semiconductor device with improved cell density and manufacturing method of the semiconductor device,0,H01L|H10B|H10D
12401920,2025-08-26,Image sensing device and method for operating the same,0,G01S|H04N
12401917,2025-08-26,Image processing device and image correcting method,0,G06V|H04N
12400938,2025-08-26,Semiconductor device including a through silicon via structure and method of fabricating the same,0,H01L
12400937,2025-08-26,Semiconductor device including a through silicon via structure and method of fabricating the same,0,H01L
12400366,2025-08-26,Device for calculating calibration data of images,0,G06T|H04N
12399635,2025-08-26,Memory system and operation method thereof,0,G06F
12399628,2025-08-26,Method and apparatus of performing graceful thermal shutdown in solid state drives,0,G06F
12399625,2025-08-26,Memory device and method of operating the same,0,G06F|G11C
12399623,2025-08-26,Memory module and method of operating the same,0,G06F
12399213,2025-08-26,Semiconductor device having defect detection circuit,0,G01R|H01L|H10B
12395762,2025-08-19,Image sensor with color matching analog to digital conversion and color matching method,0,H04N
12393522,2025-08-19,"Memory controller for RPMB-inclusive memory device, operating method thereof and electronic device including the same",0,G06F|G11C
12393370,2025-08-19,Storage device setting zone where cold data is to be stored and method of operating the storage device,0,G06F
12393369,2025-08-19,Storage device for determining successful transmission of commands and methods of operation,0,G06F
12393357,2025-08-19,Computing system and operating method for achieving target performance of the same,0,G06F
12392554,2025-08-19,Apparatus for processing a substrate and method of operating the same,0,F27B|H01L
12389605,2025-08-12,Semiconductor device and method for fabricating the same,0,H01L|H10B|H10D
12389136,2025-08-12,Image sensing device which outputs plural clock signals through respective plural output terminals,0,G01S|H04N
12387783,2025-08-12,"Semiconductor apparatus and semiconductor system having LUN selection cycle, and operating method of semiconductor system",0,G06F|G11C
12386777,2025-08-12,"Processing-in-memory (PIM) device to perform a memory access operation and an arithmetic operation in response to a command from a PIM controller and a high speed interface, respectively",0,G06F|G11C
12386740,2025-08-12,"Data storage device, operation method thereof, and storage system including the same",0,G06F|Y02D
12386704,2025-08-12,Controller and method of operating the same,0,G06F
12386690,2025-08-12,Fail data augmentation device and method for random access memory,0,G06F|G06N|G11C
12386554,2025-08-12,Memory system and method of operating the same,0,G06F
12386549,2025-08-12,Storage device controlling write buffer while processing power off request and method of operating the storage device,0,G06F
12386547,2025-08-12,Storage device and operating method for supporting high-speed input/output thereof,0,G06F|G11C
12386538,2025-08-12,Storage device and method of operating the same,0,G06F
12386521,2025-08-12,"Memory system related to selectively storing data and a corresponding map, and an operating method of the memory system",0,G06F
12386520,2025-08-12,Semiconductor memory device and operating method of the semiconductor memory device,0,G06F
12386510,2025-08-12,Storage device migrating user data stored in memory die in an unusable state,0,G06F
12382631,2025-08-05,Semiconductor memory device and manufacturing method of the semiconductor memory device,0,G11C|H01L|H10B
12382199,2025-08-05,Image sensor and operating method thereof,0,H03M|H04N
12381080,2025-08-05,Methods of forming patterns using hard mask,0,H01L
12380944,2025-08-05,"Semiconductor apparatus and semiconductor system having LUN selection cycle, and operating method of semiconductor system",0,G06F|G11C
12380024,2025-08-05,"Memory device, operating method of memory device, and storage device",0,G06F|G11C
12379995,2025-08-05,Data storage device including a solid state drive,0,G06F
12379871,2025-08-05,System and storage device for executing read command using read recovery level and methods of operation,0,G06F
12379870,2025-08-05,Storage device for a plurality of meta data and method of operating the same,0,G06F
12379856,2025-08-05,Storage device for storing write data or reading read data and electronic device including the same,0,G06F
12379849,2025-08-05,Apparatus and method for sharing data between a host and a memory system based on data characteristics,0,G06F
12376411,2025-07-29,Image sensing device including through silicon via (TSV) structure,0,H01L|H10F
12376397,2025-07-29,Image sensing device,0,H01L|H10F
12376301,2025-07-29,Semiconductor memory device and manufacturing method of the semiconductor memory device,0,H01L|H10B
12375803,2025-07-29,"Image sensor, image processing system, and operating method of the image processing system",0,H04N
12373368,2025-07-29,Controller capable of preparing capability information for an interconnection protocol and electronic device,0,G06F
12373344,2025-07-29,Controller and method of operating the same,0,G06F
12373137,2025-07-29,"Memory controller, memory system, and operating method of memory system",0,G06F
12369306,2025-07-22,Memory cell and semiconductor memory device with the same,0,H01L|H10B|H10D
12368134,2025-07-22,Semiconductor packages including dam patterns and methods for manufacturing the same,0,H01L
12368121,2025-07-22,Semiconductor memory device,0,H01L|H10B
12368071,2025-07-22,Semiconductor device and method for fabricating the same,0,H01L|H10B|H10D
12367945,2025-07-22,Memory and memory system with both long and short sub word lines connected to same row,0,G06F|G11C
12366993,2025-07-22,Apparatus and method for improving data input/output performance of storage,0,G06F
12366971,2025-07-22,Memory device and method of operating the same,0,G06F|G11C
12364045,2025-07-15,Image sensing device,0,H04N|H10F
12364035,2025-07-15,Image sensor including a pixel array having pixel blocks arranged in a zigzag form,0,H04N|H10F
12364029,2025-07-15,Image sensing device including light reception alignment marks,0,H01L|H10F
12363902,2025-07-15,Vertical semiconductor device and method for fabricating the same,0,H01L|H10B|H10D
12363044,2025-07-15,Method for facilitating data link layer initialization and electronic device,0,H04L
12362324,2025-07-15,Stack type semiconductor device and method of testing the stack type semiconductor device,0,G01R|H01L
12360681,2025-07-15,Data recovery with enhanced super chip-kill recovery and method of operating such memory system,0,G06F
12356611,2025-07-08,Semiconductor device and method for fabricating the same,0,H01L|H10B
12356099,2025-07-08,Image sensor and operating method thereof,0,H04N|H10F
12354984,2025-07-08,Semiconductor device including two or more stacked semiconductor structures,0,H01L
12353986,2025-07-08,"Processing-in-memory (PIM) device, controller for controlling the PIM device, and PIM system including the PIM device and the controller",0,G06F|G06N|G11C
12353847,2025-07-08,Semiconductor device capable of performing in-memory processing,0,G06F|G11C
12353751,2025-07-08,Storage device and method of operating the same,0,G06F
12353732,2025-07-08,"Memory controller, memory device and storage device including the same",0,G06F
12353730,2025-07-08,SSD performance per power state improvement by deterministic utilization control,0,G06F|Y02D
12353535,2025-07-08,"Storage device, computing system, and method for accessing to secure storage area based on access mode",0,G06F
12353328,2025-07-08,Memory controller performing a data dump operation from source memory to target memory and operating method thereof,0,G06F
12353281,2025-07-08,Address embedding for encoder and decoder and data processing method thereof,0,G06F
12349354,2025-07-01,Semiconductor memory device and manufacturing method thereof,0,H01L|H10B
12346606,2025-07-01,Data storage device and read operation control method thereof,0,G06F
