patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12433096,2025-09-30,Display apparatus and electronic device,0,G09F|G09G|H04N|H05B|H10D|H10K
12433019,2025-09-30,Semiconductor device,0,H01L|H10D
12430369,2025-09-30,"Document search method, document search system, program, and non-transitory computer readable storage medium",0,G06F|G06V
12429989,2025-09-30,Data processing device,0,G06F|G09G|Y02E
12426435,2025-09-23,Imaging device,0,H04N|H10D|H10F|H10K
12426313,2025-09-23,Semiconductor device,0,G06F|G06N|G11C|H10B|H10D|Y02D
12422708,2025-09-23,Electronic device,0,G02F|G06F|Y02E
12419180,2025-09-16,"Optical functional device, functional panel, display device, input/output device, and data processing device",0,G06F|G09F|G09G|H04N|H05B|H10F|H10K
12416970,2025-09-16,Electronic device and operation method of the electronic device,0,G02B|G06F|G06T|G06V|G09F|G09G|H05B|H10K
12416943,2025-09-16,Electronic device including a circuit storing a signal,0,G06F|G11C|H10D
12414284,2025-09-09,Semiconductor device and method for manufacturing semiconductor device,0,H01L|H10B|H10D
12411570,2025-09-09,"Functional panel, display device, input/output device, and data processing device",0,G06F|G09G|H10K
12408384,2025-09-02,Semiconductor device and display device including the semiconductor device,0,H01L|H10B|H10D|H10F|H10H
12402857,2025-09-02,Electronic device,0,A61B|G02B|G06F|G06T
12402363,2025-08-26,Integrated semiconductor with shared electrodes between capacitor and transistor,0,H01L|H10B|H10D
12401924,2025-08-26,Driving method of semiconductor device and electronic device,0,G01S|H04N|H10F
12400920,2025-08-26,Flexible component support and display device,0,G09F|H01L|H05B|H05K
12399665,2025-08-26,Semiconductor device comprising bendable touch panel,0,G06F|G09G|Y02E
12396292,2025-08-19,Semiconductor device comprising first and second conductive layers,0,G02F|H01L|H10D|H10H|H10K
12396181,2025-08-19,Imaging device and electronic device,0,H01L|H04N|H10B|H10F|H10K
12393296,2025-08-19,Input/output panel and input/output device,0,G02F|G06F
12389745,2025-08-12,"Light-emitting device configured to improve light-extraction efficiency including reflective structure body between first electrode and light-emitting material, functional panel, display device, input/output device, and data processing device",0,G09F|H01L|H05B|H10K
12389687,2025-08-12,Light-emitting device,0,H01L|H10D
12389677,2025-08-12,Light-emitting device and method for manufacturing the same,0,H01L|H10D|H10H|H10K|Y02E|Y02P
12389650,2025-08-12,Semiconductor device and electronic device,0,H01L|H01Q|H03F|H04B|H10D
12389631,2025-08-12,Semiconductor device and manufacturing method thereof,0,G06K|G11C|H01L|H02M|H10D
12389608,2025-08-12,Semiconductor device and electronic device,0,G06N|H03K|H10B|H10D
12387692,2025-08-12,Method for driving liquid crystal display device,0,G02F|G06F|G09G
12387146,2025-08-12,Content classification method,0,G06F|G06N
12387093,2025-08-12,Semiconductor device and electronic device,0,G06N|G11C
12386935,2025-08-12,Electronic device and program,0,G06F|G06T|G06V|G09F|H05B|H10K
12386411,2025-08-12,Control device and data processing system,0,G06F|G06V
12386174,2025-08-12,Electronic device with display apparatus having light-emitting device and light-receiving device over insulating layer,0,G01N|G02B|G06F|H04N
12382669,2025-08-05,Manufacturing method of semiconductor device including mulitple oxides,0,H01L|H10B|H10D
12381187,2025-08-05,Semiconductor device,0,G11C|H01L|H10B|H10D
12380816,2025-08-05,Light-emitting device,0,G06F|G09F|H01F|H05K|H10K|Y02E|Y02P
12376447,2025-07-29,Semiconductor device and electronic device,0,G06F|G06N|H04N|H10B|H10D|H10K
12376410,2025-07-29,Imaging device with embedded conductive layers,0,H04N|H10B|H10D|H10F
12373002,2025-07-29,Electronic device,0,G06F|H01M|H02J|Y02E|Y02P
12369402,2025-07-22,"Display device, display module, and electronic device",0,G02F|G06F|H10D
12369356,2025-07-22,Semiconductor device,0,H01L|H10B|H10D
