patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12430558,2025-09-30,"Combining compression, partitioning and quantization of DL models for fitment in hardware processors",0,G06F|G06N
12430517,2025-09-30,Method and system for document structure based unsupervised long-form technical question generation,0,G06F|G06Q|G06V
12430233,2025-09-30,Method and system for performance management of distributed software applications,0,G06F
12423712,2025-09-23,Method and system for data regulations-aware cloud storage and processing service allocation,0,G06F|G06Q
12423638,2025-09-23,Method and system for generation of impact analysis specification document for a change request,0,G06F|G06Q
12423556,2025-09-23,Molecular property prediction using edge-information fused global graph-read neural network function,0,G06N|G16C
12423060,2025-09-23,Method and system for non-intrusive profiling of high-level synthesis (HLS) based applications,0,G06F
12412671,2025-09-09,Method and system for classification of cognitive load using data obtained from wearable sensors,0,A61B|G06N|G16H
12412383,2025-09-09,Method and system for scene graph generation,0,G06N|G06V
12412270,2025-09-09,Method and system for determining progression of atrial fibrillation based on hemodynamic metrics,0,A61B|G06T|G16H
12406313,2025-09-02,System and method for technology debt assessment,0,G06Q
12406149,2025-09-02,System and method for intent discovery from user logs using deep semi-supervised contrastive clustering,0,G06F|G06N|G10L
12405606,2025-09-02,System and method for performance and health monitoring to optimize operation of a pulverizer mill,0,B02C|F23K|G01V|G05B|G06F|G06N|G06Q|Y02P
12400434,2025-08-26,Method and system for identifying and mitigating bias while training deep learning models,0,G06N|G06T|G06V
12400168,2025-08-26,Systems and method for determining hygiene in enterprise documents with respect to regulatory obligations,0,G06F|G06Q
12393514,2025-08-19,Pre-optimizer and optimizer based framework for optimal deployment of embedding tables across heterogeneous memory architecture,0,G06F|G06N
12393451,2025-08-19,Systems and methods for dynamic task scheduling and rescheduling using heterogeneous multi-agent fleet,0,G06F
12393195,2025-08-19,Method and system for reinforcement learning and dual channel action embedding based robotic navigation,0,G05D|G06N
12391244,2025-08-19,Method and system for narrow passage path sampling based on levy flight,0,B60W|G01B|G01C|G06N
12387282,2025-08-12,System and method for management of life cycle of contracts,0,G06Q
12387083,2025-08-12,System and method for molecular property prediction using hypergraph message passing neural network (HMPNN),0,G06F|G06N|G16C
12386368,2025-08-12,Methods and systems for optimized assignment of traversal tasks under imperfect sensing of autonomous vehicles,0,G05D|G06Q
12380614,2025-08-05,System and method for augmented reality based indoor navigation,0,G01C|G06K|G06T|H04W
12380274,2025-08-05,Methods and systems for complex natural language task understanding for embodied agents,0,G06F|G06N
12380136,2025-08-05,Method and system for identifying labels of unlabelled column data,0,G06F|G06N
12374001,2025-07-29,Method and system for generating color variants for fashion apparels,0,G06T
12373762,2025-07-29,System and method for just in time characterization of raw materials,0,G06N|G06Q|Y02P
12373250,2025-07-29,Enhancing batch predictions by localizing jobs contributing to time deviation and generating fix recommendations,0,G06F|G06Q
12373021,2025-07-29,Method and system for ambient intelligence based user interaction,0,G01S|G06F|G06T|G06V
12368478,2025-07-22,Systems and methods for meta-surface-based beamforming,0,H04B|H04L
12367697,2025-07-22,Method and system for generating a data model for text extraction from documents,0,G06N|G06V
12367596,2025-07-22,Fusion-based object tracker using LIDAR point cloud and surrounding cameras for autonomous vehicles,0,G01S|G06T|G06V
12363443,2025-07-15,Method and system for zone-wise adaptive illumination of objects,0,G06T|G06V|H04N
12360536,2025-07-15,Method and system of dynamic localization of a telepresence robot based on live markers,0,G05D|H04B|H04W
12354234,2025-07-08,Method and system for multi-modal image super-resolution,0,G06T
12353980,2025-07-08,System and method for mitigating generalization loss in deep neural network for time series classification,0,G06N
12347159,2025-07-01,System and method for real-time radar-based action recognition using spiking neural network(SNN),0,G01S|G06N|G06V
12347102,2025-07-01,Method and system for assessing soil carbon sequestration of a farm based on remote sensing,0,A01B|A01C|G06Q|G06T|G06V|H04W
12346951,2025-07-01,"Method, system, and non-transitory machine-readable information storage medium for personalized substitute product recommendation",0,G06F|G06N|G06Q|G06V
12346810,2025-07-01,Method and system for self supervised training of deep learning based time series models,0,F02C|F05D|F23N|G06F|G06N
12340516,2025-06-24,Method and system for detection of field boundaries using coarse resolution satellite data and GIS,0,G06Q|G06T|G06V
12340408,2025-06-24,Method and system for generation of descriptive copy of grocery products,0,G06F|G06N|G06Q
12339933,2025-06-24,Method and system for getting desired property of blend by optimizing blending rules,0,G05B|G06F|G06Q
12334057,2025-06-17,Method and system for visual context aware automatic speech recognition,0,G06F|G06V|G10L
12333734,2025-06-17,System and method for imaging of localized and heterogeneous dynamics using laser speckle,0,A61B|G06T
12327410,2025-06-10,Methods and systems for disambiguation of referred objects for embodied agents,0,G06F|G06T|G06V
12327134,2025-06-10,Method and system for predicting batch processes,0,G06F|G06Q
12326979,2025-06-10,System and method for acoustic based gesture tracking and recognition using spiking neural network,0,G01S|G06F|G06N
12323471,2025-06-03,Method and system for managing multimedia exchange in tele-robotics using dew computing,0,H04L
12315222,2025-05-27,Energy efficient hierarchical SNN architecture for classification and segmentation of high-resolution images,0,G06T|G06V
12314845,2025-05-27,Field programmable gate array (FPGA) based neuromorphic computing architecture,0,G06N|Y02D
12314642,2025-05-27,System and method for actor based simulation of complex system using reinforcement learning,0,G06F|G06N|G06Q
12309388,2025-05-20,Methods and systems for quality of experience-centric adaptive bitrate encoding for live video streaming,0,H04N
12309166,2025-05-20,Method and system for service authentication in an airport management network,0,H04L
12309041,2025-05-20,Service-level objective (SLO) aware execution of concurrence inference requests on a fog-cloud network,0,G06F|H04L
12307567,2025-05-20,Methods and systems for emotion-controllable generalized talking face generation,0,G06N|G06T|G06V|G10L
12307420,2025-05-20,Method and system for facilitating planogram compliance for inventory management,0,G06Q|G06V
12307405,2025-05-20,System and method for autonomous multi-bin parcel loading system,1,B65G|G06F|G06N|G06Q
12307380,2025-05-20,Automated placement of objects in bins using look ahead information by virtual sorting and packing,0,B65G|G06N|G06Q
12307360,2025-05-20,Method and system for optimized spike encoding for spiking neural networks,0,G06N
12304090,2025-05-20,Systems and methods for anomaly detection and correction,0,B25J|G06F|G06N|G06V
12298739,2025-05-13,Method and system for micro-climate management,0,G01W|G05B|G06Q
12298420,2025-05-13,Method and system of error modelling for object localization using ultra wide band (UWB) sensors,0,G01S|H04W
12288387,2025-04-29,Method and system for transfer learning based object detection,0,G06F|G06N|G06V
12277588,2025-04-15,Categorization based on text and attribute factorization,0,G06F|G06N|G06Q
12277510,2025-04-15,Systems and method for solving Quadratic Unconstrained D-ary Optimization (QUDO) problems by quantum computing,0,G06F|G06N
12277394,2025-04-15,Systems and methods for multi-utterance generation of data with immutability regulation and punctuation-memory,0,G06F
12277184,2025-04-15,Automated construction of ingredient-functionality lists for formulated products using search engine result excerpts,0,G06F|G06Q
12274536,2025-04-15,Method and system for screening and monitoring of cardiac diseases,0,A61B|G06N
12265639,2025-04-01,System and method for enabling differential privacy techniques,0,G06F
12265542,2025-04-01,No-code platform for generating reports as a transaction,0,G06F
12260618,2025-03-25,Method and system for fashion attribute detection,0,G06N|G06V
12260176,2025-03-25,System and method for extracting issues based on trouble ticket mining,0,G06F|G06Q|H04L
12254344,2025-03-18,Method and system for automated refactoring of mainframe based batch systems to cloud native environment,0,G06F
12249422,2025-03-11,Method and system for detection and validation of nocturia in a person,0,A61B|G06N|G16H
12248886,2025-03-11,Method and system for extraction of cause-effect relation from domain specific text,0,G06F|G06N
12246765,2025-03-11,System for securing communication between central controller and signaling devices in traffic signaling networks,0,B61L|G08G|H04L
12243019,2025-03-04,Automated extraction and classification of project initiation related information from request for proposal response documents,0,G06F|G06Q|G06V
12242988,2025-03-04,Integer linear programming based generation of a personalized optimal questionnaire using a skill graph,0,G06F|G06N|G06Q
12242977,2025-03-04,Extraction of tasks from documents using weakly supervision,0,G06F|G06N
12242974,2025-03-04,Method and system for service synthesis and evaluation using patterns,0,G06F|G06N|G06Q
12241841,2025-03-04,System and method for non-invasive real-time prediction of liquid food quality within enclosed package,0,G01N|G06Q
12237086,2025-02-25,Method and system for digital biomarkers platform,0,G06F|G16H
12230134,2025-02-18,Systems and methods for public transit arrival time prediction,0,G01C|G06N|G08G
12225138,2025-02-11,Method and system for distributed digital signature computation,0,G06F|H04L
12210589,2025-01-28,System and method for label generation for timeseries classification,0,G06F|G06N
12203599,2025-01-21,Method and system for identification of materials for hydrogen storage,0,C01B|F17C|G06N|G16C|Y02E
12198071,2025-01-14,System and method for dynamically generating composable workflow for machine vision application-based environments,0,G06F|G06N|G06V
12197944,2025-01-14,System and method for modernization of legacy batch based on functional context,0,G06F
12197902,2025-01-14,Method and system for learning based dynamic software system adaptation,0,G06F|G06N|G16H
12190402,2025-01-07,Self-learning based mechanism for vehicle utilization and optimization,0,G06F|G06Q|G08G
12190131,2025-01-07,Method and system for function call and variable access based relaxed backward slicing,0,G06F
12182751,2024-12-31,Systems and methods for detecting disguised non-performing assets (NPAs) and predicting potential NPAs in agriculture,0,A01B|G06F|G06Q|G06T|G06V
12182556,2024-12-31,Method and system for performing program transformations for precise analysis of enterprise applications,0,G06F
12182029,2024-12-31,Optimal deployment of embeddings tables across heterogeneous memory architecture for high-speed recommendations inference,0,G06F|G06N
12181880,2024-12-31,Telepresence robots having cognitive navigation capability,0,B25J|G05B|G05D|G06F|G06V|G10L|H04L
12175680,2024-12-24,System and method for monitoring health of low-cost sensors used in soil moisture measurement,0,A01B|G01N|G06Q|G06T|G06V
12175520,2024-12-24,"System, method, and non-transitory machine-readable information storage medium for recommendations of items and controlling an associated bias thereof",1,G06N|G06Q
12175389,2024-12-24,Method and system for predictive maintenance of high performance systems (HPC),1,G05B|G06F|G06N
12175167,2024-12-24,Method and system for design and engineering LED fiber rollout,0,G06F|G06Q
12174639,2024-12-24,Methods and system for goal-conditioned exploration for object goal navigation,0,G05D|G06N|G06V
12169399,2024-12-17,Method and system for infrastructure monitoring,0,G05B|G06F|H04L
12165083,2024-12-10,Method and system for recommending tool configurations in machining,0,G05B|G06N
12165077,2024-12-10,Method and system for generating model driven applications using artificial intelligence,0,G06F|G06N
12164870,2024-12-10,Method and system for neural document embedding based ontology mapping,0,G06F|G06N|G16H
12160517,2024-12-03,Method and system for generating protected biometric templates,0,G06F|G06V|H04L
12159456,2024-12-03,Method and system for identification of agro-phenological zones and updation of agro-phenological zones,0,G06T|G06V
12159453,2024-12-03,System and method for ontology guided indoor scene understanding for cognitive robotic tasks,0,B25J|G05B|G05D|G06N|G06V
12155653,2024-11-26,Systems and methods for performing single input based multifactor authentication,0,H04L
12154040,2024-11-26,System and method for training recommendation policies,0,G06N
12153860,2024-11-26,Simulation techniques for determining deformation profiles and residual stresses in molded parts having composite materials,0,G06F
12147915,2024-11-19,Systems and methods for modelling prediction errors in path-learning of an autonomous learning agent,0,G06N
12141712,2024-11-12,Method and system for extracting contextual information from a knowledge base,0,G06F|G06N|G06Q
12141185,2024-11-12,Systems and methods for generating causal insight summary,0,G06F
12136286,2024-11-05,Method and system for keypoint extraction from images of documents,0,G06F|G06V
12136035,2024-11-05,Neural networks for handling variable-dimensional time series data,0,G06F|G06N
12135736,2024-11-05,Automated systems and methods for generating technical questions from technical documents,0,G06F|G10L
12132818,2024-10-29,Method and system for privacy preserving classification of websites URL,0,G06F|G06N|H04L
12131541,2024-10-29,Method and a system for spatio-temporal polarization video analysis,0,G06V|H04N
12131466,2024-10-29,Method and system for domain knowledge augmented multi-head attention based robust universal lesion detection,0,G06T|G06V
12131456,2024-10-29,Method and system for identification and classification of different grain and adulterant types,0,G06T|G06V
12130906,2024-10-29,Recognition based multi-skill-multi-sensory passwords with dynamic identification of sensor combination based on end user skill,0,G06F|H04L
12130859,2024-10-29,Method and system for feature based image retrieval,0,G06F|G06V
12130856,2024-10-29,Method and system to create an accessible enterprise content by design preliminary,0,G06F
12130845,2024-10-29,Method and system for validation of calculation code against calculation specification,0,G06F|G06Q
12124491,2024-10-22,Identifying and categorizing adverse remarks from audit reports for knowledge base creation and generating recommendations,0,G06F
12118303,2024-10-15,Method and system for text cleaning,0,G06F
12112162,2024-10-08,Method and system for mapping intermediate representation objects for facilitating incremental analysis,0,G06F
12111982,2024-10-08,Systems and methods for real-time tracking of trajectories using motion sensors,0,G06F|G06N|G06V
12111856,2024-10-08,Method and system for long-form answer extraction based on combination of sentence index generation techniques,0,G06F
12111620,2024-10-08,Multi-agent deep reinforcement learning for dynamically controlling electrical equipment in buildings,0,F24F|G05B|G06N
12106196,2024-10-01,Method and system for generating synthetic time domain signals to build a classifier,0,A61B|G06F|G06N|G16H
12101637,2024-09-24,Systems and methods for application-aware dynamic slicing in radio access network (RAN),0,H04W
12100173,2024-09-24,Method and system for unsupervised prediction of image depth and confidence map,0,G06N|G06T|H04N
12100124,2024-09-24,Methods and systems for generating end-to-end de-smoking model,1,G06T
12099967,2024-09-24,Method and system for detection of hidden patterns for apparel strategies,0,G06F|G06Q|G06V
12099822,2024-09-24,Method and system for identifying static analysis alarms based on semantics of changed source code,0,G06F
12096248,2024-09-17,Method and system for improving Wi-Fi performance in co-existing communication networks,0,H04B|H04W
12094035,2024-09-17,Methods and systems for localized smoke removal and color restoration of real-time video,1,G06T|G06V
12093870,2024-09-17,Dynamic sustainability risk assessment of suppliers and sourcing location to aid procurement decisions,0,G06F|G06N|G06Q
12093805,2024-09-17,Optimal policy learning and recommendation for distribution task using deep reinforcement learning model,0,G06N
12093695,2024-09-17,Method and system to process asynchronous and distributed training tasks,0,G06F|G06N
12087052,2024-09-10,Method and system for crop loss estimation,0,A01G|G06N|G06Q|G06V
12081659,2024-09-03,System and method to randomize distribution of cryptographic keys across multiple secure key storage devices,0,H04L
12079752,2024-09-03,System and method for scenario-driven optimization of sourcing cost,0,G06F|G06N|G06Q
12061924,2024-08-13,Method and system for web service location allocation and virtual machine deployment,0,G06F|H04L
12056171,2024-08-06,System and method for automated information extraction from scanned documents,0,G06F|G06V
12051507,2024-07-30,System and method for learning disentangled representations for temporal casual inference,0,G06N|G16H
12051229,2024-07-30,System and method for attention-based surface crack segmentation,0,G06F|G06T|G06V
12051099,2024-07-30,"System, method, and non-transitory machine readable information storage medium for handling popularity bias in item recommendations",1,G06F|G06N|G06Q
12050906,2024-07-30,Method and system for identifying relevant changes for incremental verification of evolving software,0,G06F
12050695,2024-07-30,Method and system for identifying security vulnerabilities,0,G06F
12050563,2024-07-30,Method and system for scalable acceleration of data processing pipeline,0,G06F
12050448,2024-07-30,Method and system to control a continuous bioprocessing,0,C12M|G05B|G06N
12046062,2024-07-23,Intelligent visual reasoning over graphical illustrations using a MAC unit,0,G06F|G06N|G06V
12045953,2024-07-23,Extracting region of interest from scanned images and determining an associated image type thereof,0,G06T|G06V|H04N
12045369,2024-07-23,System and method for data residency compliant data placement in cloud,0,G06F|G06Q|H04L
12039730,2024-07-16,Method and system for plant health estimation,0,G01N|G06T|G06V
12039641,2024-07-16,Symbol recognition from raster images of PandIDs using a single instance per symbol class,0,G06F|G06N|G06T|G06V
12039556,2024-07-16,Method and system for protocol generation,0,G06F|G06Q
12039434,2024-07-16,System and method for operation optimization of an equipment,0,G06N
12038949,2024-07-16,Method and system for contradiction avoided learning for multi-class multi-label classification,0,G06F|G06N|G16H
12038740,2024-07-16,Method and system for regime-based process optimization of industrial assets,0,G05B|G06F
12038738,2024-07-16,Method and system for monitoring and optimizing the operation of an alumina rotary kiln,0,G05B|H04L
