patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12430650,2025-09-30,Self-aware cryptocurrency wallets,0,G06Q|G09C|H04L|H04W
12430202,2025-09-30,Nested error correction codes for DNA data storage,0,G06F|G11C|G16B|H03M
12423981,2025-09-23,Storage and processing of intermediate features in neural networks,0,G06N|G06T|G06V
12411608,2025-09-09,I/O modulation scheme for ultra-high data throughput with massive NAND parallelism,0,G06F
12406102,2025-09-02,Detection of data storage device removal,0,G06F
12399778,2025-08-26,Channel circuit with zero force equalizer,0,G06F
12394195,2025-08-19,Non-volatile cross-bar memory with on-chip processing circuitry,0,G06F|G06T|G06V|H04N
12393845,2025-08-19,Non-volatile memory die with deep learning neural network,0,G06N
12393543,2025-08-19,System and method for utilizing a data storage device with power performance profiles and/or temperature monitoring,0,G06F
12386648,2025-08-12,Resource allocation in virtualized environments,0,G06F|H04L
12379951,2025-08-05,Memory coherence in virtualized environments,0,G06F
12375587,2025-07-29,Mesh network-on-a-chip (NOC) with heterogeneous routers,0,G06F|H04L
12373283,2025-07-29,Error correction systems and methods for DNA storage,0,G06F|G16B
12373136,2025-07-29,Host storage command management for dynamically allocated namespace capacity in a data storage device to improve the quality of service (QOS),0,G06F
12373130,2025-07-29,Global variance parameter based on mutual information in a data channel,0,G06F|H03M
12369279,2025-07-22,Non-planar antennas for portable storage devices,0,G06F|H01Q|H05K
12367160,2025-07-22,System and method for valid window maximization in toggle mode link using systematic skew addition to compensate for SSO and crosstalk,0,G06F
12366994,2025-07-22,Multipath initiator for data storage device arrays,0,G06F
12355468,2025-07-08,DNA storage error correction code architecture for optimized decoding,0,G06N|H03M
12354665,2025-07-08,Data receiver design in DDR memory interfaces,0,G06F|G11C
12353275,2025-07-08,Optimized erratic program detection process,0,G06F|G11C
12347810,2025-07-01,Semiconductor device package die stacking system and method,0,G11C|H01L|H10B
12341130,2025-06-24,Method of thinning a semiconductor die,0,H01L
12327034,2025-06-10,Storage device pool management based on over-provisioning,0,G06F
12326805,2025-06-10,Calibrating state transition probabilities associated with a DNA-based storage system to optimize decoding,0,G06F|G06N
12322689,2025-06-03,Semiconductor device package with combined contacts,0,H01L
12321641,2025-06-03,Using a storage interface protocol to pass parameters used to process data,0,G06F
12321602,2025-06-03,Disaggregated memory management,0,G06F
12321593,2025-06-03,Regular expression filter for Unicode transformation format strings,0,G06F
12314842,2025-05-27,Matrix-vector multiplication using SOT-based non-volatile memory cells,0,G06F|G06N|G11C|H10B|H10N
12306749,2025-05-20,Redundant storage across namespaces with dynamically allocated capacity in data storage devices,0,G06F
12301690,2025-05-13,Allocation of distributed cache,0,G06F|H04L
12293110,2025-05-06,Storage device pool management based on storage device queue usage,0,G06F
12287969,2025-04-29,Dynamic throttling of input/output queues in a data storage device array,0,G06F
12287708,2025-04-29,Automatic XOR data programming by memory die for uncorrectable page failure recovery,0,G06F
12287690,2025-04-29,Power-per-processing event estimates based on total power consumption measurements within a data storage device,0,G06F
12271631,2025-04-08,Data storage device sorting access commands based on performance and off-track mitigation optimization,0,G06F
12261961,2025-03-25,Consensus data filtering in proof of space blockchain systems,0,G06F|H04L
