patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12432783,2025-09-30,Physical random access channel enhancements in new radio,0,H04W
12432781,2025-09-30,Handover in dual connectivity to a primary base station and a secondary base station,0,H04W
12432774,2025-09-30,Inter-device communication,0,H04W
12432755,2025-09-30,Procedures of sidelink resource pool resource use with reduced sensing,0,H04W
12432750,2025-09-30,Enhancement of message 3 for RACH procedure,0,H04L|H04W
12432749,2025-09-30,Method for processing delay for PDCCH repetitions,0,H04L|H04W
12432735,2025-09-30,Simultaneous uplink transmission on multiple panels in wireless communication,0,H04B|H04W
12432728,2025-09-30,Determine a transport block size (TBS) included in transmissions over a sidelink channel,0,H04L|H04W
12432708,2025-09-30,Reception (RX) beam sweep scale factor,0,H04B|H04L|H04W
12432706,2025-09-30,Carrier aggregation bandwidth classes with overlapping bandwidth ranges,0,H04L|H04W
12432696,2025-09-30,Power saving sensing for reduced sensing UES using resource re-evaluation and resource pre-emption,0,H04L|H04W|Y02D
12432677,2025-09-30,Enhanced machine type communications (MTC) for non-terrestrial networks (NTN),0,H04B|H04W
12432663,2025-09-30,Systems and methods for high-power transmission,0,H04W
12432660,2025-09-30,Radio resource management in power saving mode,0,H04W|Y02D
12432628,2025-09-30,Apparatuses for partially offloading protocol processing,0,H04L|H04W
12432627,2025-09-30,Apparatuses for partially offloading protocol processing,0,H04L|H04W
12432592,2025-09-30,Measurement report based radio link failure detection,0,H04W
12432523,2025-09-30,Proactive provision of positioning information based on user context,0,H04W|Y02D
12432516,2025-09-30,Method and system for spatially rendering three-dimensional (3D) scenes,0,G06T|G10L|H04S
12432412,2025-09-30,User interfaces for a media browsing application,0,G06F|H04H|H04L|H04N
12432330,2025-09-30,Head-mounted electronic device with reliable passthrough video fallback capability,0,G02B|H04N
12432292,2025-09-30,Handheld electronic device,0,G06F|G06T|G06V|H04M|H04N
12432097,2025-09-30,Tracking reference signal (TRS) enhancement with doppler shift pre-compensation,0,H04B|H04L|H04W
