patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12432441,2025-09-30,Customizing a capture button used during video recording,0,G06F|G06T|H04N
12430812,2025-09-30,Text-guided cameo generation,0,G06F|G06T|G06V|H04L
12430790,2025-09-30,Spatial scanning for extended reality,0,G06F|G06T|G06V
12429953,2025-09-30,Multi-SoC hand-tracking platform,0,G06F|G06T|G06V
12429950,2025-09-30,Generating a response that depicts haptic characteristics,0,G06F
12425716,2025-09-23,Content capture with audio input feedback,0,G06F|G06N|G10L|H04N
12425555,2025-09-23,Input parameter based image waves,0,G02B|G06F|G06T|H04N
12425361,2025-09-23,Providing reduced availability modes in messaging,0,H04L
12423913,2025-09-23,Invertible neural skinning,0,G06F|G06N|G06T
12423910,2025-09-23,3D wrist tracking,0,G06F|G06T|G06V
12423777,2025-09-23,Face identity preservation for image-to-image models using stable diffusion generative model,0,G06T
12423209,2025-09-23,Optimized ML model loading using predicted usage and device state,0,G06F
12418504,2025-09-16,Media content playback and comments management,0,G06F|H04L
12417593,2025-09-16,Generating immersive augmented reality experiences from existing images and videos,0,G06T|G06V
12417588,2025-09-16,Fast AR device pairing using depth predictions,0,G06F|G06T|G06V
12417585,2025-09-16,Content creation platform for XR devices,0,G06F|G06T
12417564,2025-09-16,Presenting shortcuts based on a scan operation within a messaging system,0,G06F|G06Q|G06T|G06V|H04L|H04N
12417562,2025-09-16,Synthetic view for try-on experience,0,G06Q|G06T
12413692,2025-09-09,Adaptive illuminator sequencing,0,G02B|G09G|H04N
12413687,2025-09-09,Providing side conversations within a virtual conferencing system,0,G06F|H04N
12413684,2025-09-09,Buffered video recording,0,H04N
12413643,2025-09-09,Analyzing augmented reality content usage data,0,G06F|G06Q|G06T|H04L
12413325,2025-09-09,Synchronizing systems on a chip using time synchronization messages,0,G06F|H04J
12412368,2025-09-09,Clustering videos using a self-supervised DNN,0,G06T|G06V
12412347,2025-09-09,3D upper garment tracking,0,A63F|G06Q|G06T
12412343,2025-09-09,Selecting a tilt angle of an AR display,0,G02B|G06F|G06T
12412338,2025-09-09,Augmented three-dimensional structure generation,0,G06T
12412205,2025-09-09,"Method, system, and medium for augmented reality product recommendations",0,G06Q|G06T|G06V|G11B
12411890,2025-09-09,System to correlate video data and contextual data,0,G06F|G11B
12411834,2025-09-09,Version control in networked environments,0,G06F
12411587,2025-09-09,User classification based notification,0,G06F|G06Q|G08B|H04L
12411560,2025-09-09,Dynamic initialization of 3DOF AR tracking system,0,G01C|G06F
12411555,2025-09-09,Mirroring and navigating content in augmented reality messaging systems,0,G06F
12406448,2025-09-02,Enhanced reading with AR glasses,0,G02B|G06F|G06T|H04W
12406444,2025-09-02,Real-time fashion item transfer system,0,G06T
12406416,2025-09-02,Avatar based ideogram generation,0,G06T|G06V
12405675,2025-09-02,Steerable camera for AR hand tracking,0,G02B|G06F|G06T|G06V|G09B|H04N
12405672,2025-09-02,Rotating a 3D volume in extended reality,0,G06F|G06T
12401848,2025-08-26,Selecting ads for a video within a messaging system,0,G06F|G06Q|H04N
