patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12429976,2025-09-30,Touch display panel and display device,0,G06F
12429924,2025-09-30,"Hinge, display panel, and electronic device",0,G06F|Y02E
12426175,2025-09-23,Rollable flexible display device and terminal equipment,0,G06F|H04M|H05K|Y02D
12411567,2025-09-09,Touch display panel including compensation wiring and touch display device including the same,0,G06F
12408283,2025-09-02,Cover plate and display screen,0,G06F|H05K|H10F
12407769,2025-09-02,Display device,0,G06F|H04M
12405637,2025-09-02,Foldable device and display device,0,E05D|E05Y|F16C|G06F|H05K
12395579,2025-08-19,Display device,0,H04M|H04N
12389682,2025-08-12,Display panel and method for fabricating the same,0,H01L|H10D|H10H
12376434,2025-07-29,Display backplate with reduced thickness,0,G02F|H01L|H10H
12373007,2025-07-29,Flexible display device and support assembly,0,G06F
12366891,2025-07-22,"Support plate, flexible display panel, and electronic device",0,G06F
12363842,2025-07-15,Flexible display device,0,G06F|G09F|H05K
12360301,2025-07-15,Display panel,0,G02B|G02F|G06F|H10K
12353256,2025-07-08,Display device and folding display module thereof,0,G06F
12340045,2025-06-24,Display panel and mobile terminal with at least one sub-recess,0,G06F
12340043,2025-06-24,Touch control display panel and touch control display device,0,G06F
12332694,2025-06-17,Foldable display device,0,G06F|G09F|Y02E
12309950,2025-05-20,"Hinge, display panel, and electronic device",0,F16C|G06F|H05K
12307032,2025-05-20,Touch display panel and display device,0,G06F
12302510,2025-05-13,Support plate and foldable display screen,0,G06F|H04M|H05K|H10K
12300127,2025-05-13,Support member and foldable display module,0,G06F|G09F|H05K
12299222,2025-05-13,Micro light emitting diode touch display panel,0,G06F|H01L|H10H
12295221,2025-05-06,Display panel and display device having an adhesive layer between an organic layer and an inorganic layer to enhance the bonding force of an interface,0,G06F|H10K
12295172,2025-05-06,Display panel including driving backplane,0,G09F|G09G|H01L|H10D|H10H|H10K
12293045,2025-05-06,Touch display panel with auxiliary structure for improving uniformity of wiring distribution and electronic terminal,0,G06F
12293039,2025-05-06,Touch display panel including touch electrode wiring layer and signal transmission wiring layer,0,G06F
12292766,2025-05-06,Display module and display device,0,G06F
12289845,2025-04-29,Supporting plate and foldable display device,0,G06F|G09F|H04M|H05K|Y02E
12284897,2025-04-22,Display panel with organic light-transmissive thin films and manufacturing method thereof,0,B82Y|H01L|H10H|H10K
12282617,2025-04-22,Touch display panel and electronic equipment,0,G06F|H10K
12274150,2025-04-08,Display device,0,G06F|H10K
12272685,2025-04-08,"Bezel-less display panel, display device, and splice-type display device",0,H01L|H10D|H10H|H10K
12272274,2025-04-08,Display device improving poor display incurred by deformation of display screen during drop process,0,G06F|G09F
12271230,2025-04-08,Display device,0,G06F
12263668,2025-04-01,Display panel and display device,0,B32B|H04M|H04N|H05K|H10K
12262487,2025-03-25,Stretchable display panel and electronic device,0,G06F|G09F|H04M|H05K
12261973,2025-03-25,Display panel and mobile terminal,0,H04M|H04W
12261971,2025-03-25,Display device,0,H01L|H04M|H10K|Y02E
12261158,2025-03-25,Display panel with light-shielding layer and display device including same,0,H01L|H10H
12260054,2025-03-25,Touch substrate and display panel,0,G06F
