patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12432095,2025-09-30,Systems and methods for improving channel estimation for 5G-NR PUSCH,0,H04B|H04L
12423250,2025-09-23,Integrated chiplet-based central processing units with accelerators,0,G06F|H04N
12406316,2025-09-02,Processing multimodal user input for assistant systems,0,G02B|G06F|G06N|G06Q|G06V|G10L|H04L|H04W
12401492,2025-08-26,Network clock synchronization with quantum systems in an entangled state,0,G06N|H04J|H04L
12395633,2025-08-19,Systems and methods for video decoder management,0,H04N
12387388,2025-08-12,Scene-based text-to-image generation with human priors,0,G06T|G06V|H04L
12374330,2025-07-29,Action registry management via assistant application and device software development toolkits,0,G06F|G06N|G06T|G10L|H04L
12374097,2025-07-29,Generating multi-perspective responses by assistant systems,0,G06F|G06N|G06Q|G06V|G10L|H04L|H04W
12355985,2025-07-08,Systems and methods for efficient video encoding,0,H04N
12353897,2025-07-08,Dynamically morphing virtual assistant avatars for assistant systems,0,G06F|G06T
12353625,2025-07-08,Estimation or control of contact force in actuators using pressure,0,G06F|G08B
12348789,2025-07-01,Optimization of constrained directional enhancement filtering (CDEF),0,H04N
12342157,2025-06-24,Social audio streaming,0,G06F|H04L|H04M|H04R|H04S
12327308,2025-06-10,Learning neural light fields with ray-space embedding networks,0,G06T
12317088,2025-05-27,Selecting radio resource management schemes based on environment assessments,0,H04W
12308989,2025-05-20,Optimized video call grid for picture-in-picture mode,0,H04L|H04N
12302036,2025-05-13,Systems and methods for transitioning between asynchronous and synchronous interactions,0,H04L|H04N
12265492,2025-04-01,Circular buffer for input and output of tensor computations,0,G06F
12254564,2025-03-18,Artificial intelligence-assisted virtual object builder,0,G06F|G06T|G06V
12249014,2025-03-11,Integrating applications with dynamic virtual assistant avatars,0,G06F|G06T
12243251,2025-03-04,Robust consistent video depth estimation,0,G06T
12243176,2025-03-04,Visual editor for designing augmented-reality effects that utilize voice recognition,0,G06F|G06T|G10L
12242854,2025-03-04,Compressing instructions for machine-learning accelerators,0,G06F
12236206,2025-02-25,Pretraining a language machine-learning model,0,G06F|G06N
12236192,2025-02-25,Task-specific text generation based on multimodal inputs,0,G06F|G06N
12236011,2025-02-25,Reducing head mounted display power consumption and heat generation through predictive rendering of content,0,G02B|G06F|G06N|G06T
12231809,2025-02-18,Optimizing video conferencing using contextual information,0,H04L|H04N
12229852,2025-02-18,Audio reactive augmented reality,0,G06T|G10H|G10L|G11B
12229321,2025-02-18,Hiding big data access patterns,0,G06F
12228783,2025-02-18,Robotic system obstacle recognition,0,B25J|G02B|G06T|G06V|H02G|H04N
12223654,2025-02-11,Implementing image modification functions using variable scanning orders,0,G06T
12218855,2025-02-04,RDMA transmit flow scheduling and pacing scheme for congestion management in high-performance AI/ML networks,0,H04L
12218076,2025-02-04,Nanophotonic crack stop design,0,G01N|G02B|H01L
12211121,2025-01-28,Generating shared augmented reality scenes utilizing video textures from video streams of video call participants,0,G06T|H04N
12200309,2025-01-14,Systems and methods for social media video streaming,0,H04L|H04N
12199934,2025-01-14,Generating and surfacing messaging thread specific and content-based effects,0,H04L
12198430,2025-01-14,Multimodal state tracking via scene graphs for assistant systems,1,G06F|G06V
12198413,2025-01-14,Ephemeral content digests for assistant systems,0,G06F|G06N|G06Q|G06V|G10L|H04L|H04W
12197362,2025-01-14,Batch matrix multiplication operations in a machine learning accelerator,0,G06F
12190349,2025-01-07,Selecting additional content for inclusion in video data presented to users via an online system,0,G06Q|H04L
12183035,2024-12-31,System and method for positioning a 3D eyeglasses model,0,G06T|G06V
12177416,2024-12-24,"Methods, apparatuses, and computer program products for compensating window to correct alignment error or user-specific effects",0,G02B|G06F|H04N
12159383,2024-12-03,Integrated machine learning algorithms for image filters,0,G06F|G06N|G06T|G06V
12149864,2024-11-19,Systems and methods for incorporating avatars into real-time communication sessions,0,G06T|G06V|H04N
12142298,2024-11-12,Creating digital stories based on memory graphs and multi-turn dialogs for assistant systems,2,G06F|G10L|G11B
12141592,2024-11-12,Generating an application session call stack representing a unique identifier,0,G06F
12131733,2024-10-29,Active listening for assistant systems,0,G06F|G10L
12131523,2024-10-29,Multiple wake words for systems with multiple smart assistants,0,G06F|G06N|G06Q|G06V|G10L|H04L|H04W
12131522,2024-10-29,Contextual auto-completion for assistant systems,0,G06F|G06N|G06Q|G06V|G10L|H04L|H04W
12125297,2024-10-22,Task execution based on real-world text detection for assistant systems,0,G06F|G06N|G06V
12120123,2024-10-15,Generating and utilizing digital visual codes to grant privileges via a networking system,0,G06Q|H04L|H04W
12118790,2024-10-15,Auto-capture of interesting moments by assistant systems,0,G06F|G06N|G06V|H04N
12118623,2024-10-15,Method for selectively advertising items in an image,0,G06Q
12118371,2024-10-15,Assisting users with personalized and contextual communication content,0,G06F|G06N|G06Q|G06V|G10L|H04L|H04W
12112530,2024-10-08,Execution engine for compositional entity resolution for assistant systems,0,G06F|G06N|G06Q|G06V|G10L|H04L|H04W
12112001,2024-10-08,Preventing false activations based on don/doff detection for assistant systems,1,G06F
12108189,2024-10-01,Dynamic shared experience recommendations,0,G06F|G10L|H04L|H04N
12108184,2024-10-01,Representing real-world objects with a virtual reality environment,1,G02B|G06F|G06T|G06V|H04N
12101383,2024-09-24,Systems and methods for prioritizing digital social media posts within a social media interface,2,G06Q|H04L
12100428,2024-09-24,Facilitating collaboration on video media items,0,G11B|H04L|H04N
12100397,2024-09-24,Systems and methods for screenless computerized social-media access,0,G06Q|G10L|H04L
12093980,2024-09-17,Techniques for context sensitive overlays,0,G06F|G06Q
12086972,2024-09-10,Optimizing memory reads when computing video quality metrics,0,G06F|G06T|H04N
12080067,2024-09-03,Classifying a video stream using a self-attention-based machine-learning model,0,G06F|G06N|G06V
12079895,2024-09-03,Systems and methods for disaggregated acceleration of artificial intelligence operations,0,G06F|G06N|G06T
12067171,2024-08-20,Systems and methods for operating artificial reality devices using gestures,0,G02B|G06F|G06T|G09B
12061939,2024-08-13,Chip-to-chip interconnect with a layered communication architecture,0,G06F|H04L
12052255,2024-07-30,Collective user accounts,0,G06Q|H04L
12045568,2024-07-23,Span pointer networks for non-autoregressive task-oriented semantic parsing for assistant systems,3,G06F|G10L
12039383,2024-07-16,Coordinated effects in experiences,0,A63F|G06F|G06V
12026921,2024-07-02,Systems and method for low bandwidth video-chat compression,0,G06T|G06V|H04N
12008318,2024-06-11,Automatic personalized story generation for visual media,0,G06F|G06Q|G06V|H04N
12001893,2024-06-04,Distributed synchronization scheme,1,G06F|G06N
12001862,2024-06-04,Disambiguating user input with memorization for improved user assistance,1,G06F|G06N|G06Q|G06V|G10L|H04L|H04W
11995800,2024-05-28,Artificial intelligence techniques for image enhancement,0,G06F|G06N|G06T|G06V
11985446,2024-05-14,Customized graphics for video conversations,0,H04N
11985246,2024-05-14,Systems and methods for protecting identity metrics,0,G06F|G06T|G10L|H04L
11983853,2024-05-14,Techniques for generating training data for machine learning enabled image enhancement,2,G06N|G06T
11983329,2024-05-14,Detecting head gestures using inertial measurement unit signals,0,G02B|G06F
11979365,2024-05-07,Systems and methods for automated generation of customized content,0,G06F|G06N|G06Q|H04L
11973753,2024-04-30,Systems and methods for client-side identity verification,0,G06F|G06N|G06V|H04L
11972349,2024-04-30,Flexible compute array utilization in a tensor processor,0,G06F|G06N
11972227,2024-04-30,Lexicon development via shared translation database,0,G06F|G10L
11966986,2024-04-23,Multimodal entity and coreference resolution for assistant systems,0,G06F|G06N|G06Q|G06V|G10L|H04L|H04N
11966701,2024-04-23,Dynamic content rendering based on context for AR and assistant systems,2,G06F|G06N|G06T|G10L|H04L
11960562,2024-04-16,Channels of content for display in an online system,1,G06F|G06Q|H04L
11954580,2024-04-09,Spatial tiling of compute arrays with shared control,0,G06F|G06N
11954170,2024-04-09,Generating content feed based on policy associated with adjacent content,0,G06F|G06N
11950165,2024-04-02,Provisioning content across multiple devices,0,H04L|H04N|H04W
11949843,2024-04-02,System and method for enhancing three-dimensional (3D) depth acquisition,0,H04N
11949636,2024-04-02,Systems and methods for availability-based streaming,5,H04L|H04M
11948563,2024-04-02,Conversation summarization during user-control task execution for assistant systems,9,G06F|G06N|G06Q|G06V|G10L|H04L|H04N
11947557,2024-04-02,Recommendations from comments on online social networks,0,G06F|G06Q
11928840,2024-03-12,Methods for analysis of an image and a method for generating a dataset of images for training a machine-learned model,0,G06T
11922306,2024-03-05,Tensor controller architecture,0,G06F|G06N
11921984,2024-03-05,Ephemeral digital content recommendations,0,G06F|G06Q|H04L|H04M
11914225,2024-02-27,Hinge feed antenna of eyewear,0,B29D|G02B|G02C|G06F|H01Q|H04B
11909993,2024-02-20,Fractional motion estimation engine with parallel code unit pipelines,0,H04N
11909921,2024-02-20,Persistent digital video streaming,0,H04L|H04M|H04N
