patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12431048,2025-09-30,Display control system and moving object,0,G06T|G09G
12423968,2025-09-23,"Method for generating image processing sequence, generation device, and non-transitory computer-readable storage medium storing computer program",0,G06F|G06T|G06V
12423802,2025-09-23,Defect discrimination apparatus for printed images and defect discrimination method,0,G06T
12423038,2025-09-23,"Print control apparatus, method for producing printed object, and print control program",0,G06F
12423035,2025-09-23,"Print control apparatus, method for producing printed object, and print control program",0,G06F
12418987,2025-09-16,"Circuit board, method for manufacturing circuit board, and resonator device",0,H01L|H05K
12418620,2025-09-16,"Printing control device, method for controlling printing control device, and non-transitory computer-readable storage medium storing program",0,G06Q|H04N
12415700,2025-09-16,Medium ejection device and image reading device,0,B65H|H04N
12412505,2025-09-09,Circuit device and display system,0,G06F|G09G
12411640,2025-09-09,"Information processing device, three-dimensional shaping system, three-dimensional shaping device, and information display method",0,B29C|B33Y|G05B|G06F
12406326,2025-09-02,"Circuit apparatus, display system, and image processing method",0,G02B|G06T
12405678,2025-09-02,Input device and biometric information detection device,0,A61B|G06F
12401341,2025-08-26,Integrated circuit apparatus and oscillator including a protective wiring provided between a pad and a circuit,0,H01L|H03B|H03H|H10D
12400318,2025-08-26,Circuit device and error detection method,0,G06T
12399613,2025-08-26,Display device and display method,0,G06F|G06V
12397542,2025-08-26,"Liquid discharge system, server, and control method of liquid discharge system",0,B41J|G06F
12395600,2025-08-19,"Image processing apparatus, printing apparatus, and image processing method for converting image data into dot data",0,H04N
12395147,2025-08-19,Resonator device and method for manufacturing resonator device,0,H01L|H03H
12393666,2025-08-19,Control method for information processing apparatus and non-transitory computer-readable storage medium storing program,0,G06F
12393380,2025-08-19,Printing apparatus and method for controlling printing apparatus,0,G06F
12391508,2025-08-19,Medium discharge device and image reading apparatus,0,B65H|H04N
12390936,2025-08-19,"Robot image display method, recording medium, and robot image display system",0,B25J|G05B|G06T
12389726,2025-08-12,Detecting device and measuring device,0,H01L|H10F|H10H
12388963,2025-08-12,Image display system and image display method,0,G06F|G09G|H04N
12388962,2025-08-12,Projector,0,H04N
12388935,2025-08-12,Recording device,0,G06F|H04N
12388402,2025-08-12,Method for manufacturing oscillator,0,H01L|H03B|H03H|H03L
12387787,2025-08-12,Quantum information storage device,0,G06N|G11C
12387707,2025-08-12,"Projector, cooling apparatus, and control method",0,G03B|G06F|G10K|H04N|H04R
12387303,2025-08-12,"Image correction method, information processing apparatus, and non-transitory computer-readable storage medium",0,G06T|H04N
12386571,2025-08-12,Image forming device and image forming method,0,G06F|H04N
12376472,2025-07-29,"Display device having lens corresponding to pixel, and electronic apparatus",0,G06F|H10K
12376386,2025-07-29,Electro-optical device and electronic device,0,G01K|H01L|H10D
12375627,2025-07-29,"Information processing system, display device, and program",0,G06T|H04N
12375615,2025-07-29,"Reading apparatus, method of controlling reading apparatus, and non-transitory computer-readable storage medium storing program causing computer to control reading apparatus to correct reading position of document",0,H04N
12371293,2025-07-29,Medium transport apparatus and image reading apparatus,0,B65H|H04N
12369445,2025-07-22,"Light emitting apparatus, method for manufacturing light emitting apparatus, and projector",0,G03B|H01L|H10H
12368829,2025-07-22,Control method and display system,0,G06V|H04N
12368828,2025-07-22,"Image editing method, image editing system, and storage medium storing program",0,G06T|H04N
12368751,2025-07-22,Electronic device and method for controlling electronic device,0,H04L
12365178,2025-07-22,Information processing apparatus,0,B41J|G06F
12360616,2025-07-15,Display apparatus and image forming apparatus,0,G06F|H04N
12358313,2025-07-15,Processing device and recording device,0,B41J|G06K|H04N
12358296,2025-07-15,Ink jet system,0,B41J|H04N
12356124,2025-07-08,Image projection method and projector,0,G06T|H04N
12355930,2025-07-08,"Image reading apparatus, image reading control method and non-transitory computer-readable storage medium storing program",0,H04N
12355928,2025-07-08,Reading device and control method with notification of an error or improvement associated with document transport and data transfer speed,0,H04N
12353775,2025-07-08,"Server, printing system, information processing method, and non-transitory computer-readable storage medium",0,G06F
12352978,2025-07-08,Wearable display device,0,G02B|G06F
12348695,2025-07-01,Image processing apparatus for performing two authentication steps and selecting a processing function based on first authentication,0,H04N
12347166,2025-07-01,"Image processing sequence generation method, image processing sequence generation device, and computer program",0,G06T|G06V
12344494,2025-07-01,Processing system,0,B65H|H04N
12339704,2025-06-24,Head-mounted display apparatus,0,G02B|G06F
12339573,2025-06-24,Light source device and projector,0,G03B|H04N
12339548,2025-06-24,Electro-optical device and electronic device,0,G02F|H04N
12333198,2025-06-17,"Display method, display system, and storage medium storing program",0,G06F|G06T|G06V|G09G|H04N
12333135,2025-06-17,"Non-transitory computer-readable medium, choice selection method, and information processing device",0,G06F
12328535,2025-06-10,"Projection device, display system, and display method",0,G06T|G06V|H04N
12328526,2025-06-10,"Information processing method, information processing device, and non-transitory computer-readable storage medium storing program",0,G06V|H04N
12327789,2025-06-10,Semiconductor device,0,H01L|H02M|H10D
12327054,2025-06-10,"Printing system, printing control device, and printing control program",0,G06F
12326424,2025-06-10,"Signal processing method, signal processing device, and monitoring system",0,G01M|G01N|G06F|G09G
