patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12430390,2025-09-30,"Secure signing method, device and system",0,G06F|G06K|G06V
12429972,2025-09-30,"Position detector, integrated circuit, and position detection method",0,G06F
12429964,2025-09-30,"Active capacitive stylus, sensor controller, related system and method",0,G06F
12429963,2025-09-30,Information input/output system for active pen with storage,0,G06F
12429962,2025-09-30,Method for correcting gap between pen coordinate and display position of pointer,0,G06F
12422958,2025-09-23,Active pen and sensor integrated circuit,0,G06F|H04W
12411581,2025-09-09,Cover film for pen sensor and pen sensor,0,G06F|H01B
12411580,2025-09-09,"Sensor controller, position indicator, and position detecting system",0,G06F
12411559,2025-09-09,Input device,0,G06F
12405723,2025-09-02,Spatial position indication system,0,G06F
12405697,2025-09-02,Position detection sensor including extendable electrodes in a bendable region and method for manufacturing such position detection sensor,0,G06F
12405680,2025-09-02,Active pen,0,G06F
12405679,2025-09-02,Position detection sensor and position detection device,0,G05G|G06F
12399611,2025-08-26,Data communication method,0,G06F
12399597,2025-08-26,Position detection sensor and input apparatus,0,G06F
12399580,2025-08-26,Three-dimensional position indicator and three-dimensional position detection system including grip part and tracker,0,G06F
12393299,2025-08-19,Sensor panel for detecting stylus signal sent from stylus,0,G06F
12393289,2025-08-19,Electronic pen with electronic pen body part having button switch and pusher part inserted into insertion part formed in operator,0,G06F
12386466,2025-08-12,Sensor controller and stylus,0,G06F
12386460,2025-08-12,"Position detection circuit, position detection system, and position detection method in which output of touch position is temporarily inhibited",0,G06F
12386454,2025-08-12,Combination touch and transducer input system and method,0,G06F
12386453,2025-08-12,Combination touch and transducer input system and method,0,G06F
12379810,2025-08-05,Pen and sensor controller,0,G06F|H04B|H04J|H04L
12379806,2025-08-05,"Sensor controller, electronic device, and position detection method",0,G06F
12379797,2025-08-05,Stylus,0,G06F
12379794,2025-08-05,Stylus to host synchronization using a magnetic field,0,G06F
12367787,2025-07-22,Communication system and terminal apparatus,0,G06F|G09B|H04L
12366947,2025-07-22,"Method executed by sensor controller of electromagnetic resonance system, sensor controller, and position detection device",0,G01D|G06F
12366937,2025-07-22,Method of outputting pen-up information based on detected position of active pen,0,G06F
12366931,2025-07-22,Sensor controller,0,B43L|G06F
12366930,2025-07-22,"Input support apparatus, method, computer-readable medium, and input system",0,G06F
12360631,2025-07-15,Touch detecting method and touch detecting device,0,G06F
12353667,2025-07-08,"Information processing system, position indicator, and method of controlling movement of display object on display screen of information processing apparatus",0,G06F|H04W
12353652,2025-07-08,"Coordinate output device, pen-shaped device, and electronic equipment",0,G06F
12346556,2025-07-01,Information processing device and information processing method,0,G06F
12346505,2025-07-01,Grip for a coordinate input device,1,G06F
12340070,2025-06-24,Providing selectable quick actions on handwritten data in a handwritten document,0,G06F
12340035,2025-06-24,Electronic pen cartridge and electronic pen,0,G06F
12334282,2025-06-17,Input device and input system,0,G05G|G06F|H01H
12333093,2025-06-17,"Electronic pen, handwriting input device, and central rod for electronic pen",0,G06F
12333092,2025-06-17,Stylus and color information transmitting method,0,G01J|G06F|H04B
12327000,2025-06-10,"Touch state detection circuit, electronic device including touch state detection circuit, and touch state detection method",0,G06F
12321538,2025-06-03,Electronic pen,0,G06F|H01H
12314516,2025-05-27,Pen state detection circuit and method inhibiting unexpecterd results from periphery of touch sensor,0,G06F
12314512,2025-05-27,System for touch pad,0,G06F
12314507,2025-05-27,Combination touch and transducer input system and method,0,G06F
12314490,2025-05-27,Electronic pen,0,G06F
