patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12425349,2025-09-23,System and method to synchronize motion connection communication to time-sensitive networks for industrial systems,0,H04L
12417326,2025-09-16,Using cloud-based data for industrial simulation,0,G06F|G06Q|Y02P
12417324,2025-09-16,Wiring assistance system,0,G05B|G06F|G06T
12412154,2025-09-09,Industrial automation smart object inheritance break and singleton creation,0,G05B|G06F|G06Q
12411468,2025-09-09,Data assessment and selection for industrial automation environments,0,G05B|G06N
12399478,2025-08-26,Systems and methods for automatic security enforcement for industrial automation devices,0,G05B|G06F|H04L|H04W
12399466,2025-08-26,Variable relationship discovery and recommendations for industrial automation environments,0,G05B|G06F
12393744,2025-08-19,Safety automation builder—integrator,0,G05B|G06F|G06Q
12393182,2025-08-19,Generic data parsing and orchestration solution for digital technology transfer,0,G05B|G06F|G06Q
12386344,2025-08-12,Data driven digital twins for industrial automation device operation enhancement,0,G05B|G06F
12385789,2025-08-12,Generating ambient thermal image map based on device temperature data,0,G01J|H04N
12380348,2025-08-05,Industrial automation control code change management and multiple edit integration,0,G05B|G06F|G06N
12379919,2025-08-05,Containerized modeling of device updates or modifications via digital twins,0,G06F
12379714,2025-08-05,Network monitoring system for operational technology devices,0,G05B|H04L
12375529,2025-07-29,Systems and methods for scheduled policy deployment in operational technology networks,0,H04L
12360515,2025-07-15,Industrial automation system topology with point to point representation paths,0,G05B|H04L
12355553,2025-07-08,Diagnostic system and method for network synchronized time in safety applications,0,G05B|H04J|H04L
12335228,2025-06-17,Automatic device ordering,0,G01S|H04L
12335053,2025-06-17,Systems and methods for managing PRP networks,0,H04L
12328401,2025-06-10,Industrial blockchain enabled automation control,0,G06Q|H04L
12327210,2025-06-10,Digital engineering on an industrial development hub,0,G05B|G06Q|Y02P
12327118,2025-06-10,Industrial internet of things AIOPs workflows,0,G06F|G06N
12326722,2025-06-10,Data pipeline security model,0,G05B|G06N|H04L
12326721,2025-06-10,Extensible profiles for industrial controller devices,0,G05B|G06F
12326699,2025-06-10,Data scientist views in integrated design environments,0,G05B|G06F|G06N
12321155,2025-06-03,System and method for industrial automation troubleshooting,0,G05B|G06F
12321153,2025-06-03,Data modeling and asset management using an industrial information hub,0,G05B|G06N|G06Q|Y02P
12321146,2025-06-03,Background discovery agent orchestration,0,G05B|H04L
12314625,2025-05-27,Systems and methods of controlling docking for graphic displays within a multi-display HMI environment for industrial systems,0,G05B|G06F
12314039,2025-05-27,Providing a model as an industrial automation object,0,G05B|G06N
12307245,2025-05-20,Version change systems and methods applied to industrial automation systems,0,G06F
12299417,2025-05-13,Visual programming for industrial systems,0,G06F
12299009,2025-05-13,Generating visualizations for deployment using edge compute modules and industrial design environments,0,G06F
12298736,2025-05-13,Manufacturing process data conversion and structuring,0,G05B|G06Q
12298732,2025-05-13,Insight driven programming tags in an industrial automation environment,0,G05B|G06N
12298146,2025-05-13,Stand-alone self-driving material-transport vehicle,0,G01C|G05D|G06Q
12292732,2025-05-06,Systems and methods for variable processing of streamed sensor data,0,G05B|H04L
12282798,2025-04-22,Data models for defining data transmission workflow and facilitating data communication,0,G05B|G06F|Y02P
